time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_testing
1658434037556,359.28,23.55,3.5,x
1658434037573,359.26,23.34,3.69,x
1658434037590,359.25,23.18,3.79,x
1658434037607,359.21,23.02,3.87,x
1658434037623,359.18,22.81,4.03,x
1658434037639,359.16,22.66,4.16,x
1658434037657,359.15,22.54,4.27,x
1658434037673,359.15,22.42,4.36,x
1658434037689,359.16,22.38,4.38,x
1658434037707,359.16,22.39,4.4,x
1658434037722,359.13,22.43,4.44,x
1658434037740,359.1,22.45,4.45,x
1658434037757,359.08,22.44,4.46,x
1658434037773,359.04,22.45,4.51,x
1658434037789,359.02,22.47,4.58,x
1658434037806,359,22.52,4.67,x
1658434037823,358.98,22.57,4.76,x
1658434037840,358.98,22.6,4.82,x
1658434037857,358.97,22.61,4.86,x
1658434037873,358.94,22.55,4.9,x
1658434037890,358.93,22.47,4.96,x
1658434037906,358.93,22.4,5.04,x
1658434037923,358.91,22.35,5.12,x
1658434037940,358.89,22.35,5.14,x
1658434037956,358.88,22.33,5.14,x
1658434037973,358.85,22.26,5.13,x
1658434037990,358.83,22.18,5.14,x
1658434038007,358.81,22.1,5.15,x
1658434038023,358.76,22,5.18,x
1658434038040,358.67,21.89,5.2,x
1658434038056,358.6,21.77,5.21,x
1658434038073,358.53,21.67,5.21,x
1658434038090,358.43,21.62,5.2,x
1658434038107,358.31,21.56,5.2,x
1658434038123,358.12,21.43,5.21,x
1658434038140,357.96,21.31,5.26,x
1658434038157,357.8,21.22,5.36,x
1658434038173,357.58,21.14,5.55,x
1658434038190,357.4,21.09,5.74,x
1658434038207,357.23,21.04,5.98,x
1658434038223,357.02,20.96,6.36,x
1658434038240,356.88,20.91,6.66,x
1658434038256,356.74,20.88,6.91,x
1658434038273,356.58,20.89,7.22,x
1658434038289,356.49,20.94,7.39,x
1658434038307,356.4,21.04,7.51,x
1658434038324,356.35,21.11,7.57,x
1658434038339,356.27,21.13,7.63,x
1658434038357,356.15,21.04,7.82,x
1658434038373,356.06,20.88,8.02,x
1658434038390,355.95,20.62,8.2,x
1658434038406,355.79,20.18,8.56,x
1658434038423,355.68,19.77,9.06,x
1658434038440,355.56,19.29,9.81,x
1658434038457,355.44,18.72,10.85,x
1658434038473,355.25,17.74,12.76,x
1658434038490,355.12,16.77,14.63,x
1658434038507,355.12,15.21,17.34,x
1658434038530,355.27,14.01,19.21,x
1658434038540,355.43,12.94,20.77,x
1658434038557,355.52,11.91,22.46,x
1658434038573,355.57,11.33,23.52,x
1658434038590,355.6,10.85,24.36,x
1658434038607,355.57,10.46,24.93,x
1658434038623,355.51,10.42,24.9,x
1658434038640,355.43,10.63,24.53,x
1658434038656,355.34,11.05,23.78,x
1658434038673,355.23,11.93,22.02,x
1658434038690,355.08,12.85,20.15,x
1658434038706,354.71,14.35,16.99,x
1658434038723,354.36,15.51,14.25,x
1658434038740,354,16.53,11.53,x
1658434038757,353.6,17.59,8.31,x
1658434038773,353.43,18.16,6.35,x
1658434038790,353.33,18.47,4.93,x
1658434038807,353.38,18.56,3.95,x
1658434038823,353.5,18.48,3.73,x
1658434038840,353.55,18.34,3.73,x
1658434038857,353.55,18.12,3.9,x
1658434038873,353.5,18.03,4.08,x
1658434038890,353.4,18.06,4.33,x
