time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_testing
1658434038906,353.21,18.25,4.75,x
1658434038923,353.04,18.38,5.09,x
1658434038940,352.87,18.42,5.44,x
1658434038957,352.68,18.36,5.8,x
1658434038973,352.56,18.29,5.87,x
1658434038990,352.4,18.23,5.74,x
1658434039007,352.11,18.18,5.26,x
1658434039023,351.85,18.17,4.75,x
1658434039040,351.55,18.24,4.25,x
1658434039056,351.06,18.34,3.53,x
1658434039073,350.7,18.34,2.89,x
1658434039090,350.41,18.29,2.29,x
1658434039106,350.13,18.25,1.72,x
1658434039123,350,18.32,1.46,x
1658434039139,349.94,18.46,1.23,x
1658434039156,349.84,18.65,0.88,x
1658434039173,349.73,18.81,0.5,x
1658434039190,349.63,19.09,-0.03,x
1658434039206,349.54,19.66,-0.96,x
1658434039223,349.59,20.2,-1.86,x
1658434039240,349.75,20.7,-2.83,x
1658434039256,349.91,21.19,-4.43,x
1658434039273,350,21.44,-5.66,x
1658434039290,350.1,21.56,-6.85,x
1658434039306,350.2,21.48,-8.46,x
1658434039323,350.32,21.35,-9.86,x
1658434039340,350.46,21.33,-11.5,x
1658434039356,350.66,21.57,-13.71,x
1658434039373,350.96,21.99,-15.09,x
1658434039390,351.34,22.59,-16.2,x
1658434039406,351.73,23.3,-17.61,x
1658434039423,351.79,23.44,-18.39,x
1658434039440,351.63,23.12,-18.47,x
1658434039463,350.97,22,-18.25,x
1658434039473,350.29,21.09,-18.4,x
1658434039490,349.56,20.44,-18.25,x
1658434039506,348.82,20.14,-18.13,x
1658434039523,348.61,20.35,-18.19,x
1658434039561,349.13,21.41,-17.75,x
1658434039561,348.72,20.82,-18.17,x
1658434039573,349.53,21.63,-17.32,x
1658434039590,349.97,21.69,-16.89,x
1658434039606,350.65,21.6,-16.61,x
1658434039623,351.22,21.47,-16.72,x
1658434039640,351.73,21.44,-16.72,x
1658434039657,352.22,21.68,-16.2,x
1658434039673,352.35,22.3,-15.47,x
1658434039690,352.48,23.22,-14.7,x
1658434039706,352.86,24.95,-13.61,x
1658434039723,353.24,26.21,-12.98,x
1658434039740,353.61,27.25,-12.43,x
1658434039756,354.06,28.34,-11.73,x
1658434039776,354.39,29.1,-11.16,x
1658434039790,354.77,29.91,-10.62,x
1658434039806,355.28,30.98,-10,x
1658434039823,355.66,31.67,-9.65,x
1658434039840,356.03,32.16,-9.35,x
1658434039856,356.4,32.48,-9.13,x
1658434039873,356.91,32.78,-8.79,x
1658434039890,357.29,33.07,-8.37,x
1658434039906,357.87,33.64,-7.61,x
1658434039923,358.39,34.14,-7.12,x
1658434039940,358.93,34.59,-6.72,x
1658434039957,359.61,34.99,-6.45,x
1658434039973,0.12,35.07,-6.53,x
1658434039991,0.67,35,-6.8,x
1658434040007,1.45,34.81,-7.35,x
1658434040023,2.01,34.7,-7.71,x
1658434040040,2.54,34.65,-7.98,x
1658434040056,3.22,34.61,-8.3,x
1658434040074,3.69,34.57,-8.53,x
1658434040090,4.1,34.48,-8.75,x
1658434040106,4.6,34.25,-9.03,x
1658434040123,4.99,34.04,-9.25,x
1658434040140,5.36,33.8,-9.43,x
1658434040156,5.78,33.45,-9.58,x
1658434040173,6.05,33.16,-9.7,x
1658434040190,6.31,32.86,-9.84,x
1658434040206,6.62,32.48,-10.08,x
1658434040223,6.81,32.25,-10.26,x
1658434040240,6.96,32.07,-10.45,x
1658434040257,7.09,31.88,-10.64,x
1658434040273,7.17,31.78,-10.75,x
1658434040290,7.22,31.75,-10.81,x
1658434040306,7.19,31.81,-10.76,x
1658434040323,7.07,31.92,-10.59,x
1658434040340,6.89,32.1,-10.39,x
1658434040357,6.61,32.42,-10.16,x
1658434040379,6.4,32.68,-10.02,x
1658434040390,6.22,32.9,-9.9,x
1658434040406,6.05,33.07,-9.76,x
1658434040423,5.98,33.1,-9.65,x
1658434040440,5.92,33.1,-9.52,x
1658434040456,5.83,33.17,-9.31,x
1658434040473,5.77,33.3,-9.17,x
1658434040490,5.68,33.48,-9.05,x
1658434040507,5.54,33.69,-9,x
1658434040523,5.41,33.8,-9.01,x
1658434040540,5.27,33.87,-9.03,x
1658434040556,5.21,33.92,-9.09,x
1658434040573,5.24,33.93,-9.2,x
1658434040590,5.28,33.92,-9.35,x
1658434040606,5.32,33.94,-9.56,x
1658434040623,5.35,33.97,-9.71,x
1658434040640,5.36,33.97,-9.82,x
1658434040656,5.36,33.88,-9.9,x
1658434040673,5.38,33.75,-9.94,x
1658434040690,5.44,33.6,-10,x
1658434040706,5.59,33.34,-10.17,x
1658434040723,5.72,33.13,-10.33,x
1658434040740,5.87,32.93,-10.53,x
1658434040756,6.04,32.63,-10.87,x
1658434040773,6.18,32.34,-11.2,x
1658434040790,6.34,31.99,-11.59,x
1658434040806,6.64,31.49,-12.15,x
1658434040823,6.88,31.08,-12.55,x
1658434040839,7.11,30.65,-12.93,x
1658434040856,7.45,30.07,-13.39,x
1658434040873,7.71,29.63,-13.73,x
1658434040890,7.98,29.15,-14.05,x
1658434040906,8.38,28.42,-14.54,x
1658434040923,8.74,27.79,-15.04,x
1658434040940,9.11,27.12,-15.59,x
1658434040956,9.59,26.22,-16.31,x
1658434040973,9.9,25.62,-16.77,x
1658434040990,10.15,25.13,-17.12,x
1658434041006,10.4,24.65,-17.42,x
1658434041023,10.56,24.39,-17.54,x
1658434041040,10.69,24.18,-17.59,x
1658434041057,10.83,23.99,-17.53,x
1658434041074,10.92,23.92,-17.45,x
1658434041089,10.98,23.89,-17.36,x
1658434041107,11,23.85,-17.25,x
1658434041122,10.96,23.83,-17.17,x
1658434041140,10.93,23.83,-17.09,x
1658434041156,10.9,23.87,-17,x
1658434041173,10.88,23.94,-16.92,x
1658434041190,10.88,24.06,-16.78,x
1658434041207,10.91,24.31,-16.51,x
1658434041223,10.9,24.6,-16.19,x
1658434041240,10.88,24.96,-15.75,x
1658434041256,10.83,25.54,-14.98,x
1658434041273,10.79,26.04,-14.28,x
1658434041290,10.74,26.58,-13.55,x
1658434041313,10.69,27.3,-12.67,x
1658434041323,10.66,27.75,-12.12,x
1658434041340,10.64,28.13,-11.69,x
1658434041356,10.71,28.51,-11.33,x
1658434041373,10.84,28.68,-11.26,x
1658434041390,11.01,28.73,-11.34,x
1658434041407,11.25,28.65,-11.53,x
1658434041423,11.42,28.57,-11.65,x
1658434041440,11.57,28.53,-11.72,x
1658434041456,11.77,28.52,-11.79,x
1658434041473,11.89,28.52,-11.82,x
1658434041490,12,28.5,-11.87,x
1658434041507,12.15,28.43,-11.97,x
1658434041523,12.25,28.36,-12.08,x
1658434041540,12.31,28.31,-12.21,x
1658434041556,12.35,28.29,-12.41,x
1658434041573,12.35,28.28,-12.56,x
1658434041590,12.34,28.29,-12.68,x
1658434041606,12.3,28.33,-12.82,x
1658434041623,12.28,28.34,-12.94,x
1658434041640,12.24,28.33,-13.13,x
1658434041656,12.19,28.3,-13.27,x
1658434041673,12.14,28.27,-13.4,x
1658434041690,12.1,28.25,-13.54,x
1658434041707,12.13,28.17,-13.83,x
1658434041723,12.16,28.07,-14.11,x
1658434041740,12.24,27.91,-14.53,x
1658434041756,12.29,27.79,-14.84,x
1658434041773,12.34,27.68,-15.11,x
1658434041790,12.41,27.6,-15.35,x
1658434041806,12.53,27.52,-15.58,x
1658434041823,12.63,27.44,-15.69,x
1658434041840,12.71,27.36,-15.77,x
1658434041857,12.76,27.29,-15.85,x
1658434041873,12.8,27.25,-15.9,x
1658434041890,12.84,27.22,-15.96,x
1658434041906,12.9,27.18,-16.01,x
1658434041923,12.93,27.16,-16.02,x
1658434041940,12.95,27.15,-16.01,x
1658434041957,12.95,27.14,-16,x
1658434041973,12.93,27.11,-16,x
1658434041990,12.9,27.05,-16,x
1658434042007,12.88,27.02,-16,x
1658434042023,12.86,27.02,-16,x
1658434042040,12.83,27.02,-15.99,x
1658434042056,12.8,27.01,-15.99,x
1658434042073,12.74,27,-15.96,x
1658434042090,12.68,27.01,-15.92,x
1658434042106,12.64,27.02,-15.87,x
1658434042123,12.63,27.04,-15.84,x
1658434042140,12.64,27.03,-15.85,x
1658434042156,12.64,27,-15.88,x
1658434042173,12.65,26.96,-15.92,x
1658434042190,12.67,26.94,-15.95,x
1658434042206,12.68,26.94,-15.94,x
1658434042223,12.69,26.95,-15.94,x
1658434042246,12.72,26.94,-15.95,x
1658434042256,12.76,26.91,-15.98,x
1658434042273,12.8,26.87,-16,x
1658434042290,12.84,26.83,-16,x
1658434042306,12.87,26.8,-16,x
1658434042323,12.9,26.77,-15.99,x
1658434042340,12.91,26.74,-15.97,x
1658434042356,12.91,26.71,-15.94,x
1658434042373,12.9,26.7,-15.93,x
1658434042390,12.93,26.69,-15.92,x
1658434042406,12.93,26.67,-15.92,x
1658434042423,12.9,26.64,-15.9,x
1658434042440,12.87,26.6,-15.87,x
1658434042456,12.86,26.58,-15.87,x
1658434042473,12.86,26.58,-15.88,x
1658434042490,12.82,26.57,-15.86,x
1658434042506,12.78,26.57,-15.83,x
1658434042523,12.73,26.58,-15.8,x
1658434042540,12.67,26.58,-15.76,x
1658434042557,12.63,26.59,-15.74,x
1658434042573,12.57,26.6,-15.71,x
1658434042590,12.48,26.6,-15.66,x
1658434042607,12.4,26.6,-15.6,x
1658434042623,12.33,26.59,-15.53,x
1658434042640,12.26,26.58,-15.44,x
1658434042657,12.2,26.58,-15.37,x
1658434042673,12.13,26.59,-15.29,x
1658434042690,12.04,26.64,-15.16,x
1658434042707,11.98,26.68,-15.06,x
1658434042723,11.92,26.72,-14.97,x
1658434042740,11.84,26.79,-14.81,x
1658434042756,11.81,26.87,-14.69,x
1658434042773,11.79,26.96,-14.56,x
1658434042790,11.74,27.07,-14.37,x
1658434042806,11.7,27.13,-14.22,x
1658434042823,11.67,27.15,-14.09,x
1658434042840,11.65,27.11,-13.99,x
1658434042856,11.64,27.05,-13.94,x
1658434042873,11.61,26.99,-13.89,x
1658434042890,11.56,26.95,-13.82,x
1658434042906,11.52,26.93,-13.75,x
1658434042922,11.47,26.91,-13.67,x
1658434042940,11.41,26.88,-13.56,x
1658434042956,11.39,26.86,-13.5,x
1658434042973,11.35,26.83,-13.46,x
1658434042990,11.27,26.81,-13.45,x
1658434043006,11.21,26.84,-13.46,x
1658434043023,11.14,26.89,-13.46,x
1658434043040,11.04,26.97,-13.45,x
1658434043056,10.97,27.05,-13.46,x
1658434043073,10.93,27.12,-13.5,x
1658434043090,10.89,27.2,-13.58,x
1658434043106,10.88,27.24,-13.67,x
1658434043123,10.88,27.27,-13.77,x
1658434043140,10.89,27.33,-13.91,x
1658434043162,10.86,27.38,-14,x
1658434043173,10.82,27.44,-14.06,x
1658434043190,10.78,27.54,-14.12,x
1658434043206,10.76,27.62,-14.19,x
1658434043223,10.75,27.68,-14.28,x
1658434043239,10.73,27.71,-14.37,x
1658434043256,10.68,27.76,-14.47,x
1658434043273,10.65,27.8,-14.53,x
1658434043290,10.62,27.85,-14.62,x
1658434043306,10.58,27.9,-14.67,x
1658434043323,10.53,27.95,-14.72,x
1658434043340,10.45,28.02,-14.82,x
1658434043356,10.41,28.05,-14.93,x
1658434043373,10.39,28.1,-15.03,x
1658434043390,10.36,28.17,-15.13,x
1658434043406,10.35,28.23,-15.19,x
1658434043423,10.33,28.28,-15.26,x
1658434043440,10.29,28.32,-15.32,x
1658434043456,10.25,28.33,-15.35,x
1658434043473,10.23,28.34,-15.37,x
1658434043490,10.22,28.3,-15.42,x
1658434043506,10.23,28.26,-15.46,x
1658434043522,10.24,28.23,-15.48,x
1658434043540,10.25,28.22,-15.48,x
1658434043556,10.25,28.22,-15.48,x
1658434043573,10.25,28.2,-15.48,x
1658434043590,10.21,28.12,-15.48,x
1658434043606,10.19,28.05,-15.49,x
1658434043623,10.19,27.97,-15.51,x
1658434043640,10.16,27.86,-15.55,x
1658434043656,10.13,27.78,-15.59,x
1658434043673,10.13,27.7,-15.66,x
1658434043690,10.17,27.6,-15.78,x
1658434043706,10.18,27.52,-15.84,x
1658434043722,10.17,27.47,-15.87,x
1658434043740,10.18,27.43,-15.9,x
1658434043756,10.21,27.42,-15.92,x
1658434043773,10.23,27.39,-15.93,x
1658434043790,10.27,27.32,-15.93,x
1658434043806,10.32,27.26,-15.96,x
1658434043823,10.39,27.2,-16.02,x
1658434043840,10.44,27.12,-16.08,x
1658434043856,10.45,27.06,-16.1,x
1658434043873,10.47,27,-16.1,x
1658434043890,10.49,26.93,-16.08,x
1658434043906,10.5,26.88,-16.08,x
1658434043923,10.51,26.84,-16.07,x
1658434043940,10.52,26.79,-16.09,x
1658434043957,10.51,26.76,-16.1,x
1658434043973,10.5,26.75,-16.1,x
1658434043990,10.48,26.77,-16.1,x
1658434044006,10.47,26.78,-16.11,x
1658434044023,10.45,26.79,-16.12,x
1658434044040,10.44,26.82,-16.12,x
1658434044056,10.45,26.84,-16.14,x
1658434044073,10.45,26.86,-16.16,x
1658434044096,10.44,26.89,-16.18,x
1658434044106,10.44,26.91,-16.2,x
1658434044123,10.45,26.94,-16.22,x
1658434044140,10.46,26.96,-16.26,x
1658434044156,10.46,26.96,-16.28,x
1658434044173,10.45,26.95,-16.3,x
1658434044190,10.43,26.95,-16.3,x
1658434044206,10.4,26.97,-16.29,x
1658434044223,10.37,26.99,-16.3,x
1658434044240,10.32,27.02,-16.3,x
1658434044257,10.28,27.04,-16.28,x
1658434044273,10.26,27.04,-16.27,x
1658434044290,10.26,27.04,-16.25,x
1658434044306,10.26,27,-16.26,x
1658434044323,10.25,26.98,-16.27,x
1658434044340,10.23,26.95,-16.27,x
1658434044356,10.22,26.94,-16.26,x
1658434044373,10.22,26.93,-16.25,x
1658434044390,10.23,26.9,-16.26,x
1658434044406,10.22,26.87,-16.26,x
1658434044423,10.25,26.86,-16.27,x
1658434044440,10.27,26.86,-16.28,x
1658434044456,10.27,26.86,-16.28,x
1658434044473,10.28,26.87,-16.26,x
1658434044490,10.3,26.85,-16.28,x
1658434044506,10.31,26.83,-16.3,x
1658434044523,10.32,26.82,-16.28,x
1658434044540,10.33,26.82,-16.26,x
1658434044556,10.34,26.82,-16.26,x
1658434044573,10.34,26.82,-16.28,x
1658434044590,10.34,26.82,-16.28,x
1658434044606,10.36,26.84,-16.28,x
1658434044623,10.39,26.87,-16.3,x
1658434044640,10.39,26.88,-16.31,x
1658434044657,10.37,26.9,-16.32,x
1658434044673,10.35,26.93,-16.32,x
1658434044690,10.34,26.95,-16.32,x
1658434044706,10.32,26.97,-16.31,x
1658434044723,10.32,26.99,-16.31,x
1658434044740,10.32,26.98,-16.31,x
1658434044756,10.31,26.97,-16.3,x
1658434044773,10.32,26.93,-16.27,x
1658434044790,10.32,26.89,-16.26,x
1658434044806,10.31,26.86,-16.24,x
1658434044823,10.31,26.83,-16.21,x
1658434044839,10.3,26.82,-16.19,x
1658434044856,10.28,26.81,-16.17,x
1658434044873,10.28,26.79,-16.15,x
1658434044890,10.28,26.78,-16.15,x
1658434044906,10.29,26.77,-16.14,x
1658434044923,10.29,26.75,-16.12,x
1658434044940,10.29,26.73,-16.11,x
1658434044956,10.31,26.72,-16.11,x
1658434044973,10.34,26.71,-16.11,x
1658434044990,10.36,26.7,-16.1,x
1658434045006,10.38,26.69,-16.1,x
1658434045030,10.4,26.69,-16.1,x
1658434045040,10.42,26.68,-16.1,x
1658434045056,10.44,26.66,-16.11,x
1658434045073,10.46,26.63,-16.1,x
1658434045090,10.48,26.6,-16.1,x
1658434045106,10.5,26.58,-16.1,x
1658434045123,10.52,26.55,-16.08,x
1658434045140,10.51,26.51,-16.06,x
1658434045156,10.5,26.48,-16.03,x
1658434045173,10.49,26.43,-16,x
1658434045190,10.49,26.4,-15.97,x
1658434045206,10.46,26.37,-15.95,x
1658434045223,10.42,26.33,-15.92,x
1658434045240,10.4,26.31,-15.89,x
1658434045257,10.39,26.3,-15.87,x
1658434045273,10.38,26.28,-15.86,x
1658434045290,10.36,26.28,-15.85,x
1658434045306,10.36,26.28,-15.84,x
1658434045323,10.37,26.28,-15.83,x
1658434045340,10.38,26.28,-15.83,x
1658434045356,10.38,26.28,-15.83,x
1658434045373,10.39,26.27,-15.83,x
1658434045390,10.4,26.26,-15.83,x
1658434045406,10.41,26.24,-15.82,x
1658434045423,10.42,26.22,-15.81,x
1658434045440,10.42,26.21,-15.81,x
1658434045456,10.42,26.21,-15.8,x
1658434045473,10.42,26.21,-15.78,x
1658434045490,10.42,26.2,-15.76,x
1658434045506,10.41,26.18,-15.75,x
1658434045523,10.39,26.16,-15.74,x
1658434045540,10.39,26.16,-15.74,x
1658434045556,10.39,26.16,-15.73,x
1658434045573,10.39,26.17,-15.72,x
1658434045590,10.38,26.18,-15.71,x
1658434045607,10.38,26.19,-15.72,x
1658434045623,10.38,26.21,-15.72,x
1658434045640,10.37,26.22,-15.72,x
1658434045656,10.36,26.24,-15.73,x
1658434045673,10.36,26.25,-15.72,x
1658434045690,10.38,26.24,-15.73,x
1658434045706,10.39,26.24,-15.73,x
1658434045723,10.39,26.23,-15.74,x
1658434045740,10.39,26.23,-15.75,x
1658434045756,10.38,26.24,-15.75,x
1658434045773,10.38,26.25,-15.75,x
1658434045790,10.38,26.27,-15.75,x
1658434045806,10.38,26.28,-15.76,x
1658434045823,10.38,26.28,-15.77,x
1658434045839,10.37,26.29,-15.78,x
1658434045857,10.37,26.3,-15.78,x
1658434045873,10.37,26.31,-15.77,x
1658434045890,10.37,26.32,-15.78,x
1658434045906,10.36,26.31,-15.78,
1658434045923,10.36,26.3,-15.77,
1658434045942,10.36,26.31,-15.77,
1658434045956,10.37,26.32,-15.77,
1658434045973,10.38,26.32,-15.78,
1658434045990,10.38,26.32,-15.79,
1658434046006,10.39,26.33,-15.78,
1658434046023,10.39,26.35,-15.77,
1658434046040,10.39,26.36,-15.77,
1658434046056,10.39,26.36,-15.77,
1658434046073,10.39,26.35,-15.75,
1658434046090,10.38,26.34,-15.74,
1658434046105,10.38,26.34,-15.73,
1658434046123,10.36,26.34,-15.71,
1658434046140,10.33,26.33,-15.69,
1658434046156,10.33,26.33,-15.68,
1658434046173,10.34,26.33,-15.69,
1658434046190,10.32,26.34,-15.69,
1658434046206,10.3,26.35,-15.67,
1658434046222,10.29,26.35,-15.65,
1658434046240,10.29,26.35,-15.66,
1658434046256,10.28,26.35,-15.66,
1658434046272,10.28,26.34,-15.64,
1658434046289,10.28,26.33,-15.63,
1658434046306,10.29,26.32,-15.63,
1658434046323,10.29,26.3,-15.62,
1658434046340,10.28,26.29,-15.61,
1658434046356,10.27,26.28,-15.6,
1658434046373,10.25,26.28,-15.59,
1658434046390,10.24,26.28,-15.58,
1658434046406,10.22,26.29,-15.58,
1658434046423,10.21,26.29,-15.57,
1658434046440,10.21,26.29,-15.56,
1658434046456,10.2,26.29,-15.55,
1658434046472,10.19,26.28,-15.55,
1658434046490,10.18,26.27,-15.55,
1658434046506,10.18,26.27,-15.55,
1658434046523,10.18,26.27,-15.53,
1658434046540,10.19,26.27,-15.52,
1658434046556,10.19,26.26,-15.51,
1658434046573,10.19,26.25,-15.52,
1658434046590,10.19,26.24,-15.51,
1658434046606,10.18,26.23,-15.5,
1658434046623,10.18,26.23,-15.49,
1658434046640,10.18,26.24,-15.5,
1658434046656,10.17,26.25,-15.5,
1658434046673,10.15,26.26,-15.49,
1658434046690,10.13,26.27,-15.48,
1658434046706,10.12,26.28,-15.47,
1658434046723,10.1,26.27,-15.46,
1658434046740,10.09,26.27,-15.46,
1658434046756,10.08,26.27,-15.45,
1658434046773,10.06,26.26,-15.44,
1658434046790,10.06,26.25,-15.44,
1658434046807,10.05,26.24,-15.44,
1658434046823,10.04,26.24,-15.43,
1658434046840,10.02,26.24,-15.42,
1658434046856,9.99,26.24,-15.4,
1658434046877,9.96,26.24,-15.39,
1658434046890,9.97,26.26,-15.39,
1658434046907,9.97,26.27,-15.39,
1658434046923,9.96,26.28,-15.39,
1658434046940,9.94,26.28,-15.39,
1658434046956,9.94,26.29,-15.39,
1658434046973,9.92,26.3,-15.39,
1658434046990,9.91,26.3,-15.4,
1658434047006,9.9,26.29,-15.42,
1658434047023,9.86,26.29,-15.53,
1658434047040,9.8,26.29,-15.69,
1658434047056,9.71,26.31,-15.89,
1658434047073,9.59,26.41,-16.12,
1658434047090,9.52,26.53,-16.23,
1658434047107,9.44,26.62,-16.31,
1658434047123,9.33,26.71,-16.37,
1658434047140,9.25,26.76,-16.37,
1658434047156,9.18,26.82,-16.36,
1658434047173,9.09,26.93,-16.34,
1658434047189,9.07,27.02,-16.32,
1658434047207,9.08,27.1,-16.3,
1658434047223,9.09,27.1,-16.23,
1658434047240,9.1,27.02,-16.16,
1658434047256,9.1,26.91,-16.09,
1658434047273,9.14,26.78,-16,
1658434047290,9.19,26.75,-15.97,
1658434047306,9.25,26.76,-15.97,
1658434047323,9.32,26.76,-15.97,
1658434047340,9.36,26.75,-15.99,
1658434047356,9.39,26.75,-16.04,
1658434047373,9.39,26.77,-16.12,
1658434047390,9.37,26.85,-16.16,
1658434047407,9.35,26.96,-16.23,
1658434047423,9.29,27.14,-16.3,
1658434047440,9.23,27.29,-16.35,
1658434047456,9.17,27.43,-16.39,
1658434047473,9.09,27.59,-16.43,
1658434047490,9.06,27.68,-16.49,
1658434047506,9.02,27.77,-16.55,
1658434047523,8.97,27.9,-16.63,
1658434047540,8.93,27.97,-16.67,
1658434047557,8.93,28.05,-16.72,
1658434047573,8.97,28.09,-16.77,
1658434047590,9.01,28.13,-16.84,
1658434047607,9.06,28.19,-16.91,
1658434047623,9.13,28.37,-17.11,
1658434047640,9.15,28.55,-17.32,
1658434047672,8.95,28.39,-17.04,
1658434047674,8.95,28.39,-17.04,
1658434047690,8.95,28.36,-17.05,
1658434047706,9.04,28.52,-17.34,
1658434047726,9.13,28.91,-17.93,
1658434047739,9.1,29.17,-18.14,
1658434047759,8.9,29.32,-17.97,
1658434047776,8.68,29.26,-17.71,
1658434047790,8.49,29.13,-17.46,
