time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1664285237580.6,0,0.1,-0.1,-0.2,4.2,8.9,0.1,1.8,-1,
1664285237597.2,0,0.1,0,-0.3,4.2,8.9,-3.1,0.3,-0.9,x
1664285237613.8,-0.2,0,0.3,-0.4,4.1,9.2,-4,-1.9,0.4,x
1664285237630.6,0.1,-0.1,0.4,-0.3,4,9.3,-2.4,-0.9,1.6,x
1664285237647.2,0,0,0.2,-0.3,3.9,9.2,0.7,1,-0.1,x
1664285237663.9,0,0,0.1,-0.2,4,9.1,2,0.7,-0.5,x
1664285237682.2,0.2,0.1,-0.2,-0.1,4.1,8.8,3.4,-0.7,-0.4,x
1664285237698,0.2,0.2,-0.3,-0.1,4.2,8.7,2.2,-0.5,-0.3,x
1664285237714.3,0,0.1,-0.1,-0.2,4.1,8.8,-2.9,0.4,-1.1,x
1664285237731.1,-0.2,-0.1,0.3,-0.4,4,9.2,-4.8,0.9,-0.1,x
1664285237748,-0.1,-0.1,0.4,-0.3,4,9.4,-3.8,0.2,0.3,x
1664285237764.4,0,0,0.4,-0.2,4,9.3,0.5,0.1,0.7,x
1664285237781.3,0.1,0.1,0.1,-0.2,4,9.1,3,1,-0.4,x
1664285237797.9,0,0.1,0,-0.2,4.1,9,2.5,1.5,-1,x
1664285237814.6,-0.1,0,0,-0.4,4,9,0.4,0.2,-1.3,x
1664285237831,0,0.1,0,-0.3,4.1,9,0.5,-0.2,0.2,x
1664285237847.6,0,0.1,0,-0.3,4.1,9,0.6,0.1,0.4,x
1664285237864.6,0,0,-0.1,-0.3,4,8.9,0.5,0,0.3,x
1664285237881,0,0,-0.1,-0.3,4.1,8.8,0.4,-0.3,0,x
1664285237898,0,0,-0.2,-0.3,4.1,8.8,0.5,0,-0.1,x
1664285237914.5,0,0,-0.1,-0.3,4.1,8.8,-1,3.2,0,x
1664285237931,0,0,-0.1,-0.3,4.1,8.8,-1.6,3.9,0,x
1664285237948.6,0,-0.1,0,-0.3,4,8.9,-1.3,2.2,1,x
1664285237964.6,0.1,-0.1,0,-0.2,4,9,-1.7,-2.2,1.4,x
1664285237981,0.1,0,0.1,-0.2,4,9,-2.6,-2.2,1,x
1664285237999.7,0,0,0.1,-0.3,4,9.1,-4.4,-1.5,-0.7,x
1664285238014.5,-0.1,0.1,0.3,-0.4,4.1,9.2,-4.7,-2.7,-0.7,x
1664285238031,0,0.2,0.2,-0.3,4.2,9.2,-3.1,-1.8,1.7,x
1664285238047.8,0.1,0.1,0.2,-0.2,4.1,9.2,-2.6,-1.2,2.5,x
1664285238069.1,0.2,0.1,0.3,-0.1,4.1,9.3,-3,-2.2,2.2,x
1664285238080.9,0.1,0.1,0.3,-0.1,4,9.3,-1.7,-3.6,0.9,x
1664285238098.2,0.1,0,0.3,-0.1,4,9.2,-0.1,-2.9,0.5,x
1664285238114.3,0,0,0.1,-0.1,4,9.1,2,-2.1,-0.1,x
1664285238131,-0.1,0.1,0.1,-0.2,4,9,1.6,-1.1,-0.2,x
1664285238147.8,-0.1,0.1,0.1,-0.3,4,9.1,1.2,-1.3,0.2,x
1664285238165.2,0,0,0.1,-0.2,3.9,9,1.1,-1.7,1.6,x
1664285238181.2,0.1,0,0,-0.1,3.9,9,1.5,-1.9,1.4,x
1664285238197.9,0.1,-0.1,-0.1,-0.1,3.9,8.9,1.6,-1.7,-0.2,x
1664285238214.6,-0.1,0,-0.1,-0.2,3.9,8.9,-0.1,-1.7,-1.6,x
1664285238230.9,-0.1,0,0,-0.3,3.9,9,-1,-2.2,0.1,x
1664285238247.8,0.1,0,0,-0.1,4,9,-0.7,-2.4,1.1,x
1664285238265.6,0.1,0.1,0,0,4.1,8.9,1.2,-0.3,0.3,x
1664285238281.1,-0.1,0.1,-0.2,-0.3,4.1,8.8,1.9,4.3,-0.2,x
1664285238298,-0.2,0,-0.3,-0.4,4,8.7,0.4,4.9,1.1,x
1664285238314.5,0,-0.1,-0.1,-0.2,3.9,8.8,-7.1,-3,4.1,x
1664285238331,0.2,-0.1,0.1,-0.1,3.9,9.1,-9.6,-6.8,4.2,x
1664285238347.8,0.3,-0.1,0.4,0.1,3.9,9.3,-6.4,-8,1.2,x
1664285238365.5,0.2,0.1,0.1,0.1,4,9.1,-0.9,-2,-2.5,x
1664285238381,0,0.2,0.1,-0.1,4.1,9.1,-1.4,1.2,-4.2,x
1664285238397.8,-0.3,0,0.2,-0.4,4,9.2,-1.9,0.7,-2.4,x
1664285238414.3,-0.1,0,0.3,-0.2,3.9,9.3,-1.8,-1.8,1.6,x
1664285238430.9,0.2,0,0.3,0.1,3.9,9.3,-0.7,-2,1.5,x
1664285238447.8,0.2,0,0.3,0.1,4,9.3,0.4,-2.1,0.3,x
1664285238464.5,0.1,0.1,0.2,0,4,9.2,2.7,-2.8,-1.7,x
1664285238481,0,0,0.1,-0.1,4,9,4,-2.4,-2.1,x
1664285238498.3,0,0.1,-0.2,-0.1,4,8.8,4.3,0.3,-1.6,x
1664285238526.7,-0.2,0,0,-0.3,3.9,9,-0.7,-0.1,0.4,x
1664285238530.6,-0.2,0,0,-0.3,3.9,9,-0.7,-0.1,0.4,x
1664285238547.7,0,0,0.1,-0.1,4,9.1,-0.6,-1.4,1.1,x
1664285238564.3,0,0.1,0.1,-0.1,4,9,1.4,0.8,-0.2,x
1664285238580.7,-0.1,0,-0.1,-0.2,4,8.9,2.2,2.8,-0.5,x
1664285238597.6,-0.2,0,-0.1,-0.3,3.9,8.9,1.2,1.8,0.1,x
1664285238614.2,-0.1,0,0,-0.2,3.9,8.9,-1.5,-0.4,1.5,x
1664285238630.8,0.1,0,0.1,0,4,9.1,-2.1,-0.2,2.2,x
1664285238647.5,0.1,0,0.1,0,3.9,9.1,-1.9,0.4,2,x
1664285238664.5,0,0,0.1,-0.1,3.9,9.1,-1.8,-0.6,1.7,x
1664285238680.9,0.1,0,0.1,0,3.9,9.1,-1.9,-0.1,1.9,x
1664285238697.8,0.2,0,0.1,0.1,4,9.1,-0.8,3.3,1.4,x
1664285238714.3,0,0,0.2,-0.1,4,9.2,1.6,9.2,-0.9,x
1664285238731.5,-0.1,0,0.2,-0.2,3.9,9.1,3.9,13.7,0.2,x
1664285238747.6,0,0,0.1,-0.2,4,9.1,5.2,15.2,0.5,x
1664285238764.9,0.1,0,-0.1,-0.1,4,8.9,4.6,10.8,-0.2,x
1664285238780.9,0,0,-0.1,-0.2,4,8.8,0.4,1.6,-0.7,x
1664285238797.7,0,0,-0.1,-0.3,4,8.9,-2.8,-3.4,-0.9,x
1664285238821.4,0.1,0,0.3,-0.1,4,9.3,-7.8,-7.2,-0.9,x
1664285238830.9,0.1,0,0.4,-0.1,3.9,9.4,-5.9,-5.6,-0.9,x
1664285238847.8,0.1,-0.1,0.4,-0.2,3.9,9.3,-0.5,-1.4,-1.2,x
1664285238864.6,0,0,0.2,-0.1,3.9,9.2,2.3,0.5,-1.5,x
1664285238880.8,0,0,0.1,-0.2,3.9,9.1,4.8,0,-1.6,x
1664285238897.8,0,0,0,-0.2,3.9,9,6,-0.4,-0.5,x
1664285238914.7,-0.1,0.1,-0.1,-0.3,4,8.9,6.3,-0.3,-0.1,x
1664285238930.8,-0.2,0.2,-0.3,-0.4,4.1,8.7,4.2,-2.1,1.4,x
1664285238949.5,-0.1,0.1,-0.3,-0.2,4.1,8.7,-1.8,-5.2,3.2,x
1664285238964.8,0,0,-0.2,-0.1,4,8.8,-5.8,-4.8,3.6,x
1664285238980.9,0.2,-0.1,0.2,0.1,3.9,9.1,-6.8,-3.6,2,x
1664285238998.3,0.2,-0.1,0.3,0.1,3.9,9.2,-5.5,-2.9,0.5,x
1664285239014.5,0.1,0.1,0.3,0,4,9.2,-1.6,-1.4,-3.3,x
1664285239031,0,0.1,0.2,-0.3,4,9.1,1.9,0.2,-4.7,x
1664285239047.9,-0.3,0.1,0.1,-0.4,4.1,9.1,2,1,-3.3,x
1664285239064.5,-0.1,0.1,0.1,-0.3,4,9.1,-0.1,-1.1,1.3,x
1664285239083.3,0.2,0.1,0.1,0,4,9.1,-1.8,-1.6,1.6,x
1664285239098.5,0.2,0.1,0.2,0.1,4,9.2,-1.6,-1.6,0.2,x
1664285239114.5,0.1,0,0.2,0,4,9.1,0.5,-0.8,-1.8,x
1664285239132.3,0,0,0,-0.1,3.9,9,2.2,0,-2.3,x
1664285239148.3,0,0,0,-0.1,4,9,1.6,0.3,-2.3,x
1664285239164.7,-0.1,0,0.1,-0.2,3.9,9.1,-0.7,-0.4,-2.2,x
1664285239180.9,0,0,0.2,-0.2,3.9,9.2,-0.6,-1.1,-1.1,x
1664285239198.3,0,0,0.2,-0.1,4,9.2,0.5,-0.7,-1.3,x
1664285239214.2,0,0,0,-0.1,4,9,2.3,0.3,-2.7,x
1664285239230.9,-0.1,0.1,-0.1,-0.2,4,8.9,2,-0.2,-3.6,x
1664285239247.5,-0.1,0.1,-0.1,-0.3,4,8.9,1.6,-0.7,-3,x
1664285239264.7,-0.1,0,0,-0.3,4,9,1.9,0.3,-0.8,x
1664285239280.9,-0.1,0,-0.1,-0.2,4,8.9,1.1,0.4,0.2,x
1664285239298.4,0,0,-0.1,-0.2,4,8.9,-0.1,-0.5,0.3,x
1664285239314.6,0,0,0,-0.1,3.9,9,-1.3,-2.2,0.1,x
1664285239330.9,0,0,0,-0.2,3.9,8.9,-0.7,-1.5,0.4,x
1664285239348.6,0,0,0,-0.2,3.9,9,-0.5,-0.3,0.8,x
1664285239364.8,-0.1,-0.1,0,-0.3,3.9,9,-0.7,-0.4,1.1,x
1664285239380.9,0,0,0.1,-0.2,4,9.1,-0.8,-1.2,1.9,x
1664285239398,0,0,0,-0.1,4,9,0.1,-0.9,2.1,x
1664285239421,0.1,0.1,-0.1,-0.1,4.1,8.9,-0.5,2.5,1.3,x
1664285239431,0,0.1,0,-0.2,4,8.9,-2,2.6,0.9,x
1664285239468.8,0.1,0,0.2,-0.1,4,9.1,-4,-1.7,2.1,x
1664285239480.7,0,0,0.2,-0.1,3.9,9.2,-1.7,0.1,0.9,x
1664285239497.7,-0.1,0,0.2,-0.2,3.9,9.2,-0.8,1.3,0.9,x
1664285239514.3,0.1,0,0.1,-0.1,3.9,9.1,0.2,1.4,2.1,x
1664285239530.9,0.2,0,0.1,0.1,3.9,9.1,-0.8,0.1,2.1,x
1664285239548.9,0.3,-0.1,0.1,0.1,3.9,9.1,-1.4,-0.7,-0.3,x
1664285239564.7,0.1,0,0.2,0,3.9,9.1,-0.8,-1.1,-1.6,x
1664285239580.9,-0.2,0.1,0.1,-0.3,4,9,0.5,-1.1,-1.8,x
1664285239598.2,-0.2,0.1,0,-0.3,4,9,0.5,-0.9,-0.6,x
1664285239614.5,-0.1,0,0,-0.2,3.9,9,-1.7,-0.3,1.9,x
1664285239631.2,0.1,0,0.1,0,3.9,9.1,-1.4,-0.3,1.3,x
1664285239647.8,0.1,0,0.1,0,3.9,9.1,0.7,-0.1,0.4,x
1664285239664.5,0,0.1,-0.1,-0.1,4,8.9,2.7,0.2,-1.2,x
1664285239680.9,-0.1,0.1,-0.2,-0.2,4,8.8,-0.1,-0.4,-1.7,x
1664285239697.7,-0.2,0.2,-0.1,-0.3,4.1,8.9,-2.4,-0.7,-1.2,x
1664285239714.4,-0.2,0,0.2,-0.3,4,9.2,-4.7,-0.8,0.2,x
1664285239731.1,-0.2,-0.1,0.2,-0.3,3.8,9.2,-2,-0.1,1.2,x
1664285239761.5,-0.1,0.1,0.1,-0.2,4,9.1,0.7,-0.1,2.8,x
1664285239764,-0.1,0.1,0.1,-0.2,4,9.1,0.7,-0.1,2.8,x
1664285239781.1,0,0,0.1,-0.1,3.9,9.1,0.2,1.3,3.6,x
1664285239797.7,0,0.1,0.1,-0.1,4,9.1,-0.6,1.7,3.1,x
1664285239814.5,-0.2,0,0.2,-0.3,3.9,9.2,-0.9,1.5,3.2,x
1664285239831.1,-0.2,-0.1,0.3,-0.2,3.8,9.3,0.6,1.3,4.6,x
1664285239847.6,-0.1,-0.1,0.2,-0.2,3.8,9.2,0.6,1.5,4.4,x
1664285239864.6,0.1,0,0.2,0,3.9,9.2,0.4,0.9,3.3,x
1664285239880.9,0,0,0.1,0,3.9,9.1,2.3,0.4,1.9,x
1664285239898.1,0,0,0,-0.1,3.9,9,3.4,0.8,1.9,x
1664285239914.2,-0.1,0,-0.1,-0.2,3.9,8.9,3.4,1.9,2.7,x
1664285239930.9,0.1,0.1,-0.1,0,4,8.9,-0.2,2,4.2,x
1664285239947.7,0.2,0,0,0.1,3.9,9,-1.3,0.8,4.1,x
1664285239964.9,0.3,0,0.1,0.2,3.9,9.1,-1.3,-0.3,2.5,x
1664285239981.1,0.1,-0.1,0.1,0,3.8,9.1,0.2,0.3,0.5,x
1664285239998,0,0,0.1,0,3.9,9.1,0.8,0.9,0.3,x
1664285240014.5,0,0,0.1,-0.1,3.9,9.1,-0.1,0.4,2.1,x
1664285240030.9,0.1,0,0.1,0.1,3.9,9.1,-0.6,-1.5,2.8,x
1664285240047.6,0.1,0,0.1,0.1,3.9,9.1,-0.9,-2,2.3,x
1664285240064.6,0.2,0,0.1,0.1,3.9,9.1,-0.7,-1.8,0.4,x
1664285240081,0,0,0,0,3.9,9,-0.8,-1.6,-1.2,x
1664285240098.1,-0.1,0,0.1,-0.1,3.8,9.1,-1,-1.8,-1.6,x
1664285240114.2,-0.2,0,0.1,-0.2,3.9,9.1,-0.9,-1.9,-0.1,x
1664285240130.8,-0.1,0,0.1,-0.1,3.9,9.1,0.4,-1.2,0.8,x
1664285240147.9,0,0,0.1,0,3.9,9.1,1.2,-0.9,0.4,x
1664285240164.5,0.1,0,0,0.1,3.9,9,1,-0.2,-1,x
1664285240181.2,0,0,-0.1,0,3.8,8.9,0.6,-0.3,-1.9,x
1664285240198.2,-0.1,0,-0.1,-0.2,3.9,8.9,-1.2,-1.6,-2.5,x
