time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1666170541217.8,-0.3,0.1,0.3,-2.1,5.8,7.5,6.1,-14.1,-10.4,
1666170541234.2,-0.4,-0.1,-0.2,-2.2,5.6,7.1,-2.4,-20.4,-8,x
1666170541250.9,0,-0.1,-0.1,-1.9,5.5,7.1,-12.7,-24.1,-5.7,x
1666170541268,0.2,-0.1,0.1,-1.5,5.5,7.5,-20.9,-23.3,-4.4,x
1666170541284.2,0.5,-0.2,0.8,-1.1,5.3,8.2,-22.5,-18.3,-5.2,x
1666170541300.9,0.2,-0.3,1.1,-1.2,5.2,8.6,-17.2,-11.5,-6.4,x
1666170541317.6,0.1,-0.2,1.1,-1.5,5.3,8.7,-10.8,-8.6,-5.2,x
1666170541334.2,-0.1,-0.1,0.9,-1.6,5.3,8.7,-5.5,-8.4,-2.5,x
1666170541351.5,0,-0.1,0.7,-1.4,5.3,8.5,-2.7,-9,-0.8,x
1666170541368.1,0.1,-0.1,0.5,-1.4,5.3,8.4,-1.2,-9.5,0.7,x
1666170541384.2,0.2,-0.1,0.7,-1.3,5.3,8.6,1.5,-10.9,2.5,x
1666170541400.9,0.3,-0.2,0.4,-1.2,5.2,8.5,6.9,-8.8,3.7,x
1666170541417.6,0.2,-0.1,0.2,-1.1,5.3,8.1,9.3,-7.7,4.1,x
1666170541434.2,0.3,0.1,-0.2,-1,5.5,7.7,7.6,-7.4,3.8,x
1666170541450.8,0.5,0.2,-0.4,-0.8,5.6,7.5,2.6,-5.5,1.6,x
1666170541468.1,0.6,0.2,-0.4,-0.8,5.6,7.5,2.6,-5.5,1.6,x
1666170541484.3,0.4,0.2,-0.3,-0.8,5.6,7.6,-7.7,-6,-4.8,x
1666170541500.9,0.4,0.1,0,-0.8,5.4,8,-10.1,-11.2,-6.5,x
1666170541519.2,0.4,0,0.5,-0.8,5.3,8.5,-8.2,-12.9,-8.1,x
1666170541534.2,0.3,-0.1,0.7,-0.9,5.2,8.7,-8.2,-12.9,-8.1,x
1666170541550.9,0.2,-0.1,0.6,-0.9,5.2,8.7,0.3,-3.8,-9.1,x
