time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1666170496241.8,0,-0.3,0.2,-1.9,5.9,7.3,6.3,-20.5,-27.5,
1666170496258.2,0,-0.3,-0.1,-2,5.8,7,2.4,-20.9,-29.9,x
1666170496275,0,-0.2,-0.1,-2,5.9,6.9,-4.4,-22.2,-33.2,x
1666170496291.4,0,-0.2,-0.1,-2,5.8,6.9,-12,-22.2,-37.4,x
1666170496308,-0.1,-0.4,0.1,-2.1,5.5,7.1,-19.1,-20.4,-39.6,x
1666170496325.7,-0.2,-0.5,0.3,-2.3,5.3,7.6,-21.2,-19,-37.7,x
1666170496341.1,-0.3,-0.6,0.7,-2.4,5,8,-17,-16.8,-33.1,x
1666170496357.9,-0.3,-0.6,0.6,-2.5,4.9,8,-11,-12.8,-27.7,x
1666170496375.4,-0.5,-0.5,0.5,-2.7,5,7.8,-7.2,-10.9,-22,x
1666170496391.3,-0.6,-0.3,0,-2.8,5.1,7.5,-7.3,-9.4,-17.4,x
1666170496408,-0.3,-0.3,-0.2,-2.7,5,7.2,-11.4,-8,-14.6,x
1666170496424.7,-0.3,-0.3,-0.2,-2.7,5,7.3,-15.4,-5.4,-12.8,x
1666170496441.6,-0.4,-0.4,-0.1,-2.8,4.9,7.4,-18.2,-2.3,-11,x
1666170496458.6,-0.6,-0.2,0.2,-3,5,7.7,-18.7,1.2,-7.8,x
1666170496474.7,-0.6,-0.1,0.4,-3.1,5,7.9,-16.4,2.3,-4.2,x
1666170496491.5,-0.6,-0.1,0.4,-3.1,5,8,-13.9,0.3,-1.5,x
1666170496508.4,-0.7,0,0.4,-3.2,5,8.1,-11.8,-0.6,1.4,x
1666170496524.9,-0.6,0.1,0.4,-3.2,5.1,8,-10.8,2.1,4.2,x
1666170496541.3,-0.6,0.2,0.3,-3.1,5.2,8,-10.8,5.6,6.1,x
1666170496558.1,-0.4,0.3,0.1,-3.1,5.3,7.9,-12.1,7.7,6.7,x
1666170496575,-0.3,0.3,0,-2.9,5.4,7.7,-16.5,8.3,5.9,x
1666170496591.7,-0.2,0.4,0,-2.8,5.4,7.8,-22.7,8.5,4,x
1666170496608,0.1,0.4,0.5,-2.7,5.4,8.2,-25.9,10.9,1.2,x
1666170496624.6,0.2,0.3,0.6,-2.5,5.1,8.5,-24.8,16.2,-2,x
1666170496642.3,-0.1,0.1,0.6,-2.8,5,8.6,-22.9,20.6,-2.2,x
1666170496658.6,-0.3,0.2,0.5,-3.1,5.1,8.5,-21.4,23,0.8,x
1666170496674.5,-0.3,0.2,0.4,-3.1,5,8.4,-20.2,24.5,4.3,x
1666170496691.2,0,0.3,0.4,-3,5.1,8.4,-19.5,24.1,7.5,x
1666170496707.9,0.2,0.5,0.6,-2.8,5.2,8.6,-17.5,23.1,10.3,x
1666170496724.9,0.3,0.5,0.6,-2.7,5.2,8.6,-14.9,22.3,12.6,x
1666170496741.2,0.3,0.5,0.3,-2.7,5.3,8.4,-15.1,21.4,17.4,x
1666170496757.8,0.4,0.7,0.5,-2.7,5.4,8.6,-15.2,18.7,24.3,x
1666170496774.7,0.6,0.6,0.6,-2.3,5.4,8.7,-13.3,15.6,29,x
1666170496791.3,0.9,0.6,0.7,-2,5.4,8.9,-11,12.5,31.3,x
1666170496808.2,1.1,0.8,0.7,-1.8,5.6,9,-9.5,10.9,32,x
1666170496824.6,1.2,0.8,0.8,-1.6,5.6,9.1,-7.2,11,30.9,x
1666170496841.3,1.3,0.7,0.9,-1.4,5.6,9.2,-3.3,10.8,28.2,x
1666170496857.9,1.2,0.5,0.8,-1.5,5.5,9.1,1.1,9.6,25.5,x
1666170496874.6,1.1,0.4,0.7,-1.6,5.3,9,4.5,7.7,23.8,x
1666170496891.4,1.1,0.2,0.6,-1.5,5.2,8.9,7.1,5.4,22,x
1666170496908.6,1.2,0,0.5,-1.4,5.1,8.8,9.5,4.4,18.6,x
1666170496924.6,1.1,0,0.4,-1.5,5,8.7,11,4.6,15.1,x
1666170496941.1,0.8,-0.2,0.3,-1.7,4.9,8.5,11.9,6,13.8,x
1666170496957.9,0.8,-0.4,0.1,-1.7,4.8,8.4,12.9,6.8,13.3,x
1666170496974.6,0.8,-0.4,0.1,-1.7,4.8,8.3,14.2,4.9,12.3,x
1666170496991.2,1,-0.4,0,-1.5,4.8,8.2,15.9,2.6,10.3,x
1666170497007.9,1,-0.5,-0.2,-1.4,4.8,8,17.4,0.7,6.8,x
1666170497024.5,0.9,-0.5,-0.4,-1.5,4.8,7.7,16.9,0.7,4.1,x
1666170497041.1,0.8,-0.5,-0.5,-1.6,4.8,7.6,14.9,1.1,2.1,x
1666170497057.9,0.8,-0.5,-0.5,-1.5,4.9,7.5,12.8,1,-0.6,x
1666170497074.5,0.8,-0.5,-0.6,-1.6,4.9,7.5,9.9,-1.6,-3.2,x
1666170497091.3,0.5,-0.4,-0.5,-1.8,5,7.5,5.9,-5.5,-4.2,x
1666170497108.4,0.5,-0.3,-0.2,-1.9,5.1,7.7,3.3,-6.6,-4,x
1666170497124.3,0.6,-0.4,-0.1,-1.7,5,7.9,2.6,-5.4,-5.3,x
1666170497141.3,0.5,-0.2,0.1,-1.8,5.1,8.1,3.4,-4.6,-6.8,x
1666170497157.7,0.5,-0.2,0.2,-1.8,5.2,8.2,4.6,-4.9,-8.2,x
1666170497179.8,0.3,-0.1,0.2,-2,5.3,8.2,4.3,-7,-10.1,x
1666170497191.2,0.2,0,0.2,-2,5.3,8.2,2.8,-8.8,-11.1,x
1666170497207.8,0.1,-0.1,0.3,-2.1,5.3,8.3,1,-8.6,-10.7,x
1666170497224.4,0.1,-0.1,0.5,-2.1,5.2,8.6,0.8,-7.2,-9.4,x
1666170497241.2,0.2,-0.1,0.7,-2,5.2,8.8,2.9,-5.3,-8.4,x
1666170497257.7,0.2,-0.2,0.7,-2,5.2,8.7,2.9,-5.3,-8.4,x
1666170497274.6,0.2,-0.2,0.4,-2,5.1,8.5,10.5,-3.7,-6.6,x
1666170497292.4,0.1,-0.3,-0.1,-2.1,5.1,8,11.8,-4.5,-6.1,x
