time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1653647265471,0,0,0,x
1653647265475,89.83,8.21,2.1,x
1653647265477,90.09,9.52,1.91,x
1653647265477,89.97,8.78,1.95,x
1653647265479,90.24,11.53,2.2,x
1653647265479,90.19,10.44,2.01,x
1653647265484,90.24,12.76,2.51,x
1653647265488,90.17,14.09,2.91,x
1653647265497,90.03,15.33,3.42,x
1653647265498,89.82,16.59,4.05,x
1653647265507,89.52,17.83,4.76,x
1653647265510,89.17,18.97,5.48,x
1653647265516,88.8,20,6.1,x
1653647265519,88.44,20.89,6.58,x
1653647265526,88.13,21.61,6.88,x
1653647265529,87.88,22.11,6.98,x
1653647265537,87.72,22.38,6.89,x
1653647265538,87.62,22.42,6.65,x
1653647265546,87.57,22.26,6.29,x
1653647265552,87.63,21.4,5.26,x
1653647265552,87.58,21.91,5.83,x
1653647265622,87.72,20.75,4.6,x
1653647265623,87.82,20.02,3.9,x
1653647265623,87.92,19.25,3.2,x
1653647265624,88.01,18.43,2.54,x
1653647265763,88.11,16.74,1.75,x
1653647265763,88.15,17.48,1.16,x
1653647265763,88.15,15.34,0.04,x
1653647265763,88.14,16.03,0.58,x
1653647265764,88.15,14.68,-0.49,x
1653647265764,88.13,13.37,-1.57,x
1653647265764,88.03,12.29,-2.47,x
1653647265764,88.09,12.8,-2.05,x
1653647265764,88.14,14.03,-1.01,x
1653647265765,87.95,11.83,-2.86,x
1653647265777,87.66,10.7,-3.82,x
1653647265777,87.78,11.02,-3.6,x
1653647265777,87.87,11.41,-3.23,x
1653647265778,87.3,10.85,-2.9,x
1653647265778,87.43,10.66,-3.46,x
1653647265778,87.34,10.73,-2.33,x
1653647265779,87.28,11.01,-1.79,x
1653647265779,87.26,11.24,-1.27,x
1653647265780,87.12,11.93,-0.11,x
1653647265780,87.2,11.54,-0.72,x
1653647265785,86.33,14.71,3.49,x
1653647265785,86.15,15.28,4.14,x
1653647265785,86.69,13.54,2.06,x
1653647265785,86.86,12.96,1.3,x
1653647265785,87,12.41,0.57,x
1653647265785,86.51,14.13,2.79,x
1653647265786,85.77,16.34,5.28,x
1653647265786,85.58,16.82,7.4,x
1653647265786,84.76,18.4,8,x
1653647265786,85.39,17.25,6.32,x
1653647265786,84.17,19.32,10,x
1653647265786,84.34,19.04,8.66,x
1653647265786,84.54,18.73,5.81,x
1653647265786,85.19,17.66,6.85,x
1653647265786,85.96,15.82,4.73,x
1653647265786,84.98,18.04,9.33,x
1653647265787,83.72,20.06,11.99,x
1653647265787,83.56,20.33,12.66,x
1653647265787,83.87,19.81,11.31,x
1653647265787,84.02,19.56,10.65,x
1653647265789,83.07,21.26,13.35,x
1653647265789,83.22,20.94,14.01,x
1653647265789,83.39,20.63,15.17,x
1653647265789,82.93,21.56,14.62,x
1653647265791,82.81,21.82,15.62,x
1653647265792,82.72,22.04,15.99,x
1653647265798,82.66,22.22,16.26,x
1653647265801,82.62,22.37,16.44,x
1653647265807,82.61,22.5,16.55,x
1653647265811,82.61,22.61,16.58,x
1653647265818,82.64,22.72,16.54,x
1653647265821,82.69,22.81,16.45,x
1653647265827,82.75,22.91,16.3,x
1653647265830,82.82,23,16.12,x
1653647265835,82.91,23.07,15.91,x
1653647265841,83,23.13,15.66,x
1653647265845,83.1,23.16,15.37,x
1653647265856,83.2,23.16,15.06,x
1653647265858,83.29,23.14,14.73,x
1653647265862,83.35,23.11,14.4,x
1653647265864,83.38,23.08,14.09,x
1653647265876,83.38,23.06,13.8,x
1653647265878,83.35,23.05,13.52,x
1653647265879,83.29,23.06,13.24,x
1653647265884,83.19,23.1,13.01,x
1653647265888,83.06,23.17,12.82,x
1653647265895,82.91,23.28,12.65,x
1653647265899,82.75,23.42,12.52,x
1653647265901,82.57,23.61,12.43,x
1653647265907,82.38,23.83,12.39,x
1653647265912,82.19,24.08,12.39,x
1653647265920,81.83,24.73,12.38,x
1653647265920,82,24.38,12.31,x
1653647265929,81.65,25.08,12.2,x
1653647265930,81.47,25.41,12.06,x
1653647265942,81.29,25.72,11.89,x
1653647265943,81.12,25.97,11.7,x
1653647265948,80.96,26.16,11.49,x
1653647265950,80.8,26.29,11.26,x
1653647265954,80.65,26.37,11,x
1653647265959,80.5,26.42,10.71,x
1653647265966,80.35,26.47,10.39,x
1653647265970,80.2,26.5,10.04,x
1653647265974,80.04,26.52,9.67,x
1653647265980,79.86,26.54,9.3,x
1653647265983,79.66,26.55,8.96,x
1653647265987,79.43,26.54,8.67,x
1653647265995,79.16,26.52,8.44,x
1653647265998,78.87,26.48,8.26,x
1653647266002,78.56,26.41,8.16,x
1653647266006,78.22,26.34,8.14,x
1653647266011,77.86,26.24,8.19,x
1653647266017,77.51,26.12,8.3,x
1653647266035,77.17,25.96,8.47,x
1653647266036,76.83,25.79,8.7,x
1653647266036,76.52,25.6,8.98,x
1653647266037,76.25,25.4,9.26,x
1653647266042,76.03,25.18,9.52,x
1653647266047,75.87,24.96,9.74,x
1653647266052,75.76,24.73,9.88,x
1653647266057,75.7,24.51,9.96,x
1653647266061,75.67,24.29,9.95,x
1653647266072,75.68,24.11,9.86,x
1653647266074,75.71,23.95,9.69,x
1653647266075,75.76,23.83,9.45,x
1653647266078,75.82,23.75,9.15,x
1653647266084,75.87,23.72,8.82,x
1653647266087,75.92,23.73,8.47,x
1653647266092,75.95,23.77,8.12,x
1653647266099,75.98,23.85,7.76,x
1653647266103,75.99,23.96,7.42,x
1653647266108,75.99,24.09,7.09,x
1653647266111,75.97,24.25,6.81,x
1653647266121,75.93,24.45,6.59,x
1653647266122,75.87,24.67,6.43,x
1653647266126,75.8,24.92,6.36,x
1653647266131,75.73,25.18,6.35,x
1653647266139,75.66,25.47,6.42,x
1653647266142,75.6,25.76,6.54,x
1653647266145,75.54,26.06,6.71,x
1653647266150,75.5,26.35,6.91,x
1653647266156,75.46,26.65,7.14,x
1653647266161,75.44,26.94,7.39,x
1653647266166,75.43,27.22,7.64,x
1653647266172,75.43,27.49,7.88,x
1653647266176,75.45,27.73,8.11,x
1653647266181,75.48,27.96,8.31,x
1653647266184,75.51,28.15,8.48,x
1653647266189,75.54,28.32,8.63,x
1653647266196,75.56,28.46,8.76,x
