time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1652785687178.8,-1.5,0.3,0.2,-1.4,8.1,6.4,-12,-16.8,-23.3,
1652785687195.5,-1.4,0.2,0,-1.9,8,6.1,-11.1,-19.5,-18.5,x
1652785687212.2,-1.4,0.1,-0.3,-2,7.9,6,-11.9,-14.6,-11.5,x
1652785687229.2,-0.4,-0.3,0.1,-1.3,7.5,6.3,-13.9,-11.3,-0.7,x
1652785687245.5,0.4,-0.5,0.3,-0.5,7.2,6.6,-17.2,-7.3,7.1,x
1652785687263.3,0.2,-0.3,1.5,-0.7,7.3,8.1,-14.5,-9.2,10,x
1652785687279.1,0.3,-0.3,1,-0.4,7.2,7.6,-3.7,-13.9,12.9,x
1652785687295.5,0.7,-0.2,0,0.1,7.3,6.7,5,-6.2,9.4,x
1652785687312.7,0.4,0,-0.7,0,7.5,6.2,7.4,-1.7,4.7,x
1652785687329.5,0.2,0,-0.8,-0.3,7.6,5.7,4.9,2.6,2.5,x
1652785687346.1,-0.3,0.2,-0.7,-0.8,7.8,5.8,2.3,6.7,2.6,x
1652785687362.1,-0.9,0.8,-0.6,-1.4,8.2,5.8,0,10.3,4.7,x
1652785687379.9,-1.8,1.5,-0.9,-2.5,9.2,5.8,-0.4,19.7,14.2,x
1652785687396.1,-1.7,1.5,0,-2.4,9.3,6.3,-3.9,11.4,31,x
1652785687412.2,-1.8,2.3,-1.1,-2.5,10.1,5.4,-8.6,3.7,52.7,x
1652785687430.2,-2.1,2.5,-1,-2.4,9.7,5.2,-7.1,15.7,79,x
1652785687446.7,-0.5,-0.3,-1.7,-0.9,7.5,4.5,-15.6,14.5,86.6,x
1652785687462.7,0.8,-1.2,-1.5,0.4,6.7,4.7,-36.7,6.9,76.5,x
1652785687478.9,0.9,-1.2,-0.8,0.8,6.5,5.7,-51.3,-6.4,65.2,x
1652785687495.9,1.2,-1.3,-0.2,1.2,6.2,6.1,-56.3,-23.7,58.1,x
1652785687512.3,1.2,-0.9,-0.8,1.4,6.6,5.8,-59.6,-25.2,49.1,x
1652785687528.8,-0.1,-0.5,0.5,0.5,6.8,7,-61.2,-14.3,44.6,x
1652785687546.7,0.6,0,1.2,0.8,7,7.9,-59.1,-5.1,50.4,x
1652785687562.7,1.2,-0.4,1.6,2.1,6.4,8.5,-59.4,-14,60.8,x
1652785687578.8,2.2,-1.9,1.1,3.2,4.9,8.3,-53,-24.3,59,x
1652785687596.5,2.9,-2.3,4,4.1,4.4,10.8,-48.4,-50.8,45.4,x
1652785687612.6,2.9,-2.4,1.9,4.3,4.1,8.8,-41.3,-86,28.5,x
1652785687629.3,1.7,-1.8,0,3.7,4.6,7.5,-37.4,-87.7,10.1,x
1652785687645.6,2,-1.3,0.3,4.1,4.9,7.8,-24.9,-68.4,-2.5,x
1652785687663.5,2,-1.7,0.3,4.1,4.5,7.7,-3.5,-37.9,-18.2,x
1652785687679.5,1.5,-1.2,-0.2,3.5,5.1,7.2,11.4,-18.7,-29.7,x
1652785687695.5,0.6,-0.4,-0.4,2.8,5.8,7,13.2,-14.2,-33.7,x
1652785687712.6,0.3,-0.1,-0.7,2.5,6.1,6.7,7.6,-19,-32.4,x
1652785687729.4,0.2,-0.2,-0.6,2.4,6.1,6.8,3.6,-18.3,-32.1,x
1652785687745.5,0.2,-0.1,-0.2,2.3,6.2,7.2,2.9,-10.1,-33.2,x
1652785687762.6,0,-0.2,1.2,2.1,6.1,8.4,6,-7.5,-36.4,x
1652785687780.2,0,-0.5,1.3,1.9,5.9,8.6,11.6,-14.8,-42.2,x
1652785687796.1,-0.3,-0.5,0.8,1.7,5.9,8,16.1,-21.7,-48.1,x
1652785687813.1,-0.8,-0.2,0,1.2,6.3,7.3,18.7,-20.5,-50,x
1652785687829.7,-0.8,0.2,-0.5,1,6.7,6.7,20.2,-16.8,-45.8,x
1652785687847,-0.5,0.5,-0.8,1.4,7.2,6.2,17.8,-16.3,-39.6,x
1652785687862.8,0,0.6,-1,1.8,7.3,6.1,11.3,-17.5,-35.9,x
1652785687878.8,0.4,0.3,-1.2,2.1,7,5.9,9,-14,-37.1,x
1652785687896.1,0.4,0.2,-1.1,1.9,7,5.7,12.6,2.1,-39.8,x
1652785687912.8,-0.1,0.4,-1.8,1.3,7.2,5.2,14.8,24,-39.9,x
1652785687929,-0.9,0.4,-1,0.4,7.3,5.9,15.1,47.7,-35,x
1652785687947.8,-1.3,0,-0.5,-0.2,7,6.3,12.7,52.4,-26.4,x
1652785687963.1,-1.4,-0.5,-0.1,0.1,6.8,6.9,8.6,45.3,-19.9,x
1652785687978.8,0.9,0.9,0.1,1.7,7.8,7.2,2,33.8,-19,x
1652785687996.3,-0.2,0.5,1.1,0.6,7.5,8,6.1,26.3,-18.8,x
1652785688013.9,-0.4,0.6,1.2,-0.1,7.9,8.1,9.7,15.2,-18.7,x
1652785688029.6,-0.7,0.5,1.4,0,7.5,8,9.3,-3,-11.7,x
1652785688045.6,-1.4,0.4,-0.4,-0.6,7.5,6.5,1.1,-22.5,-3.7,x
1652785688063.8,-0.8,0.9,-1.3,-0.2,7.9,5.7,-6.7,-26,9.6,x
1652785688079.8,-0.5,0.3,-1.5,0.5,7.2,5.4,-9.5,-9,17.4,x
1652785688096.4,0.3,-0.4,-1.3,1.2,6.7,5.6,-7.6,13,14.5,x
1652785688114.4,0.8,0,-0.8,1.6,7,6,-2.6,32.1,6.9,x
1652785688130.1,0.6,-0.1,-0.5,1.2,6.8,6.5,1.9,43.5,2.8,x
1652785688146.7,0.7,-0.4,1.8,1.3,6.7,8.6,3.2,26.3,0.5,x
1652785688162.5,-0.1,-0.3,0.5,0.7,6.7,7.4,-1.1,-9.9,-0.3,x
1652785688180.8,0,0.3,0.4,0.8,7.2,7.3,-7.3,-18.9,0.7,x
1652785688196.2,-0.1,0.2,0.3,0.7,7,7.3,-9.7,-19.9,3.2,x
1652785688213.6,0,-0.2,0.4,0.9,6.7,7.4,-6.6,-17.5,3.8,x
1652785688229.8,0.3,-0.1,0.2,1.1,6.9,7.2,0,-12.4,1.4,x
1652785688246.8,0.4,0,0,1.2,7,6.8,7.1,-4,-1.3,x
1652785688262.2,0.2,0,-0.5,1,7,6.4,8.2,2.2,-3.2,x
1652785688281.2,-0.2,0,-0.6,0.7,7,6.3,3.8,3.3,-2.9,x
1652785688297.3,-0.2,0.1,-0.6,0.6,7.1,6.3,-0.8,4.2,-0.4,x
1652785688312.9,-0.2,0.3,-0.3,0.6,7.3,6.8,-0.8,11.1,2.1,x
1652785688329.9,-0.3,0.3,0.4,0.5,7.3,7.4,4,16.6,4.1,x
1652785688345.7,-0.1,0.3,0.7,0.7,7.3,7.6,9.6,17.2,5.5,x
1652785688363,0,0.1,0.9,0.7,7,7.7,10.3,7.7,4.5,x
1652785688378.9,-0.2,0,0.5,0.6,7,7.2,6.1,-8.6,4.5,x
1652785688396.6,-0.3,0.1,-0.3,0.6,7.2,6.6,-1.2,-21.1,7,x
1652785688412.9,-0.3,0.1,-0.5,0.6,7.2,6.4,-1.2,-21.1,7,x
1652785688429.6,-0.4,0.2,-0.3,0.5,7.3,6.6,0.1,-9.6,11,x
1652785688446.4,-0.3,0.2,-0.3,0.7,7.3,6.6,5.4,0.3,13.1,x
1652785688462.2,-0.1,0.1,-0.1,0.9,7.2,6.7,4.8,1.2,14.6,x
1652785688480.8,0,-0.1,0,1,7,6.8,-0.7,-7.5,16.2,x
1652785688496.3,0.1,-0.1,-0.1,1.2,6.9,6.8,-6.5,-16.9,16.2,x
1652785688512.3,0.3,-0.1,-0.3,1.4,6.9,6.6,-8.7,-20,14.5,x
1652785688529.9,0.3,-0.2,-0.4,1.5,6.8,6.5,-8.6,-16.6,12.5,x
1652785688545.5,0.3,-0.2,-0.1,1.6,6.8,6.8,-7,-12.4,9.6,x
1652785688562.3,0.5,-0.1,0.1,1.8,6.8,6.9,-3.4,-7.5,5.7,x
1652785688580.2,0.4,-0.2,0.1,1.8,6.7,7,0.5,-3.3,3.2,x
1652785688597.4,0.4,-0.2,-0.2,1.8,6.7,6.7,1.4,-2.1,2,x
1652785688613.1,0.3,-0.1,0.1,1.6,6.9,7.1,0.9,0.1,2.1,x
1652785688628.9,0.2,-0.2,1,1.6,6.7,7.9,3.1,-2.9,1.8,x
1652785688646.8,0.1,-0.2,1.6,1.5,6.7,8.4,4.9,-16.9,-1.7,x
1652785688663.1,-0.1,0,1.4,1.4,7,8,6,-33.8,-4.3,x
1652785688678.9,-0.2,0.2,0.5,1.3,7.2,7.1,8,-41.7,-4.2,x
1652785688696.8,-0.4,0.2,-0.7,1.3,7.2,6.1,9,-39.6,-2.5,x
1652785688713,-0.5,0.3,-0.8,1.2,7.3,5.8,7.7,-32.2,1.3,x
1652785688729.5,-0.6,0.2,-1.2,1.2,7.2,5.5,5,-22.5,4.8,x
1652785688746.8,-0.3,0.2,-1.1,1.5,7.2,5.5,2.4,-11.6,7.2,x
1652785688763.4,-0.2,0.1,-1.1,1.7,7.1,5.7,2.4,-11.6,7.2,x
1652785688779.6,0,0,-0.6,1.8,7.1,6.1,-1.9,3.6,6.8,x
1652785688795.6,-0.1,0.1,-0.2,1.7,7.1,6.5,-2.8,5.7,6.9,x
1652785688812.2,0,0.1,0,1.8,7.1,6.7,-4,4.1,8.1,x
1652785688830.1,0,0,0.2,1.8,7,6.9,-5,1.1,8.9,x
1652785688845.9,0.1,0.1,0.2,2,7,6.8,-4,-0.3,9.5,x
1652785688862.9,0.3,-0.1,0,2.1,6.9,6.7,-3,-0.2,9,x
1652785688879.2,0.3,-0.2,0,2.2,6.7,6.7,-2.1,0.6,7.1,x
1652785688896.2,0.3,-0.1,-0.1,2.2,6.9,6.7,-1.8,0.8,5.5,x
1652785688912.9,0.3,0,0,2.2,6.9,6.7,-1.8,0.8,4.1,x
1652785688928.9,0.2,-0.1,0,2.1,6.9,6.7,-0.8,1.3,2.8,x
1652785688946.3,0.2,-0.1,-0.1,2.1,6.9,6.6,0.1,3.1,1.9,x
1652785688962.7,0.1,0,0,2,6.9,6.8,0.3,4.4,1.5,x
1652785688979.5,0,-0.1,0.2,1.9,6.8,6.9,0.7,3.4,1.6,x
1652785688996.5,0,0,0.2,1.9,6.9,6.9,0.7,3.4,1.6,x
1652785689012.8,0,0,0.1,1.9,7,6.9,1.3,0.5,0.9,x
1652785689029.9,0,0,0.1,1.9,6.9,6.8,2.5,0.4,0.4,x
1652785689046.4,0,0,0,1.9,6.9,6.6,2.5,0.4,0.4,x
1652785689062.7,-0.1,0,-0.2,1.8,7,6.4,1.6,-0.1,-0.5,x
1652785689078.8,-0.2,0.1,-0.2,1.7,7.1,6.5,0.7,1.8,0.7,x
1652785689095.5,-0.1,0.1,-0.1,1.8,7.1,6.6,0.3,3.6,1.9,x
1652785689112.3,0,0.1,0.1,1.9,7.1,6.7,-0.2,2.5,2.6,x
1652785689129.6,0,0.1,0.1,1.8,7.1,6.8,-0.7,0.5,3.6,x
1652785689146.2,-0.1,0.1,0,1.7,7.1,6.7,-1.5,-1.4,5,x
1652785689163.1,-0.2,0,0,1.7,7,6.7,-2.3,-2.5,6.4,x
1652785689180.1,-0.1,0,0,1.8,7,6.6,-2.6,-2.6,7.2,x
1652785689196.9,0,0,-0.2,1.9,6.9,6.5,-2.5,-1.4,7,x
1652785689212.6,0,0,-0.2,1.9,7,6.5,-2.9,-0.1,7.1,x
1652785689230,-0.1,0.1,-0.1,1.9,7,6.7,-2.9,-0.1,7.1,x
1652785689246.2,0,0.1,0.1,2,6.9,6.8,-3.9,-1.3,8.2,x
1652785689262.9,0.1,-0.1,0.2,2,6.8,6.9,-3.3,-2.5,8.1,x
1652785689278.9,0.1,-0.1,0.3,2.1,6.8,7.1,-4.6,-7.7,7.4,x
1652785689296.3,0.1,-0.2,0.4,2.2,6.7,7.1,-6.2,-15.9,6.2,x
1652785689312.1,0.2,-0.2,0.2,2.4,6.7,6.9,-4.9,-18.3,3.6,x
1652785689328.9,0.3,-0.2,-0.1,2.4,6.7,6.6,-1.7,-14.6,0.9,x
1652785689345.6,0.1,-0.1,-0.3,2.3,6.7,6.4,0.5,-8.7,-0.8,x
1652785689363.5,0.1,-0.1,-0.3,2.2,6.8,6.4,0.1,-4.3,-0.9,x
1652785689379.6,-0.1,0.2,-0.3,2.1,7.1,6.5,-1.1,-2,1.8,x
1652785689395.6,-0.4,0.4,0,1.8,7.2,6.7,-3.5,-1.6,6.9,x
1652785689413.5,-0.3,0.2,0.1,1.9,7.1,6.8,-4.4,-4,11,x
1652785689429.8,-0.2,0.1,0.1,2.1,6.8,6.8,-4.1,-5.2,11.1,x
1652785689445.9,0,-0.1,-0.2,2.3,6.7,6.5,-3.1,-3.7,9,x
1652785689462.1,0,-0.2,-0.3,2.3,6.6,6.4,-2.4,-0.1,7.3,x
1652785689479.7,0.1,-0.2,-0.2,2.4,6.6,6.5,-2.2,3.7,6.7,x
1652785689495.7,0.2,-0.1,-0.1,2.5,6.7,6.6,-2.2,6.3,6.3,x
1652785689512.2,0.3,-0.1,0.1,2.6,6.7,6.9,-3,6.1,5,x
1652785689529.6,0.3,-0.1,0.4,2.6,6.6,7.3,-3.7,2.6,3,x
1652785689546.3,0.3,-0.2,0.6,2.6,6.5,7.4,-0.4,-0.8,1.4,x
1652785689562.2,0.3,-0.1,0.2,2.6,6.6,7,2.2,-2.9,-0.6,x
1652785689578.9,0.2,-0.2,-0.1,2.6,6.6,6.7,2.2,-2.9,-0.6,x
1652785689596.2,0.2,-0.1,-0.3,2.6,6.7,6.5,3.8,0.5,-4.1,x
1652785689612.9,0.1,0,-0.2,2.4,6.7,6.5,4,3.4,-4.9,x
1652785689630.2,0,0,-0.3,2.3,6.7,6.5,2.9,4.9,-5.7,x
1652785689646.4,-0.1,0,-0.2,2.1,6.9,6.6,1.6,6.3,-5.5,x
1652785689663.4,-0.3,0.2,-0.1,1.9,6.9,6.7,1.8,8.5,-3.7,x
1652785689678.9,-0.4,0.2,0.2,1.8,7,6.9,2.9,10.1,-1.5,x
1652785689696.8,-0.2,0.2,0.1,1.9,7,6.8,2.9,9.1,0.3,x
1652785689712.8,-0.2,0.2,0.2,2,7,7,1.4,6.3,2,x
1652785689729.5,-0.1,0,0.2,2.1,6.8,6.9,-0.3,1.1,3.5,x
1652785689745.5,0,0,0.1,2.2,6.9,6.8,-0.3,-0.9,3.8,x
1652785689764.2,0.1,0,-0.1,2.3,6.9,6.7,0.9,0.1,3.6,x
1652785689779.9,0,-0.1,-0.1,2.2,6.7,6.6,0.6,1,3.3,x
1652785689795.5,0,0,-0.1,2.2,6.8,6.7,-0.1,1.5,3.9,x
1652785689813,0,0,0,2.4,6.7,6.7,-0.1,1.5,3.9,x
1652785689829.5,0.2,-0.1,-0.1,2.5,6.7,6.7,-0.3,2.2,3.1,x
1652785689846.2,0.1,-0.1,0,2.3,6.7,6.8,-0.2,2.9,1.7,x
1652785689862.3,0.1,-0.1,0.1,2.3,6.7,6.8,0.2,2.6,0.9,x
1652785689880.1,0,-0.1,0,2.2,6.7,6.8,0.1,1.8,0.2,x
1652785689896.2,0,-0.1,0.1,2.2,6.6,6.9,0.6,2.6,-0.2,x
1652785689912.9,0.1,-0.1,0.1,2.3,6.7,6.9,1.3,2.3,-1.4,x
1652785689930,0.1,0,0.1,2.3,6.8,6.8,1.3,0.6,-2.7,x
1652785689946.2,0.1,0.1,0.1,2.3,6.8,6.8,1.5,-0.7,-2.6,x
1652785689962.1,0,-0.1,-0.1,2.2,6.6,6.7,1.2,-1,-2.9,x
1652785689978.8,-0.1,-0.1,0.2,2.1,6.7,6.9,-0.6,-3.3,-4,x
1652785689997.5,-0.2,0.3,0.3,2.1,7,7.1,-2.5,-8.4,-3.5,x
