time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1653397286279.5,0,0,0,
1653397286296.2,85.3,21.7,17.3,x
1653397286312.9,86.6,21.7,17.5,x
1653397286329.5,87.4,21.8,17.4,x
1653397286346.2,88.8,21.8,17,x
1653397286362.9,89.5,21.9,16.8,x
1653397286379.6,91,22,16.6,x
1653397286396.1,92.6,21.9,16.3,x
1653397286412.8,94.2,21.9,16.3,x
1653397286429.5,95.9,21.9,16.4,x
1653397286446.2,96.7,21.9,16.4,x
1653397286462.9,98.4,21.7,16.4,x
1653397286479.6,100,21.4,16.1,x
1653397286496.2,100.9,21.3,15.9,x
1653397286512.9,102.6,21.2,15.1,x
1653397286529.6,104.1,21.3,14.3,x
1653397286546.1,104.9,21.4,13.9,x
1653397286562.9,106.3,21.7,13.2,x
1653397286579.5,107.6,21.9,12.6,x
1653397286596.2,108.8,21.9,12.1,x
1653397286612.8,109.4,21.9,11.8,x
1653397286629.5,110.6,21.7,11.3,x
1653397286646.2,111.8,21.5,10.9,x
1653397286663.4,113.2,21.2,10.5,x
1653397286680,113.9,21.1,10.3,x
1653397286696.6,115.5,20.9,9.5,x
1653397286712.9,117.1,20.6,8.6,x
1653397286730,117.9,20.5,8.2,x
1653397286746.6,119.6,20.2,7.5,x
1653397286762.9,121.4,19.9,6.9,x
1653397286779.9,122.4,19.8,6.5,x
1653397286796.2,124.3,19.7,5.7,x
1653397286812.9,126.4,19.8,4.8,x
1653397286829.6,127.4,20,4.4,x
1653397286846.6,129.4,20.2,3.5,x
1653397286863.3,131,20.3,2.8,x
1653397286879.5,132.4,20.2,2.4,x
1653397286897.5,133.7,19.8,2.5,x
1653397286913.1,134.3,19.6,2.6,x
1653397286929.5,135.7,19.3,2.8,x
1653397286946.2,137.1,19.2,2.7,x
1653397286963.1,137.9,19.2,2.6,x
1653397286979.8,139.2,19.3,2.3,x
1653397286996.6,140.5,19.4,2.1,x
1653397287013.1,141.2,19.4,2,x
1653397287029.5,142.5,19.4,2,x
1653397287046.2,143.9,19.4,1.9,x
1653397287062.9,144.6,19.4,2,x
1653397287079.6,146,19.5,2.1,x
1653397287096.6,147.4,19.7,2.1,x
1653397287113,149,19.9,1.9,x
1653397287130.2,149.8,20.1,1.7,x
1653397287146.1,151.5,20.5,1.2,x
1653397287162.9,153.3,20.9,0.8,x
1653397287179.6,155.2,20.9,0.6,x
1653397287196.2,156.1,20.9,0.5,x
1653397287221.4,158.5,20.4,0.7,x
1653397287229.6,159.3,20.3,1,x
1653397287246.4,160.8,19.9,1.8,x
1653397287263.2,161.6,19.8,2.2,x
1653397287280.2,163.2,19.8,2.8,x
1653397287296.3,164.8,19.9,3.1,x
1653397287312.9,165.6,20,3.2,x
1653397287329.6,167.2,20.1,3.4,x
1653397287346.2,168.9,20.3,3.5,x
1653397287362.9,169.8,20.3,3.6,x
1653397287379.5,171.5,20.5,3.5,x
1653397287399.8,173.2,20.8,3.4,x
1653397287412.9,174.8,21.1,3.2,x
1653397287429.6,175.6,21.2,3.2,x
1653397287446.2,177.1,21.5,3.2,x
1653397287462.9,178.5,21.7,3.4,x
1653397287479.7,179.1,21.7,3.5,x
1653397287496.8,180.2,21.9,3.7,x
1653397287512.9,181,22,4,x
1653397287529.7,181.5,22.1,4.1,x
1653397287546.2,182.4,22.2,4.5,x
1653397287562.8,183.3,22.3,4.9,x
1653397287579.6,184,22.5,5.5,x
1653397287597,184.6,22.5,6.2,x
1653397287613.4,184.9,22.5,6.7,x
1653397287630.2,185.7,22.4,7.5,x
1653397287646.2,186.7,22.1,8,x
1653397287662.9,187.2,22,8.2,x
1653397287679.6,188.4,21.8,8.2,x
1653397287696.2,189.5,21.7,8.1,x
1653397287712.9,189.9,21.7,7.9,x
1653397287729.5,190.5,21.7,7.5,x
1653397287746.2,191,21.6,7,x
1653397287762.9,191.4,21.4,6.3,x
1653397287779.5,191.5,21.4,6,x
1653397287796.2,191.9,21.4,5.2,x
1653397287812.9,192.4,21.6,4.5,x
1653397287829.6,192.6,21.7,4.2,x
1653397287846.2,192.8,21.8,3.7,x
1653397287862.9,192.9,21.7,3.6,x
1653397287879.6,192.8,21.2,3.9,x
1653397287896.8,192.7,21,4.3,x
1653397287913.5,193,20.6,5,x
1653397287929.7,193.4,20.5,5.3,x
1653397287946.9,194,20.6,5.3,x
1653397287963.5,194.3,20.7,5.2,x
1653397287979.6,194.8,20.8,5,x
1653397287996.8,195.5,20.9,4.8,x
1653397288012.9,195.8,21,4.7,x
1653397288029.6,196.6,21,4.6,x
1653397288046.2,197.4,21,4.5,x
1653397288062.9,198.1,20.9,4.3,x
1653397288079.5,198.4,20.9,4.3,x
1653397288096.2,198.8,20.8,4.3,x
1653397288112.9,199.3,21,4.4,x
1653397288135.7,199.8,21.2,4.5,x
1653397288152.4,200.4,21.5,4.5,x
1653397288162.8,200.7,21.5,4.5,x
1653397288179.4,201.5,21.5,4.5,x
1653397288196.1,201.9,21.5,4.4,x
1653397288212.8,202.9,21.3,4.3,x
1653397288229.6,203.8,21.1,4.3,x
1653397288246.2,204.3,21.1,4.5,x
1653397288262.9,205.3,20.9,4.9,x
1653397288279.6,206.4,20.7,5.3,x
1653397288296.2,207.5,20.5,5.4,x
1653397288318.9,208.6,20.4,5.4,x
1653397288329.6,209.2,20.4,5.3,x
1653397288346.2,210.2,20.5,5.1,x
1653397288363,210.8,20.5,5,x
1653397288379.5,211.7,20.4,5,x
1653397288396.2,212.6,20.2,5.2,x
1653397288412.9,213.6,20,5.4,x
1653397288429.5,214.2,19.9,5.5,x
1653397288446.2,215.2,19.8,5.3,x
1653397288462.9,216.2,19.8,5.1,x
1653397288479.5,216.7,19.7,5,x
1653397288496.2,217.6,19.7,4.7,x
1653397288512.9,218.6,19.8,4.4,x
1653397288529.6,219.5,19.9,4.1,x
1653397288546.1,220,20,4,x
1653397288562.8,220.9,20.2,3.9,x
1653397288579.9,221.9,20.4,3.9,x
1653397288596.1,222.5,20.5,4,x
1653397288612.9,223.7,20.8,4.1,x
1653397288629.6,225,20.9,3.9,x
1653397288647,226.3,20.8,3.4,x
1653397288663.4,226.9,20.6,3.1,x
1653397288680.1,228,20,2.4,x
1653397288696.2,229,19.3,1.8,x
1653397288712.8,229.4,18.9,1.6,x
1653397288729.5,230.1,18.3,1.3,x
1653397288746.2,230.6,18.2,1.5,x
1653397288762.8,231.1,18.6,1.9,x
1653397288779.5,231.5,18.9,2.2,x
1653397288796.3,232.4,19.7,2.8,x
1653397288812.9,233.7,20.5,3.1,x
1653397288829.5,234.4,20.8,3.2,x
1653397288846.2,235.9,21.2,3.2,x
1653397288862.9,237.4,21.2,3.1,x
1653397288879.5,239.1,20.9,2.8,x
1653397288896.1,239.9,20.6,2.6,x
1653397288912.9,241.6,20,1.9,x
1653397288929.7,243.1,19.6,1,x
1653397288946.2,243.7,19.6,0.6,x
1653397288962.8,244.8,19.9,-0.2,x
1653397288979.5,245.8,20.4,-0.7,x
1653397288996.2,246.6,20.8,-1,x
1653397289012.9,247,20.9,-1.1,x
1653397289029.5,247.8,20.8,-1.2,x
1653397289046.2,248.5,20.6,-1.2,x
1653397289077.1,249.5,20.5,-1.2,x
1653397289096.2,250.2,20.7,-1.2,x
1653397289112.8,250.8,21,-1.3,x
1653397289129.5,251,21.1,-1.4,x
1653397289146,251.5,21.3,-1.5,x
1653397289162.9,251.8,21.4,-1.6,x
1653397289179.5,252,21.5,-1.7,x
1653397289196.2,252.3,21.6,-1.9,x
1653397289212.8,252.5,21.7,-2.2,x
1653397289229.5,252.7,22,-2.5,x
1653397289246.2,252.7,22.1,-2.6,x
1653397289262.8,252.7,22.3,-2.7,x
1653397289285.8,252.6,22.6,-2.5,x
1653397289296.2,252.5,22.8,-2.5,x
1653397289312.8,252.4,22.8,-2.6,x
1653397289329.9,252.3,22.5,-3.1,x
1653397289346.1,251.9,21.9,-3.7,x
1653397289362.7,251.7,21.5,-3.9,x
1653397289379.5,251.4,20.7,-4,x
1653397289396.1,251.3,20.3,-4.1,x
1653397289412.7,251.4,20.2,-4,x
1653397289430.1,251.7,20.3,-3.8,x
1653397289446.8,252,20.7,-3.3,x
1653397289462.7,252.5,21.3,-2.7,x
1653397289479.4,252.8,21.6,-2.4,x
1653397289496,253.5,22.4,-2.1,x
1653397289512.7,254.4,23.1,-2,x
1653397289532.3,255.5,23.7,-2,x
1653397289546.8,256.1,23.9,-2,x
1653397289562.7,257.3,24.1,-2,x
1653397289580.4,258.6,24,-1.8,x
1653397289597.1,259.2,23.9,-1.7,x
1653397289612.7,260.5,23.6,-1.3,x
1653397289629.5,261.7,23.2,-0.7,x
1653397289646.1,262.3,23,-0.4,x
1653397289662.8,263.7,22.7,0.3,x
1653397289679.5,265.3,22.7,0.7,x
1653397289696.1,267,22.7,0.9,x
1653397289712.8,267.8,22.7,0.9,x
1653397289729.4,269.6,22.7,0.8,x
1653397289746.1,271.4,22.5,0.6,x
1653397289763.1,272.4,22.4,0.4,x
1653397289779.4,274.4,22.1,0.1,x
1653397289796.1,276.5,21.8,-0.1,x
1653397289812.7,278.7,21.5,-0.3,x
1653397289829.5,279.8,21.4,-0.4,x
1653397289846.1,282,21.1,-0.3,x
1653397289862.9,284.3,21,-0.3,x
1653397289879.4,286.5,20.9,-0.2,x
1653397289896.1,287.5,20.8,-0.1,x
1653397289912.7,289.6,20.7,-0.1,x
1653397289929.5,291.6,20.5,-0.1,x
1653397289946.1,292.5,20.4,-0.2,x
1653397289962.7,294.2,20.2,-0.3,x
1653397289979.4,295.8,20,-0.4,x
1653397289996.2,296.5,20,-0.4,x
1653397290012.7,297.9,19.9,-0.3,x
1653397290029.4,299.3,19.9,-0.3,x
1653397290046.6,300.7,20,-0.1,x
1653397290063.4,301.4,20,0.1,x
1653397290079.4,302.7,20.2,0.6,x
1653397290096.1,304.2,20,1.2,x
1653397290112.7,305.7,19.5,1.9,x
1653397290129.4,306.4,19,2.2,x
1653397290146.6,307.9,18.2,2.8,x
1653397290162.7,309.3,17.6,3.3,x
1653397290179.4,310,17.6,3.5,x
1653397290196.1,311.2,18,3.8,x
1653397290212.8,312.4,19,3.9,x
1653397290229.5,313.7,20.1,3.9,x
1653397290246.1,314.4,20.6,3.8,x
1653397290267.3,315.9,21.2,3.6,x
1653397290279.4,317.5,21.2,3.5,x
1653397290296,318.3,21.1,3.3,x
1653397290312.8,320,20.7,3,x
1653397290329.4,321.7,20.3,2.8,x
1653397290346,322.5,20.2,2.7,x
1653397290362.7,324,20,2.6,x
1653397290379.4,325.4,19.9,2.8,x
1653397290396,326.6,19.9,3.1,x
1653397290412.7,327.2,19.9,3.2,x
1653397290429.4,328.2,19.9,3.3,x
1653397290446.4,329.2,19.9,3.2,x
1653397290463.4,330.3,19.9,2.9,x
1653397290479.4,330.8,20,2.8,x
1653397290496,331.8,20.1,2.4,x
1653397290512.7,332.8,20.3,2.1,x
1653397290529.3,333.3,20.3,2,x
1653397290546,334.3,20.4,1.7,x
1653397290562.6,335.1,20.4,1.4,x
1653397290579.4,335.8,20.6,1.1,x
1653397290596.1,336.2,20.6,1,x
1653397290612.8,336.7,20.7,0.5,x
1653397290629.4,337,20.8,0.1,x
1653397290647,337.2,20.9,0,x
1653397290662.7,337.4,21,-0.2,x
1653397290679.4,337.6,21,-0.3,x
1653397290697,337.7,20.7,-0.7,x
1653397290713.3,337.8,20.4,-1.1,x
1653397290730.2,337.7,19.6,-1.9,x
1653397290746.1,337.4,18.7,-2.5,x
1653397290762.7,337,17.8,-2.6,x
1653397290779.3,336.8,17.5,-2.6,x
1653397290796,336.6,17,-2.5,x
1653397290812.7,336.6,17,-2.6,x
1653397290829.4,336.8,17.3,-2.7,x
1653397290846.1,337.1,18,-2.8,x
