time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1653401586836,-1.29,-2.8,0.51,-2.7,4.2,4.71,-115.88,-102.26,-0.52,x
1653401586948,0.27,-0.17,-0.41,-0.34,6.85,6.46,,,,x
1653401587045,0.3,-0.64,-1.16,-0.58,7.27,5.69,-29.36,-9.82,-7.98,x
1653401587047,-0.21,-0.16,-0.69,-0.66,7.33,5.83,-29.57,-9.47,-7.94,x
1653401587056,-0.32,-0.14,-0.11,-0.76,7.3,6.27,-31.35,-7.93,-6.61,x
1653401587067,-0.15,-0.47,0.37,-0.63,6.89,6.83,-31.14,-7.69,-6.54,x
1653401587076,0.12,-0.47,0.48,-0.33,6.8,7.04,-28.66,-7.86,-6.93,x
1653401587087,0.17,-0.5,0.51,-0.25,6.68,7.18,-24.32,-6.29,-7.21,x
1653401587096,0.01,-0.38,0.59,-0.4,6.7,7.36,-17.6,-2.44,-8.36,x
1653401587106,-0.33,-0.15,0.58,-0.73,6.83,7.43,-11.61,-1.56,-9.03,x
1653401587117,-0.62,0.02,0.51,-1.2,6.98,7.4,-7.66,-3.07,-9.31,x
1653401587127,-1.07,0.19,0.7,-1.84,7.09,7.62,-2.02,-8.6,-7.73,x
1653401587136,-1.33,0.3,1.1,-2.3,7.15,8,3.89,-10.98,-0.87,x
1653401587147,-0.97,0.24,1.03,-2.13,6.97,8.06,8.16,-10.42,8.26,x
1653401587157,-0.29,0.02,0.73,-1.49,6.69,7.82,9,-11.08,12.32,x
1653401587166,0.45,0.02,0.17,-0.69,6.67,7.29,7.88,-9.37,14.7,x
1653401587176,0.83,0.2,-0.21,-0.18,6.88,6.9,4.77,-7.58,13.06,x
1653401587186,0.91,0.26,-0.35,0.06,7.01,6.71,0.53,-6.88,9.31,x
1653401587196,0.86,0.21,-0.46,0.17,7.04,6.55,-4.37,-6.99,3.43,x
1653401587207,0.68,0.09,-0.38,0.12,6.96,6.59,-9.34,-5.73,-1.99,x
1653401587216,0.42,-0.07,-0.17,-0.07,6.81,6.8,-12.1,-4.19,-6.09,x
1653401587227,0.08,-0.25,0.02,-0.39,6.61,7.01,-12.59,-3.49,-8.36,x
1653401587236,-0.11,-0.36,0.01,-0.61,6.46,7.03,-11.16,-3.28,-8.57,x
1653401587246,-0.35,-0.49,-0.01,-0.91,6.29,7.05,-9.09,-4.19,-7.84,x
