time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1664285212583.4,0.5,0.4,-0.3,0.1,5.2,8.3,-3.1,0.1,0.3,x
1664285212601.6,0.4,0.4,-0.3,0.1,5.3,8.2,-1.4,0.1,-0.8,x
1664285212616.9,0.2,0.4,-0.4,0,5.4,8.1,-0.3,0.5,-1.8,x
1664285212633.3,-0.2,0.2,-0.2,-0.4,5.4,8.1,-1.3,5.3,0.4,x
1664285212654,0,0.2,0.2,-0.2,5.5,8.5,-3.4,6.9,4.2,x
1664285212668.5,0.2,0.2,0.4,0,5.4,8.7,-2.3,7.6,4.9,x
1664285212683.1,0.3,0.2,0.4,0.1,5.4,8.7,3.1,7.4,3.6,x
1664285212699.9,0.2,0.2,0.2,0.1,5.4,8.5,5.8,6.5,2.3,x
1664285212716.6,0.1,0.3,-0.2,0.1,5.6,8.1,7,6.5,0.1,x
1664285212733.3,-0.1,0.3,0,-0.1,5.7,8.2,2.7,7.5,-0.2,x
1664285212750.8,-0.2,0.3,0.1,-0.2,5.7,8.3,-0.8,6.4,1,x
1664285212766.6,0,0.3,0.2,-0.1,5.8,8.4,-2.2,0.7,3.2,x
1664285212783.3,0.2,0.4,0.1,0.1,5.8,8.3,-2.3,-2.5,4,x
1664285212801,0.6,0.3,0.1,0.7,5.8,8.2,-4.5,-5.7,3.6,x
1664285212816.7,0.7,0.3,0.4,0.9,5.8,8.5,-5.5,-6.7,0.2,x
1664285212833.4,0.5,0.2,1.4,1,5.7,9.5,-7.1,-0.8,-3.3,x
1664285212850.5,0.4,0.4,2.1,0.9,5.8,10.2,-4.4,6.4,-6.6,x
1664285212866.6,-0.3,0.8,2.1,0.3,6,10.3,6.1,7.4,-13.5,x
1664285212883.3,-1.4,0,1.8,-1.7,4.3,9.9,6.2,8.7,-13.8,x
1664285212931.4,0.2,-1,3.6,-0.4,3,12.5,-21.1,-18.5,3.9,x
1664285212933.7,0.2,-1,3.6,-0.4,3,12.5,-21.1,-18.5,3.9,x
1664285212949.8,1.1,-0.1,2.8,0.6,3.3,12,12.8,-27.2,-6.5,x
1664285212966.5,0.1,0.2,1.9,-0.1,3.5,11.2,22.9,-0.9,-16.6,x
1664285212983.2,-1.1,0.2,2.2,-1.4,3.4,11.5,22.6,22.9,-14.1,x
1664285212999.9,-1.1,0.3,2.2,-1.5,3.4,11.5,22.8,28.6,-7.7,x
1664285213016.6,-0.8,0.2,1.8,-1.4,3.2,11.1,22.4,26.7,3.1,x
1664285213033.3,-0.4,0.3,1,-1.2,3.2,10.3,18.9,5.3,6.4,x
1664285213049.8,-0.4,0.3,1,-1,3.2,10,16.3,-0.7,7.6,x
1664285213067,0.3,0.2,0.2,-0.6,3.1,9.5,11.7,0.2,12.1,x
1664285213083.3,0.5,0,0,-0.2,2.9,9,11.3,3.5,13.6,x
1664285213102.8,0.6,-0.1,-0.6,-0.1,2.8,8.7,13.8,7.3,13.3,x
1664285213116.7,0.6,0,-1.5,0.1,2.9,7.9,15.7,5,10.7,x
1664285213133.2,0.7,-0.1,-2,0.3,3.1,7.3,15.2,-2.4,7.5,x
1664285213150.3,0.7,-0.1,-2.3,0.4,3.1,7,16.5,-3.7,5.8,x
1664285213166.7,0.4,-0.2,-2.8,0.4,3.3,6.4,20.4,-1,1.5,x
1664285213183.3,0,-0.2,-3,-0.3,3.4,5.9,19.9,13,-0.4,x
1664285213200.9,-0.7,-0.2,-2.9,-0.7,3.5,6.1,11.1,22.4,0.4,x
1664285213216.6,-1,0.1,-1.5,-1,3.9,7.6,-9.2,28.7,5.8,x
1664285213233.2,-0.6,0,-0.4,-0.7,3.7,8.6,-17.4,9.1,11.6,x
1664285213250.6,-0.6,0,-0.4,-0.4,3.8,8.9,-15.5,0,9.2,x
1664285213266.9,-0.1,0.2,-0.3,-0.2,3.9,8.8,-5.5,-9.7,0.7,x
1664285213283.3,-0.4,0.4,-1.1,-0.5,4,8,0.9,-7.9,-3.4,x
1664285213300.2,-0.4,0.5,-1.4,-0.5,4.1,7.7,0.4,-5.9,-3.8,x
1664285213316.6,-0.5,0.7,-1.7,-0.5,4.4,7.4,-2.6,-6.6,-5,x
1664285213333.2,-0.6,0.8,-1.8,-0.6,4.5,7.3,-4.9,-9.3,-6.2,x
1664285213355,-0.5,1.2,-2.1,-0.5,4.8,7,-7.2,-16.6,-5.3,x
1664285213367.6,-0.5,1.2,-2.1,-0.4,4.8,6.9,-7.2,-16.6,-5.3,x
1664285213385.8,-0.1,1.4,-2.2,0,5.1,6.9,-5.9,-20.5,-8.1,x
1664285213399.7,-0.1,1.5,-2.3,0,5.1,6.8,-4,-19,-11.1,x
1664285213416.3,-0.5,1.7,-2.4,-0.4,5.3,6.7,-0.1,-10.8,-18.5,x
1664285213432.9,-1.4,1.9,-2.2,-1.3,5.5,6.9,0.2,1.1,-20.2,x
1664285213449.6,-1.7,1.9,-1.8,-1.6,5.5,7.3,-3.4,5.4,-17.3,x
1664285213466.4,-1.5,2.1,-0.7,-1.5,5.7,8.4,-10,6.2,-11.5,x
1664285213483.1,-1.3,2,0,-1.3,5.6,9.1,-8.3,-1.3,-9.4,x
1664285213500.9,-1.2,2,0.2,-1.2,5.6,9.3,-6.5,-5.8,-9,x
1664285213516.5,-0.8,1.9,0.5,-0.7,5.4,9.6,-3.8,-10.9,-7,x
1664285213555.5,0.3,2.4,1.2,0.4,5.9,10.3,4.4,-24.5,-11.8,x
1664285213566.6,0.3,2.4,1.2,0.4,5.9,10.3,4.4,-24.5,-11.8,x
