time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1652785687167,95.7,51.7,-7.6,x
1652785687183.1,89,51.6,0.4,x
1652785687199.6,84.6,51.6,5.2,x
1652785687213.5,82.9,51.6,7,x
1652785687230,81.8,51,8.2,x
1652785687246.8,82.5,50.2,7.4,x
1652785687263.4,83.1,49.5,6.9,x
1652785687280.1,84,48.4,6,x
1652785687296.8,84.7,48.4,5,x
1652785687313.5,85.2,48.7,4.4,x
1652785687330.1,85.2,49,4.3,x
1652785687346.7,85,49.4,4.6,x
1652785687363.4,84.5,49.8,5.4,x
1652785687380.2,84.1,50.1,6.1,x
1652785687396.7,84,50.5,6.7,x
1652785687413.4,84.6,51.2,6.6,x
1652785687430.4,86,51.9,6,x
1652785687447.1,87.2,52,5.2,x
1652785687463.7,89.9,51.5,3.2,x
1652785687480.1,92.6,50.5,0.9,x
1652785687496.9,93.8,49.8,-0.3,x
1652785687513.4,95.6,48.6,-2.4,x
1652785687530.1,96.9,47.3,-3.7,x
1652785687547,98.3,45.8,-4.9,x
1652785687563.7,99.3,45,-5.8,x
1652785687580.3,101.4,43.3,-7.9,x
1652785687596.9,103.3,41.3,-10.5,x
1652785687613.4,104,40.4,-11.9,x
1652785687630.1,104.5,39.2,-14.2,x
1652785687646.8,104.5,38.6,-15.7,x
1652785687663.7,104.3,38.4,-16.1,x
1652785687680.1,103.9,38.5,-16.5,x
1652785687696.8,103.4,38.8,-16.6,x
1652785687713.4,102.8,39.2,-16.7,x
1652785687730.3,102.4,39.3,-16.7,x
1652785687747.2,101.6,39.6,-16.4,x
1652785687763.4,100.8,39.8,-16,x
1652785687780.4,100.3,39.9,-15.8,x
1652785687796.7,99.3,40.3,-15.4,x
1652785687813.4,98.1,40.8,-15,x
1652785687830.1,96.9,41.5,-14.5,x
1652785687847.3,96.5,41.9,-14.3,x
1652785687863.3,95.6,42.4,-14.1,x
1652785687880.1,94.7,42.9,-13.8,x
1652785687896.9,94.2,43.2,-13.5,x
