time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1664285212158.6,14.9,28.1,0.8,
1664285212176.9,16.9,28.1,0.8,x
1664285212209.6,17.5,28.6,1.5,x
1664285212222.1,17.4,28.7,1.9,x
1664285212238.9,17.3,28.8,2,x
1664285212255.4,17.2,28.9,2.2,x
1664285212272.2,17.2,29,2.4,x
1664285212305.4,17.3,29.1,2.5,x
1664285212322.1,17.4,29.1,2.6,x
1664285212355.5,17.3,29.2,2.6,x
1664285212372.1,17.1,29.2,2.7,x
1664285212405.4,16.9,29.2,2.7,x
1664285212422.1,16.8,29.2,2.7,x
1664285212438.7,16.7,29.2,2.7,x
1664285212472.1,16.5,29.2,2.7,x
1664285212505.5,16.3,29.2,2.7,x
1664285212522.8,16.2,29.2,2.7,x
1664285212589.1,16.4,29.6,2.3,x
1664285212605.9,16.9,30.6,1.4,x
1664285212640,16.9,31.9,1.3,x
1664285212656.2,16.8,32.4,1.6,x
1664285212672.3,17.1,32.4,1.4,x
1664285212689.8,17.4,32.3,1.1,x
1664285212705.6,17.8,32.2,0.5,x
1664285212722.5,17.9,32.5,0.3,x
1664285212739.3,18,33.1,0.2,x
1664285212755.8,18,33.5,0.6,x
1664285212772.5,17.9,33.6,0.7,x
1664285212789.9,18.1,34,0.4,x
1664285212805.9,18.8,34.4,-0.8,x
1664285212822.5,19.3,34.5,-1.6,x
1664285212841.3,20,34.2,-3.1,x
1664285212856,20.3,32.9,-3.8,x
1664285212872.5,20.3,32.5,-3.8,x
1664285212890,19.2,31.3,-2,x
1664285212932.6,16.5,23.9,3.9,x
1664285212939.1,16.6,22.1,3.5,x
1664285212955.6,17,19.9,1.7,x
1664285212972.3,16.9,19.1,0.9,x
1664285212989.9,16.6,18.7,1.5,x
1664285213005.9,16,18,3.2,x
1664285213022.5,15.9,17.7,3.9,x
1664285213039.5,15.8,17.2,4.8,x
1664285213055.7,15.8,17.3,5.2,x
1664285213072.9,16,17.4,4.9,x
1664285213089.5,16.3,17.4,4.5,x
1664285213115,17.2,17.8,3.1,x
1664285213122.7,17.4,18.1,2.6,x
1664285213139.5,17.7,18.6,2.1,x
1664285213156.4,18,19.4,1.4,x
1664285213172.6,18,19.6,1.4,x
1664285213189.1,18,20,1.4,x
1664285213205.8,18,20.3,1.8,x
1664285213222.9,18,20.3,2,x
1664285213239,18.2,20,2.5,x
1664285213255.8,18.4,19.7,2.5,x
1664285213272.6,18.5,19.6,2.4,x
1664285213289.3,18.5,19.6,2.2,x
1664285213305.9,18.4,19.6,2.1,x
1664285213339.2,18.3,19.5,1.9,x
1664285213355.8,18.1,19.4,1.7,x
1664285213372.4,18.1,19.3,1.6,x
1664285213389.6,18,19.2,1.2,x
1664285213406.7,17.7,19.1,0.9,x
1664285213422.4,17.4,19.1,0.8,x
1664285213438.7,17.2,19.2,0.8,x
1664285213455.7,16.8,19.1,1,x
1664285213472.4,16.5,19,1.2,x
1664285213505.7,16.2,18.8,1.3,x
1664285213554.8,15.8,18.7,0.8,x
1664285213588.9,15.3,18.8,0.3,x
1664285213605.7,15.1,18.5,0.6,x
1664285213622.5,15,18.2,0.9,x
1664285213639,15,17.9,1.2,x
1664285213655.7,14.9,18.2,0.9,x
1664285213673.5,14.7,18.6,0.9,x
1664285213689.5,14.5,18.7,1,x
1664285213705.8,14.5,18.6,1.5,x
1664285213722.5,14.6,18.5,1.8,x
1664285213739.9,14.8,18.2,2,x
1664285213755.8,14.9,18,1.9,x
1664285213772.6,14.9,18.1,1.7,x
1664285213789.8,14.8,18.2,1.6,x
1664285213805.7,14.7,18.4,1.6,x
1664285213839.8,14.7,18.7,1.4,x
1664285213855.8,14.8,18.9,1.2,x
1664285213905.4,14.8,19.2,0.8,x
1664285213922.3,14.7,19.4,0.7,x
1664285213955.5,14.6,19.9,0.5,x
1664285213972.1,14.5,20.2,0.4,x
1664285214005.8,14.5,20.4,0.4,x
1664285214055.9,14.5,20.8,0.3,x
1664285214072.5,14.5,20.9,0.3,x
1664285214088.9,14.5,21.3,0.3,x
1664285214106.4,14.6,21.5,0.4,x
1664285214122.5,14.7,21.6,0.4,x
1664285214139.1,15,21.7,0.2,x
1664285214155.6,15.3,21.8,-0.1,x
1664285214172.3,15.6,21.8,-0.3,x
1664285214205.5,15.8,21.7,-0.3,x
1664285214222.2,15.9,21.6,-0.1,x
1664285214238.8,15.9,21.7,0,x
1664285214274.5,15.8,21.7,0.2,x
1664285214288.9,15.9,21.5,0.3,x
1664285214305.8,16.5,20.7,0,x
1664285214323.7,17,20.3,-0.8,x
1664285214338.9,17.2,20.2,-1,x
1664285214373.2,17.3,20.4,-0.8,x
1664285214389.2,17.4,20.6,-0.3,x
1664285214405.8,17.5,20.6,-0.2,x
1664285214422.4,17.8,20.7,-0.4,x
1664285214440.4,18,20.7,-0.6,x
1664285214455.9,18.3,20.6,-0.8,x
1664285214497.7,18.8,20.4,-0.8,x
1664285214525.2,19,20.5,-0.9,x
1664285214538.8,19.2,20.7,-1.2,x
1664285214555.5,19.3,21,-1.5,x
1664285214572.7,19.5,21.3,-1.7,x
1664285214588.9,19.6,21.4,-1.8,x
1664285214605.9,20,21.5,-1.9,x
1664285214625,20.3,21.5,-2.1,x
1664285214639.6,20.4,21.6,-2.2,x
1664285214655.6,20.5,22,-2.5,x
1664285214693.1,20.7,22.7,-2.8,x
1664285214705.6,20.9,22.8,-2.8,x
1664285214722.3,21.3,23,-2.9,x
1664285214739.3,21.4,23.2,-2.9,x
1664285214755.9,21.6,23.5,-2.8,x
1664285214773.5,21.8,23.7,-3,x
1664285214803.9,22.2,23.7,-3.3,x
1664285214822.3,22.4,23.6,-3.5,x
1664285214839.4,22.5,23.7,-3.7,x
1664285214857.1,22.7,23.8,-4,x
1664285214872.5,22.8,24,-4.4,x
1664285214889.2,22.9,24.2,-4.6,x
1664285214905.7,22.6,24.6,-5,x
1664285214922.3,22.1,24.9,-5.1,x
1664285214953.7,22.2,24.7,-4.7,x
1664285214973.3,23.3,24.6,-4.9,x
1664285214988.9,23.7,24.5,-5.1,x
1664285215005.6,24.1,24.5,-5.5,x
1664285215022.9,23.9,24.3,-5.6,x
1664285215039.2,23.7,24.3,-5.5,x
1664285215056.2,23.4,24.4,-4.9,x
1664285215072.6,22.9,24.5,-4,x
1664285215089.3,22.7,24.5,-3.4,x
1664285215105.8,22.3,24.3,-2.3,x
1664285215122.5,22.2,24.1,-1.9,x
1664285215139.3,22,23.8,-1.3,x
1664285215156.2,21.9,23.5,-1.1,x
1664285215172.9,21.9,23.5,-1.2,x
1664285215189.2,21.8,23.4,-1.1,x
1664285215206.3,21.6,23.4,-0.9,x
1664285215222.5,21.5,23.4,-0.8,x
1664285215249.5,21.3,23.5,-0.3,x
1664285215255.7,21.2,23.6,-0.2,x
1664285215272.4,21.1,23.9,-0.1,x
1664285215305.7,21.2,24,-0.1,x
1664285215355.9,21.3,24.1,-0.2,x
1664285215372.6,21.3,24.1,-0.3,x
1664285215439.9,22.1,23.8,-0.8,x
1664285215455.6,22.1,23.9,-0.7,x
1664285215472.3,22.2,24.1,-0.5,x
1664285215505.6,22.4,24.2,-0.4,x
1664285215524.8,22.6,24.2,-0.4,x
1664285215538.8,22.9,24.3,-0.2,x
1664285215555.6,23,24.5,0.1,x
1664285215576.5,23,24.6,0.5,x
1664285215588.7,22.9,24.7,0.7,x
1664285215605.4,23,24.5,1,x
1664285215622.3,23.2,24.1,1.1,x
1664285215639.5,23.3,23.9,1,x
1664285215655.6,23.7,23.7,0.8,x
1664285215673,24.1,23.5,0.8,x
1664285215689,24.3,23.4,0.9,x
1664285215705.8,24.9,22.8,1.5,x
1664285215725.1,25.2,22.5,1.8,x
1664285215743.4,25.6,22.2,2.1,x
1664285215789.3,27.3,22,1.9,x
1664285215805.8,27.8,21.9,1.7,x
1664285215822.4,28.3,21.8,1.6,x
1664285215838.9,28.5,21.8,1.6,x
1664285215855.8,28.8,21.9,1.7,x
1664285215872.5,28.9,21.9,1.7,x
1664285215889.9,29.1,22.2,1.8,x
1664285215906,29.2,22.5,1.9,x
1664285215922.4,29.2,22.7,1.9,x
1664285215939.9,29.4,22.9,2,x
1664285215956.2,29.6,23.1,2,x
1664285215972.5,29.7,23.2,1.9,x
1664285215989.7,29.9,23.3,1.8,x
1664285216006,30,23.5,1.7,x
1664285216022.4,30,23.5,1.6,x
1664285216039.4,30.1,23.6,1.5,x
1664285216073.3,30.2,23.6,1.3,x
1664285216089.6,30.1,23.6,1.2,x
1664285216105.7,29.9,23.7,1.2,x
1664285216122.4,29.7,23.9,1.1,x
1664285216139,29.5,24,1,x
1664285216155.6,29.2,24.3,0.9,x
1664285216173.9,29,24.3,0.8,x
1664285216205.8,28.8,24.2,0.6,x
1664285216222.4,28.4,24.3,0.4,x
1664285216238.9,28.1,24.3,0.2,x
1664285216255.7,27.5,24.1,0.1,x
1664285216272.4,27.1,23.5,0.3,x
1664285216289.1,26.9,23.3,0.5,x
1664285216305.7,26.5,23.4,0.7,x
1664285216322.4,26.2,23.5,0.8,x
1664285216339.1,25.7,23.6,1.4,x
1664285216407.3,24.6,22.6,3.4,x
1664285216422.2,24.3,22.6,3.2,x
1664285216439,24.1,22.6,3.1,x
1664285216456.7,23.8,22.5,3,x
1664285216472.5,23.6,22.5,3,x
1664285216489.1,23.4,22.6,3,x
1664285216505.8,23.2,22.7,2.9,x
1664285216522.6,23.1,22.7,2.9,x
1664285216542.1,22.9,22.8,2.9,x
1664285216555.9,22.8,22.9,2.9,x
1664285216573,22.7,23,2.8,x
1664285216589.1,22.7,23.1,2.8,x
1664285216605.7,22.7,23.2,2.7,x
1664285216639.2,22.7,23.3,2.6,x
1664285216656,22.8,23.4,2.5,x
1664285216672.6,22.9,23.4,2.4,x
1664285216690.6,23,23.6,2.1,x
1664285216705.8,23,23.7,2,x
1664285216722.5,23.2,23.9,1.8,x
1664285216770.9,23.4,24.1,1.6,x
1664285216788.8,24,24.2,1.6,x
1664285216805.9,24.3,24,1.8,x
1664285216822.5,24.3,23.9,1.9,x
1664285216872.5,24,24.2,2.1,x
1664285216888.9,23.8,24.3,2.3,x
1664285216908.4,23.6,24.5,2.8,x
1664285216922.3,23.5,24.5,3.2,x
1664285216939.1,23.8,24,3.7,x
1664285216956,24.1,23.3,3.5,x
1664285216973,24.2,23,2.8,x
1664285216989.3,24.2,23,2.7,x
1664285217005.6,24.1,23.1,2.7,x
1664285217022.5,24.1,23.1,2.9,x
1664285217039.5,24.3,23,3.2,x
1664285217056,24.5,22.8,3.1,x
1664285217072.4,24.6,22.8,2.7,x
1664285217088.9,24.7,22.8,2.5,x
1664285217105.8,24.8,22.8,2,x
1664285217122.5,25.1,22.8,1.7,x
1664285217139.2,25.2,22.7,1.6,x
1664285217155.9,25.2,22.6,1.3,x
1664285217172.5,25.1,22.6,1.2,x
1664285217189.2,25,22.7,0.9,x
1664285217206,24.8,22.9,0.7,x
1664285217222.4,24.6,23,0.5,x
1664285217239.2,24.5,23.1,0.5,x
1664285217255.7,24.3,23.3,0.4,x
1664285217272.4,24,23.4,0.4,x
1664285217305.7,23.8,23.5,0.2,x
1664285217381.3,22.7,23.6,0,x
1664285217388.8,22.5,23.7,-0.1,x
1664285217408.8,22,23.8,-0.1,x
1664285217422.2,21.5,23.9,-0.2,x
1664285217438.9,21.2,24,-0.2,x
1664285217455.6,20.6,24.1,-0.2,x
1664285217472.5,20,24.1,-0.2,x
1664285217489.3,19.7,24.1,-0.2,x
1664285217505.7,19,24.2,-0.1,x
1664285217522.5,18.7,24.3,-0.1,x
1664285217547.2,17.5,24.7,-0.3,x
1664285217555.6,17.1,24.8,-0.4,x
1664285217572.8,16.1,24.7,-0.4,x
1664285217589.9,15.8,24.5,-0.2,x
1664285217609.7,15.1,24.1,0.2,x
1664285217622.3,14.3,24,0.6,x
1664285217638.8,13.9,24.2,0.6,x
1664285217655.7,12.9,24.5,0.8,x
1664285217672.9,12,24.5,1.1,x
1664285217689.7,11.7,24.3,1.4,x
1664285217705.7,11,23.9,1.8,x
1664285217722.3,10.4,23.6,2,x
1664285217738.9,10,23.5,2,x
1664285217755.7,9.6,23.5,1.9,x
1664285217781.3,8.3,23.4,1.9,x
1664285217788.7,7.9,23.3,1.9,x
1664285217805.7,7.2,23.3,1.8,x
1664285217822.4,6.8,23.2,1.7,x
1664285217838.8,6.1,23.2,1.6,x
1664285217855.7,5.2,23.2,1.6,x
1664285217872.8,4.3,23.2,1.7,x
1664285217891.7,3.9,23.2,1.7,x
1664285217905.5,3,23.3,1.7,x
1664285217922.3,2.6,23.4,1.7,x
1664285217938.8,1.8,23.5,1.5,x
1664285217955.6,1,23.6,1.5,x
1664285217972.5,0.6,23.5,1.5,x
1664285217988.8,359.9,23.5,1.7,x
