time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1655202389036.4,12.8,17.7,1.8,x
1655202389069.8,13.3,18.9,-0.7,x
1655202389086.9,13.2,19.6,-2.7,x
1655202389103.2,12.9,19.9,-3.3,x
1655202389120.1,12.1,20.7,-3.7,x
1655202389136.9,11,21.5,-3.6,x
1655202389153.9,10.4,22.1,-3.5,x
1655202389170.6,9.1,23.3,-3,x
1655202389186.7,7.9,24.5,-2.6,x
1655202389203.5,7.3,25.1,-2.5,x
1655202389220.3,6.3,26.3,-2.3,x
1655202389236.9,5.4,27.1,-2.4,x
1655202389253.5,5,27.2,-2.4,x
1655202389270,3.9,27.3,-1.9,x
1655202389290.3,3.3,27.2,-1.5,x
1655202389403.3,1.5,23,-8.4,x
1655202389420,360,23.3,-7.4,x
1655202389437,358.3,24.9,-6.3,x
1655202389454.6,357.5,26.1,-5.9,x
1655202389470.3,355.9,29.1,-5.6,x
1655202389486.9,355,32,-7,x
1655202389503.4,354.9,32.9,-8.1,x
1655202389520.4,354.7,32.8,-10.4,x
1655202389536.9,354.1,30.7,-11.4,x
1655202389553.5,353.7,29.3,-11.9,x
1655202389570,353.2,26.7,-13.3,x
1655202389586.7,352.5,24.5,-15.1,x
1655202389603.7,351.9,23.6,-16,x
1655202389620,350.3,21.3,-17,x
1655202389637.3,348,18.5,-16.8,x
1655202389653.6,346.7,17.1,-16.2,x
1655202389670.3,344.1,15,-15.2,x
1655202389686.7,341.5,14.1,-14.8,x
1655202389703.5,340.1,14.2,-14.8,x
1655202389720.3,337.3,15,-14.6,x
1655202389737.5,334.4,15.7,-14.2,x
1655202389753.7,333,15.8,-14,x
1655202389770.8,330.6,15.4,-14.3,x
1655202389786.8,328.3,14.8,-15,x
1655202389803.4,327,14.6,-15,x
1655202389819.9,324.2,14.3,-14.6,x
1655202389836.9,321.5,14.4,-13.9,x
1655202389853.6,320.1,14.6,-13.5,x
1655202389870.3,317.3,14.9,-12.4,x
1655202389887,314.5,15.2,-11.2,x
1655202389903.4,313.1,15.5,-10.6,x
1655202389920.4,310.4,16.1,-9.1,x
1655202389937.4,307.8,17.1,-8.2,x
1655202389954,306.6,17.7,-7.9,x
1655202389970.3,304.5,18.6,-7.7,x
1655202389986.9,302.6,19.3,-8.3,x
1655202390003.4,301.7,19.7,-8.7,x
1655202390034.1,299,20.7,-9.5,x
1655202390186.5,286.8,22.3,-8.7,x
1655202390269.7,277.3,22.7,-9.9,x
1655202390286.6,275.4,23.9,-10.1,x
1655202390303.7,274.5,24.5,-10.1,x
1655202390320.1,272.7,25.5,-10.4,x
1655202390337.9,271,26.2,-10.8,x
1655202390354,270.1,26.5,-11.1,x
1655202390370,268.5,27,-11.6,x
1655202390387.6,266.7,27.5,-12.1,x
