time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1666170561162.1,0,0,0,x
1666170561179.1,59.5,67.4,32.9,x
1666170561195.5,56.9,68.8,35.4,x
1666170561212.1,52,71,39.8,x
1666170561228.8,49.3,72.6,41.7,x
1666170561245.6,50.2,73.3,40.1,x
1666170561262.1,52,73.4,38,x
1666170561278.8,56.6,73,32.3,x
1666170561295.8,59.1,72.7,29,x
1666170561312.2,63.8,71.8,22.2,x
1666170561328.8,68.5,69.9,16.3,x
1666170561345.9,70.6,68.7,14.2,x
1666170561362.3,72,67.8,13.1,x
1666170561378.8,71.3,66.9,14.8,x
1666170561395.8,70.1,67.4,16.9,x
1666170561412.1,69.9,67.8,17.6,x
1666170561429,69.8,68.3,18.1,x
1666170561445.6,71.4,69.3,17.6,x
1666170561462.1,72.3,69.5,17,x
1666170561496.5,74.6,69.6,14.8,x
1666170561512.1,75.2,69.5,14,x
1666170561528.8,75.1,69.4,13.8,x
1666170561545.5,75,69.3,14,x
1666170561562.1,74.3,69.1,14.6,x
1666170561578.8,73.9,68.9,15.2,x
1666170561596.1,72.5,68.6,16.7,x
1666170561612.7,72.1,68.5,17.2,x
1666170561628.7,71.9,68.5,17.5,x
1666170561645.6,71.6,68.8,17.9,x
1666170561679.2,71.9,69,17.8,x
1666170561700,72.2,69.1,17.6,x
1666170561712.1,73.1,69.5,17.1,x
1666170561728.8,73.7,69.6,16.6,x
1666170561745.5,74,69.6,16.4,x
1666170561762.1,74.3,69.6,16.1,x
1666170561778.8,74.2,69.4,16.1,x
1666170561812.1,74.1,69.1,16.2,x
1666170561828.8,74.1,68.8,16.1,x
1666170561862.1,74.6,68.5,15.5,x
1666170561878.8,75,68.3,15,x
1666170561895.4,75.2,68.2,14.8,x
1666170561912.2,75.5,68,14.5,x
1666170561928.8,75.7,67.8,14.1,x
1666170561945.6,75.8,67.7,14,x
1666170561962.2,75.9,67.6,14,x
1666170561978.8,75.9,67.5,13.9,x
1666170562028.8,75.9,67.3,13.9,x
1666170562045.6,75.8,67.3,14,x
1666170562062.1,75.6,67.2,14.2,x
1666170562078.8,75.5,67.2,14.2,x
1666170562132.2,75.4,67.3,14.4,x
1666170562162,75.3,67.4,14.6,x
1666170562178.7,75.1,67.5,14.7,x
1666170562195.4,75.1,67.6,14.8,x
1666170562228.8,75.2,67.8,14.7,x
1666170562280.6,75.1,67.8,14.9,x
1666170562312,75.3,67.7,14.5,x
1666170562328.8,75.6,67.6,14.3,x
1666170562362.1,75.7,67.5,14.1,x
1666170562395.5,75.8,67.6,14,x
1666170562428.8,75.8,67.7,14.1,x
1666170562512.1,75.6,67.8,14.2,x
1666170562595.9,75.7,67.9,14.1,x
1666170562628.8,75.8,67.9,14,x
1666170562645.6,75.8,67.9,14.1,x
1666170562696,75.6,68.1,14.3,x
1666170562712,75.5,68.1,14.3,x
1666170562745.5,75.6,68.2,14.3,x
1666170562796.1,75.7,68.1,14.1,x
1666170562828.8,75.7,68,14.1,x
1666170562878.7,75.6,68.1,14.3,x
1666170562945.8,75.6,68.3,14.3,x
1666170562962.1,75.7,68.4,14.2,x
1666170563012.1,75.6,68.6,14.4,x
1666170563062,75.7,68.6,14.2,x
1666170563095.7,75.7,68.5,14.2,x
1666170563128.7,75.6,68.3,14.2,x
1666170563278.8,75.7,68.4,14.2,x
1666170563395.5,75.8,68.4,14,x
1666170563478.7,75.6,68.4,14,x
1666170563495.8,75.6,68.3,14.1,x
1666170563512,75.5,68.3,14.2,x
1666170563628.7,75.6,68.2,14.1,x
1666170563645.7,75.7,68.2,14,x
1666170563712.1,75.7,68.4,14,x
1666170563762,76,68.5,13.7,x
1666170563778.7,76,68.6,13.7,x
1666170563796,76.1,68.5,13.6,x
1666170563812,76.2,68.5,13.5,x
1666170563845.8,76.1,68.5,13.6,x
1666170563862,75.9,68.4,13.7,x
1666170563969.2,75.9,68.3,13.7,x
1666170564045.4,75.8,68.3,13.8,x
1666170564112,75.9,68.3,13.7,x
1666170564145.4,76,68.4,13.6,x
1666170564245.6,75.8,68.4,13.8,x
1666170564262,75.7,68.4,14,x
1666170564283.2,75.6,68.4,14.1,x
1666170564295.8,75.6,68.4,14,x
1666170564312,75.7,68.3,13.9,x
1666170564362.1,76,68,13.5,x
1666170564378.7,76.1,68,13.5,x
1666170564428.8,76.1,68.1,13.5,x
1666170564496,76.3,68.2,13.3,x
1666170564528.7,76.4,68.3,13.3,x
1666170564645.7,76.3,68.3,13.4,x
1666170564728.7,76.2,68.1,13.4,x
1666170564795.8,76.3,68.3,13.4,x
1666170564828.6,76.1,68.3,13.6,x
1666170564862,76,68.3,13.7,x
1666170564902.2,76.2,68.3,13.5,x
1666170564929.1,76.4,68.3,13.3,x
1666170564962,76.6,68.3,13.1,x
1666170565062,76.7,68.2,13,x
1666170565111.9,76.8,68.2,12.9,x
1666170565195.3,76.7,68.3,13.1,x
1666170565212,76.5,68.4,13.3,x
1666170565278.7,76.6,68.4,13.2,x
1666170565296.6,76.7,68.3,13.1,x
1666170565328.6,76.7,68.1,13,x
1666170565345.2,76.8,68.1,13,x
1666170565362,77,68.1,12.8,x
1666170565496,76.9,68.3,13,x
1666170565512,76.8,68.4,13,x
1666170565528.6,76.8,68.4,13.1,x
1666170565545.6,76.9,68.5,13,x
1666170565646,77,68.3,12.9,x
1666170565695.3,76.8,68.2,13,x
1666170565712.4,76.7,68.2,13.1,x
1666170565728.7,76.8,68.3,13.1,x
1666170565762,76.9,68.3,13,x
1666170565778.6,76.9,68.4,13,x
1666170565795.9,76.8,68.4,13.1,x
1666170565832.4,76.9,68.4,13,x
1666170565912.1,77.1,68.4,12.8,x
1666170566012,77.1,68.3,12.8,x
1666170566078.7,77,68.3,12.9,x
1666170566178.5,77.2,68.4,12.6,x
1666170566195.3,77.1,68.4,12.8,x
1666170566211.9,76.9,68.4,13,x
1666170566245.3,76.8,68.3,13.1,x
1666170566262,76.7,68.3,13.1,x
1666170566278.5,76.7,68.1,13.2,x
1666170566312,76.8,68.1,13.2,x
1666170566345.3,77.1,68.1,12.8,x
1666170566362.1,77.3,68.1,12.7,x
1666170566395.2,77.2,68,12.7,x
1666170566445.9,77.3,67.9,12.7,x
1666170566495.3,77.2,67.9,12.7,x
1666170566545.3,77.4,68,12.6,x
1666170566562.3,77.4,68,12.5,x
1666170566595.2,77.3,67.9,12.6,x
1666170566611.9,77.2,67.9,12.7,x
1666170566662.1,77.3,67.9,12.7,x
1666170566678.6,77.3,67.8,12.6,x
1666170566711.9,77.2,67.8,12.7,x
1666170566751.8,77.3,67.8,12.7,x
1666170566762.2,77.3,67.9,12.7,x
1666170566812,77.3,68.1,12.8,x
1666170566828.6,77.2,68.1,12.8,x
1666170566845.2,77.3,68.1,12.8,x
1666170566878.8,77.4,68.1,12.6,x
1666170566946,77.5,68,12.5,x
1666170566978.5,77.4,68,12.6,x
