time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1658225929853.3,-0.1,0.1,0.3,-0.1,4.7,9,-3.2,4.6,-1,x
1658225929870.1,-0.1,0,0.1,-0.2,4.6,8.7,1.1,3.6,-2.1,x
1658225929886.5,-0.2,0,-0.1,-0.3,4.7,8.6,0.4,1.9,-2.1,x
1658225929903.6,-0.3,0.1,0,-0.4,4.7,8.7,-4,-0.8,-1.2,x
1658225929920.2,-0.1,0,0.3,-0.3,4.6,9,-5.4,-2.3,0.4,x
1658225929936.5,0.1,0.1,0.5,-0.1,4.6,9.1,-2.7,-2.5,1.1,x
1658225929953.6,0.1,0,0.4,-0.1,4.6,9.1,-0.3,-2,0.8,x
1658225929969.9,0.1,0,0.2,0,4.5,8.9,2.2,0,-0.2,x
1658225929986.5,0.2,0,0.1,0,4.5,8.7,2.6,0.2,-0.9,x
1658225930003.4,0.1,0,0,0,4.5,8.7,1.5,-2,-0.8,x
1658225930019.8,0.1,0.1,0.2,0,4.6,8.9,1.5,-2.7,-0.5,x
1658225930036.5,0.1,0.2,0.2,0.1,4.6,8.8,2.1,-1.5,-0.3,x
1658225930053.1,0.1,0.1,0,0,4.6,8.7,3.8,0.4,-1.4,x
1658225930069.9,0,0.1,0.1,0,4.6,8.8,3.2,1.1,-2.7,x
1658225930086.4,0,0.1,-0.3,0,4.6,8.4,3.5,-0.5,-2.6,x
1658225930103.6,-0.1,0.1,-0.3,-0.1,4.6,8.4,2.4,1,-2.2,x
1658225930119.9,-0.1,-0.1,-0.2,-0.1,4.5,8.4,0.6,0.4,-0.9,x
1658225930137.2,0,0,-0.1,0,4.6,8.5,-1.1,-2.1,-0.8,x
1658225930153.4,0,0,-0.1,0,4.6,8.5,-2.1,-1.3,-1,x
1658225930170.2,-0.1,0,0.1,-0.1,4.6,8.7,-1.8,0.7,-0.8,x
1658225930186.7,-0.3,-0.1,0.2,-0.4,4.5,8.9,-0.1,2.1,0,x
1658225930203.4,-0.2,0,0.2,-0.3,4.5,8.9,1.4,2.2,0.9,x
1658225930219.8,0.1,0,0,-0.1,4.5,8.7,4.9,0.4,2.1,x
1658225930236.4,0.4,0,-0.1,0.3,4.5,8.6,2.9,-2,1.2,x
1658225930253.9,0.1,0,-0.2,0.1,4.6,8.5,-0.4,-1.3,-0.2,x
1658225930270.2,-0.3,-0.1,0.1,-0.3,4.5,8.7,-3.8,0.4,-0.1,x
1658225930286.6,-0.1,-0.1,0,-0.1,4.6,8.8,-3.9,4,0.7,x
1658225930303.4,0.2,0,0.1,0.1,4.6,8.8,-1.6,5.8,0.9,x
1658225930319.9,0.1,0.1,0.1,0,4.6,8.7,-2.9,2.2,-1.3,x
1658225930336.7,-0.1,0,0,-0.1,4.6,8.8,-4.3,1,-2,x
1658225930353.5,-0.1,0,0.2,-0.2,4.5,8.9,-6.3,-1,-2.1,x
1658225930370.1,-0.2,0,0.3,-0.3,4.5,9,-4.7,1.2,-1,x
1658225930386.7,-0.2,0,0.3,-0.2,4.5,8.9,-3.2,2.8,-0.1,x
1658225930403,0,0,0,-0.2,4.4,8.7,-1.9,3.9,0.5,x
1658225930419.9,0,0,0,-0.1,4.5,8.7,-2.5,0.2,0.2,x
1658225930436.8,-0.1,0.1,0.1,-0.2,4.5,8.8,-4.7,-1.6,0.2,x
1658225930453.4,-0.1,0,0.3,-0.2,4.5,9,-4.3,-1.6,0.4,x
1658225930470.9,0,0.1,0.2,-0.2,4.5,8.9,-2.1,0.5,0.3,x
1658225930486.5,0,0.1,0,-0.2,4.5,8.8,-0.5,2.1,0.1,x
1658225930503.1,0,0,0,-0.2,4.5,8.7,-0.6,2.3,0.4,x
1658225930519.6,0.1,0,0.1,-0.1,4.5,8.8,-1.9,-0.1,0.9,x
1658225930536.5,0,0,0.3,-0.2,4.5,9,-2.3,-2.1,0.8,x
1658225930575.9,0.1,0.1,0.1,0,4.5,8.9,-1.1,-6.2,1.6,x
1658225930591.7,0.1,0.1,0.1,0,4.5,8.9,-1.3,-5.4,1,x
1658225930602.8,0.1,0.1,0.1,0,4.5,8.9,-1.4,-4.6,0.5,x
1658225930619.5,0,0,0.3,-0.1,4.4,9,-1.4,-1.3,0,x
1658225930637.2,0,0,0.2,-0.1,4.4,8.9,0.3,2.7,0.5,x
1658225930652.9,0,0,0.1,-0.1,4.4,8.9,0.8,4.1,0.7,x
1658225930669.4,-0.1,0.1,-0.1,-0.2,4.5,8.7,1.5,5.3,0.6,x
1658225930686.2,0,0,0.1,-0.1,4.4,8.9,0.9,5.3,0.6,x
1658225930702.9,0,0,0.1,-0.1,4.4,8.8,1.6,7.2,0.6,x
1658225930721,-0.2,0,-0.1,-0.3,4.4,8.6,4.1,7.1,0.4,x
1658225930736.2,0,0,-0.2,-0.2,4.4,8.5,1.9,4.7,1.1,x
1658225930752.9,0,0.1,-0.2,-0.2,4.5,8.6,0.3,4.1,1.3,x
1658225930769.6,0,0,-0.1,-0.2,4.4,8.6,-4,2.8,1,x
1658225930786.1,-0.1,0,-0.1,-0.3,4.4,8.6,-6.7,-1.7,1.5,x
1658225930815.6,-0.1,0,-0.1,-0.2,4.4,8.8,-7.7,-9.1,3.1,x
1658225930819.4,-0.1,0,-0.1,-0.2,4.4,8.9,-7.7,-9.1,3.1,x
1658225930836,0.1,0,0.3,0,4.4,9.1,-4.6,-7,3.5,x
1658225930853,0.1,0,0.4,0,4.4,9.2,-2.2,-4.6,3.3,x
1658225930869.4,0.1,0.1,0.2,0,4.5,9,2.6,0,3.2,x
1658225930885.9,0,0.1,-0.1,-0.1,4.5,8.6,1.8,0.8,3.2,x
1658225930902.7,0,0.1,-0.1,-0.1,4.5,8.7,-0.8,-0.4,3.4,x
