time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1664285139454.4,0.2,0.1,-0.4,-0.2,4.1,8.6,3.4,-6.6,-0.1,x
1664285139471,0.3,0.1,-0.4,-0.1,4.1,8.6,1,-6.8,0.2,x
1664285139487.8,0.4,0.1,-0.2,0.1,4.2,8.7,-3.8,-4.7,-1.8,x
1664285139504.4,0.2,0.1,0,0,4.2,8.9,-4.5,-4.8,-4.4,x
1664285139521.1,0.2,0.1,0.1,0,4.2,9,-3.3,-3.9,-5.3,x
1664285139537.7,0,0.2,-0.1,-0.1,4.3,8.8,-1.4,-2.2,-4.9,x
1664285139554.4,-0.1,0.1,-0.1,-0.2,4.3,8.7,-3.7,-1.5,-2.5,x
1664285139574.1,0,0.1,0,-0.1,4.3,8.8,-5.5,-1.5,-1.4,x
1664285139588.8,0,0.1,0.1,-0.2,4.3,9,-8.3,-1.2,-1,x
1664285139605,-0.1,0.1,0.3,-0.3,4.3,9.1,-9.6,-1.9,-2,x
1664285139622.6,-0.1,0,0.3,-0.3,4.3,9.1,-9.3,-2.9,-2,x
1664285139638.5,-0.1,0.1,0.2,-0.3,4.3,9.1,-5.8,-5.5,-0.8,x
1664285139657.7,0,0.1,0,-0.2,4.3,8.9,-4.2,-6.5,0.4,x
1664285139672,0.1,0.1,-0.1,-0.1,4.3,8.8,-4.5,-8.5,0.6,x
1664285139688.1,0.2,0.1,-0.1,0.1,4.3,8.7,-5.9,-10.5,0.4,x
1664285139704.7,0.2,0,0,0.1,4.3,8.8,-5.8,-8,-0.9,x
1664285139722.9,0.2,0,0.1,0.2,4.3,8.9,-5.3,-4.4,-1.8,x
1664285139738.2,0,0.1,0.1,0,4.4,9,-2.2,2.9,-5,x
1664285139754.9,-0.1,0.1,0.1,-0.1,4.4,8.9,-0.5,3.2,-5.7,x
1664285139772.8,-0.3,0.1,-0.1,-0.3,4.4,8.7,2.5,0.3,-4.5,x
1664285139788.4,-0.2,0.1,-0.2,-0.3,4.5,8.6,1.5,-1.2,-0.6,x
1664285139805.8,-0.1,0.1,-0.3,-0.2,4.4,8.6,-0.2,-2.8,1.4,x
1664285139822.3,0.1,0,-0.2,-0.1,4.4,8.6,-2.6,-6,3.8,x
1664285139838.3,0.3,0,-0.1,0.2,4.4,8.7,-1.4,-4.7,2.8,x
