time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1653397262917.5,0,0,0,
1653397262934.2,90,1.5,0.4,x
1653397265800.7,90,1.8,0.3,x
1653397265817.5,90.5,2,0.2,x
1653397265834.1,90.9,2.1,0.2,x
1653397265851.4,91.5,1.9,0.5,x
1653397265868,91.8,1.6,1,x
1653397265884.8,92.1,1.5,1.5,x
1653397265900.7,92.1,1.4,1.7,x
1653397265917.4,92.1,1.3,1.8,x
1653397265952,92.1,0.9,1.7,x
1653397265968,92.1,0.3,1,x
1653397265984.1,92.3,-0.4,-0.3,x
1653397266001.4,92.4,-0.6,-1.1,x
1653397266017.4,92.8,-0.6,-2.8,x
1653397266034.1,93.6,-0.7,-7.3,x
1653397266050.9,95.4,-0.8,-12.5,x
1653397266067.3,96.4,-0.9,-14.3,x
1653397266084.1,97.2,-0.8,-15.2,x
1653397266100.8,96.9,-0.6,-14.4,x
1653397266117.4,96.6,-0.8,-13.9,x
1653397266134.1,96.3,-1.3,-13,x
1653397266150.8,96.1,-1,-13.3,x
1653397266167.5,96.4,-0.6,-13.9,x
1653397266184,96.6,-0.2,-14.2,x
1653397266200.7,96.9,0.8,-14.7,x
1653397266217.4,97.2,1.7,-15.2,x
1653397266234.1,97.4,2.2,-15.4,x
1653397266250.7,98,3.3,-15.4,x
1653397266267.4,98.6,4.5,-15,x
1653397266284.1,99.4,5.4,-14.3,x
1653397266300.7,99.7,5.8,-13.9,x
1653397266317.4,100.1,6.5,-12.7,x
1653397266334.1,100.6,7.2,-11.4,x
1653397266350.8,101.3,8.1,-10.3,x
1653397266367.4,101.8,8.6,-9.8,x
1653397266384.1,103.1,9.8,-9.2,x
1653397266400.7,104.4,11,-8.3,x
1653397266417.4,105,11.5,-7.6,x
1653397266434.1,106.1,12.5,-5.6,x
1653397266450.7,107.5,13.5,-3.8,x
1653397266467.6,108.4,13.9,-3.3,x
1653397266484.4,110.5,14.7,-2.9,x
1653397266500.8,112.4,15.4,-2.4,x
1653397266517.4,114.2,16.1,-1.1,x
1653397266534.1,115.1,16.4,-0.3,x
1653397266550.7,117.3,17,0.9,x
1653397266567.4,119.5,17.6,1.6,x
1653397266584.1,121.7,18.2,2,x
1653397266600.7,122.9,18.6,2.2,x
1653397266617.3,125.2,19.4,2.3,x
1653397266637.6,127.6,20,2.2,x
1653397266650.6,128.9,20.2,2,x
1653397266667.6,131.1,20.4,1.6,x
1653397266684.3,133.2,20.5,1.2,x
1653397266700.7,135.3,20.4,0.7,x
1653397266717.7,136.3,20.3,0.4,x
1653397266734,137.7,20.3,0.4,x
1653397266750.8,138.6,20.3,0.8,x
1653397266767.4,139.1,20.3,0.9,x
1653397266784,140.2,20.3,0.6,x
1653397266800.7,141.8,20.3,-0.4,x
1653397266817.4,142.6,20.2,-0.9,x
1653397266834,143.9,20,-1.6,x
1653397266850.7,144.7,19.6,-1.6,x
1653397266870.2,145.1,19.3,-1.4,x
1653397266884,145.2,19.2,-1.3,x
1653397266900.6,145.5,18.9,-1.7,x
1653397266917.4,145.6,18.8,-2.1,x
1653397266934.1,145.8,18.7,-2.1,x
1653397266950.7,146,18.6,-2.1,x
1653397266967.3,146.5,18.5,-2.2,x
1653397266984.1,146.8,18.6,-3,x
1653397267000.7,146.8,18.8,-4,x
1653397267017.3,146.1,19.1,-6.2,x
1653397267034,144.7,19.3,-7.6,x
