time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1658226492760.7,12.9,20.8,1.6,
1658226492802.7,12.9,20.6,1.3,x
1658226492825.6,13,20.6,0.9,x
1658226492852.2,13,20.5,0.6,x
1658226492869.4,13,20.3,0.5,x
1658226492902.3,12.9,20.1,0.6,x
1658226492919,12.6,20.2,1,x
1658226492935.7,12.5,20.3,1.2,x
1658226492952.2,12.3,20.6,1.6,x
1658226492968.7,12.3,20.9,1.6,x
1658226493018.7,12.4,20.6,1.3,x
1658226493035.4,12.5,20.5,1.2,x
1658226493052.1,12.4,20.3,1.2,x
1658226493068.8,12.3,20.2,1.5,x
1658226493085.4,12.3,20.2,1.6,x
1658226493119.2,12.3,20.2,1.5,x
1658226493135.9,12.4,20.4,1.3,x
1658226493152.8,12.3,20.6,1.3,x
1658226493169.3,12.3,20.7,1.4,x
1658226493202.6,12.1,20.7,1.7,x
1658226493219.5,12.1,20.6,1.8,x
1658226493236.3,12.2,20.5,1.7,x
1658226493252.8,12.3,20.3,1.5,x
1658226493302.6,12.4,20.1,1.4,x
1658226493319.6,12.4,20.1,1.3,x
1658226493353,12.4,20,1.5,x
1658226493386.2,12.4,20.1,1.5,x
1658226493402.9,12.3,20.4,1.5,x
1658226493436.2,12.2,20.7,1.8,x
1658226493452.8,12.2,20.8,2.1,x
1658226493486.2,12.3,20.9,2,x
1658226493502.9,12.4,20.8,1.8,x
1658226493535.8,12.7,20.5,1.5,x
1658226493552.8,12.9,20.3,1.2,x
1658226493573.8,13,20.1,1,x
1658226493586.3,13.1,19.9,0.7,x
1658226493636.2,13.2,20.1,0.6,x
1658226493653.2,13.1,20.3,0.7,x
1658226493669.6,13.1,20.4,0.8,x
1658226493702.9,13,20.6,0.9,x
1658226493736.3,12.9,20.7,1.1,x
1658226493752.8,12.7,20.9,1.4,x
1658226493819.1,12.8,20.8,1.5,x
1658226493965.6,12.7,20.7,1.3,x
1658226494002.9,12.7,20.7,1.4,x
1658226494052.7,12.7,20.8,1.6,x
1658226494085.7,12.8,20.8,1.5,x
1658226494102.6,12.8,20.9,1.5,x
1658226494152.5,13,20.9,1.4,x
1658226494226.2,13,20.9,1.3,x
1658226494370.6,12.9,20.9,1.4,x
1658226494419.2,13,20.8,1.5,x
1658226494435.8,13.1,20.8,1.4,x
1658226494469.3,13,20.7,1.4,x
1658226494552.5,12.9,20.6,1.4,x
1658226494654.9,13,20.6,1.6,x
1658226494669.8,13,20.6,1.5,x
1658226494686,13.1,20.5,1.5,x
1658226494752.4,13.1,20.6,1.5,x
1658226494786,13.1,20.6,1.6,x
1658226494819.4,13.1,20.6,1.7,x
1658226494836.1,13.1,20.7,1.7,x
1658226494929.3,13.4,20.6,1.8,x
1658226494952.4,13.6,20.5,1.8,x
1658226495002.6,13.8,20.6,1.8,x
1658226495052.8,13.8,20.5,1.8,x
1658226495102.5,13.8,20.5,1.6,x
1658226495126.4,13.8,20.6,1.6,x
1658226495146.1,13.7,20.6,1.5,x
1658226495169.3,13.7,20.7,1.5,x
1658226495185.7,13.7,20.6,1.5,x
1658226495220.4,13.8,20.5,1.4,x
1658226495253.3,14,20.4,1.4,x
1658226495286.1,14.1,20.3,1.4,x
1658226495319.2,14,20.3,1.4,x
1658226495336.2,14,20.4,1.4,x
1658226495402.7,14,20.5,1.6,x
1658226495453.1,14.1,20.5,1.6,x
1658226495502.7,14.2,20.4,1.5,x
1658226495569.3,14,20.4,1.4,x
1658226495635.8,13.8,20.5,1.4,x
1658226495752.5,13.6,20.6,1.5,x
1658226495769.2,13.6,20.6,1.6,x
1658226495802.4,13.7,20.5,1.6,x
1658226495861.6,13.7,20.6,1.7,x
1658226495885.7,13.7,20.7,1.7,x
1658226495902.4,13.8,20.6,1.7,x
1658226495919.3,13.8,20.5,1.7,x
1658226495970,13.8,20.6,1.7,x
1658226496019.2,13.8,20.5,1.7,x
1658226496135.7,14.2,20.5,1.7,x
1658226496185.7,14.1,20.6,1.6,x
1658226496236,14.2,20.6,1.5,x
1658226496302.4,14.3,20.7,1.4,x
1658226496352.5,14.5,20.6,1.5,x
1658226496369.2,14.5,20.5,1.5,x
1658226496386.9,14.6,20.4,1.4,x
1658226496428.2,14.4,20.7,1.3,x
1658226496485.7,14.6,20.6,1.2,x
1658226496502.4,14.6,20.5,1.2,x
1658226496552.4,14.6,20.6,1.3,x
1658226496602.5,14.6,20.5,1.3,x
1658226496619.1,14.5,20.5,1.4,x
1658226496652.4,14.3,20.4,1.4,x
1658226496686,14.1,20.5,1.4,x
1658226496702.5,14.1,20.6,1.4,x
1658226496753.3,14.1,20.7,1.5,x
1658226496792.7,14,20.7,1.5,x
1658226496819.1,14.1,20.6,1.5,x
1658226496835.5,14.1,20.5,1.5,x
1658226496852.3,14.2,20.4,1.6,x
1658226496885.8,14.1,20.5,1.5,x
1658226496902.7,13.9,20.6,1.6,x
1658226496958.1,13.8,20.5,1.6,x
1658226496985.9,13.8,20.4,1.5,x
1658226497039.3,14,20.5,1.5,x
1658226497053.2,14.1,20.6,1.5,x
1658226497169.3,14,20.6,1.5,x
1658226497202.4,13.8,20.5,1.5,x
1658226497269.1,13.6,20.5,1.5,x
1658226497285.5,13.5,20.5,1.5,x
1658226497302.7,13.4,20.6,1.4,x
1658226497319.7,13.4,20.7,1.4,x
1658226497353.1,13.6,20.6,1.4,x
1658226497402.4,13.6,20.7,1.4,x
1658226497452.4,13.8,20.7,1.4,x
1658226497502.9,13.6,20.7,1.4,x
1658226497518.9,13.5,20.7,1.4,x
1658226497535.6,13.5,20.6,1.4,x
1658226497635.8,13.5,20.6,1.6,x
1658226497685.7,13.3,20.7,1.6,x
1658226497724.3,13.3,20.6,1.4,x
1658226497785.5,13.5,20.6,1.4,x
1658226497803.1,13.5,20.6,1.3,x
1658226497818.9,13.6,20.5,1.3,x
1658226497835.5,13.7,20.5,1.4,x
1658226497918.8,13.5,20.5,1.4,x
1658226497935.5,13.3,20.5,1.4,x
1658226498004.7,13.1,20.4,1.4,x
1658226498018.7,13.3,20.4,1.4,x
1658226498035.4,13.4,20.3,1.4,x
1658226498052,13.6,20.3,1.4,x
1658226498085.4,13.6,20.2,1.3,x
1658226498102.2,13.6,20.1,1.3,x
1658226498135.6,13.6,20.2,1.2,x
1658226498152.3,13.5,20.3,1.2,x
1658226498285.3,13.5,20.1,1.3,x
1658226498335.4,13.4,20.2,1.2,x
1658226498368.7,13.5,20.2,1.1,x
1658226498385.3,13.6,20.2,1.1,x
1658226498402.1,13.6,20.1,1,x
1658226498435.3,13.6,20.1,1.1,x
1658226498468.7,13.6,20.2,1.1,x
1658226498502.1,13.5,20.2,1.1,x
1658226498568.8,13.3,20.2,1.1,x
1658226498602,13.3,20.2,1.2,x
1658226498652.1,13.3,20.1,1.3,x
1658226498668.8,13.3,20,1.3,x
1658226498835.3,13.3,20.1,1.1,x
1658226498868.6,13.4,20,1,x
1658226498918.7,13.5,19.8,1.1,x
1658226498935.2,13.6,19.9,1.1,x
1658226498951.9,13.6,19.9,1,x
1658226498985.4,13.6,20.1,0.9,x
1658226499002,13.5,20.2,0.9,x
1658226499035.3,13.4,20.2,0.7,x
1658226499068.7,13.4,20.1,0.6,x
1658226499087.5,13.4,20.1,0.5,x
1658226499102,13.3,20,0.5,x
1658226499152.2,13.1,19.8,0.5,x
1658226499168.8,13,19.7,0.6,x
1658226499202,12.8,19.7,0.6,x
1658226499252,12.6,19.7,0.7,x
1658226499268.9,12.5,19.7,0.7,x
1658226499352.1,12.5,19.6,0.8,x
1658226499368.8,12.4,19.5,0.8,x
1658226499402.1,12.3,19.3,0.9,x
1658226499468.8,12.3,19.3,1.1,x
1658226499502,12.1,19.2,1.1,x
1658226499535.3,12.1,19.1,1.2,x
1658226499568.8,12,19.1,1.2,x
1658226499585.4,11.9,19.2,1.2,x
1658226499602.1,11.8,19.4,1.2,x
1658226499752.1,11.8,19.3,1.1,x
1658226499768.7,11.8,19.2,0.9,x
1658226499785.5,11.8,19.1,0.4,x
1658226499802.1,11.6,18.9,-0.2,x
1658226499818.7,11.4,18.9,-0.3,x
1658226499835.5,11,19.2,-0.4,x
1658226499852.1,10.6,19.7,-0.2,x
1658226499868.9,10.4,20,-0.3,x
1658226499885.4,10.2,20.5,-0.9,x
1658226499902,10,20.5,-1.7,x
1658226499918.8,9.8,20.1,-2.1,x
1658226499935.4,9.7,19.7,-2.1,x
1658226499952,9.8,19,-1.8,x
1658226499968.8,10,18.6,-1.6,x
1658226499985.5,10.7,18.2,-1.3,x
1658226500002,11.6,18,-1.2,x
1658226500018.7,12.5,18.2,-0.7,x
1658226500035.4,12.9,18.4,-0.4,x
1658226500052,13.6,19,0.4,x
1658226500068.7,13.9,19.4,0.7,x
1658226500085.4,14.5,20.2,1.5,x
1658226500102,15,20.8,2.2,x
1658226500119,15.2,21.2,2.7,x
1658226500135.3,15.2,21.4,2.9,x
1658226500151.9,15.3,21.4,3.1,x
1658226500168.7,15.2,21.3,3.1,x
1658226500185.3,15.1,20.9,3.1,x
1658226500202,15,20.4,3.1,x
