time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_testing
1658434065128.5,222.42,107.88,76.63,
1658434065147.2,223.71,107.69,77.08,x
1658434065164.3,226.18,107.34,78.12,x
1658434065180.1,230.02,106.79,79.7,x
1658434065195.8,234.24,106.16,81.33,x
1658434065215.5,238.04,105.59,82.98,x
1658434065229.2,241.32,105.11,84.74,x
1658434065246.7,244.27,104.67,86.69,x
1658434065263.3,247.01,104.26,88.88,x
1658434065280.5,69.65,76.16,-88.41,x
1658434065295.8,71.83,76.52,-85.32,x
1658434065313.2,73.07,76.73,-82.69,x
1658434065330,73.97,76.9,-80.53,x
1658434065347.6,74.51,77.01,-78.26,x
1658434065363.8,74.75,77.06,-75.55,x
1658434065379,74.77,77.08,-72.03,x
1658434065397.2,74.52,77.03,-68.28,x
1658434065412.2,74.07,76.93,-65.36,x
1658434065429.5,73.41,76.76,-63.14,x
1658434065446.1,72.51,76.5,-61.34,x
1658434065462.1,71.61,76.23,-59.96,x
1658434065480.1,70.29,75.81,-58.34,x
1658434065496.5,68.71,75.26,-56.53,x
1658434065513.8,66.89,74.56,-54.58,x
1658434065530.4,64.21,73.35,-51.79,x
1658434065546.9,61.04,71.61,-48.55,x
1658434065564,57.6,69.19,-45.11,x
1658434065579.4,54.48,66.33,-42.1,x
1658434065597.4,51.8,63.18,-39.69,x
1658434065613.1,49.57,59.97,-37.91,x
1658434065630,47.66,56.77,-36.69,x
1658434065645.8,45.81,53.33,-35.85,x
1658434065663.4,43.9,49.53,-35.38,x
1658434065680.1,42.2,46.03,-35.3,x
1658434065697.3,40.84,43.27,-35.49,x
1658434065712.5,39.72,41.08,-35.79,x
1658434065730.9,38.81,39.4,-36.16,x
1658434065746.4,38.01,38.03,-36.55,x
1658434065763.8,37.31,36.87,-36.94,x
1658434065779.4,36.76,36.02,-37.27,x
1658434065795.6,36.56,35.73,-37.41,x
1658434065813.6,36.54,35.73,-37.44,x
1658434065830.3,36.51,35.97,-37.59,x
1658434065846,36.5,37.03,-38.14,x
1658434065862.8,36.62,39.72,-39.42,x
1658434065879.4,36.93,43.48,-41.35,x
1658434065896.6,37.51,47.75,-43.79,x
1658434065912.8,38.61,52.55,-46.87,x
1658434065929.5,40.9,58.28,-51.16,x
1658434065946.9,45.33,64.65,-57.65,x
1658434065962.7,53.35,70.67,-67.36,x
1658434065980,67.35,75.61,-82.45,x
1658434065996.7,268.4,101.42,76.16,x
1658434066013.8,292.5,100.62,52.38,x
1658434066030.4,313.46,101.45,32.35,x
1658434066046.8,329.82,103.38,17.22,x
1658434066063.8,340.18,105.65,7.88,x
1658434066079.4,347.72,108.21,1.22,x
1658434066096.2,353.02,110.72,-3.26,x
1658434066114,356.48,112.81,-6.04,x
1658434066129.7,358.92,114.63,-8.03,x
1658434066146.3,0.8,116.28,-9.57,x
1658434066163.6,2.36,117.85,-10.85,x
1658434066179.6,3.65,119.39,-11.99,x
1658434066196,4.82,121.04,-13.11,x
1658434066213.8,5.85,122.77,-14.2,x
1658434066230.3,6.74,124.54,-15.24,x
1658434066246.6,7.61,126.53,-16.3,x
1658434066264.4,8.41,128.51,-17.24,x
1658434066280.5,9.06,130.3,-18.01,x
1658434066297,9.62,132.02,-18.7,x
1658434066313.2,10.13,133.61,-19.27,x
1658434066330.8,10.57,135.15,-19.8,x
1658434066347.2,10.82,136.43,-20.29,x
1658434066363.8,10.79,137.63,-20.9,x
1658434066380.1,10.24,139.4,-22.13,x
1658434066395.5,8.68,142.04,-24.47,x
1658434066412.7,5.53,145.32,-28.28,x
1658434066431,0.44,148.65,-33.73,x
1658434066446.9,352.91,151.41,-41.24,x
1658434066464.1,344.07,152.33,-49.6,x
1658434066480.3,335.16,150.89,-57.49,x
1658434066495.7,327.04,147.44,-64.01,x
1658434066514.3,320.67,143.1,-68.34,x
1658434066530.2,316.09,139.13,-70.82,x
1658434066547.4,312.85,135.95,-72.13,x
1658434066563.6,310.46,133.45,-72.79,x
1658434066579.8,308.81,131.63,-73.05,x
1658434066596.9,307.6,130.26,-73.12,x
1658434066613.4,306.86,129.41,-73.1,x
1658434066630.7,306.51,128.98,-73.06,x
1658434066647.2,306.38,128.81,-73.02,x
1658434066778.5,306.35,128.72,-72.96,x
1658434066797.6,306.31,128.5,-72.75,x
1658434066813.6,306.38,128.32,-72.44,x
1658434066831,306.49,128.33,-72.32,x
1658434066846.3,306.79,128.41,-72.04,x
1658434066863.4,307.26,128.61,-71.69,x
1658434066880.7,307.86,128.92,-71.3,x
1658434066897.2,308.55,129.3,-70.88,x
1658434066912.6,309.32,129.75,-70.46,x
1658434066929.9,310.2,130.27,-69.96,x
1658434066947.3,311.31,130.89,-69.28,x
1658434066963.9,312.79,131.67,-68.33,x
1658434066979.3,314.53,132.54,-67.18,x
1658434066997.4,316.42,133.43,-65.86,x
1658434067012.7,318.43,134.26,-64.37,x
1658434067029.8,320.41,134.94,-62.8,x
1658434067046.1,322.46,135.45,-61.03,x
1658434067063.3,324.92,135.89,-58.81,x
