time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1664285139204.6,10.3,26.3,8.1,
1664285139221.6,9.4,26.3,8.1,x
1664285139238,7.8,26,7.5,x
1664285139254.6,8.4,25.2,6.2,x
1664285139271.3,8.8,24.8,5.6,x
1664285139288,9.5,24.3,4.3,x
1664285139304.5,9.8,23.9,3.6,x
1664285139321.3,9.9,23.6,3.5,x
1664285139337.9,10,23.2,3.3,x
1664285139354.6,10.2,23.1,2.9,x
1664285139371.1,10.4,23.1,2.7,x
1664285139388,10.6,23,2.2,x
1664285139404.7,10.5,23,2.2,x
1664285139421.4,10.4,23.1,2.5,x
1664285139437.9,10.1,23.3,2.9,x
1664285139454.8,10.1,23.7,2.8,x
1664285139471.3,10.1,24,2.6,x
1664285139488,10.4,24.4,1.9,x
1664285139504.6,10.6,24.7,1.2,x
1664285139521.4,10.6,24.7,1,x
1664285139538,10.6,24.9,0.7,x
1664285139554.6,10.5,25.3,0.8,x
1664285139575.1,10.4,25.4,0.8,x
1664285139606,10.3,25.5,1,x
1664285139623.6,10.2,25.5,1.1,x
1664285139639.6,10.1,25.3,1.3,x
1664285139658.7,10,25.3,1.4,x
1664285139672.8,10,25.4,1.4,x
1664285139688.9,10,25.6,1.2,x
1664285139705.5,10.1,25.8,0.6,x
1664285139725.3,10.3,25.8,0.2,x
1664285139739.2,10.3,25.8,0,x
1664285139757.5,10.2,25.9,0.1,x
1664285139773.8,10.1,26,0.3,x
1664285139789.4,9.8,26.3,0.9,x
1664285139806.8,9.6,26.6,1.2,x
1664285139823.3,9.6,26.7,1.2,x
1664285139839.3,9.8,26.8,0.8,x
1664285139855.9,10.1,26.9,0.2,x
1664285139873.5,10.1,27.1,0,x
1664285139889.6,10.1,27.3,0.1,x
1664285139905.8,10,27.6,0.3,x
1664285139922.7,10,27.8,0.5,x
1664285139939.2,10,28,0.7,x
1664285139956.6,10.1,28.2,0.7,x
1664285139973.3,10.2,28.4,0.5,x
1664285139989.5,10.4,28.6,0.4,x
1664285140006.3,10.7,28.7,0.2,x
1664285140039.4,11.1,28.8,0,x
1664285140056.2,11.3,28.8,-0.1,x
1664285140072.7,11.6,28.6,-0.3,x
1664285140089.8,12,28.4,-0.8,x
1664285140106.1,12.6,28.4,-1.5,x
1664285140123.2,12.9,28.5,-1.9,x
1664285140139.1,13,28.5,-2.1,x
1664285140155.7,12.6,27.6,-0.8,x
1664285140173.4,12.3,26.9,0.1,x
1664285140189.3,12,24.9,1.5,x
1664285140205.7,12.4,23.6,1.2,x
1664285140239.1,12.7,23.2,0.2,x
1664285140257.1,12.5,23.2,0.5,x
1664285140273.5,12.3,23.2,0.8,x
1664285140289.8,12,23.5,1.6,x
1664285140306.2,11.9,24.1,2,x
1664285140322.4,11.9,24.5,2,x
1664285140339,12,25.2,1.8,x
1664285140357.7,12.3,25.7,1.7,x
1664285140410.7,13.2,26,1.8,x
1664285140438.6,13.8,26,1.6,x
1664285140455.9,14.3,26,1.4,x
1664285140473.7,14.5,26,1.3,x
1664285140489.2,14.8,26,1,x
1664285140505.3,15,26,0.8,x
1664285140523.8,15.1,26,0.7,x
1664285140539.1,15.2,26.1,0.7,x
1664285140557.3,15.2,26.2,0.8,x
1664285140590.8,15.3,26.3,1.1,x
1664285140639.7,15.3,26.1,1.1,x
1664285140656.9,15.3,26.2,1,x
1664285140673.8,15.2,26.3,1.1,x
1664285140689.9,15.2,26.5,1.1,x
1664285140706.1,15.1,26.5,1.2,x
1664285140743.4,15.1,26.6,1.2,x
1664285140755.3,14.8,26.5,1.3,x
1664285140772.6,14.6,26.5,1.2,x
1664285140789.4,14.4,26.4,1.1,x
1664285140823.8,14.2,26.4,1.1,x
1664285140839.4,14,26.4,1.1,x
1664285140855.9,13.9,26.4,1.2,x
1664285140873.8,13.8,26.3,1.3,x
1664285140889.2,13.5,26.1,1.4,x
1664285140923.2,13.1,26.1,1.3,x
1664285140939.2,12.7,26.4,0.8,x
1664285140955.9,12.4,26.6,0.6,x
1664285140973.8,11.9,26.8,0.5,x
1664285140989.5,11.4,26.7,1.4,x
1664285141005.9,11.2,26.3,2.3,x
1664285141023.2,11.1,26.2,2.5,x
1664285141039.5,11.1,26,2.3,x
1664285141055.8,10.9,26.1,2,x
1664285141073.3,10.7,26.2,2,x
1664285141089.2,10.2,26.5,2.4,x
1664285141105.8,9.8,26.7,3,x
1664285141123.7,9.8,26.7,3.1,x
1664285141138.9,9.7,26.7,3.2,x
1664285141157,9.8,26.6,3,x
1664285141172.8,9.9,26.5,2.9,x
1664285141189.6,9.8,26.4,2.8,x
1664285141205.8,9.7,26.4,2.7,x
1664285141223,9.6,26.5,2.8,x
1664285141239.4,9.4,26.7,2.9,x
1664285141255.8,9.5,26.9,2.9,x
1664285141273.4,9.6,27,2.8,x
1664285141289.7,9.9,27,2.5,x
1664285141305.8,10,26.9,2.1,x
1664285141322.7,10.1,26.9,2,x
1664285141381.8,9.9,27.3,1.9,x
1664285141405.6,10,27.4,1.8,x
1664285141422.7,10,27.3,1.8,x
1664285141438.4,10.1,27.1,1.8,x
1664285141455.9,10.1,27,1.8,x
1664285141489.3,10.4,27,1.7,x
1664285141505.8,10.6,27,1.7,x
1664285141522.5,10.8,27,1.6,x
1664285141539.2,11,27,1.6,x
1664285141555.8,11.2,27,1.7,x
1664285141589.3,11.6,26.9,1.6,x
1664285141605.7,11.8,26.9,1.6,x
1664285141625.8,12.1,26.8,1.4,x
1664285141639.1,12.5,26.7,1.2,x
1664285141656.4,12.6,26.8,1.1,x
1664285141672.8,12.7,27,1.1,x
1664285141689.5,12.7,27.1,1,x
1664285141706.6,12.6,27,1.5,x
1664285141722.7,12.8,26.6,1.9,x
1664285141749.8,14.1,25,2.1,x
1664285141772.8,15.3,24.3,0.7,x
1664285141789.2,15.9,24.3,-0.7,x
1664285141805.7,15.9,24.7,-1.1,x
1664285141832.4,15.7,25.5,-0.5,x
1664285141847.6,15.6,25.8,0,x
1664285141874,16,26.8,0.6,x
1664285141888.8,16.7,27,0.1,x
1664285141905.1,17.5,26.8,-0.5,x
1664285141922.2,17.8,26.6,-0.8,x
1664285141939.1,18.3,26.4,-1.1,x
1664285141957.2,18.4,26.4,-1.1,x
1664285141972.9,18.4,26.5,-0.9,x
1664285141989.5,18.3,26.9,-0.6,x
1664285142005.8,18.2,27.4,-0.4,x
1664285142039.4,18.2,27.8,-0.3,x
1664285142089.3,18.4,27.6,-0.2,x
1664285142106.5,18.5,27.4,0,x
1664285142122.7,18.6,27.3,0,x
1664285142139.4,18.6,27.1,0,x
1664285142155.9,18.5,27.1,-0.1,x
1664285142172.9,18.5,27.2,-0.1,x
1664285142228.3,18.4,27.2,-0.3,x
