time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1652897315988.1,0,0,0,x
1652897316004.8,96.8,45.9,-9.4,x
1652897316021.1,96.7,46,-9.2,x
1652897316038,96.7,46.1,-9.1,x
1652897316054.6,96.6,46.2,-9.1,x
1652897316087.9,96.6,46.2,-8.9,x
1652897316104.8,96.5,46.3,-8.9,x
1652897316138,96.5,46.4,-8.7,x
1652897316171.7,96.5,46.5,-8.6,x
1652897316205.9,96.5,46.6,-8.5,x
1652897316221.7,96.4,46.5,-8.4,x
1652897316238.3,96.4,46.5,-8.2,x
1652897316272.3,96.3,46.6,-8,x
1652897316288.3,96.3,46.6,-7.8,x
1652897316304.7,96.2,46.7,-7.4,x
1652897316321.8,96.1,46.7,-7.2,x
1652897316338.4,96,46.8,-6.7,x
1652897316354.5,96,46.7,-6.3,x
1652897316372.4,95.9,46.5,-6.1,x
1652897316454.6,96,46.5,-6.3,x
1652897316471.3,96.1,46.5,-6.4,x
1652897316488.6,96.1,46.6,-6.4,x
1652897316521.3,96,46.6,-6.4,x
1652897316537.9,96,46.5,-6.3,x
1652897316555.5,95.9,46.4,-6.1,x
1652897316571.9,95.8,46.3,-5.9,x
1652897316588.7,95.7,46.3,-5.6,x
1652897316605.6,95.6,46.1,-5.3,x
1652897316622.3,95.5,46.1,-5.1,x
1652897316638,95.3,45.9,-4.7,x
1652897316655.4,95.1,45.6,-4.4,x
1652897316672.3,95,45.5,-4.2,x
1652897316688.5,94.7,45.3,-3.9,x
1652897316704.7,94.4,45.2,-3.6,x
1652897316722.2,94.2,45.2,-3.4,x
1652897316771.3,94.2,45.3,-3.5,x
1652897316789.7,94.2,45.4,-3.5,x
1652897316821.9,94,45.6,-3.2,x
1652897316839.5,94.1,45.7,-3.3,x
1652897316856,94.1,45.6,-3.4,x
1652897316871.3,94.3,45.5,-3.9,x
1652897316888,94.5,45.4,-4.3,x
1652897316905.8,94.6,45.3,-4.5,x
1652897316925.2,94.7,45.2,-5,x
1652897316938.8,94.9,45.1,-5.3,x
1652897316971.3,95,45.1,-5.6,x
1652897316988,94.9,45,-5.6,x
1652897317004.7,94.6,44.9,-5.4,x
1652897317022.6,94.4,44.9,-5.2,x
1652897317038.6,94.2,44.9,-4.9,x
1652897317054.6,94,44.7,-4.7,x
1652897317072,94.1,44.6,-5,x
1652897317088.6,93.8,44.5,-4.7,x
1652897317104.6,93.6,44.3,-4.5,x
1652897317122.1,93.5,44.1,-4.5,x
1652897317139.1,93.6,44,-4.6,x
1652897317155.3,93.8,43.8,-4.8,x
1652897317171.3,94.1,43.8,-5.2,x
1652897317188.3,94.2,43.8,-5.3,x
1652897317206.2,94.3,43.9,-5.4,x
1652897317222,94.2,43.9,-5.3,x
1652897317238,94.1,44,-5,x
1652897317255.6,94.2,44,-4.7,x
1652897317271.9,94.3,44.1,-4.7,x
1652897317288.6,94.6,44.2,-4.6,x
1652897317305.8,94.8,44.3,-4.7,x
1652897317322,95.1,44.7,-4.7,x
1652897317337.9,94.9,45,-4.3,x
1652897317355.8,94.7,45.4,-3.7,x
1652897317372.8,94.5,45.6,-3.3,x
1652897317388.6,94.4,45.7,-3.3,x
1652897317404.6,94.4,45.6,-3.6,x
1652897317422.2,94.4,45,-4.5,x
1652897317439.1,93.7,44.6,-4.5,x
1652897317455.7,92.2,43.8,-3.6,x
1652897317471.3,91.2,43.1,-2.7,x
1652897317488.7,90.8,42.8,-2.3,x
1652897317505.8,90.5,42.3,-1.6,x
1652897317522,90.6,42.1,-1.4,x
1652897317538,90.8,42,-1.4,x
1652897317555.9,91.1,42.1,-1.4,x
1652897317572,91.2,42.3,-1.3,x
1652897317588,91.3,42.6,-1.1,x
1652897317605.8,91.4,42.8,-0.9,x
1652897317621.9,91.4,43.1,-0.6,x
1652897317637.9,91.5,43.3,-0.4,x
1652897317654.9,91.6,43.5,-0.3,x
1652897317672,91.7,43.7,-0.3,x
1652897317688.7,91.8,44,-0.3,x
1652897317704.6,91.9,44.2,-0.3,x
1652897317722.2,92,44.3,-0.2,x
1652897317738.6,92.1,44.5,-0.2,x
1652897317772,92.3,44.6,-0.2,x
1652897317821.2,92.4,44.6,-0.3,x
1652897317838.4,92.6,44.5,-0.4,x
1652897317871.2,92.7,44.6,-0.5,x
1652897317888.1,92.8,44.6,-0.6,x
1652897317904.5,92.9,44.7,-0.7,x
1652897317921.9,93,44.8,-0.8,x
1652897317938,93.1,44.9,-0.8,x
1652897317971.3,93.3,44.9,-1,x
1652897317988.7,93.3,44.9,-1.1,x
1652897318005.4,93.3,44.8,-1.1,x
1652897318022.4,93.3,44.8,-1.2,x
1652897318038.6,93.5,44.6,-1.5,x
1652897318056.2,93.5,44.3,-1.7,x
1652897318072.4,93.6,44.2,-1.8,x
1652897318088.7,93.7,43.9,-2.1,x
1652897318105.3,93.8,43.6,-2.4,x
1652897318121.2,93.8,43.2,-2.6,x
1652897318139.2,93.9,43,-2.7,x
1652897318154.6,94,42.9,-2.8,x
1652897318177.7,94.1,43,-2.8,x
1652897318188.8,94.1,43.2,-2.7,x
1652897318205.7,94.1,43.3,-2.6,x
1652897318221.9,94.1,43.4,-2.5,x
1652897318237.9,94.1,43.6,-2.4,x
1652897318256.1,94.1,43.6,-2.3,x
1652897318271.9,94.1,43.8,-2.3,x
1652897318305.9,94.2,43.9,-2.3,x
1652897318337.9,94.2,43.9,-2.1,x
1652897318355.5,94.2,43.9,-2,x
1652897318405.7,94.2,43.8,-1.9,x
1652897318437.8,94.2,43.7,-1.9,x
1652897318454.5,94.2,43.7,-1.8,x
1652897318538.8,94.2,43.6,-1.7,x
1652897318571.9,94.2,43.5,-1.7,x
1652897318738.6,94.1,43.5,-1.6,x
1652897318871.9,94.1,43.4,-1.5,x
1652897318921.9,94,43.4,-1.5,x
1652897318955.3,94.1,43.4,-1.4,x
1652897318971.3,94,43.4,-1.4,x
1652897319022.4,94,43.6,-1.4,x
1652897319038,94.1,43.6,-1.5,x
1652897319055.8,94.1,43.7,-1.5,x
1652897319105.1,94.1,43.8,-1.5,x
1652897319171.2,94.1,43.9,-1.5,x
1652897319205.2,94.1,43.9,-1.6,x
1652897319256.3,94.1,44.1,-1.6,x
1652897319287.9,94.2,44.2,-1.6,x
1652897319471.3,94.1,44.3,-1.6,x
