time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1658226428442.3,11.3,0.3,3.1,x
1658226428492.3,11.2,0.7,3.2,x
1658226428509.2,11.2,0.9,3.2,x
1658226428526.1,11.2,1.1,3.3,x
1658226428542.5,11.2,1.3,3.4,x
1658226428575.6,11.1,1.1,3.6,x
1658226428592.3,11.1,1,3.6,x
1658226428609.3,11.2,1.1,3.7,x
1658226428625.7,11.2,1.2,3.6,x
1658226428642.4,11.2,1.1,3.4,x
1658226428659,11.2,0.9,3.4,x
1658226428693.3,11.2,0.8,3.3,x
1658226428726.4,11.3,1,3.2,x
1658226428745.9,11.2,1,3.5,x
1658226428759.4,11.2,1,3.6,x
1658226428776.1,11.2,0.8,3.8,x
1658226428809.4,11.2,0.8,3.7,x
1658226428826.2,11.2,0.8,3.4,x
1658226428859.4,11.2,1,3.5,x
1658226428876.2,11.2,1.1,3.8,x
1658226428893.1,11.1,1.1,3.9,x
1658226428909.5,11.1,1.2,3.9,x
1658226428926.3,11.1,1.2,3.8,x
1658226428959.5,11.1,1.4,3.7,x
1658226428976.5,11.1,1.3,3.9,x
1658226428993.2,11.1,1.1,3.8,x
1658226429009.5,11.1,1,3.8,x
1658226429126.1,11.2,1,3.7,x
1658226429143.1,11.2,1.1,3.6,x
1658226429176.4,11.2,1.1,3.5,x
1658226429193.4,11.1,1.2,3.7,x
1658226429244,11.2,1.2,3.6,x
1658226429259.5,11.2,1.2,3.5,x
1658226429276.3,11.2,1.1,3.5,x
1658226429292.8,11.2,1,3.5,x
1658226429309.4,11.1,0.9,3.6,x
1658226429326,11.1,0.9,3.9,x
1658226429377.3,11.2,1,3.8,x
1658226429393.6,11.2,1,3.5,x
1658226429409.3,11.2,1,3.3,x
1658226429426.1,11.2,1.1,3,x
1658226429526.2,11.1,1.1,3.1,x
1658226429576.1,11,1.1,3.1,x
1658226429593.1,11.1,1.1,3.2,x
1658226429609.9,11.1,1.1,3.3,x
1658226429626.4,11.1,1,3.4,x
1658226429658.1,11.2,1,3.3,x
1658226429676.1,11.2,1.1,3.3,x
1658226429693.3,11.2,1.2,3.3,x
1658226429826.1,11.1,1.3,3.2,x
1658226429842.7,11.1,1.4,3.2,x
1658226429893.3,11.1,1.4,3.3,x
1658226429979.1,11,1.6,3.2,x
1658226430026.4,11,1.6,3.1,x
1658226430043.3,11,1.7,3.1,x
1658226430093,11,1.9,3,x
1658226430159.4,10.9,2.1,3,x
1658226430293.4,10.9,2,2.9,x
1658226430309.8,10.8,2.1,2.8,x
1658226430326.2,10.8,2.2,2.8,x
1658226430342.8,10.8,2.3,2.7,x
1658226430359.5,10.8,2.4,2.7,x
1658226430393.1,10.7,2.7,2.7,x
1658226430409.2,10.7,2.8,2.7,x
1658226430426.4,10.7,2.9,2.6,x
1658226430459.6,10.7,3.1,2.6,x
1658226430476.4,10.7,3.3,2.7,x
1658226430492.9,10.7,3.4,2.7,x
1658226430527.5,10.7,3.5,2.8,x
1658226430543,10.6,3.6,2.8,x
1658226430709.8,10.6,3.6,2.7,x
1658226430742.8,10.5,3.6,2.7,x
1658226430793.5,10.6,3.5,2.7,x
1658226430842.8,10.7,3.3,2.6,x
1658226430876.1,10.6,3.3,2.7,x
1658226430895.5,10.6,3.2,2.7,x
1658226430926.3,10.6,3.1,2.7,x
1658226430993,10.6,3.1,2.6,x
1658226431026.3,10.6,3.1,2.7,x
1658226431060.1,10.6,3.1,2.6,x
1658226431076.1,10.5,3.1,2.6,x
1658226431126.4,10.5,3,2.7,x
1658226431142.8,10.5,3,2.8,x
1658226431160,10.5,3.1,2.8,x
1658226431226.2,10.5,3,2.8,x
1658226431259.4,10.5,3,2.7,x
1658226431342.8,10.5,2.9,2.6,x
1658226431393,10.4,3.1,2.6,x
1658226431409.6,10.4,3.1,2.5,x
1658226431426.1,10.4,3,2.5,x
1658226431492.9,10.3,3.1,2.4,x
1658226431609.3,10.4,3,2.6,x
1658226431625.8,10.5,2.9,2.5,x
1658226431642.7,10.6,2.7,2.4,x
1658226431660.3,10.6,2.6,2.4,x
1658226431709.6,10.6,2.5,2.4,x
1658226431859.3,10.6,2.4,2.2,x
1658226431875.8,10.6,2.4,2.1,x
1658226431927.1,10.6,2.3,2.1,x
1658226431942.7,10.6,2.3,2,x
1658226431975.9,10.6,2.4,1.9,x
1658226431993.3,10.5,2.4,1.9,x
1658226432026.3,10.5,2.3,1.9,x
1658226432059.4,10.5,2.2,2.1,x
1658226432093.3,10.5,2.3,2.1,x
1658226432126.4,10.5,2.3,2.2,x
1658226432143,10.5,2.2,2.2,x
1658226432176.4,10.5,2.1,2.2,x
1658226432242.7,10.5,2,2.2,x
1658226432259.1,10.5,2,2.1,x
1658226432342.8,10.5,1.9,2.2,x
1658226432476,10.5,1.8,2.1,x
1658226432505.4,10.5,1.8,2.2,x
1658226432542.7,10.5,1.8,2.1,x
1658226432593,10.5,1.7,2.2,x
1658226432626.2,10.4,1.7,2.1,x
1658226432676.3,10.4,1.8,2.2,x
1658226432726.3,10.5,1.7,2.1,x
1658226432842.7,10.5,1.7,2,x
1658226432926,10.6,1.7,2,x
1658226432993.2,10.6,1.6,2.1,x
1658226433042.9,10.6,1.6,2,x
1658226433059.5,10.5,1.6,2,x
1658226433076.2,10.6,1.6,2,x
1658226433126,10.6,1.7,2,x
1658226433159.4,10.6,1.6,2,x
1658226433188.9,10.6,1.6,2.1,x
1658226433210.1,10.6,1.5,2.1,x
1658226433342.6,10.6,1.5,2,x
1658226433393,10.6,1.6,2,x
1658226433409.3,10.6,1.6,2.1,x
1658226433441.3,10.6,1.6,2,x
1658226433467.8,10.7,1.5,2,x
1658226433476,10.7,1.5,2.1,x
1658226433492.7,10.7,1.5,2,x
1658226433559.3,10.7,1.4,2.1,x
1658226433576.2,10.7,1.4,2,x
1658226433643.6,10.7,1.3,2.1,x
1658226433709.9,10.7,1.3,2,x
1658226433759.1,10.7,1.4,2,x
1658226433778.6,10.7,1.3,2.1,x
1658226433845.3,10.7,1.4,2.1,x
1658226433859.2,10.7,1.3,2.1,x
1658226433875.9,10.7,1.4,2.1,x
1658226433892.8,10.7,1.3,2.1,x
1658226433959.3,10.8,1.3,2,x
1658226434142.7,10.8,1.3,2.1,x
1658226434226,10.8,1.2,2,x
1658226434292.8,10.7,1.2,1.8,x
1658226434310.2,10.7,1.1,1.8,x
1658226434416,10.7,1.2,1.8,x
1658226434442.4,10.8,1.2,1.9,x
1658226434610.5,10.8,1.1,2,x
1658226434743,10.9,1.1,1.8,x
1658226434776.1,10.9,1.1,1.9,x
1658226434926.1,10.9,1.1,2.1,x
1658226434959.2,10.9,1.2,2.2,x
1658226434992.4,10.9,1.1,2.1,x
1658226435042.6,11,1.2,2,x
1658226435142.9,11,1.2,1.8,x
1658226435275.9,10.8,1.2,1.8,x
