time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1666170583719.7,0,0,0,
1666170583736.4,79.7,53.9,11.3,x
1666170583753,79.3,53.6,11.4,x
1666170583770.1,78.9,53.4,10.9,x
1666170583786.3,78.7,53.3,10.1,x
1666170583802.9,78.5,53.2,9.8,x
1666170583819.8,78,52.7,9.3,x
1666170583836.4,77.7,52.3,9.1,x
1666170583852.9,77.6,51.5,8.2,x
1666170583869.7,77.4,51.2,8,x
1666170583886.4,76.8,51,7.8,x
1666170583903,76.6,50.5,7,x
1666170583919.8,76,50,6.6,x
1666170583936.4,75.6,49.8,6.5,x
1666170583953.1,74.7,49.3,6.4,x
1666170583969.8,74.2,49.1,6.5,x
1666170583986.4,73.2,48.7,6.9,x
1666170584003,72.4,48.2,7.4,x
1666170584036.5,72.2,46.9,6.7,x
1666170584053,71.9,45.3,5.8,x
1666170584069.8,71.6,44.4,5.4,x
1666170584086.5,70.9,42.5,4.8,x
1666170584103.2,70.1,41.1,4.7,x
1666170584119.7,69.4,40.1,4.9,x
1666170584136.4,69.1,39.5,5.1,x
1666170584153,69.2,39.3,5.1,x
1666170584169.7,69.6,38.9,4.8,x
1666170584186.3,70,38.7,4.3,x
1666170584203.1,70.4,38.4,3.8,x
1666170584219.7,71.3,37.8,2.3,x
1666170584236.5,71.9,37.3,0.7,x
1666170584253,72,36.8,-0.6,x
1666170584269.7,71.8,36.3,-1.3,x
1666170584286.3,71.1,35.6,-1.3,x
1666170584303,70.7,35.2,-1.2,x
1666170584319.7,69.8,34.5,-0.8,x
1666170584336.3,69.4,34.2,-0.6,x
1666170584361.2,68.9,34,-0.3,x
1666170584370.9,67.9,33.7,0.1,x
1666170584387.3,67.6,33.6,0.1,x
1666170584403,67.4,33.6,0.1,x
1666170584426,67,33.7,0,x
1666170584436.5,66.8,33.7,-0.5,x
1666170584453,66.6,33.6,-1.1,x
1666170584469.7,66.5,33.5,-1.8,x
1666170584486.7,66.5,33.6,-2.2,x
1666170584503.2,66.7,33.8,-3.5,x
1666170584519.6,67.2,34.2,-5.2,x
1666170584536.4,67.5,34.5,-6.2,x
1666170584553,67.8,34.8,-7.8,x
1666170584569.7,67.8,34.7,-8.4,x
1666170584586.4,67.8,34,-9.1,x
1666170584603.1,67.3,32.6,-9.3,x
1666170584619.7,66.6,31.1,-9,x
1666170584653.2,65.6,29.2,-9.1,x
1666170584686.4,64.8,27.6,-10.4,x
1666170584703.1,64.3,26.1,-12,x
1666170584719.6,63.6,24.2,-13.4,x
1666170584736.3,63.2,23.2,-14,x
1666170584753.1,62.2,21.6,-14.6,x
1666170584769.6,61.2,20.4,-14.4,x
1666170584786.3,60.7,19.9,-14.1,x
1666170584803.1,60.1,19.5,-13.7,x
1666170584819.7,59.7,19.6,-13.7,x
1666170584836.4,59.6,19.7,-13.9,x
1666170584853,59.1,20.1,-14.1,x
1666170584869.6,58.3,20.4,-14.4,x
1666170584886.4,57.7,20.4,-14.5,x
1666170584902.9,56.2,20.1,-14.7,x
1666170584919.6,54.6,19.7,-14.7,x
1666170584936.3,53.7,19.6,-14.6,x
1666170584953,51.9,19.6,-14.4,x
1666170584969.7,51,19.8,-14.3,x
1666170584986.3,49.4,20.2,-14.1,x
1666170585002.9,48,20.7,-14.1,x
1666170585019.7,46.8,21,-14.5,x
1666170585036.4,46.2,21.2,-14.8,x
1666170585053,44.9,21.2,-15.4,x
1666170585070.6,43.3,20.8,-15.7,x
1666170585086.8,42.5,20.5,-15.7,x
1666170585106.6,40.8,19.6,-15.3,x
1666170585119.6,39.4,19,-14.5,x
1666170585136.3,38.7,18.8,-14.1,x
1666170585153,37.8,18.9,-13.4,x
1666170585169.5,37.3,19.3,-13,x
1666170585186.6,37.3,19.5,-12.9,x
1666170585202.9,37.5,20,-12.9,x
1666170585219.6,38,20.3,-13.4,x
1666170585236.8,38.3,20.4,-13.9,x
1666170585252.9,38.6,20.4,-15,x
1666170585269.7,38.4,20.4,-15.9,x
1666170585286.3,38.2,20.4,-16.1,x
1666170585303,37.3,20.5,-15.8,x
1666170585319.6,36.3,21,-14.7,x
1666170585336.3,35.9,21.4,-14,x
1666170585354.1,35.5,22.1,-13.2,x
1666170585369.7,35.7,24.8,-11.1,x
1666170585386.4,36,25.8,-10.7,x
1666170585402.9,36.5,26.8,-10.5,x
1666170585420.2,37.8,28.6,-10.7,x
1666170585436.9,39.2,29.9,-11.7,x
1666170585453,40.6,30.6,-13.2,x
1666170585470.3,41.3,30.7,-13.9,x
1666170585486.4,42.1,31,-15.2,x
1666170585510.4,42.4,31,-15.6,x
1666170585519.7,42.6,31.1,-16.2,x
1666170585536.9,42.6,31.1,-16.4,x
1666170585553,42.5,31.2,-16.4,x
1666170585570.2,42.5,31.5,-16.1,x
1666170585625.9,43.1,33,-13.7,x
1666170585636.4,43.3,33.2,-13.3,x
1666170585652.9,43.8,33.6,-12.5,x
1666170585669.6,44.5,33.9,-12.1,x
1666170585687,44.9,34,-12,x
1666170585703,46,34.2,-12.2,x
1666170585719.6,47.2,34.5,-12.7,x
1666170585736.4,47.7,34.8,-12.9,x
1666170585753.2,48.9,35.3,-13.4,x
1666170585769.7,49.5,35.6,-13.6,x
1666170585786.5,50.6,36.1,-13.8,x
1666170585802.9,51.5,36.5,-13.7,x
1666170585819.9,52.4,37,-13.4,x
1666170585836.3,52.8,37.2,-13.2,x
1666170585852.9,53.6,37.5,-12.8,x
1666170585869.9,54.4,37.8,-12.4,x
1666170585886.3,54.8,37.8,-12.2,x
1666170585903,55.5,37.7,-11.8,x
1666170585919.5,55.8,37.4,-11.7,x
1666170585937,56.4,36.4,-11.8,x
1666170585953.6,56.5,35.7,-12,x
1666170585969.7,56.4,34.2,-12.5,x
1666170585986.4,56.2,33,-13,x
1666170586002.9,56.5,32.4,-13.2,x
1666170586019.7,57.5,32.3,-13.4,x
1666170586036.8,58.2,32.4,-13.6,x
1666170586052.9,59.9,32.5,-14.1,x
1666170586069.6,61.6,32.7,-14.9,x
1666170586086.3,62.4,32.7,-15.3,x
1666170586102.9,64,32.8,-16.1,x
1666170586119.6,65.3,32.7,-16.9,x
1666170586136.2,65.8,32.6,-17.2,x
1666170586152.9,66.4,32.1,-17.5,x
1666170586169.6,66.3,31.1,-17.5,x
1666170586186.7,66,30.5,-17.4,x
1666170586203,65.2,29,-16.9,x
1666170586237,64.2,27.4,-16.3,x
1666170586258.7,63.2,25.9,-15.6,x
1666170586269.7,62.8,25.2,-15.2,x
1666170586286.2,62,23.6,-13.9,x
1666170586303,61.8,22.8,-13.2,x
1666170586320.4,61.9,22.5,-12.9,x
1666170586336.5,62.3,22,-12.3,x
1666170586352.9,62.9,21.7,-12,x
1666170586369.8,63.7,21.6,-11.8,x
1666170586386.6,64.1,21.5,-11.7,x
1666170586402.9,65,21.6,-11.6,x
1666170586419.9,65.4,21.7,-11.6,x
1666170586436.4,66,21.8,-11.4,x
1666170586453,66.4,21.9,-11,x
1666170586469.6,66.6,21.8,-10.7,x
1666170586486.7,66.7,21.8,-10.3,x
1666170586503,66.8,21.7,-9.2,x
1666170586552.1,67.6,22.9,-7.9,x
1666170586569.8,68.7,24.4,-7.6,x
1666170586586.6,70.1,26,-7.8,x
1666170586602.9,71.7,27.5,-8.6,x
1666170586619.6,73,28.5,-9.6,x
1666170586642.7,73.9,29.2,-10.2,x
1666170586653,74.2,29.5,-10.3,x
1666170586669.6,74.7,30.2,-10.2,x
1666170586686.5,74.9,30.7,-10.1,x
1666170586702.9,75.6,31.9,-10.2,x
1666170586719.5,76,32.5,-10.5,x
1666170586736.3,77,33.6,-11.3,x
1666170586753.5,77.4,34.1,-11.8,x
1666170586769.5,78,35.1,-12.6,x
1666170586786.2,78.1,36.1,-12.9,x
1666170586802.9,77.8,36.8,-12.6,x
1666170586819.6,77.5,37.2,-12.4,x
1666170586836.2,76.9,37.8,-11.8,x
1666170586853,76.1,38.4,-11.2,x
1666170586869.7,75.3,38.8,-10.8,x
1666170586886.3,75,39,-10.6,x
1666170586902.9,74.2,39.3,-10.5,x
1666170586919.7,73.9,39.5,-10.6,x
1666170586936.3,73.1,39.6,-10.9,x
1666170586953.3,72.6,39.6,-11,x
1666170586969.9,71.3,39.2,-11.1,x
1666170586986.3,69.7,38.5,-10.9,x
1666170587002.9,68.1,37.7,-10.4,x
1666170587036.3,66.7,36.6,-10.2,x
1666170587053,64.4,34.4,-10.3,x
1666170587070,63.6,33.5,-10.3,x
1666170587086.4,61.7,31.7,-10.2,x
1666170587102.9,60.7,30.9,-9.9,x
1666170587119.6,59.8,30.3,-9.6,x
1666170587136.6,58.1,29.7,-8.5,x
1666170587152.9,57.9,29.8,-8.3,x
1666170587169.6,57.8,29.9,-8.4,x
1666170587186.2,57.9,30.5,-9.3,x
1666170587202.9,57.7,30.7,-9.6,x
1666170587219.6,57.1,30.9,-9.8,x
1666170587236.4,56.6,30.8,-9.6,x
1666170587252.9,54.5,30.3,-8.7,x
1666170587269.6,53.8,30.1,-8.3,x
1666170587286.2,53,29.8,-8,x
