time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1653397286287.6,-0.2,-0.3,0.4,-3,3.5,9.6,-4.5,63.4,53.4,
1653397286304.3,-0.1,-0.2,0.4,-3,3.6,9.6,2.8,55.5,62.2,x
1653397286321,0.1,-0.4,0.2,-2.7,3.4,9.4,9.6,41.9,67.1,x
1653397286337.6,0.4,-0.7,0.1,-2.4,3.2,9.2,12.2,28.9,68.6,x
1653397286354.3,0.4,-0.6,-0.4,-2.4,3.2,8.7,9.8,22,69,x
1653397286370.9,0.5,-0.8,-0.2,-2.2,3.1,8.8,5.3,27,70.7,x
1653397286387.6,0.6,-1,0.2,-2.1,2.8,9.3,5.7,34.9,73.8,x
1653397286404.2,0.4,-1,0.4,-2.2,2.8,9.5,8.3,42.4,78,x
1653397286420.9,0.4,-0.9,0.4,-2.2,2.9,9.4,7.9,52.4,80.1,x
1653397286437.6,0.6,-0.9,0.5,-2,2.9,9.4,2.6,54,78.7,x
1653397286454.4,0.5,-0.9,0.3,-2.1,2.8,9.4,-5.6,48.5,74.4,x
1653397286471,0.7,-0.9,0.9,-2,2.8,10,-10,43.1,71.5,x
1653397286487.6,1,-0.9,1,-1.3,2.7,10.1,-7.2,39.1,69.6,x
1653397286504.4,1.7,-1.1,0.9,-0.7,2.6,10,-0.8,35.3,67.7,x
1653397286521,1.9,-1.1,0.7,-0.5,2.6,9.9,5.5,27.2,65.4,x
1653397286537.7,1.9,-1.1,0.3,-0.3,2.6,9.5,10.3,20.8,62.7,x
1653397286554.3,1.9,-1,0,-0.3,2.7,8.9,12.2,18.1,59.8,x
1653397286571,2,-1.1,-0.7,-0.1,2.6,8.4,9.8,19.2,55.8,x
1653397286587.6,1.9,-1,-0.9,-0.1,2.7,8.1,4.6,20.3,51.8,x
1653397286604.3,1.9,-0.9,-0.9,0,2.9,8.2,-2.5,21.4,47.8,x
1653397286621,1.5,-0.5,-0.3,-0.3,3.2,8.7,-11.1,18.3,46.7,x
1653397286637.6,1.4,-0.4,0.2,-0.4,3.2,9.2,-17.7,17.1,49.5,x
1653397286654.3,1.2,-0.4,0.5,-0.5,3.2,9.5,-19.2,21.7,54.2,x
1653397286671.3,1,-0.3,0.6,-0.7,3.4,9.7,-19.1,21.4,59.7,x
1653397286688,0.9,-0.1,0.6,-0.7,3.4,9.6,-20.2,9.8,65.1,x
1653397286704.3,0.8,-0.1,0.4,-0.6,3.3,9.5,-21.5,-3.5,69.6,x
1653397286721.4,0.8,-0.1,0.2,-0.5,3.4,9.1,-21.9,-7.7,73.6,x
1653397286738.1,0.9,-0.1,-0.2,-0.4,3.3,8.9,-24.7,0.9,76.6,x
1653397286754.7,0.9,-0.2,-0.1,-0.2,3.2,9.1,-27.3,7.6,79.9,x
1653397286771,0.9,-0.2,0.1,-0.2,3.2,9.3,-25,8.6,84.4,x
1653397286787.6,0.9,-0.2,0.1,0,3.2,9.2,-17.2,3.6,89.6,x
1653397286804.3,1.2,0.1,-0.3,0.4,3.4,8.8,-7.5,-0.5,92.9,x
1653397286821,1.6,0,-1,0.9,3.3,8.2,0.9,0,91.2,x
1653397286837.7,1.9,0,-1.3,1.3,3.3,7.6,3.5,1.3,83.4,x
1653397286854.7,1.7,-0.1,-1.7,1.1,3.3,7.3,-1.1,3.7,73.7,x
1653397286870.9,1.2,-0.2,-1.8,0.8,3.1,7.3,-9.9,9.7,66.1,x
1653397286887.9,1,-0.3,-1.5,0.6,3,7.5,-18.3,21.1,61.5,x
1653397286904.4,0.8,-0.3,-1.2,0.3,2.7,8.2,-22.4,33.4,60.3,x
1653397286921.2,0.4,-0.6,0,-0.1,2.7,9.1,-19.1,39.9,62.9,x
1653397286937.6,0.2,-0.1,0.6,-0.2,3,9.7,-13,31.8,66.3,x
1653397286954.3,0.3,-0.1,0.8,-0.2,3,9.9,-3.1,18.3,65.7,x
1653397286971.2,0.3,-0.2,0.5,-0.1,3,9.5,4.6,9.9,64.5,x
1653397286987.9,0.2,-0.2,0,-0.1,3,9,5.7,11.4,64.7,x
1653397287004.4,0.3,0.1,0,0,3.3,9,2.3,16.2,65.2,x
1653397287020.9,0.2,0.3,0.1,-0.1,3.5,9.3,-2.6,19.4,65.2,x
1653397287037.6,0.2,0.4,0.5,-0.1,3.6,9.7,-5.5,22.3,65.7,x
1653397287054.4,0.1,0.4,1,-0.2,3.6,10.1,-3.9,26.3,66.9,x
1653397287071,0,0.4,1,-0.3,3.7,10,0.7,30.5,68.2,x
1653397287088,0,0.5,0.9,-0.5,3.8,10.1,4,29,68.2,x
1653397287104.3,-0.7,0.3,1.9,-1.1,3.5,11.2,8.6,19,72.2,x
1653397287121,-1.3,-0.1,2.9,-1.5,3.3,12.1,17.7,4,81.8,x
1653397287137.6,-1.3,-0.4,2.5,-1.5,2.9,11.2,26.6,-0.7,90.8,x
1653397287154.3,-1.2,-0.9,0.9,-1.3,2.5,9.8,26.2,3.9,94.7,x
1653397287171,-1.2,-1,0,-1.3,2.5,9.2,17.4,14.2,94.9,x
1653397287187.7,-1.2,-0.8,0.5,-1.3,2.8,10.2,17.4,14.2,94.9,x
1653397287204.3,-1,-0.6,1.6,-1.1,2.9,10.7,-4.5,20.1,88,x
1653397287221.5,-1,-0.7,1.4,-1.1,2.7,10.6,-10.3,35.7,82.8,x
1653397287241.4,-1.2,-0.8,1.1,-1.4,2.6,10.4,-12.8,55.4,79.9,x
1653397287254.9,-1.2,-0.8,0.9,-1.6,2.6,10.3,-11.3,64.5,78.8,x
1653397287271.6,-1.5,-0.7,1.1,-1.9,2.7,10.3,-5,57.9,78.5,x
1653397287287.7,-1.5,-0.6,0.5,-2,2.8,9.8,1.9,42.9,80.2,x
1653397287305.2,-1.4,-0.6,-0.4,-1.9,2.8,9,5.7,33.7,81.1,x
1653397287321,-1.4,-0.5,-0.7,-1.8,2.9,8.4,5.4,31.9,82.3,x
1653397287337.6,-1.2,-0.5,-1,-1.7,2.9,8.3,3.5,33.4,84.4,x
1653397287354.3,-1,-0.6,-0.9,-1.4,2.8,8.5,2.8,32.4,85.2,x
1653397287370.9,-0.6,-0.6,-0.7,-1.2,2.9,8.6,5.1,27.5,83.2,x
1653397287398.7,-0.7,-0.6,-0.9,-1.2,2.9,8.5,9.9,21.5,81.9,x
1653397287404.2,-0.7,-0.5,-1.3,-1.2,3,7.9,12.3,17.8,81.5,x
1653397287421,-0.4,-0.7,-1.8,-0.8,2.8,7.3,12.3,17.8,81.5,x
1653397287437.6,-0.1,-0.6,-1.5,-0.6,3,7.7,8.1,26.3,73.8,x
1653397287454.3,-0.1,-0.3,-1.2,-0.7,3.3,7.9,6.1,31.2,69.1,x
1653397287471,-0.1,-0.1,-0.7,-0.6,3.5,8.4,4.8,32.4,62.1,x
1653397287487.6,0.1,-0.2,-0.3,-0.6,3.4,8.8,5.6,30.5,50.2,x
1653397287504.3,-0.5,0,-0.4,-1.2,3.7,8.6,5.1,28.9,42.9,x
1653397287521,-0.8,0.3,-0.4,-1.4,4,8.6,1.7,29.8,44.2,x
1653397287537.6,-0.6,0.3,-0.2,-1,4,8.8,1.7,29.8,44.2,x
1653397287554.3,0,0.3,0,-0.7,4,8.9,0.8,37.3,44.3,x
1653397287571,0.2,0.3,-0.2,-0.6,4,8.8,3.1,41.8,37.5,x
1653397287587.6,0,0.1,-0.5,-0.9,3.8,8.4,3.1,42.3,30.2,x
1653397287604.9,-0.5,-0.4,-0.9,-2,3.1,8.1,-0.3,51.9,30.8,x
1653397287621.6,-1.5,-0.7,-0.6,-2.7,3.1,8.3,-7.7,55.8,39,x
1653397287637.6,-1.4,-0.5,-0.7,-2.6,3.2,8.2,-14.9,47.4,45,x
1653397287654.9,-1.1,-0.7,-0.7,-2.1,2.9,8.3,-14.9,47.4,45,x
1653397287671,-0.3,-0.4,-0.1,-1.3,3.6,8.9,-19.1,29.3,52.2,x
1653397287687.6,1,0.7,0.4,-0.3,4.3,9.4,-14.6,20,46.1,x
1653397287704.3,1.1,0.8,0.9,-0.2,4.4,9.9,-8.8,7.6,33.1,x
1653397287721,1,0.9,0.6,-0.2,4.5,9.3,-6.5,-6.8,21.7,x
1653397287737.6,0.9,1,-0.1,-0.3,4.7,8.9,-9.2,-14,15.7,x
1653397287754.3,0.4,1.1,0.3,-0.7,4.6,9.3,-12.3,-22.1,14.8,x
1653397287771.2,0.3,0.8,0.9,-0.7,4.4,9.8,-10.9,-27.4,15.4,x
1653397287787.6,0.3,0.9,1,-0.6,4.4,10.1,-5.1,-28.4,17.5,x
1653397287804.2,0.5,0.8,1.1,-0.2,4.4,10.1,2.7,-27.1,20.5,x
1653397287820.9,1,0.4,0.5,0.3,4.1,9.5,8.8,-25.7,19.7,x
1653397287837.6,1,0.3,-0.2,0.4,3.8,8.7,6.8,-19.9,12.7,x
1653397287854.3,0.8,0.1,-0.8,0,3.7,8.2,-4.1,-10.8,4.2,x
1653397287871,-0.1,0.1,-0.9,-0.7,3.7,8.2,-17.4,4.1,0.4,x
1653397287888.3,-1.2,0.3,0,-1.7,3.8,8.9,-26.8,25.8,2.3,x
1653397287904.9,-1.3,0.4,0.8,-2,4,10.1,-25.4,37.8,11.1,x
1653397287921,-1.1,0.9,1.6,-1.9,4.3,10.7,-15.9,30,19.8,x
1653397287937.7,-1.1,0.8,1.3,-2,4.3,10.4,-3.7,16.9,25.3,x
1653397287954.9,-1,0.5,1,-2,3.8,9.9,5.3,3.9,26.4,x
1653397287971.6,-1.3,0,0.3,-2.2,3.5,9.3,7,-2.3,28.7,x
1653397287987.7,-1.2,-0.3,0.1,-1.9,3.2,9.3,4.1,-4.1,33.2,x
1653397288004.9,-0.7,-0.5,0.2,-1.5,3,9.3,1.9,-2,36.9,x
1653397288021.2,-0.7,-0.4,0.2,-1.5,3.1,9.3,1.7,4.9,38.9,x
1653397288037.6,-0.8,-0.3,0.2,-1.5,3.2,9.4,0.9,8.4,38.3,x
1653397288054.2,-0.7,-0.6,0.5,-1.4,2.9,9.7,-1.8,4.3,34.8,x
1653397288071.2,-0.6,-0.7,0.6,-1.1,2.6,9.9,-4.9,2.2,29.8,x
1653397288087.6,-0.5,-1.3,0.8,-1.2,2.1,10,-2.7,4.6,25.4,x
1653397288104.3,-0.3,-1.5,0.9,-1,2,10.1,4.7,10.3,24.3,x
