time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1658433902408,0.04,-0.07,0.23,-1.77,-4.38,-8.38,3.5,-1.79,-1.14,x
1658433902421,0.15,0.21,-0.1,-1.94,-3.33,-9.01,-19.9,22.74,3.24,x
1658433902437,-0.13,0.11,-0.19,-2.17,-3.38,-9.12,-17.05,18.72,-1,x
1658433902454,-0.48,0.09,-0.35,-2.48,-3.37,-9.31,-14.33,17.65,-6.97,x
1658433902470,-0.5,-0.15,-0.3,-2.44,-3.58,-9.27,-14.53,20.08,-10.18,x
1658433902487,-0.26,0.06,0.11,-2.12,-3.33,-8.91,-14.71,29.65,-6.37,x
1658433902504,0.05,-0.17,-0.14,-1.73,-3.53,-9.18,-13.55,30.24,-3.52,x
1658433902521,0.14,0.06,-0.15,-1.55,-3.26,-9.22,-11.04,24.9,0.45,x
1658433902537,0.13,0.17,-0.12,-1.51,-3.13,-9.21,-10.22,17.85,-1.53,x
1658433902554,-0.25,0,0.05,-1.85,-3.27,-9.05,-10.82,13.05,-7.31,x
1658433902571,-0.27,0.02,0.09,-1.82,-3.22,-9.04,-12.77,11.81,-12.58,x
1658433902587,-0.13,-0.04,0.08,-1.64,-3.25,-9.06,-11.7,13.1,-11.14,x
1658433902604,0.2,-0.06,-0.14,-1.27,-3.26,-9.29,-10.1,16.87,-7.53,x
1658433902621,0.21,-0.16,0.07,-1.19,-3.32,-9.11,-10.88,19.82,-2.09,x
1658433902637,0.13,-0.18,0.08,-1.22,-3.31,-9.12,-12.56,18.8,2.76,x
1658433902654,-0.09,-0.13,0.06,-1.4,-3.24,-9.15,-13.13,16.8,1.83,x
1658433902671,-0.33,-0.15,-0.05,-1.59,-3.21,-9.28,-12.59,19.23,-0.56,x
1658433902687,-0.39,-0.12,-0.22,-1.6,-3.16,-9.47,-10.67,23.16,-1.31,x
1658433902704,-0.19,-0.04,-0.22,-1.34,-3.05,-9.48,-8.38,23.62,1.22,x
1658433902721,-0.05,-0.16,-0.23,-1.13,-3.17,-9.5,6.48,25.28,4.13,x
1658433902737,-0.25,-0.17,-0.75,-1.25,-3.2,-10.02,12.84,38.8,3.41,x
1658433902754,-0.47,-0.13,-0.26,-1.39,-3.19,-9.53,10.87,27.04,-6.42,x
1658433902771,-0.95,-0.74,0.1,-1.77,-3.82,-9.17,-2.14,21.43,-25.94,x
1658433902787,-0.75,-0.37,0.38,-1.51,-3.44,-8.9,-17.29,11.54,-33.19,x
1658433902804,-0.08,0.03,0.57,-0.78,-2.98,-8.74,-29.62,5.71,-34.21,x
1658433902821,0.49,0.38,0.1,-0.16,-2.53,-9.24,-34.33,7.19,-31.16,x
1658433902837,0.24,0.17,0.28,-0.36,-2.67,-9.09,-30.91,22.56,-26.74,x
1658433902854,0.41,0.4,-0.78,-0.11,-2.37,-10.17,-23.4,26.6,-22.44,x
1658433902871,0.43,0.19,-0.18,0.02,-2.52,-9.59,-15.74,26.37,-13.47,x
1658433902887,0.31,0.85,-0.31,-0.02,-1.83,-9.74,-11.53,33.91,-2.35,x
1658433902904,0.53,-0.22,0.36,0.26,-2.88,-9.08,-7.59,12.01,-0.64,x
1658433902921,0.47,-0.6,0.33,0.22,-3.24,-9.11,-2.85,8.84,-0.27,x
1658433902937,0.76,0.1,-0.37,0.53,-2.53,-9.81,-8.14,8.95,3.35,x
1658433902954,0.67,0.18,1.13,0.46,-2.42,-8.32,-16.55,11.54,8.61,x
1658433902971,0.74,-0.15,0.65,0.57,-2.68,-8.82,-28.1,19.67,16.59,x
1658433902987,0.72,-0.32,0.73,0.59,-2.77,-8.77,-38.27,15.86,21.17,x
1658433903004,0.7,-0.23,0.65,0.57,-2.56,-8.88,-49.99,0.78,22.38,x
1658433903021,-0.23,-0.12,0.72,-0.4,-2.26,-8.85,-64.5,-19.19,10.17,x
1658433903037,-0.48,-0.25,-0.04,-0.71,-2.22,-9.64,-72.51,-19.93,-1.05,x
1658433903054,-0.2,-0.3,-0.16,-0.48,-2.08,-9.8,-80.66,-23.87,-7.38,x
1658433903071,0.03,-0.32,-0.22,-0.34,-1.81,-9.91,-89.21,-26.77,-15.75,x
1658433903087,-0.08,-0.46,-1.3,-0.49,-1.73,-11.02,-85.9,-9.44,-23.7,x
1658433903104,-0.49,-0.29,-2.11,-0.89,-1.35,-11.85,-77.32,3.74,-29.05,x
1658433903121,-0.8,0.09,-0.19,-1.23,-0.74,-9.95,-62.67,-33.2,-27.73,x
1658433903137,-0.83,0.44,0.51,-1.36,-0.25,-9.26,-44.75,-42.37,-26.88,x
1658433903154,0.25,0.73,-0.85,-0.38,0.12,-10.62,-26.71,-50.04,-25.5,x
1658433903171,0.09,0.68,-0.11,-0.74,0.13,-9.86,-10.33,-69.19,-29.53,x
1658433903187,0.23,0.67,0.02,-0.79,0.13,-9.72,-6.86,-78.49,-29.63,x
1658433903204,0.46,0.36,1.12,-0.77,-0.16,-8.6,-11.67,-88.99,-27.1,x
1658433903221,0.8,0.12,2.85,-0.79,-0.35,-6.82,-25.47,-136.7,-23.25,x
1658433903237,0.9,0.14,3.43,-1.08,-0.27,-6.17,-27.84,-168.02,-21.87,x
1658433903254,0.49,0.52,0.92,-1.88,0.14,-8.59,-11.06,-139.23,-35.49,x
1658433903271,-0.91,-0.37,-4.9,-3.56,-0.82,-14.33,28.6,-24.77,-62.26,x
1658433903287,-1.36,-0.72,-4.76,-4.01,-1.32,-14.18,54.33,-4.96,-61.12,x
1658433903304,-0.18,-0.24,-0.34,-2.86,-1.03,-9.74,70.54,-13.06,-44.22,x
1658433903321,0.25,-0.15,-1.14,-2.43,-1.23,-10.51,80.87,7.87,-21.58,x
1658433903337,-0.07,-0.1,-1.09,-2.7,-1.38,-10.45,86.88,38.01,-0.25,x
1658433903354,0.53,0.04,-1.68,-1.97,-1.47,-11.04,101.34,65.51,22.14,x
1658433903371,0.35,0.26,-1.34,-1.9,-1.59,-10.7,124.2,98.22,41.88,x
1658433903387,-0.07,0.55,-1.15,-2.08,-1.59,-10.51,132.39,117.53,49.05,x
1658433903404,-0.51,0.88,0.36,-2.26,-1.53,-8.98,111.49,115.34,51.36,x
1658433903421,-0.87,0.2,1.94,-2.32,-2.48,-7.38,61.59,88.22,29.39,x
1658433903437,-0.98,-0.15,2.26,-2.27,-2.94,-7.05,33.82,58.13,14.59,x
1658433903454,-0.26,-0.1,1.38,-1.42,-2.95,-7.94,22.64,61.13,4.07,x
1658433903471,0.1,0.46,0.01,-0.86,-2.46,-9.31,30.97,58.72,22.46,x
1658433903487,-1.8,0.17,0.17,-2.57,-2.84,-9.13,47.33,127.97,9.08,x
1658433903504,-2.1,-1.71,-3.17,-2.42,-4.86,-12.45,69.44,226.52,-7.88,x
1658433903521,0.35,0.35,1.21,0.73,-3.04,-7.98,66.95,184.23,27.08,x
1658433903537,-0.49,0.85,2.74,0.28,-2.69,-6.38,48.84,175.72,12.03,x
