time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1655202255302.7,0.6,0.1,0.3,0,5.6,8.4,-0.8,-1.4,10.3,
1655202255319.4,0.2,0,0,-0.2,5.5,8.1,1.1,8.7,7.4,x
1655202255336.3,0,0,-0.2,-0.3,5.5,7.9,2,13.7,8.1,x
1655202255353.1,0.2,-0.1,-0.4,-0.1,5.4,7.7,2.3,17.6,14.1,x
1655202255369.8,0.7,-0.1,-0.5,0.4,5.5,7.5,2.5,13.3,18,x
1655202255386.4,0.6,-0.1,-0.5,0.4,5.5,7.6,3.1,7.5,16.6,x
1655202255403,-0.2,0.1,-0.8,-0.3,5.8,7.2,-0.7,9.6,9.3,x
1655202255419.6,0.2,-0.2,-1,0.1,5.7,6.9,-11,12.8,8.6,x
1655202255436,0,-0.3,-0.5,-0.1,5.6,7.4,-16.7,10.7,9.4,x
1655202255453,-0.2,-0.2,0.4,-0.3,5.8,8.2,-27.9,19.2,7.5,x
1655202255469.8,-0.6,-0.3,0.9,-0.8,5.5,8.8,-23.6,5.3,6.2,x
1655202255486.3,-0.5,-0.2,0.9,-0.8,5.5,8.9,-17.5,-3.5,6.8,x
1655202255503,-0.1,0.1,0.7,-0.5,5.6,8.8,-2.1,-11.6,6.4,x
1655202255519.4,0,0,0.1,-0.4,5.5,8.3,10.4,-4.4,2.7,x
1655202255536,0,0.1,-0.1,-0.4,5.5,8.1,14,2.3,1.5,x
1655202255553.3,-0.1,0.2,-0.4,-0.5,5.7,7.7,10.7,6.7,2.1,x
1655202255569.7,0.1,0,-0.7,-0.3,5.6,7.4,5,7.1,2.5,x
1655202255586.3,0.2,-0.1,-0.5,-0.2,5.6,7.5,1.6,1.8,3,x
1655202255603,0.2,-0.1,-0.2,-0.1,5.6,7.8,-6.9,-9.5,2.6,x
1655202255619.5,0.1,-0.2,0.3,-0.2,5.5,8.3,-10.2,-22.2,1,x
1655202255636.2,0.1,0,0.6,-0.2,5.7,8.6,-8.9,-39.9,-2.9,x
1655202255653,0,0,0.5,-0.2,5.5,8.6,-2.8,-36,-2.2,x
1655202255669.5,0,0.1,0.5,-0.3,5.5,8.6,-1.4,-29.2,-0.6,x
1655202255686.4,0,0.1,0.4,-0.2,5.6,8.5,0.6,-9.1,4.5,x
1655202255702.7,0.3,0.1,0.2,0.1,5.5,8.3,4.9,-2.3,7.5,x
