time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1666170346913.8,0,0,0,
1666170346930.8,55.1,85.6,34.9,x
1666170346947.3,57.1,85.2,32.9,x
1666170346963.8,59,85,31,x
1666170346980.6,59.8,84.9,30.2,x
1666170346997.2,60.6,84.7,29.3,x
1666170347031.3,60.2,84.5,29.6,x
1666170347047.5,59.8,84.4,30,x
1666170347064.2,59.5,84.4,30.2,x
1666170347080.5,59,84.5,30.7,x
1666170347097.2,58.5,84.6,31.2,x
1666170347113.9,57.9,84.7,31.9,x
1666170347130.5,57.6,84.8,32.2,x
1666170347147.7,57.3,84.8,32.5,x
1666170347163.9,56.8,84.9,33,x
1666170347181.4,56.7,85,33.1,x
1666170347197.3,56.6,85,33.2,x
1666170347215,56.5,85,33.2,x
1666170347230.5,56.5,85,33.3,x
1666170347247.3,56.1,85,33.6,x
1666170347264.5,55.8,85,33.9,x
1666170347280.5,55.4,85.1,34.4,x
1666170347304.5,54.5,85,35.3,x
1666170347315.9,53.8,85,36,x
1666170347330.5,53.3,84.9,36.5,x
1666170347347.1,52.8,84.9,36.9,x
1666170347363.8,52.7,84.8,37.1,x
1666170347380.5,52.7,84.7,37.1,x
1666170347397.4,52.9,84.7,36.9,x
1666170347413.8,53.4,84.6,36.4,x
1666170347430.4,53.9,84.5,35.8,x
1666170347448.1,54.2,84.5,35.6,x
1666170347464.6,54.7,84.5,35,x
1666170347480.5,55.3,84.6,34.5,x
1666170347513.8,55.1,84.7,34.7,x
1666170347547.4,54,84.7,35.9,x
1666170347563.9,53.5,84.7,36.4,x
1666170347598.1,53.3,84.6,36.6,x
1666170347614.1,53.1,84.7,36.8,x
1666170347647.8,53.3,84.8,36.7,x
1666170347663.8,53.5,84.8,36.5,x
1666170347680.9,53.1,84.8,36.8,x
1666170347697.1,52.2,84.9,37.8,x
1666170347713.8,51.6,84.9,38.4,x
1666170347730.5,50.5,84.8,39.5,x
1666170347747.2,50,84.8,40,x
1666170347764.6,49.3,84.7,40.7,x
1666170347780.7,48.7,84.6,41.3,x
1666170347797.2,48.5,84.5,41.5,x
1666170347831.1,48.7,84.5,41.3,x
1666170347867.5,50,84.5,39.9,x
1666170347880.4,50.5,84.5,39.5,x
1666170347897.1,51.4,84.5,38.6,x
1666170347913.8,51.8,84.5,38.2,x
1666170347930.4,52.5,84.5,37.6,x
1666170347947.1,53,84.6,37,x
1666170347963.8,53.3,84.6,36.7,x
1666170347980.5,53.9,84.7,36.2,x
1666170347997.1,54.4,84.8,35.7,x
1666170348014,54.6,84.8,35.4,x
1666170348030.4,55.3,84.9,34.8,x
1666170348047.6,56,84.9,34.1,x
1666170348064.3,56.4,84.9,33.7,x
1666170348080.4,57,84.9,33.2,x
1666170348097.1,57.2,85,32.9,x
1666170348113.8,57.5,85,32.6,x
1666170348130.4,57.7,85,32.5,x
1666170348147.7,57.7,85,32.4,x
1666170348163.8,57.6,85,32.5,x
1666170348197.2,57.7,85,32.4,x
1666170348230.4,57.5,85,32.6,x
1666170348247.1,57.4,85,32.8,x
1666170348263.8,57.4,85,32.7,x
1666170348280.5,57.5,85,32.6,x
1666170348297.1,57.8,84.9,32.3,x
1666170348313.9,58,84.9,32.1,x
1666170348330.5,57.9,84.9,32.2,x
1666170348347.1,57.8,85,32.3,x
1666170348363.8,57.9,85,32.1,x
1666170348380.4,58.2,84.9,31.8,x
1666170348397.2,59.4,84.8,30.6,x
1666170348413.8,60,84.8,29.9,x
1666170348431.6,61.6,84.8,28.3,x
1666170348447.3,62.5,84.8,27.4,x
1666170348463.8,64.7,84.7,25.1,x
1666170348480.5,66,84.6,23.8,x
1666170348497.2,67.3,84.6,22.6,x
1666170348514.1,70.6,84.5,19.2,x
1666170348530.4,72.2,84.5,17.6,x
1666170348547.6,72.9,84.5,16.9,x
1666170348563.8,74.2,84.5,15.6,x
1666170348580.4,74.4,84.6,15.5,x
1666170348597.1,73.9,84.7,16,x
1666170348614.5,72.4,84.8,17.6,x
1666170348647.1,69.1,84.8,20.9,x
1666170348664.4,68.4,84.8,21.6,x
1666170348680.4,67.7,84.9,22.3,x
1666170348697.1,66.5,84.9,23.6,x
1666170348713.8,66.3,84.9,23.7,x
1666170348730.5,66.1,84.9,23.9,x
1666170348747.2,65.8,84.8,24.2,x
1666170348763.7,65.6,84.8,24.4,x
1666170348796.9,65.6,84.7,24.4,x
1666170348813.8,65.7,84.7,24.2,x
1666170348830.3,65.6,84.7,24.4,x
1666170348847,65.1,84.7,24.8,x
1666170348864.2,64.7,84.7,25.2,x
1666170348897.1,64.4,84.8,25.5,x
1666170348914.4,64,84.8,25.8,x
1666170348930.3,63.8,84.9,26,x
1666170348947,63.5,85,26.2,x
1666170348980.6,63.8,85,25.9,x
1666170348997.1,63.9,84.9,25.7,x
1666170349030.4,63.8,84.8,25.9,x
1666170349047.6,63.6,84.8,26.1,x
1666170349063.7,63.1,84.7,26.6,x
1666170349080.4,62.6,84.7,27,x
1666170349097.4,62.2,84.6,27.4,x
1666170349113.8,61.4,84.6,28.2,x
1666170349130.4,60.5,84.5,29.1,x
1666170349147,59.6,84.4,30,x
1666170349163.7,59.2,84.3,30.5,x
1666170349180.4,58.2,84.3,31.5,x
1666170349197,57,84.2,32.7,x
1666170349213.8,56.6,84.2,33.1,x
1666170349230.4,55.9,83.8,34.1,x
1666170349247.1,57.4,83.6,33.2,x
1666170349263.7,57.8,83.4,33.1,x
1666170349280.4,57.3,83.2,34.2,x
1666170349297.1,56.5,82.9,35.6,x
1666170349314.1,57.6,82.9,34.8,x
1666170349330.4,61.6,83.1,31.3,x
1666170349347,64.3,83.1,28.8,x
1666170349363.7,70.1,83.3,23.6,x
1666170349380.4,74.8,83.4,19.6,x
1666170349413.7,79.2,83.5,16.2,x
1666170349447.2,84.4,83.5,12.5,x
1666170349463.7,85.9,83.5,11.2,x
1666170349480.7,87.5,83.5,10,x
1666170349497.1,89,83.5,8.7,x
1666170349513.8,94,83.4,4.4,x
1666170349530.4,95.7,83.3,2.9,x
1666170349547.5,98.9,83.2,0.1,x
1666170349563.7,102.1,83.1,-2.6,x
1666170349602.2,104.8,82.7,-4.9,x
1666170349614.2,110.3,82,-9.7,x
1666170349630.4,111.9,81.8,-11,x
1666170349647.1,114.9,81.1,-13.2,x
1666170349680.4,116,80.8,-13.8,x
1666170349712.9,118.4,80.4,-15.7,x
1666170349730.3,119.4,80.3,-17.1,x
1666170349747.2,118.3,80.2,-16.1,x
1666170349763.7,117.7,80.2,-15.5,x
1666170349780.4,117.2,80.1,-15.1,x
1666170349797.1,116.9,79.9,-14.9,x
1666170349830.4,116.7,79.6,-15.1,x
1666170349847,115.9,79.4,-14.5,x
1666170349864.1,115.4,79.3,-14.1,x
1666170349880.4,114.4,79.2,-13.2,x
1666170349897.1,113.9,79.2,-12.7,x
1666170349913.7,112.9,79.1,-11.9,x
1666170349930.4,112.5,79.1,-11.6,x
1666170349947,111.1,79,-10.4,x
1666170349964.3,110.9,78.9,-10.3,x
1666170349980.3,110.9,78.8,-10.6,x
1666170350013.8,109.9,78.7,-10.1,x
1666170350048.2,108.1,78.8,-8.2,x
1666170350078.4,108.6,79,-8.5,x
1666170350097.3,108.2,79,-7.8,x
1666170350117.1,108,79,-7.1,x
1666170350130.7,108.8,79.1,-7.3,x
1666170350147,109.7,79.2,-7.7,x
1666170350163.6,109.9,79.3,-7.9,x
1666170350180.3,110.3,79.5,-8,x
1666170350197.1,110.5,79.7,-8.3,x
1666170350213.7,110.5,79.8,-8.2,x
1666170350233.2,111.4,80.1,-9,x
1666170350247,114,80.4,-11.4,x
1666170350263.8,115.4,80.5,-12.8,x
1666170350280.3,117.9,80.6,-15.3,x
1666170350297,118.8,80.7,-16.3,x
1666170350314,120.1,81.1,-17.8,x
1666170350331.1,120.3,81.6,-18,x
1666170350347.1,120,81.8,-17.7,x
1666170350363.6,119.8,81.7,-17.5,x
1666170350380.3,118.9,81.6,-16.8,x
1666170350397.3,118.1,81.4,-16.1,x
1666170350413.6,117.7,81.3,-15.8,x
1666170350430.3,117.3,81.3,-15.4,x
1666170350447.1,117.1,81.4,-15.4,x
1666170350463.7,117.1,81.6,-15.5,x
1666170350480.4,117.4,81.8,-15.8,x
1666170350513.7,117.2,81.9,-15.8,x
1666170350530.5,116.8,81.8,-15.6,x
1666170350548.6,115.4,81.6,-14.7,x
1666170350563.7,114.3,81.5,-14,x
1666170350580.3,113.7,81.5,-13.6,x
1666170350597,112.6,81.5,-13,x
1666170350613.7,111.7,81.6,-12.6,x
1666170350631.3,111.4,81.5,-12.5,x
1666170350664.4,110.5,81.2,-12.1,x
1666170350680.3,110.1,81.1,-12,x
1666170350697,108.3,81.1,-10.4,x
