time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1666170561175.7,-0.7,0,-2.6,-2.9,9.7,1,45.8,-13.9,11.3,
1666170561192.7,-0.6,0.4,-2.9,-2.8,10,0.1,24.7,-38.6,17.7,x
1666170561209,-0.6,0.4,-3.1,-2.8,10.1,-0.5,-0.4,-52.2,26.1,x
1666170561226.1,-0.1,-0.2,-2.9,-2.2,9.7,-0.7,-26.5,-48.1,28.6,x
1666170561243.1,0.1,-0.6,-2.5,-1.8,9.1,-0.2,-49.3,-44.8,32.8,x
1666170561259.3,0.3,-0.9,-1.7,-1.5,8.7,0.5,-69.7,-59.1,35.5,x
1666170561275.7,0.3,-0.8,-1.4,-1.2,8.7,1,-83.7,-85.2,34.8,x
1666170561292.5,0.4,-0.3,-1.1,-1,9.1,1.5,-93.9,-111.7,32.5,x
1666170561308.9,0.5,-0.1,-1.1,-0.2,9.4,1.9,-98.2,-87.3,27.3,x
1666170561325.6,1,0.1,-0.9,0.8,8.2,4.3,-81.7,-9.7,18.5,x
1666170561342.3,2,-1.8,3,1,7.3,6.4,-50.9,24.5,2.7,x
1666170561359,1.4,-1.2,3.1,-0.3,8.6,6.3,-13.1,32,-9.5,x
1666170561376.6,-0.5,0.4,1.9,-1.7,9.4,5.1,15.1,42.7,-7.4,x
1666170561392.3,-1,0.5,0.9,-1.7,9.4,5.1,15.1,42.7,-7.4,x
1666170561409.1,-0.8,0.2,-1,-1.9,9.3,2.6,23,41.8,14,x
1666170561425.8,-0.5,0.2,-1.3,-1.5,9.3,2.1,15,35.4,21.9,x
1666170561442.5,-0.2,0.2,-1.3,-0.9,9.4,2.1,5.2,25.3,25,x
1666170561459,0.7,0.3,-0.9,-0.4,9.5,2.4,-3.4,12.2,22.3,x
1666170561475.8,0.7,0.3,-0.9,-0.4,9.5,2.4,-3.4,12.2,22.3,x
1666170561492.3,0.8,0.1,-0.1,-0.1,9.3,3.3,-7.9,-10.7,6.2,x
1666170561508.9,0.4,0.2,0.1,-0.4,9.3,3.4,-6.2,-11.5,-0.6,x
1666170561525.8,0.3,0.2,0.1,-0.5,9.3,3.4,-5.7,-6.2,-5.8,x
1666170561542.3,0.2,0,0,-0.6,9.2,3.4,-6.8,2.2,-9.9,x
1666170561559,-0.2,0,0.2,-1,9.1,3.5,-7.3,7.6,-12.9,x
1666170561575.6,-0.2,0,0.2,-1,9.1,3.5,-7.3,7.6,-12.9,x
1666170561594,-0.8,0,0.3,-2,9,3.6,-2.5,7.4,-10,x
1666170561608.9,-0.9,-0.1,0.2,-2,9,3.6,1.5,5.6,-4.7,x
1666170561626.8,-0.9,-0.1,0.1,-2,9,3.4,4.8,4.3,2,x
1666170561642.4,-0.9,-0.1,-0.1,-1.9,9,3.2,4.8,4.3,2,x
1666170561658.9,-0.6,0,-0.4,-1.6,9.1,2.9,5.6,6.4,12.8,x
1666170561675.7,-0.3,-0.1,-0.6,-1.6,9.1,2.9,5.6,6.4,12.8,x
1666170561697.6,-0.2,-0.1,-0.5,-1.3,9.1,2.8,4.4,9.3,14.3,x
1666170561709,0.1,0.2,-0.6,-0.9,9.3,2.7,1.5,6.2,12.3,x
1666170561725.8,0.3,0.1,-0.6,-0.7,9.3,2.7,-1.6,3.2,8.6,x
1666170561742.3,0.4,0.1,-0.5,-0.5,9.2,2.7,-5.1,0,3.9,x
1666170561758.9,0.3,0,-0.4,-0.6,9.1,2.8,-7.9,-1.2,-0.7,x
1666170561776.9,0.3,0,-0.4,-0.6,9.1,2.8,-7.9,-1.2,-0.7,x
1666170561793.7,0,-0.1,-0.3,-0.8,9.1,2.9,-10.1,-1.5,-3.5,x
1666170561809,-0.4,0,-0.1,-1.3,9.1,3.3,-12.1,-2.6,-2.3,x
1666170561825.7,-0.4,0,0,-1.4,9.1,3.4,-11.6,-4.3,0.6,x
1666170561842.3,-0.4,0.1,0,-1.4,9.1,3.4,-11.6,-4.3,0.6,x
1666170561859,-0.1,0.1,0.2,-0.9,9.2,3.6,-10.3,-4.6,3.9,x
1666170561875.8,0.2,0.1,0.2,-0.8,9.1,3.7,-9.4,-4.8,3.1,x
1666170561892.4,0.2,0.1,0.3,-0.7,9.2,3.8,-9.1,-4.7,2.1,x
1666170561908.9,0.2,0.1,0.3,-0.7,9.2,3.8,-8.7,-3.5,1.3,x
1666170561926,0.2,0.1,0.4,-0.8,9.2,3.9,-7.7,-2.4,0.6,x
1666170561942.2,0.1,0.1,0.4,-0.8,9.2,3.9,-7.7,-2.4,0.6,x
1666170561959.3,0,0.2,0.3,-0.9,9.3,4,-4.2,0.5,-0.1,x
1666170561975.7,-0.1,0.2,0.3,-1,9.3,3.9,-2.4,-0.1,0.1,x
1666170561992.4,0,0.2,0.2,-0.9,9.3,3.9,-1.2,-2.1,-0.4,x
1666170562009,0,0.1,0.1,-0.9,9.2,3.8,-1,-2.2,-1.4,x
1666170562025.7,-0.1,0.1,0.1,-1,9.1,3.8,-1.1,-1.2,-1.9,x
1666170562042.4,-0.2,0,0.2,-1.1,9.1,3.9,-0.7,-0.3,-1.5,x
1666170562058.9,-0.2,0,0.2,-1.2,9.1,3.9,0.2,-0.8,-0.4,x
1666170562075.8,-0.1,0,0.1,-1.1,9.1,3.8,1.2,-0.7,0.4,x
1666170562092.3,0,0,0.1,-0.9,9,3.8,1.9,0.4,0.4,x
1666170562119.5,0,-0.1,0,-0.9,9,3.7,2.7,1.2,0,x
1666170562125.7,0,-0.1,0,-1,9.1,3.7,2.9,1.4,-0.1,x
1666170562142.2,-0.1,0,-0.1,-1,9.1,3.6,3.3,1.2,-0.1,x
1666170562158.9,0,0,-0.2,-1,9.1,3.5,3.5,1.4,0.1,x
1666170562175.6,-0.1,-0.1,-0.2,-1,9,3.4,3.3,1.1,0.4,x
1666170562192.2,-0.1,0,-0.2,-1.1,9.1,3.4,2.5,0.6,1.2,x
1666170562208.9,0.1,0,-0.3,-0.9,9.1,3.3,1.3,1.2,1.5,x
1666170562225.7,0.2,0,-0.3,-0.8,9.1,3.4,-0.2,1.5,0.5,x
1666170562242.3,0.1,0,-0.2,-0.9,9.1,3.4,-0.9,0.3,-0.7,x
1666170562258.9,-0.1,0,-0.1,-1,9.1,3.5,-1.2,-1.1,-0.6,x
1666170562276.4,-0.1,0,-0.1,-1.1,9.1,3.5,-1.6,-1.9,0.6,x
1666170562292.5,0,0,0,-1,9.1,3.6,-2.4,-2,1.8,x
1666170562308.9,0.1,0,0.1,-0.8,9.1,3.7,-3,-1.7,1.7,x
1666170562325.7,0.1,0,0.2,-0.8,9.1,3.8,-2.6,-0.9,0.9,x
1666170562342.3,0.1,0,0.3,-0.8,9.1,3.9,-1.2,-0.2,0.3,x
1666170562358.9,-0.1,0,0.2,-0.9,9.1,3.9,0.8,-0.9,0.5,x
1666170562375.8,-0.1,0.1,0.2,-0.9,9.2,3.8,2.4,-1,1.1,x
1666170562392.3,0.1,0.1,-0.1,-0.8,9.2,3.6,2.4,1.2,1,x
1666170562408.8,0.1,0,-0.1,-0.8,9.1,3.5,1.2,1.6,0,x
1666170562425.8,0,0.1,-0.1,-0.9,9.2,3.6,0.3,0,-0.6,x
1666170562442.2,0,0,0,-1,9.2,3.6,-0.1,-0.5,-0.4,x
1666170562459.4,0,0,0.1,-0.9,9.1,3.7,0.6,0,-0.1,x
1666170562475.6,0,0,0.1,-0.9,9.1,3.7,1.6,-0.4,-0.2,x
1666170562492.3,-0.1,0,0,-1,9.1,3.6,2,-0.7,0,x
1666170562509,0,0,-0.1,-1,9.1,3.6,1.6,-0.5,0.7,x
1666170562525.6,0.1,0,-0.1,-0.9,9.1,3.5,1,0.7,0.4,x
1666170562542.3,0,0,0,-0.9,9.1,3.6,0.5,1.3,0,x
1666170562558.9,-0.1,0,0,-1,9.1,3.6,0.8,0.4,0.5,x
1666170562575.6,-0.1,0,0.1,-1,9.1,3.7,1.5,-0.6,1.2,x
1666170562592.2,0.1,0,0,-0.8,9.1,3.6,1.8,-0.7,1.4,x
1666170562609,0.1,0,0,-0.8,9.1,3.6,1.7,-0.2,0.6,x
1666170562625.8,0.1,0,0,-0.8,9.1,3.6,1.7,0.6,-0.3,x
1666170562643,0,-0.1,0,-0.9,9.1,3.5,1.5,1.6,-0.5,x
1666170562658.9,0,-0.1,0,-1,9,3.5,1.6,1.2,-0.2,x
1666170562675.7,-0.1,-0.1,0,-1,9,3.5,1.6,1.2,-0.2,x
1666170562692.3,-0.1,0,-0.1,-0.9,9.1,3.4,1.9,0.4,0.4,x
1666170562708.9,-0.1,0,-0.2,-1,9.2,3.4,0.8,-0.1,1,x
1666170562727.3,-0.1,0,-0.2,-1,9.2,3.4,0.8,-0.1,1,x
1666170562742.8,0,0.1,-0.1,-0.9,9.2,3.5,-0.8,-0.6,0.9,x
1666170562758.9,0,0.1,-0.1,-0.9,9.2,3.5,-0.8,-0.6,0.9,x
1666170562775.9,0,0.1,0.1,-0.9,9.2,3.6,-1.1,-1.9,0.1,x
