time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1666170445681,359.9,75,-7.2,x
1666170445698.3,359.2,75.2,-6.4,x
1666170445714.3,359.8,75.4,-7,x
1666170445731,0,75.5,-7.2,x
1666170445747.9,0.2,75.5,-7.4,x
1666170445764.3,0.4,75.6,-7.5,x
1666170445864.3,0.3,75.6,-7.3,x
1666170445880.9,0.2,75.5,-7.3,x
1666170445897.9,0.1,75.4,-7,x
1666170445914.3,359.9,75.4,-6.9,x
1666170445931,359.7,75.3,-6.6,x
1666170445947.6,359.6,75.3,-6.5,x
1666170445964.3,359.5,75.2,-6.4,x
1666170445981,359.3,75.2,-6.2,x
1666170446014.5,359.1,75.2,-6.1,x
1666170446031,358.9,75.3,-5.8,x
1666170446047.8,358.7,75.3,-5.7,x
1666170446064.3,358.4,75.2,-5.4,x
1666170446081,358.3,75.3,-5.3,x
1666170446098.1,358.2,75.3,-5.2,x
1666170446130.9,358.2,75.3,-5,x
1666170446164.4,358.4,75.3,-5.2,x
1666170446180.9,358.7,75.3,-5.3,x
1666170446197.6,358.9,75.3,-5.3,x
1666170446214.3,359.1,75.2,-5.4,x
1666170446230.9,359.5,74.7,-5.5,x
1666170446247.7,359.6,74.6,-5.4,x
1666170446264.3,359.7,74.3,-5.5,x
1666170446280.9,0.9,74.3,-6.9,x
1666170446299.3,0.9,74.1,-7.2,x
1666170446314.3,359.8,73.7,-6.5,x
1666170446330.9,358.8,73.4,-5.8,x
1666170446347.6,358.5,73.3,-5.6,x
1666170446364.2,358.3,73.1,-5.5,x
1666170446381,358.4,72.9,-5.8,x
1666170446397.6,358.5,72.8,-5.9,x
1666170446430.9,357.9,72.7,-5.5,x
1666170446464.3,357.2,72.6,-4.9,x
1666170446481,356.5,72.6,-4.2,x
1666170446497.6,356.2,72.5,-3.9,x
1666170446514.3,356,72.5,-3.7,x
1666170446530.9,355.2,72.4,-2.9,x
1666170446547.7,354.6,72.3,-2.4,x
1666170446564.3,354.5,72.2,-2.3,x
1666170446580.9,354.4,72.1,-2.4,x
1666170446598.6,354.5,72,-2.5,x
1666170446643.6,355.7,71.4,-4.1,x
1666170446664.3,356,70.9,-4.6,x
1666170446680.9,355.8,70.5,-4.6,x
1666170446697.8,355.8,70.3,-4.6,x
1666170446714.3,355.9,70.1,-4.9,x
1666170446730.9,355.7,70,-4.9,x
1666170446747.6,355.6,70,-5,x
1666170446764.2,355.4,69.9,-5,x
1666170446780.9,355.3,69.9,-5,x
1666170446797.7,355.4,69.9,-5.1,x
1666170446864.3,355.3,69.8,-5,x
1666170446881,355.3,69.6,-4.9,x
1666170446897.6,355.4,69.5,-5,x
1666170446916.8,355.6,69.3,-5,x
1666170446948.3,355.7,68.8,-4.9,x
1666170446964.2,355.6,68.4,-4.7,x
1666170446981,355.6,68.1,-4.7,x
1666170446997.6,355.7,67.9,-4.8,x
1666170447014.3,355.7,67.5,-4.7,x
1666170447038.3,355.4,67.1,-4.4,x
1666170447047.5,355.3,66.9,-4.2,x
