time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1666170474280.9,-0.3,-0.1,1.3,-2.4,4.2,9.5,2,-48.7,-33.3,
1666170474297.5,-0.6,-0.1,0.9,-2.6,4.2,9.4,5.4,-48.2,-33.7,x
1666170474314.1,-0.4,0.1,0.4,-2.5,4.3,9,7.8,-48.8,-33.3,x
1666170474330.9,-0.2,0.2,0.1,-2.2,4.5,8.6,7.9,-49.4,-35.4,x
1666170474347.5,0,0.3,-0.2,-1.9,4.6,8.4,6.1,-49.5,-39,x
1666170474364.2,-0.1,0.4,-0.4,-1.9,4.7,8.2,4.9,-49,-41.5,x
1666170474380.8,-0.3,0.4,-0.5,-2.2,4.7,8,4,-48,-41.6,x
1666170474397.5,-0.7,0.4,-0.8,-2.5,4.7,7.7,3.4,-49,-38.4,x
1666170474414.1,-0.8,0.5,-1,-2.6,4.9,7.5,2.8,-53.4,-32.2,x
1666170474430.9,-0.3,0.6,-0.9,-1.8,5.1,7.6,2.5,-58.2,-28.2,x
1666170474447.6,0.2,0.7,-0.8,-1.8,5.1,7.6,2.5,-58.2,-28.2,x
1666170474464.1,0.9,0.8,-0.7,-0.6,5.3,7.5,3.2,-56.9,-44,x
1666170474480.8,0.4,0.8,-1.1,-1.1,5.4,7.2,-1.6,-54.8,-54.3,x
1666170474497.4,-0.7,0.9,-1.2,-2,5.5,7.1,-10.2,-54.6,-57.8,x
1666170474514.2,-1.3,0.9,-0.9,-2.5,5.4,7.3,-18.1,-58.2,-52.7,x
1666170474532.3,-1.1,0.8,-0.6,-2.2,5.4,7.9,-23.6,-61.4,-45.1,x
1666170474547.4,-0.1,1,0.4,-1.3,5.4,8.7,-23.4,-60.9,-40.7,x
1666170474564.2,0.3,0.9,0.6,-0.7,5.3,9.1,-16.7,-56.1,-44.2,x
1666170474580.8,0.2,0.8,0.5,-0.9,5.2,8.9,-9.4,-49.8,-49.5,x
