time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1652785385193.3,83.2,48.9,8,x
1652785385210,81.7,48.3,8.3,x
1652785385226.7,80.8,48.1,8.7,x
1652785385243.3,79.5,47.9,8.8,x
1652785385260.1,78.4,47.4,8.5,x
1652785385277.1,77.7,47.2,8.5,x
1652785385293.6,75,48.6,10.1,x
1652785385310.3,71.8,50.4,13.1,x
1652785385327,71.1,51.2,13.7,x
1652785385344.1,71.1,52,13.4,x
1652785385360.3,71,52.6,12.9,x
1652785385376.9,71.8,53,11.2,x
1652785385394.3,73.4,52.9,8.3,x
1652785385410.3,74,52.4,6.8,x
1652785385427,75,51.2,3.8,x
1652785385444,75,50.7,1.5,x
1652785385460.8,74.1,50.7,1.5,x
1652785385477,71.8,50.7,2.4,x
1652785385493.4,69.4,51,3.2,x
1652785385511.2,66.7,50.9,4.4,x
1652785385527,65.4,50.4,5,x
1652785385543.3,63.4,48.3,4.9,x
1652785385560.4,60.8,47,4.6,x
1652785385577.5,60,46.6,4.2,x
1652785385593.2,58.3,45.9,3.8,x
1652785385610.1,56.9,44.4,3,x
1652785385627.1,56.4,43.5,2.3,x
1652785385643.7,55.4,42,0.7,x
1652785385660.3,53.6,41.5,1.2,x
1652785385676.7,52.4,41.4,2,x
1652785385694.1,51.7,41.5,2.3,x
1652785385710.3,50.1,41.7,3.6,x
1652785385726.6,48.3,41.5,4.8,x
1652785385744.6,46.8,40.8,4.9,x
1652785385760.3,46.1,40.2,4.5,x
1652785385777.1,44.6,39.5,3.7,x
1652785385793.8,43,39.1,3.1,x
1652785385810.8,42,39,3.2,x
1652785385827,39.5,39,4.6,x
1652785385843.3,36.7,39,7,x
1652785385860.8,35.4,39.1,8.2,x
1652785385877.4,33,39.1,10.9,x
1652785385893.3,31.4,38.6,12.5,x
1652785385910.5,30.3,38.4,13.3,x
1652785385927.2,28.3,38,15.3,x
1652785385943.5,26.9,38,16.4,x
1652785385960.3,25.9,38.5,16.5,x
1652785385976.7,25.5,38.8,16.1,x
1652785385994.1,24.9,39.4,14.7,x
1652785386010.1,24.1,39.7,13.2,x
1652785386028.1,22.7,40.1,13,x
1652785386044.1,22,40.3,13.2,x
1652785386060,20.8,40.4,13.6,x
1652785386076.7,19.9,40.6,13.4,x
1652785386094.2,19.4,40.8,13,x
1652785386110.8,18.5,41.3,11.6,x
1652785386140.3,17.2,41.6,9.2,x
1652785386162.3,16,41.9,8.4,x
1652785386177.3,14.9,42.2,8.2,x
1652785386193.4,14.1,42.3,8.4,x
1652785386210.8,13.6,42.4,8.6,x
1652785386227.5,12.5,42.4,9,x
1652785386243.5,11.7,42.1,9,x
1652785386261.7,10.8,41.6,8.4,x
1652785386276.8,10.3,41.3,8,x
1652785386294.1,9.5,40.3,7.1,x
1652785386310,8.7,39.2,6.7,x
1652785386327.7,7.7,38.3,7.3,x
1652785386343.4,7.1,38,7.8,x
1652785386360,6,37.7,8.6,x
1652785386376.9,5.3,37.7,8.8,x
1652785386394.2,4,37.9,8.6,x
1652785386411.6,2.7,38.2,7.7,x
1652785386427.1,1.3,38.5,6.8,x
1652785386444.7,0,38.9,6.3,x
1652785386460.4,359.4,39.2,6.2,x
1652785386477.2,357.9,39.6,6.4,x
1652785386494.6,357,39.8,6.6,x
1652785386510,355.1,40,7,x
1652785386526.7,353.3,40,6.7,x
1652785386543.4,352.4,40,6.3,x
1652785386561.8,350.2,40.3,5.3,x
1652785386577.4,349.6,40.4,5,x
1652785386593.3,348.5,40.8,4.7,x
1652785386611.6,347.8,41.1,4.8,x
1652785386627.5,345.8,41.8,5.7,x
