time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_testing
1658433880856,-0.07,-0.02,-0.15,0.08,-4.89,-8.66,-0.29,1.7,0.11,x
1658433880873,-0.02,0,-0.12,0.13,-4.87,-8.63,0.28,0.82,-0.07,x
1658433880889,0.06,0.07,-0.04,0.21,-4.8,-8.55,0.08,1,0.79,x
1658433880906,-0.01,0.12,-0.06,0.14,-4.75,-8.57,0.19,1.58,0.46,x
1658433880922,-0.02,0.06,0.07,0.14,-4.81,-8.44,-0.28,0.59,0.41,x
1658433880939,0.06,0.05,0.13,0.22,-4.82,-8.38,-0.64,1.27,0.46,x
1658433880956,0,0.03,0.1,0.16,-4.84,-8.42,-1.06,1.28,0.28,x
1658433880973,-0.01,0.06,0.1,0.15,-4.81,-8.42,-1.2,1.8,0.48,x
1658433880989,-0.06,0.09,-0.02,0.1,-4.77,-8.53,-0.5,3.03,0.44,x
1658433881006,-0.01,0.09,0.07,0.17,-4.78,-8.45,-0.97,2.28,0.47,x
1658433881023,-0.01,0.05,0.2,0.17,-4.81,-8.31,-1.28,1.21,-0.06,x
1658433881039,-0.03,0.03,0.11,0.16,-4.82,-8.41,-0.8,0.79,-0.4,x
1658433881056,0.06,0.08,-0.03,0.25,-4.78,-8.55,-1.59,0.89,-0.3,x
1658433881073,0,0,0,0.19,-4.85,-8.52,-2.08,2.4,-0.42,x
1658433881089,-0.02,0.02,-0.14,0.18,-4.83,-8.66,-1.21,2.33,0.05,x
1658433881106,0.02,0.04,0.03,0.22,-4.8,-8.5,-1.26,1.1,0.13,x
1658433881123,-0.05,0.06,0.02,0.15,-4.78,-8.5,-0.69,1.39,-0.17,x
1658433881139,-0.09,0.04,-0.02,0.12,-4.79,-8.55,-0.05,1.04,-0.36,x
1658433881156,0.01,0.04,0.1,0.22,-4.79,-8.43,-0.58,-0.07,-0.13,x
1658433881173,0.04,0.06,0.15,0.25,-4.78,-8.38,-1.63,1.29,-0.12,x
1658433881189,-0.01,0.09,0.03,0.2,-4.74,-8.51,-1.55,1.86,-0.06,x
1658433881205,-0.02,0.04,0.02,0.19,-4.78,-8.52,-1.56,1.58,-0.13,x
1658433881223,0.07,0.03,0.04,0.29,-4.79,-8.49,-1.27,0.93,-0.12,x
1658433881239,0.06,0.04,0,0.28,-4.78,-8.54,-1.78,0.42,-0.5,x
1658433881256,0.02,0.05,0.05,0.24,-4.77,-8.5,-2.38,1.43,-0.39,x
1658433881273,-0.08,0.08,-0.09,0.15,-4.72,-8.64,-1.37,2.19,-0.45,x
1658433881289,-0.05,0.05,-0.02,0.18,-4.75,-8.57,-0.3,0.5,-0.23,x
1658433881306,0.02,0.05,0.07,0.26,-4.76,-8.48,0.06,0.77,-0.09,x
1658433881323,0,0.02,-0.11,0.24,-4.78,-8.66,-1.09,3.27,-0.28,x
1658433881339,-0.05,-0.03,0.03,0.2,-4.83,-8.52,-2.22,3.19,-0.76,x
1658433881356,0.01,0.06,0.04,0.27,-4.74,-8.51,-2.86,2.94,-0.23,x
1658433881373,0.03,0.08,0.02,0.29,-4.71,-8.54,-1.87,2.32,0.32,x
1658433881389,0.02,0.12,0.02,0.29,-4.67,-8.54,0.06,1.29,0.01,x
1658433881406,-0.01,0.03,0,0.26,-4.75,-8.56,0.87,0.53,-0.11,x
1658433881423,0.05,0.04,0.07,0.32,-4.74,-8.49,0.32,0.81,0.1,x
1658433881439,0.04,0.03,0.09,0.32,-4.75,-8.46,-0.04,0.98,0.15,x
1658433881456,0.01,0.02,0.09,0.28,-4.77,-8.47,0.15,0.54,0.07,x
1658433881473,-0.01,0.08,0.1,0.26,-4.71,-8.45,0.54,-0.2,0.01,x
1658433881489,-0.03,0.06,0.02,0.24,-4.73,-8.53,0.47,0.45,0.04,x
1658433881506,0.02,0.09,0.03,0.3,-4.7,-8.53,-0.08,0.82,0.01,x
1658433881523,0.02,0.02,0.01,0.3,-4.76,-8.55,-0.6,0.8,0.08,x
1658433881539,0.02,0.04,0.04,0.3,-4.75,-8.51,-0.12,0.36,-0.38,x
1658433881556,-0.03,0.04,-0.04,0.25,-4.75,-8.59,-0.03,0.94,-0.29,x
1658433881573,0,0.05,0,0.29,-4.74,-8.55,0.29,1.87,0.04,x
1658433881589,-0.01,0.06,0.01,0.29,-4.73,-8.55,0.47,1.83,0,x
1658433881606,0.02,0.05,0.06,0.32,-4.74,-8.5,0.63,0.84,0.22,x
1658433881623,-0.02,0.04,-0.02,0.28,-4.75,-8.57,0.58,1.69,0.09,x
1658433881640,0.06,0.09,-0.02,0.36,-4.7,-8.57,0.65,1.38,0.6,x
1658433881655,-0.01,0.02,0.07,0.3,-4.77,-8.48,0.22,1.97,0.01,x
1658433881673,-0.05,0.05,0.11,0.26,-4.74,-8.44,-0.31,0.81,-0.02,x
1658433881690,0.02,0.06,0.12,0.33,-4.73,-8.43,0.1,1.55,0.22,x
1658433881706,0.03,0.04,-0.11,0.35,-4.75,-8.66,-0.68,4.35,0.16,x
1658433881723,-0.07,-0.01,0.1,0.26,-4.8,-8.45,-0.36,2.69,-0.36,x
1658433881739,-0.03,-0.03,0.03,0.3,-4.82,-8.52,0.33,1.53,-0.29,x
1658433881756,0.12,0.11,0.01,0.45,-4.68,-8.54,-0.13,1.64,0.47,x
1658433881773,-0.1,0.01,0.08,0.24,-4.78,-8.48,-0.88,1.43,-0.69,x
1658433881789,-0.09,0.03,0.08,0.25,-4.75,-8.48,-0.94,0.37,-0.58,x
1658433881806,0.07,0.07,0.13,0.41,-4.71,-8.43,-0.81,-1.55,-0.74,x
1658433881823,0.04,0.08,0.14,0.38,-4.7,-8.42,-0.95,-2.79,-0.68,x
1658433881839,0.04,0.07,0.15,0.37,-4.71,-8.41,-1.27,-3.12,-0.87,x
1658433881856,0.02,0.04,0.07,0.35,-4.73,-8.49,-1.84,-3.66,-0.77,x
1658433881873,-0.01,0.03,0.04,0.31,-4.74,-8.53,-1.31,-3.25,-1.12,x
1658433881890,-0.01,0.07,-0.14,0.3,-4.7,-8.7,-0.74,-1.07,-1.42,x
