time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1666170496241,0,0,0,x
1666170496257.5,79.3,40,15.5,x
1666170496274.2,78.5,39.7,15.6,x
1666170496290.8,77.7,39.3,15.7,x
1666170496307.5,76.8,38.5,15.9,x
1666170496324.2,76.3,38,16,x
1666170496340.8,75.5,36.8,16.2,x
1666170496357.6,74.8,35.8,16.4,x
1666170496374.3,74.4,35.4,16.5,x
1666170496390.9,73.7,34.9,16.9,x
1666170496407.6,73.3,34.5,17.1,x
1666170496424.2,73.1,34.3,17.2,x
1666170496440.9,72.7,33.8,17.4,x
1666170496457.6,72.6,33.5,17.6,x
1666170496474.2,72.4,32.9,17.9,x
1666170496490.9,72.3,32.5,18.1,x
1666170496507.9,72.3,32.1,18.2,x
1666170496524.3,72.3,32,18.3,x
1666170496540.8,72.4,31.8,18.4,x
1666170496557.6,72.5,31.6,18.6,x
1666170496574.3,72.6,31.5,18.7,x
1666170496590.9,72.8,31.3,18.8,x
1666170496607.6,73,30.9,18.8,x
1666170496624.1,73.2,30.7,18.8,x
1666170496641.8,73.3,30.1,19.1,x
1666170496657.5,73.4,29.7,19.5,x
1666170496674.1,73.5,29.5,19.7,x
1666170496690.8,73.8,29.2,20,x
1666170496707.4,74.1,28.9,20.2,x
1666170496724.7,74.4,28.9,20.2,x
1666170496740.8,74.8,28.8,20.3,x
1666170496757.4,75.4,28.8,20.3,x
1666170496774.2,75.9,28.8,20.1,x
1666170496790.8,76.8,28.9,19.6,x
1666170496807.6,77.8,29.1,19,x
1666170496824.2,78.2,29.2,18.8,x
1666170496840.9,79.1,29.3,18.4,x
1666170496857.5,79.5,29.4,18.2,x
1666170496874.1,80.2,29.7,17.9,x
1666170496890.8,80.8,29.9,17.6,x
1666170496908.1,81.4,30.2,17.2,x
1666170496924.1,81.6,30.3,17.1,x
1666170496940.8,81.9,30.6,16.9,x
1666170496957.5,82.2,30.9,16.8,x
1666170496974.2,82.3,31.1,16.8,x
1666170496990.9,82.6,31.4,16.6,x
1666170497007.5,82.8,31.7,16.5,x
1666170497024.1,82.9,31.9,16.4,x
1666170497040.8,82.9,32.2,16.3,x
1666170497057.6,82.9,32.4,16.3,x
1666170497074.1,82.8,32.6,16.3,x
1666170497090.9,82.8,32.7,16.2,x
1666170497107.8,82.7,32.8,16.2,x
1666170497140.8,82.5,32.8,16,x
1666170497179.4,82.3,32.8,15.6,x
1666170497190.8,82.2,32.7,15.6,x
1666170497207.5,82.1,32.7,15.5,x
1666170497224.1,81.9,32.6,15.4,x
1666170497240.8,81.7,32.4,15.2,x
1666170497274.2,81.5,32.3,15.1,x
1666170497291.2,81.3,32.5,15.1,x
1666170497307.4,81.2,32.6,15.1,x
1666170497324.2,81,32.8,15.1,x
1666170497340.8,80.8,32.9,15.2,x
1666170497357.5,80.6,33,15.2,x
1666170497374.2,80.3,33,15.3,x
1666170497390.9,80,32.8,15.4,x
1666170497407.6,79.8,32.7,15.4,x
1666170497424.2,79.6,32.4,15.3,x
1666170497440.8,79.4,32.2,15.2,x
1666170497457.6,79.4,32.1,15.2,x
1666170497474.1,79.2,32.1,15.4,x
1666170497490.8,79.1,32.2,15.6,x
1666170497507.9,79.1,32.3,15.6,x
1666170497540.8,79.2,32.4,15.5,x
1666170497574.1,79.1,32.2,15.4,x
1666170497590.8,79.1,32.1,15.5,x
1666170497607.6,79.1,32.1,15.6,x
1666170497624.2,79.1,32.2,15.7,x
1666170497640.8,79.2,32.3,15.8,x
1666170497674.2,79.3,32.5,16,x
1666170497690.8,79.4,32.5,16.1,x
1666170497724.1,79.6,32.4,16,x
1666170497740.8,79.8,32.5,16,x
1666170497757.5,80,32.5,16,x
1666170497774.3,80.2,32.7,15.9,x
1666170497790.8,80.4,32.8,15.8,x
1666170497807.5,80.6,32.8,15.8,x
1666170497824.1,80.8,32.8,15.8,x
1666170497857.5,81,32.7,15.8,x
1666170497874.1,81.2,32.6,15.9,x
1666170497890.8,81.3,32.5,16,x
1666170497924.1,81.6,32.4,16,x
1666170497940.8,81.9,32.2,15.8,x
1666170497957.4,82,32,15.8,x
1666170497974.1,82.3,31.8,15.7,x
1666170497990.8,82.6,31.6,15.5,x
1666170498007.6,82.8,31.6,15.4,x
1666170498024.2,83.1,31.4,15.3,x
1666170498040.8,83.3,31.2,15.2,x
1666170498057.7,83.5,31,15,x
1666170498074.1,83.8,30.9,14.8,x
1666170498095.8,84.1,31,14.6,x
1666170498120.9,84.5,31.4,14.7,x
1666170498140.7,84.7,31.7,14.7,x
1666170498157.4,84.8,31.8,14.7,x
1666170498174.1,85,31.9,14.6,x
1666170498190.8,85.2,32,14.4,x
1666170498207.4,85.3,32.1,14.3,x
1666170498224.1,85.5,32.2,14.1,x
1666170498240.8,85.6,32.2,13.9,x
1666170498274.1,85.9,32.2,13.6,x
1666170498290.8,86,32.3,13.5,x
1666170498307.8,86.1,32.4,13.4,x
1666170498324.1,86.1,32.5,13.4,x
1666170498358.7,86,32.4,13.5,x
1666170498374.1,85.8,32.3,13.6,x
1666170498390.8,85.6,32.2,13.8,x
1666170498407.4,85.5,32.1,14,x
1666170498424.1,85.3,31.8,14.2,x
1666170498440.7,85.1,31.6,14.4,x
1666170498474.1,85,31.5,14.8,x
1666170498490.8,84.9,31.5,15.2,x
1666170498524,84.9,31.7,15.7,x
1666170498557.4,84.9,31.8,16.2,x
1666170498574.1,85,31.6,16.3,x
1666170498590.7,85.1,31.3,16.3,x
1666170498624.8,85.3,31,16.2,x
1666170498640.9,85.5,30.8,16.3,x
1666170498657.4,85.7,30.9,16.4,x
1666170498674,86,31.1,16.4,x
1666170498690.7,86.3,31.3,16.3,x
1666170498707.3,86.5,31.4,16.2,x
1666170498724,86.7,31.5,16.2,x
1666170498740.8,87,31.7,16.2,x
1666170498774.1,87.2,31.7,16.2,x
1666170498807.4,87.2,31.9,16.2,x
1666170498840.8,87,32,16,x
1666170498874,86.8,32,16.1,x
1666170498890.7,86.6,32,16,x
1666170498924.8,86.4,31.8,15.7,x
1666170498940.7,86.3,31.6,15.3,x
1666170498957.6,86.3,31.5,15.1,x
1666170498974.1,86.2,31.4,14.8,x
1666170498990.8,86,31.5,14.8,x
1666170499007.5,85.9,31.6,14.8,x
1666170499032,85.8,32.1,14.8,x
1666170499040.7,85.7,32.3,14.8,x
1666170499074.2,85.5,32.2,14.6,x
1666170499090.8,85.3,31.9,14.4,x
1666170499107.4,85.2,31.8,14.4,x
1666170499124.1,85,31.4,14.3,x
1666170499140.6,84.8,31.3,14.2,x
1666170499157.4,84.7,31,14.1,x
1666170499174.1,84.5,30.8,14.1,x
1666170499191.1,84.4,30.6,14.1,x
1666170499207.3,84.4,30.5,14.1,x
1666170499224.1,84.4,30.5,14.3,x
1666170499241.1,84.4,30.8,14.5,x
1666170499257.4,84.4,30.9,14.6,x
1666170499274.1,84.6,31.3,14.8,x
1666170499290.6,84.8,31.7,14.9,x
1666170499307.4,85,31.9,14.9,x
1666170499324,85.3,32.1,14.8,x
1666170499340.7,85.5,32.2,14.7,x
1666170499357.3,85.7,32.3,14.5,x
1666170499374,86,32.2,14.3,x
1666170499397.2,86.4,32.1,14,x
1666170499407.3,86.5,31.9,13.8,x
1666170499440.7,87.1,31.5,13.2,x
1666170499457.4,87.1,31.3,13.2,x
1666170499474.1,87.2,31,13.2,x
1666170499490.7,87.2,30.8,13.2,x
1666170499507.7,87.3,30.4,13.3,x
1666170499525.6,87.3,30.2,13.3,x
1666170499541.3,87.4,30,13.4,x
1666170499557.4,87.6,29.7,13.4,x
1666170499574,87.8,29.8,13.3,x
1666170499607.3,88.1,29.9,13.1,x
1666170499624,88.3,29.9,12.9,x
1666170499657.4,88.5,30,12.7,x
1666170499674,88.7,30.1,12.5,x
1666170499690.7,88.8,30.2,12.4,x
1666170499707.3,89.1,30.5,12,x
1666170499724.1,89.3,30.6,11.5,x
1666170499740.7,89.5,30.7,11.2,x
1666170499757.4,89.8,30.7,10.5,x
1666170499774,89.9,30.6,10,x
1666170499790.9,89.9,30.5,9.8,x
1666170499807.3,89.8,30.2,9.7,x
1666170499824,89.7,29.9,9.7,x
1666170499840.9,89.8,29.7,9.6,x
1666170499857.4,90.2,29.5,9.1,x
1666170499874,90.4,29.4,9,x
1666170499924,90.3,29.3,9,x
1666170499941.1,90.2,29.2,9.1,x
1666170499958.1,89.8,28.6,9.7,x
1666170499989.2,89,27.6,11,x
1666170500007.3,88.5,27.2,11.7,x
1666170500024,88.1,27.4,11.8,x
1666170500040.7,88,27.7,11.7,x
1666170500057.4,87.8,28.4,11,x
1666170500074.1,87.8,29.4,9.9,x
1666170500090.7,87.9,29.9,9.2,x
1666170500107.4,88,30.9,7.9,x
1666170500124,88.3,31.7,6.4,x
1666170500140.7,88.5,32,5.7,x
1666170500157.4,88.8,32.6,4.1,x
1666170500174.1,89.2,33,2.6,x
1666170500190.7,89.4,33.2,1.9,x
1666170500207.3,89.8,33.5,0.8,x
1666170500224,90.1,33.7,0.1,x
1666170500240.7,90.3,33.7,-0.1,x
1666170500257.4,90.8,33.6,-0.3,x
1666170500274,91.2,33.3,-0.5,x
1666170500290.7,91.5,33,-0.5,x
1666170500307.5,91.8,32.4,-0.6,x
1666170500324.1,92.1,31.6,-0.5,x
1666170500340.7,92.3,31.1,-0.4,x
1666170500357.2,92.5,30.1,-0.2,x
1666170500374.1,92.8,29,0.1,x
1666170500390.9,93,28.4,0.2,x
1666170500407.3,93.4,27.3,0.5,x
1666170500424,93.8,26.5,0.8,x
1666170500440.7,94.1,26.2,1,x
1666170500457.4,94.7,25.8,1,x
1666170500474.1,95.1,25.8,0.8,x
1666170500490.8,96.2,26,0.1,x
1666170500507.3,97.4,26.6,-1,x
1666170500524,98.5,27.4,-2.3,x
1666170500540.7,98.9,27.8,-2.9,x
1666170500557.4,99.5,28.7,-4.1,x
1666170500574,99.7,29.5,-5.1,x
1666170500591,99.6,29.7,-5.4,x
1666170500607.3,99.3,30.1,-6,x
1666170500624,98.7,30.2,-6.2,x
1666170500640.9,98.4,30.2,-6.2,x
1666170500657.3,97.6,30.2,-6.1,x
1666170500674,96.7,30.3,-5.9,x
1666170500690.7,96.2,30.3,-5.8,x
1666170500707.2,95.1,30.3,-5.4,x
1666170500724,94,30.2,-4.8,x
1666170500741.1,93.4,30.2,-4.4,x
1666170500757.3,92.3,30.2,-3.3,x
1666170500774,91.2,30.1,-2,x
1666170500790.9,90.7,30.1,-1.3,x
1666170500807.3,89.7,29.9,0,x
1666170500824,89.2,29.6,0.9,x
1666170500840.8,89.2,29.4,1.2,x
1666170500857.4,89.6,29.2,1.3,x
1666170500873.9,90.4,29.2,1,x
1666170500890.7,90.8,29.3,0.7,x
1666170500913.5,91.7,29.8,-0.2,x
1666170500940.8,92.1,30,-0.8,x
1666170500957.4,92.3,30,-1.5,x
1666170500974.3,92.4,29.8,-2,x
1666170500990.8,92.4,29.7,-2.2,x
1666170501007.4,92.2,29.4,-2.5,x
1666170501024.3,92.1,29.3,-2.5,x
1666170501040.8,91.8,29.2,-2.4,x
1666170501057.3,91.5,29.2,-2.1,x
1666170501073.9,91.3,29.4,-1.8,x
