time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1655202255047,14.2,33.6,1,x
1655202255080.4,14.1,34.2,0.7,x
1655202255097.1,13.9,34.7,0.5,x
1655202255113.7,13.6,34.9,0.6,x
1655202255130.4,12.9,36,1.1,x
1655202255147.1,12.1,36.6,1.7,x
1655202255163.7,11.8,36.6,2,x
1655202255180.5,11.9,36.3,1.8,x
1655202255197.1,12,35.7,1.4,x
1655202255213.8,12,35.5,1.2,x
1655202255230.4,11.6,35.2,1.9,x
1655202255247.1,10.7,34.8,3.4,x
1655202255263.9,10,34.5,4.8,x
1655202255280.5,9.9,34.2,5.1,x
1655202255297.1,10.3,34.3,4.6,x
1655202255313.8,11.2,34.2,3.3,x
1655202255330.5,11.7,34.2,2.7,x
1655202255347.2,11.9,34.3,2.6,x
1655202255364.2,12.5,34.5,2.2,x
1655202255380.8,13.4,34.9,1.4,x
1655202255397.2,14,35.1,0.7,x
1655202255414.1,14.5,36,0.5,x
1655202255432.6,14.8,37.1,0.4,x
1655202255447.5,14.9,37.2,0.4,x
1655202255464.1,15,36.7,0.8,x
1655202255480.7,14.6,35.4,2,x
1655202255497.5,14.3,34.7,2.5,x
1655202255514.1,14.2,33.9,2.8,x
1655202255531,14.2,33.7,2.8,x
1655202255547.5,14.2,33.8,2.8,x
1655202255564.2,14.2,34.4,2.8,x
1655202255580.8,14.3,35.2,2.9,x
1655202255597.8,14.6,35.5,2.5,x
1655202255614.1,14.7,35.5,2.2,x
1655202255631.1,14.5,34.9,2,x
1655202255647.3,14.4,34.6,1.8,x
1655202255664.3,14,34.1,1.6,x
1655202255680.7,13.8,33.8,1.7,x
1655202255697.4,13.8,33.7,1.6,x
1655202255713.8,14.1,33.5,1.1,x
1655202255730.9,14.9,33.5,-0.2,x
1655202255747.2,15.2,33.8,-0.7,x
1655202255764,15.5,34.3,-1.1,x
1655202255780.7,15.6,34.5,-1.2,x
1655202255797.3,15.7,34.6,-1.3,x
1655202255814.2,15.5,34.7,-1.2,x
1655202255830.6,15.3,34.7,-1.1,x
1655202255847.4,15.6,34.5,-1.7,x
1655202255864,16,34.1,-2.2,x
1655202255880.8,16.3,34.1,-2.5,x
1655202255897.5,16.3,34.2,-2.4,x
1655202255914,15.7,34.7,-1.2,x
1655202255930.6,14.1,35.7,1.4,x
1655202255947.3,13.3,36.1,2.6,x
1655202255964.1,12.4,36.6,3.4,x
1655202255980.8,12.5,36.6,2.6,x
1655202255997.4,12.8,36.3,2,x
1655202256014,13.6,35.5,0.9,x
1655202256030.7,13.8,34.9,0.8,x
1655202256047.5,13.8,34.9,1.1,x
1655202256064,13.9,34.9,1.4,x
1655202256080.7,13.9,34.8,1.7,x
1655202256097.3,14,34.7,1.8,x
1655202256114,14,34.6,1.8,x
1655202256130.7,14.1,34.6,1.7,x
1655202256147.3,14,34.6,1.7,x
1655202256164,14,34.7,1.7,x
1655202256180.7,14,34.8,1.8,x
1655202256197.3,14,34.9,1.9,x
1655202256233.7,14,35,2,x
1655202256247.3,14,35,2.1,x
1655202256280.4,14,35.1,2.2,x
1655202256313.7,14,35.1,2.3,x
1655202256330.6,14,35.2,2.4,x
1655202256363.8,14.1,35.1,2.3,x
1655202256413.8,14.1,35,2.3,x
1655202256447.6,14.1,34.9,2.3,x
1655202256480.5,14,34.7,2.3,x
1655202256530.5,14,34.5,2.3,x
1655202256547.1,14,34.5,2.2,x
1655202256563.8,14,34.3,2.2,x
1655202256580.6,14,34.2,2.2,x
1655202256615.9,14,34.1,2.2,x
1655202256631,14.1,34.1,2.2,x
1655202256664.1,14.1,34.2,2.3,x
1655202256680.8,14,34.2,2.3,x
1655202256713.9,14.1,34.1,2.3,x
1655202256730.7,14.1,34,2.2,x
1655202256764,14.1,34,2.1,x
1655202256814.1,14.2,34,2,x
1655202256830.5,14.2,33.9,2,x
1655202256847.3,14.2,33.9,2.1,x
1655202256863.8,14.1,33.8,2.2,x
1655202256897.4,14.1,33.8,2.3,x
1655202256914.1,14,33.9,2.2,x
1655202256930.5,14,33.9,2.3,x
1655202256947.4,14.1,33.9,2.3,x
1655202256963.8,14.1,33.8,2.2,x
1655202256980.7,14.2,33.7,2.1,x
1655202257097.4,14.1,33.6,2.1,x
1655202257131.4,14.2,33.6,2,x
1655202257168.3,14.2,33.8,1.9,x
1655202257213.9,14.1,33.7,1.8,x
1655202257230.7,14,33.6,1.9,x
1655202257263.8,13.9,33.6,2.1,x
1655202257280.6,13.9,33.8,2.1,x
1655202257297.2,14,33.9,2,x
1655202257330.7,14,34,1.9,x
1655202257347.2,14.1,34,1.9,x
1655202257364,14.3,34,1.9,x
1655202257383.1,14.7,33.9,2,x
1655202257414,15.1,33.6,1.8,x
1655202257430.7,15,33.2,1.4,x
1655202257447,14.9,33,1.2,x
1655202257463.7,14.7,32.7,1,x
1655202257480.5,14.6,32.5,0.9,x
1655202257514,14.8,32.5,0.9,x
1655202257530.5,15,32.5,1,x
1655202257547.3,15.1,32.6,1,x
1655202257613.8,15.1,32.7,0.9,x
1655202257630.3,15.1,32.8,0.8,x
1655202257663.7,15.3,32.9,0.7,x
1655202257680.7,15.3,33,0.7,x
1655202257697.2,15.4,33.1,0.7,x
1655202257830.4,15.3,33,0.7,x
1655202257930.7,15.1,33.1,0.5,x
1655202257982,15,33.2,0.4,x
1655202258013.7,15,33.3,0.5,x
1655202258031.4,15,33.3,0.6,x
1655202258096.9,14.8,33.8,0.8,x
1655202258113.6,14.8,33.9,0.6,x
1655202258130.4,14.7,33.8,0.3,x
1655202258163.7,14.5,33.7,0.9,x
1655202258180.4,14.5,33.7,1.3,x
1655202258197,14.5,33.6,1.3,x
1655202258213.7,14.5,33.5,1.2,x
1655202258230.3,14.5,33.5,1.1,x
1655202258247,14.4,33.4,1.1,x
1655202258297,14.4,33.3,1.2,x
1655202258330.3,14.4,33.2,1.2,x
1655202258363.7,14.4,33.1,1,x
1655202258380.4,14.5,33.1,0.8,x
1655202258415.8,14.5,33.2,0.8,x
1655202258447,14.5,33.3,0.8,x
1655202258480.4,14.4,33.3,1,x
1655202258513.7,14.4,33.2,1.1,x
1655202258530.4,14.4,33.1,1.1,x
1655202258563.7,14.5,33,1.3,x
1655202258580.3,14.5,32.9,1.4,x
1655202258664,14.5,32.7,1.4,x
1655202258680.3,14.5,32.8,1.4,x
1655202258747,14.5,33,1.4,x
1655202258763.6,14.4,33.1,1.4,x
1655202258780.3,14.3,33.2,1.4,x
1655202258797.1,14.2,33.3,1.3,x
1655202258830.4,14.2,33.5,1.3,x
1655202258864.8,14.2,33.6,1.3,x
1655202258984.8,14.4,33.5,1.3,x
1655202258997.1,14.4,33.5,1.4,x
1655202259013.7,14.5,33.4,1.5,x
1655202259030.4,14.5,33.3,1.6,x
1655202259047.2,14.5,33.2,1.5,x
1655202259114.6,14.4,33.2,1.3,x
1655202259180.7,14.4,33.3,1.3,x
1655202259214.2,14.4,33.2,1.2,x
1655202259230.6,14.4,33.3,1.2,x
1655202259265.9,14.4,33.3,1.1,x
1655202259280.5,14.4,33.2,1.2,x
1655202259297.1,14.4,33.1,1.2,x
1655202259313.6,14.4,33.1,1.1,x
