time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1664105575570.2,0.1,-0.1,0,-0.2,5.1,8.3,2.6,1.7,7.6,x
1664105575585.8,0.2,-0.1,-0.2,-0.1,5.1,8.1,4.7,-0.3,7.4,x
1664105575602.4,0.1,0,-0.4,-0.1,5.2,7.9,2.6,5.4,5.4,x
1664105575619,0.1,-0.1,-0.3,-0.1,5.2,8,0.4,9.4,4.7,x
1664105575636,-0.1,-0.3,0.1,-0.3,5,8.4,-3.8,5.2,5.8,x
1664105575652.6,0.1,-0.3,-0.2,-0.1,5,8.1,-5,5.5,4.6,x
1664105575669.2,0.1,-0.3,-0.2,-0.1,4.9,8.1,-5.8,0.7,3.5,x
1664105575686.1,0.4,-0.2,-0.1,0.2,5,8.2,-15.5,-2.4,6.8,x
1664105575702.4,0.2,-0.3,0.4,0.2,4.8,8.7,-20.2,-6.6,3.9,x
1664105575719,-0.1,-0.2,0.9,-0.1,4.9,9.3,-18.7,-12.8,0.9,x
1664105575735.9,-0.2,0.1,0.6,-0.2,5,9.1,-7,-12.2,-1.9,x
1664105575752.3,-0.3,0.1,0,-0.4,5,8.5,13.2,13.3,4.3,x
1664105575768.9,-0.5,0.6,0.2,-0.6,5.5,8.7,19.6,26.6,7.7,x
1664105575786.7,-0.7,0.4,-0.7,-1,5.5,7.7,27.5,47.6,9.2,x
1664105575802.3,-0.5,0.6,-0.8,-0.9,5.7,7.6,24.1,55,11.8,x
1664105575820,-0.3,-0.1,-1.5,-0.8,5.3,6.7,12.2,57.4,6.9,x
1664105575835.6,0,-0.6,-0.5,-0.6,4.9,7.6,-22.4,-13,-4.4,x
1664105575852.2,0.2,-0.3,0.5,-0.4,5.2,8.7,-36.2,-44.8,-5.8,x
1664105575870.2,0.2,-0.6,1,-0.4,4.8,9.1,-29.2,-51,-3.8,x
1664105575886.1,0.1,-0.1,0.5,-0.4,5,8.9,-16.4,-31.8,5.6,x
1664105575902.3,0.7,0.1,0.5,0.3,5.1,8.9,-13.3,-22.4,10,x
1664105575919.8,0.7,0.1,0.7,0.4,5.1,9.2,-19.9,-3.8,10.3,x
1664105575935.9,0.2,0,0.6,0.1,4.9,9.1,-15.6,-0.6,9.3,x
1664105575952.6,0.7,0.1,0.2,0.6,5,8.8,-4.9,-2.9,10.4,x
1664105575969.8,1.4,0.1,-0.1,1.4,5,8.5,-3.1,-3,6.7,x
