time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1658226069779.7,0.2,0.1,-0.2,-0.2,1.3,9.5,1.4,-5.6,6,
1658226069796.3,0.3,0,-0.1,-0.1,1.2,9.6,-1.7,-8.4,4.2,x
1658226069812.9,0.2,-0.2,0,-0.1,1,9.7,-5.1,-8.4,1.8,x
1658226069829.6,0.2,-0.2,0.1,-0.1,1,9.8,-5.9,-7.7,1.7,x
1658226069846.3,0.2,-0.2,0.2,0,0.9,9.9,-4.8,-5.6,2,x
1658226069863,0.2,-0.1,0.2,0,0.9,10,-0.8,-1.9,2,x
1658226069879.6,0.1,-0.1,0.1,0,0.9,9.9,0.7,-0.4,2.2,x
1658226069896.3,0.1,0,0.1,0.1,0.9,9.9,1.3,0.8,1.8,x
1658226069913,0.1,0,0.1,0,1,9.9,-0.5,-0.5,-0.5,x
1658226069929.6,-0.5,-0.1,0,-0.5,0.9,9.8,-0.8,-2.7,-1.4,x
1658226069946.7,0,0.3,0.2,-0.1,1.3,9.9,0.4,-4.9,0,x
1658226069963.7,-0.1,0,0.1,-0.3,1.1,9.8,2.2,0.9,0.7,x
1658226069980,-0.1,0.1,0.1,-0.3,1.2,9.8,2.1,3.6,1.2,x
1658226069996.9,-0.1,0.2,0.2,-0.2,1.3,9.9,1.4,3.3,0.7,x
1658226070013.5,-0.1,0.1,0,-0.2,1.3,9.8,1.4,-0.3,1.3,x
1658226070030,-0.1,0.1,0,-0.2,1.2,9.7,1.4,-1.1,2.2,x
1658226070046.6,0.1,0,-0.1,-0.1,1.2,9.6,-0.1,-1.4,4.2,x
1658226070063.4,0.2,-0.1,-0.1,0,1.2,9.6,-1.1,-1.6,4.5,x
1658226070079.9,0.1,-0.1,-0.1,0,1,9.6,-1.7,-2.4,4.4,x
1658226070096.9,0.1,-0.1,-0.1,0,1,9.7,-2.1,-2.4,4.8,x
1658226070113.4,0.1,-0.2,0,0.1,1,9.7,-2.2,-2.1,4.7,x
1658226070130,0.1,-0.2,0,0.1,0.9,9.8,-2.2,-1.1,4.3,x
1658226070146.7,0.1,-0.2,0,0.1,0.9,9.8,-0.4,-1.5,3,x
1658226070163.5,0,-0.1,0,0.1,0.9,9.7,0.2,-0.8,2.3,x
1658226070180,-0.1,0,-0.1,-0.1,0.9,9.7,-0.6,0,0.8,x
1658226070197.1,-0.1,0,0,-0.1,1,9.8,-2,-1.5,1,x
1658226070213.3,-0.1,0.1,0.1,-0.1,1,9.9,-1.7,-1,1,x
1658226070230.2,0.1,0.1,0.2,0,1,10,-1.4,0.2,0.5,x
1658226070246.9,-0.1,0,0.1,-0.1,1,9.8,-0.3,0.2,-0.9,x
