time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1655202390571.2,-1.2,-0.4,-1.7,-0.8,3.8,7.1,1.8,-30.9,-72.2,x
1655202390588.1,-1,-0.6,-1.6,-1,3.8,7.2,-3.9,-25.6,-64.6,x
1655202390605.3,-1,-0.7,-1.5,-1.1,3.7,7.3,-6,-23.7,-60.4,x
1655202390621.4,-0.7,-0.8,-1.2,-1.1,3.6,7.6,-10.8,-21.7,-52.6,x
1655202390637.8,-0.4,-0.7,-0.8,-1.1,3.6,7.9,-13.8,-20.6,-45.5,x
1655202390654.6,-0.3,-0.6,-0.7,-1,3.7,8.1,-13.1,-20.2,-43.2,x
1655202390671.2,-0.1,-0.4,-0.8,-1,3.8,8,-8.6,-21.9,-40.9,x
1655202390687.8,0.1,0,-1.2,-0.8,4.2,7.6,-4.6,-24.8,-38.5,x
1655202390720.7,0.3,0.1,-1.1,-0.5,4.6,7.6,-10,-22.4,-31.6,x
1655202390721.3,0.3,0.1,-1.1,-0.5,4.6,7.6,-10,-22.4,-31.6,x
1655202390737.8,0.7,0.2,-0.4,0,4.9,8.1,-14.4,-23.7,-25,x
1655202390755,0.8,0.2,-0.2,0.2,5,8.3,-13.7,-23.5,-23.5,x
1655202390771.3,1,0.2,0.1,0.7,5.1,9,-12.3,-17,-23.8,x
1655202390790.4,1,0.3,0.8,0.8,5.2,9.6,-10.4,-12,-25.2,x
1655202390805.3,0.6,0.5,1.1,0.7,5.3,9.6,-6.4,-5.5,-28.4,x
1655202390821.4,0.1,0.6,1.5,0.4,5.4,10,-11.3,-6.4,-30.9,x
1655202390838.3,0,0.4,2.5,0.3,5.1,11.1,-23.5,-14.9,-28.5,x
1655202390855.3,0.4,0.4,3,1.2,4.8,12.1,-24.7,-20.9,-26.1,x
1655202390871.2,1.4,0.2,3.3,1.9,4.5,12.1,-16.4,-30.3,-24.7,x
1655202390888,2,0.3,2.5,2.8,4.3,11.5,-2.5,-31.8,-33.3,x
1655202390905.5,1.9,0.5,2.1,3,4.4,11,3.2,-30.6,-39.2,x
1655202390921.1,1.6,0.7,1.3,3.1,4.6,10.2,6.6,-20.5,-47.3,x
1655202390937.8,1,0.4,1.7,2.8,4.3,10.6,-3.1,-4.8,-48.5,x
1655202390955.2,0.6,0.1,2.4,2.5,3.9,11.2,-8.2,1.7,-48.6,x
1655202390971.2,0.3,-0.5,3.4,2.1,3.1,12.3,-10.9,6.5,-49.1,x
1655202390987.9,0.3,-0.5,3.5,2.1,2.6,12.7,-3.4,-1.5,-55.2,x
1655202391005.3,0.2,-0.3,3.1,2,2.6,12.3,3.9,-9.3,-60.4,x
1655202391021.4,-0.1,0.3,1.1,1.6,3,10.4,21.2,-26.9,-71,x
1655202391038,-0.4,0.5,-0.7,1.2,3.3,8.6,18.8,-29.9,-71.4,x
1655202391055.5,-0.5,0.4,-1.2,1.1,3.3,8.1,13.5,-27.8,-69.6,x
1655202391071.2,-0.5,0.1,-1.2,1,3.2,8,2.6,-23.1,-65.5,x
1655202391088,-0.4,0,-1.2,1,3,7.9,0.6,-23.8,-64.3,x
1655202391105.5,-0.3,-0.3,-1.6,1.1,2.9,7.6,2.9,-31.5,-64.5,x
1655202391121.4,-0.4,-0.5,-2.2,1,2.8,7,4.2,-38.4,-65.9,x
1655202391137.7,-0.5,-0.6,-2.3,0.8,2.8,6.7,2.9,-36.6,-66,x
1655202391154.8,-0.6,-0.6,-2.3,0.7,2.8,6.8,0.3,-29.1,-65.7,x
