time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1664105931111.5,13.6,34.3,2.8,
1664105931161.4,13.6,34.2,2.8,x
1664105931195,13.5,34.2,2.8,x
1664105931211.4,13.5,34.1,2.8,x
1664105931228.2,13.4,34.1,2.9,x
1664105931265.5,13.4,34,2.9,x
1664105931278.4,13.3,33.9,3,x
1664105931294.8,13.2,33.8,3.2,x
1664105931311.9,13.2,33.8,3.1,x
1664105931328.4,13.3,33.8,3,x
1664105931345.2,13.4,33.7,2.9,x
1664105931362,13.5,33.9,2.8,x
1664105931378.4,13.6,33.9,2.7,x
1664105931395,13.7,33.6,2.4,x
1664105931411.5,13.7,33.4,2.3,x
1664105931428.3,13.8,33.5,2.3,x
1664105931445,13.7,33.6,2.4,x
1664105931461.8,13.7,33.7,2.5,x
1664105931494.8,13.7,33.6,2.4,x
1664105931511.5,13.9,33.5,2.3,x
1664105931528.5,13.9,33.5,2.2,x
1664105931545,14,33.6,2.1,x
1664105931561.5,13.9,33.7,2.2,x
1664105931578.3,13.9,33.7,2.3,x
1664105931594.9,14,33.6,2.2,x
1664105931611.5,14.1,33.5,1.9,x
1664105931628.2,14.2,33.4,1.8,x
1664105931645.1,14.3,33.4,1.6,x
1664105931661.5,14.2,33.4,1.8,x
1664105931678.4,14.2,33.5,1.9,x
1664105931694.8,14.1,33.6,1.9,x
1664105931728.7,14.3,33.5,1.8,x
1664105931745.1,14.4,33.3,1.6,x
1664105931761.6,14.4,33.2,1.6,x
1664105931794.9,14.4,33.1,1.6,x
1664105931811.7,14.3,33.1,1.7,x
1664105931845.2,14.3,33.2,1.7,x
1664105931862.1,14.3,33.2,1.6,x
1664105931878.4,14.4,33.1,1.5,x
1664105931895,14.4,33.1,1.6,x
1664105931961.8,14.4,33.1,1.5,x
1664105931978.4,14.4,33,1.5,x
1664105932011.8,14.5,32.9,1.2,x
1664105932095.2,14.4,33,1.4,x
1664105932128.1,14.3,32.9,1.4,x
1664105932245.2,14.2,32.8,1.6,x
1664105932279.1,14.2,32.7,1.6,x
1664105932356.8,14.2,32.8,1.6,x
1664105932361.9,14.2,32.7,1.6,x
1664105932445.5,14.4,32.7,1.5,x
1664105932478.8,14.4,32.7,1.6,x
1664105932495.4,14.4,32.7,1.5,x
1664105932579.4,14.6,32.8,1.4,x
1664105932611.9,14.6,32.7,1.4,x
1664105932729.3,14.6,32.6,1.4,x
1664105932745.5,14.6,32.6,1.3,x
1664105932928.3,14.6,32.6,1.4,x
1664105932994.9,14.7,32.7,1.3,x
1664105933062,14.7,32.6,1.2,x
1664105933145.1,14.7,32.7,1.3,x
1664105933195.2,14.7,32.6,1.3,x
1664105933228.4,14.7,32.7,1.3,x
1664105933262.1,14.7,32.6,1.3,x
1664105933311.8,14.8,32.7,1.3,x
1664105933345.2,14.8,32.6,1.2,x
1664105933579.7,14.8,32.5,1.2,x
1664105933612.2,14.9,32.5,1.1,x
1664105933662,14.8,32.5,1.2,x
1664105933812,14.7,32.5,1.4,x
1664105933895.1,14.7,32.6,1.4,x
1664105933911.6,14.7,32.5,1.4,x
1664105934095.4,14.7,32.4,1.4,x
1664105934233.1,14.8,32.3,1.2,x
1664105934495.5,14.9,32.4,1.1,x
1664105934562,14.9,32.3,1,x
1664105934611.8,14.8,32.2,1,x
1664105934681.3,14.6,32.1,1,x
1664105934711.8,14.5,32.1,1.1,x
1664105934745.3,14.5,32,1,x
1664105934761.9,14.5,32,1.1,x
1664105934795.4,14.3,32,1.1,x
1664105934845.5,14.3,31.8,1.1,x
1664105934861.9,14.3,31.7,1,x
1664105934911.8,14.3,31.7,1.1,x
1664105934945.4,14.3,31.7,1,x
