time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1653401302411,110.01,17.71,9.51,x
1653401302419,110.16,17.52,9.19,x
1653401302420,110.23,17.4,8.99,x
1653401302422,110.29,17.26,8.76,x
1653401302427,110.34,17.12,8.53,x
1653401302432,110.39,17,8.3,x
1653401302438,110.43,16.9,8.1,x
1653401302441,110.48,16.83,7.92,x
1653401302447,110.54,16.79,7.79,x
1653401302452,110.6,16.76,7.68,x
1653401302460,110.67,16.73,7.6,x
1653401302465,110.74,16.7,7.54,x
1653401302472,110.8,16.66,7.49,x
1653401302473,110.85,16.6,7.43,x
1653401302477,110.88,16.52,7.37,x
1653401302481,110.88,16.43,7.28,x
1653401302490,110.85,16.34,7.18,x
1653401302491,110.8,16.24,7.05,x
1653401302494,110.73,16.14,6.9,x
1653401302499,110.65,16.07,6.72,x
1653401302504,110.57,16.02,6.52,x
1653401302509,110.49,16,6.32,x
1653401302515,110.42,16.01,6.11,x
1653401302519,110.36,16.04,5.9,x
1653401302524,110.31,16.1,5.7,x
1653401302529,110.26,16.16,5.5,x
1653401302534,110.22,16.2,5.28,x
1653401302538,110.17,16.23,5.04,x
1653401302543,110.13,16.23,4.8,x
1653401302550,110.07,16.21,4.57,x
1653401302553,110.02,16.18,4.37,x
1653401302562,109.95,16.13,4.19,x
1653401302564,109.88,16.06,4.04,x
1653401302572,109.8,15.97,3.93,x
1653401302575,109.7,15.88,3.88,x
1653401302578,109.61,15.77,3.86,x
1653401302582,109.51,15.64,3.87,x
1653401302586,109.43,15.49,3.88,x
1653401302591,109.37,15.33,3.9,x
1653401302597,109.32,15.17,3.92,x
1653401302601,109.28,15,3.93,x
1653401302606,109.27,14.84,3.93,x
1653401302619,109.27,14.68,3.92,x
1653401302620,109.28,14.53,3.89,x
1653401302623,109.31,14.38,3.84,x
1653401302627,109.35,14.25,3.76,x
1653401302635,109.4,14.13,3.66,x
1653401302636,109.46,14.02,3.54,x
