time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1652786040904.6,18.71,89.22,-20.11,
1652786040920.9,54.48,88.42,-61.54,x
1652786040936.6,59.72,87.63,-71.08,x
1652786040953.7,59.93,86.65,-76.38,x
1652786040969.9,57.6,85.6,-79.31,x
1652786040986.6,53.96,84.47,-81.15,x
1652786041003.7,51.47,83.79,-81.92,x
1652786041019.7,49.43,83.25,-82.41,x
1652786041036.4,47.99,82.87,-82.7,x
1652786041053.4,47.24,82.68,-82.84,x
1652786041070.4,46.48,82.48,-82.97,x
1652786041086.6,45.7,82.28,-83.09,x
1652786041103.7,44.91,82.08,-83.21,x
1652786041120.1,43.26,81.66,-83.44,x
1652786041136.7,41.56,81.23,-83.65,x
1652786041153.3,40.75,81.01,-83.8,x
1652786041169.8,39.99,80.8,-83.97,x
1652786041187.2,39.27,80.6,-84.17,x
1652786041203.7,38.59,80.4,-84.39,x
1652786041219.7,37.33,80.02,-84.89,x
1652786041236.7,36.75,79.84,-85.16,x
1652786041253.3,36.2,79.66,-85.44,x
1652786041269.6,35.18,79.33,-86.04,x
1652786041286.6,33.84,78.86,-86.99,x
1652786041303,32.68,78.44,-87.97,x
1652786041319.6,32.01,78.19,-88.63,x
1652786041336.4,31.4,77.95,-89.3,x
1652786041353.2,210.36,102.48,89.38,x
1652786041369.7,209.51,102.85,88.09,x
1652786041386.6,208.55,103.3,86.24,x
1652786041403.7,207.98,103.61,84.78,x
1652786041420,207.63,103.82,83.68,x
1652786041436.4,207.32,104.04,82.37,x
1652786041453.2,207.12,104.22,81.14,x
1652786041470,206.97,104.45,79.32,x
1652786041487,206.99,104.64,77.47,x
1652786041503.7,207.07,104.73,76.53,x
1652786041520.2,207.13,104.77,75.99,x
1652786041536.5,207.18,104.8,75.64,x
1652786041552.8,207.23,104.82,75.29,x
1652786041569.8,207.26,104.83,75.13,x
1652786041586.8,207.31,104.85,74.79,x
1652786041603.7,207.41,104.89,74.31,x
1652786041619.9,207.57,104.93,73.54,x
1652786041636.6,207.87,104.99,72.39,x
