time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1658225929609.5,12.3,29.9,3.8,
1658225929626.2,11.8,29.9,3.4,x
1658225929642.9,12.1,29.9,3,x
1658225929659.5,12.6,29.8,2.4,x
1658225929676.2,12.9,29,1.8,x
1658225929692.9,13.1,28.6,1.5,x
1658225929709.5,13.4,27.8,0.7,x
1658225929726.2,13.6,27.5,0.2,x
1658225929742.9,13.8,27.4,-0.3,x
1658225929759.5,13.9,27.2,-0.5,x
1658225929776.2,14.1,27.2,-1,x
1658225929792.9,14.2,27.5,-1.3,x
1658225929809.5,14.1,27.7,-1.2,x
1658225929826.1,13.7,28,-0.4,x
1658225929842.9,13.5,27.9,-0.1,x
1658225929859.9,13.4,27.8,0.2,x
1658225929877.5,13.3,27.8,0.5,x
1658225929893.9,13.2,27.9,0.6,x
1658225929910.3,12.9,28,1.2,x
1658225929926.7,12.7,27.8,1.5,x
1658225929943.5,12.7,27.6,1.5,x
1658225929960.1,12.8,27.3,1.2,x
1658225929976.9,13,27.2,0.9,x
1658225929993.9,13,27.1,0.8,x
1658225930010,13.1,27.1,0.6,x
1658225930026.7,13.1,27.2,0.4,x
1658225930043.2,13.2,27.2,0.2,x
1658225930059.8,13.3,27.4,0,x
1658225930093.3,13.2,27.4,0.1,x
1658225930110.9,13.1,27.8,0.2,x
1658225930127.2,13,27.9,0.5,x
1658225930193.5,12.8,28,0.6,x
1658225930210.2,12.6,27.7,1.1,x
1658225930226.6,12.7,27.7,1,x
1658225930243.3,12.9,27.7,0.7,x
1658225930259.9,13.1,27.8,0.2,x
1658225930277.3,13,27.8,0.5,x
1658225930293.6,12.9,27.7,0.6,x
1658225930310.5,13.1,27.7,0.4,x
1658225930360.3,13.1,27.6,0.4,x
1658225930377,12.9,27.3,0.8,x
1658225930410.4,12.9,27.1,0.9,x
1658225930460.3,12.8,27.1,1.1,x
1658225930477.4,12.8,27,1.1,x
1658225930510.2,12.8,27,1.2,x
1658225930526.8,12.9,27,1,x
1658225930575,12.9,26.7,0.9,x
1658225930609.7,13,26.7,0.7,x
1658225930626.4,13,26.6,0.6,x
1658225930676.2,13,26.7,0.8,x
1658225930709.7,13,26.7,1,x
1658225930726.4,13,26.7,1.1,x
1658225930743.1,13,26.8,1.2,x
1658225930759.7,13.1,26.8,1.3,x
1658225930815,13.2,26.6,1.2,x
1658225930826.5,13.2,26.4,1,x
1658225930859.7,13.3,26.3,0.8,x
1658225930893.1,13.4,26.4,0.7,x
1658225930926.4,13.6,26.3,0.6,x
1658225930945.2,13.7,26.2,0.5,x
1658225930977.1,13.8,26.2,0.3,x
1658225931126.4,13.7,26.3,0.5,x
1658225931159.8,13.6,26.3,0.6,x
1658225931177,13.5,26.3,0.6,x
1658225931209.9,13.5,26.3,0.5,x
1658225931243.2,13.6,26.3,0.3,x
1658225931259.7,13.5,26.3,0.2,x
1658225931293.3,13.4,26.4,0.4,x
1658225931376.4,13.1,26.5,0.5,x
1658225931393.6,13.1,26.5,0.7,x
1658225931410.1,12.9,26.7,0.9,x
1658225931426.5,12.8,26.9,1.1,x
1658225931443.5,12.8,26.9,1.2,x
1658225931459.9,12.8,26.9,1.1,x
1658225931497.1,12.8,26.8,1.1,x
1658225931527,12.7,26.7,1.2,x
1658225931660.3,12.7,26.9,1.3,x
1658225931693.3,12.6,27.1,1.4,x
1658225931753.6,12.9,27.1,1.3,x
1658225931877.1,12.9,27,1.1,x
1658225931910.1,13,27,1,x
1658225932143.1,12.9,27.1,1,x
1658225932160.1,13,27.2,1,x
1658225932243.7,12.9,27.2,1.1,x
1658225932259.8,12.9,27.2,1.2,x
1658225932326.7,12.7,27.2,1.2,x
1658225932609.8,12.6,27.4,1.2,x
1658225932743,12.8,27.5,1.2,x
1658225932809.8,12.8,27.6,1.2,x
1658225932893.6,12.8,27.6,1.1,x
1658225932994.3,12.7,27.7,1,x
1658225933093,12.7,27.6,1,x
1658225933159.8,12.6,27.5,1,x
1658225933210,12.6,27.5,1.1,x
1658225933259.5,12.5,27.5,1.2,x
1658225933293.2,12.6,27.5,1.2,x
1658225933377.6,12.8,27.4,1.2,x
1658225933410.1,12.8,27.4,1.1,x
1658225933460.1,13,27.4,1,x
1658225933509.8,13.1,27.4,0.9,x
1658225933560.1,13.1,27.3,0.9,x
1658225933810,13,27.1,0.9,x
1658225933860.1,12.9,27.2,0.8,x
1658225934126.9,12.7,27.2,1,x
1658225934144.1,12.7,27.2,1.1,x
1658225934160.1,12.7,27.2,1.2,x
1658225934259.7,12.6,27.1,1.3,x
1658225934343.2,12.7,27.1,1.1,x
1658225934426.6,12.7,27.2,1.1,x
1658225934460.1,12.7,27.2,1.2,x
1658225934526.6,12.6,27.3,1.4,x
1658225934576.4,12.7,27.3,1.3,x
1658225934618.3,12.7,27.2,1.1,x
1658225934693.1,12.8,27.3,1,x
1658225934743.1,12.7,27.3,1.1,x
1658225934759.6,12.7,27.4,1.1,x
1658225934776.9,12.7,27.5,1.2,x
1658225934793.2,12.7,27.5,1.1,x
1658225934826.8,12.6,27.4,1,x
1658225934843.2,12.6,27.4,1.1,x
1658225934959.7,12.5,27.5,1.1,x
1658225934977.1,12.5,27.5,1.2,x
1658225935076.5,12.5,27.6,1.3,x
1658225935093.6,12.5,27.5,1.3,x
1658225935259.6,12.5,27.5,1.4,x
1658225935293.3,12.5,27.6,1.5,x
1658225935326.7,12.5,27.5,1.5,x
1658225935393.4,12.5,27.3,1.4,x
1658225935460,12.5,27.4,1.4,x
1658225935554.9,12.5,27.5,1.3,x
1658225935609.5,12.5,27.4,1.1,x
1658225935643.3,12.5,27.5,1.2,x
1658225935693.3,12.4,27.6,1.3,x
1658225935759.6,12.4,27.7,1.4,x
1658225935826.6,12.5,27.7,1.3,x
1658225935859.7,12.5,27.6,1.2,x
1658225935893.1,12.5,27.5,1.2,x
1658225936277.3,12.5,27.6,1.3,x
1658225936327,12.6,27.5,1.3,x
1658225936360,12.7,27.5,1.1,x
1658225936397.6,12.7,27.5,1,x
1658225936590.4,12.9,27.3,0.8,x
1658225936759.6,12.9,27.2,1,x
1658225936810,12.8,27.2,1.1,x
1658225936876.8,12.9,27.2,1,x
1658225937009.7,13.1,27.3,0.8,x
1658225937026.3,13.2,27.4,0.8,x
1658225937076.2,13.2,27.3,0.8,x
1658225937126.2,13.2,27.4,0.9,x
1658225937360,13.3,27.6,0.8,x
1658225937426.7,13.3,27.7,0.9,x
1658225937776.4,13.2,27.8,1.1,x
1658225937826.4,13.1,27.9,1,x
1658225937859.7,13.1,27.9,1.1,x
1658225937893.1,13.2,27.9,1,x
1658225937909.6,13.2,27.8,1,x
1658225937959.4,13.1,27.9,1,x
1658225937992.7,13.1,27.8,1,x
1658225938026.1,13.1,27.9,1,x
1658225938042.7,13.1,27.9,1.1,x
1658225938076.2,13,27.9,1.1,x
1658225938209.5,13,27.9,1.2,x
1658225938242.7,13,27.9,1.1,x
