time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1658226069529.8,12,6.6,1.1,
1658226069564.5,12,6.5,1.2,x
1658226069615.1,11.9,6.4,1.4,x
1658226069648.3,11.8,6.2,1.5,x
1658226069675.5,11.8,6.3,1.4,x
1658226069692.2,11.8,6.4,1.3,x
1658226069709,11.8,6.5,1.4,x
1658226069725.5,11.7,6.3,1.6,x
1658226069742.2,11.6,6.5,2.3,x
1658226069758.9,11.6,6.7,2.7,x
1658226069775.6,11.7,7,2.8,x
1658226069792.3,11.9,7.2,2.3,x
1658226069808.9,11.9,7.1,2.1,x
1658226069825.6,12,6.9,1.6,x
1658226069842.3,12.1,6.4,1.2,x
1658226069858.9,12.1,6.2,1,x
1658226069875.5,12.2,5.9,0.6,x
1658226069892.3,12.3,5.8,0.4,x
1658226069908.9,12.3,5.7,0.3,x
1658226069925.5,12.3,5.7,0.1,x
1658226069942.8,12.2,5.9,0.7,x
1658226069959.8,12.2,6.2,0.7,x
1658226069976.3,12.2,6.3,0.9,x
1658226070009.7,12.2,6.6,1.1,x
1658226070026.2,12.2,6.9,1.2,x
1658226070059.8,12.3,7,1.1,x
1658226070076.4,12.5,6.9,0.9,x
1658226070093.5,12.5,6.8,0.7,x
1658226070109.8,12.6,6.6,0.5,x
1658226070126.2,12.7,6.3,0.2,x
1658226070143,12.8,6.2,0.1,x
1658226070159.7,12.9,5.9,-0.1,x
1658226070177.2,12.9,5.7,-0.1,x
1658226070192.9,12.9,5.7,0,x
1658226070210.2,12.9,5.7,0.2,x
1658226070229.3,12.9,5.8,0.3,x
1658226070276.5,12.9,6,0.5,x
1658226070292.9,12.8,5.9,1,x
1658226070310.4,12.9,6.2,0.6,x
1658226070327.1,12.9,6,0.4,x
1658226070377.3,12.9,5.8,0.2,x
1658226070393,12.9,5.8,0,x
1658226070409.3,13,5.9,-0.3,x
1658226070426,12.9,6.1,-0.2,x
1658226070443.7,12.9,6.2,0.1,x
1658226070459.2,12.8,6.2,0.2,x
1658226070494.1,12.8,5.9,0.3,x
1658226070542.7,12.8,6,0.2,x
1658226070559.6,12.8,6,0.3,x
1658226070576.3,12.8,6.1,0.3,x
1658226070593,12.7,6,0.3,x
1658226070693.3,12.7,6.1,0.4,x
1658226070876.3,12.8,6,0.5,x
1658226071126.1,12.8,6.1,0.3,x
1658226071193.2,12.9,6,0.3,x
1658226071476.3,12.9,5.8,0.3,x
1658226071661.7,12.8,5.9,0.5,x
1658226071794.3,12.7,5.7,0.3,x
1658226071840.7,12.7,5.8,0.4,x
1658226072142.7,12.7,5.8,0.2,x
1658226072276,12.7,5.7,0.2,x
1658226072376.3,12.7,5.7,0.3,x
1658226072442.9,12.7,5.8,0.2,x
1658226072577.5,12.7,5.9,0.1,x
1658226072609,12.7,5.9,0.2,x
1658226072825.7,12.8,6,0.1,x
1658226072892.8,12.8,5.8,0.1,x
1658226072960.4,12.8,5.8,0,x
1658226073059.3,12.8,5.8,-0.1,x
1658226073076,12.8,5.8,0,x
1658226073142.7,12.7,5.8,0.1,x
1658226073176,12.7,5.8,0.2,x
1658226073209.7,12.7,5.8,0.3,x
1658226073292.8,12.7,5.8,0.5,x
1658226073393.1,12.8,5.9,0.3,x
1658226073442.6,12.8,5.9,0.2,x
1658226073511.9,12.9,5.8,0.3,x
1658226073609.3,12.9,5.9,0.2,x
1658226073710.2,12.9,6,0.1,x
1658226073726.2,12.9,6.1,0.1,x
1658226073833.4,12.7,6.1,0.1,x
1658226073843.7,12.7,6,0.1,x
1658226073942.5,12.6,5.9,0.2,x
1658226074109.5,12.5,6,0.3,x
1658226074125.9,12.6,5.9,0.3,x
1658226074192.7,12.5,5.8,0.3,x
1658226074242.6,12.6,5.8,0.4,x
1658226074326,12.6,5.9,0.2,x
1658226074342.8,12.6,5.9,0.1,x
1658226074425.8,12.6,6.1,0.1,x
1658226074477.8,12.6,6,0.1,x
1658226074495.3,12.6,6,0,x
1658226074575.9,12.6,6.1,-0.1,x
1658226074642.6,12.7,6,-0.1,x
1658226074692.7,12.7,6.1,-0.1,x
1658226074793.4,12.8,5.9,-0.1,x
1658226074835.3,12.9,5.9,-0.2,x
1658226074959.4,12.8,6,-0.3,x
1658226075025.9,12.7,6.1,-0.2,x
1658226075059.4,12.7,6,-0.2,x
1658226075109.3,12.6,5.9,-0.1,x
1658226075159.4,12.5,5.7,-0.1,x
1658226075176.1,12.5,5.7,0,x
1658226075209.4,12.5,5.8,0,x
1658226075259.1,12.4,5.7,0,x
1658226075309.5,12.4,5.7,0.1,x
1658226075359.4,12.3,5.8,0.1,x
1658226075394,12.3,5.8,0.2,x
1658226075425.5,12.3,5.7,0.2,x
1658226075475.9,12.3,5.7,0.3,x
1658226075509,12.3,5.7,0.2,x
1658226075542.5,12.3,5.8,0.2,x
1658226075575.9,12.4,5.8,0.1,x
1658226075609.3,12.4,5.8,0.2,x
1658226075643.4,12.4,5.8,0.1,x
1658226075726,12.5,5.8,0,x
1658226075838.9,12.4,5.9,-0.1,x
1658226076026.1,12.4,5.9,0,x
1658226076175.8,12.4,5.9,-0.1,x
1658226076392.2,12.5,5.9,-0.2,x
