time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1655202292600.9,-0.1,0.1,0.1,-0.5,3.5,9.4,6.9,3.1,0.2,
1655202292617.5,0.1,0.1,0.1,-0.4,3.4,9.3,8.9,5.5,0.3,x
1655202292634.2,-0.1,0,0,-0.5,3.4,9.2,11.4,9.6,-2,x
1655202292650.9,-0.2,0.1,0.1,-0.7,3.5,9.3,12.8,8.8,-2.9,x
1655202292667.5,-0.2,0.1,0.2,-0.7,3.5,9.4,13.8,8.1,-2.7,x
1655202292684.2,0.1,0.2,0.5,-0.4,3.6,9.7,21,1.1,-1.6,x
1655202292700.8,0.1,0.2,0.7,-0.4,3.6,9.9,33.2,-5.3,-3.5,x
1655202292717.5,0.5,0.4,0.4,0,3.7,9.6,39.4,-5,-5.3,x
1655202292734.6,0.2,0.4,-0.1,-0.2,3.8,9,45.7,5.3,-8.3,x
1655202292751.3,-0.1,0.5,-0.3,-0.4,4,8.9,45.5,8.8,-8.6,x
1655202292768.3,-0.2,0.5,-0.6,-0.6,4.2,8.5,41.5,10.9,-6.8,x
1655202292784.9,-0.1,0.5,-0.5,-0.5,4.3,8.5,29.5,5.8,-1.7,x
1655202292801.3,-0.1,0.3,-0.4,-0.6,4.3,8.5,26.6,5.6,-1.1,x
1655202292818.3,0,0,-0.4,-0.5,4,8.5,25.4,3.9,1.1,x
1655202292834.9,0.2,0.1,-0.4,-0.3,4.1,8.5,23,-1.1,-2.2,x
1655202292851.3,0.1,0.1,-0.4,-0.3,4.2,8.5,20.3,-5.8,-6,x
1655202292868.2,-0.1,0.3,0,-0.5,4.5,8.8,15.1,-12.5,-12.8,x
1655202292884.8,-0.2,0.1,0.1,-0.7,4.4,8.9,17.2,-16.2,-16.8,x
1655202292901.8,-0.2,0.2,0.1,-0.7,4.4,8.9,18.1,-18.4,-17,x
1655202292918.2,-0.1,0.2,0.3,-0.6,4.5,9.1,19.7,-18.5,-16.1,x
1655202292934.6,0.5,0.7,0.3,0,5,9.1,23.6,-10.3,-13.9,x
1655202292951.3,-0.4,0.1,0.4,-0.8,4.4,9.2,27.3,-6.9,-11.3,x
1655202292968.2,0.1,0.2,-0.4,-0.4,4.6,8.4,33.8,6,-7,x
1655202292984.9,0.2,0.4,-0.4,-0.3,4.9,8.3,29.8,-2.1,-11.8,x
1655202293001.5,0.2,0.5,-0.5,-0.3,5,8.1,26.4,-8.4,-14.2,x
1655202293017.9,0.1,0.3,-0.5,-0.3,5.1,8.1,20.2,-22.1,-19,x
1655202293037.6,-0.1,0.4,-0.3,-0.5,5.2,8.2,13.2,-27.6,-24.3,x
1655202293051.3,-0.2,0.3,-0.2,-0.6,5.3,8.2,9.3,-27.7,-26.1,x
1655202293068.2,-0.2,0.2,-0.1,-0.7,5.2,8.3,3.9,-30.3,-22.6,x
1655202293084.8,0.1,-0.1,0.2,-0.5,5,8.6,4.9,-35.9,-17.1,x
1655202293101.3,0.3,0,0.3,-0.2,5,8.7,5.1,-35.2,-16.3,x
1655202293118.1,0.1,-0.1,0.2,-0.3,4.9,8.6,5.1,-30.4,-17.3,x
1655202293134.9,0,0,0,-0.4,5,8.4,8.3,-25.2,-16.8,x
1655202293151.4,0.1,0,-0.2,-0.3,5,8.3,10.2,-22.4,-15.7,x
1655202293168.7,0.3,0.1,-0.5,-0.1,5.1,8,7.9,-14.5,-12.6,x
1655202293185.1,0.2,-0.1,-0.5,-0.1,5,7.9,-0.1,-12.7,-12.9,x
