time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1658433755074,5.02,26.93,-20.63,x
1658433755091,5.07,26.71,-20.46,x
1658433755107,5.09,26.55,-20.3,x
1658433755124,4.75,26.33,-20.11,x
1658433755141,4.8,26.21,-20,x
1658433755158,4.85,26.12,-19.93,x
1658433755174,4.89,26.06,-19.89,x
1658433755191,4.9,26.04,-19.83,x
1658433755208,4.92,26.04,-19.75,x
1658433755224,4.94,26.05,-19.66,x
1658433755241,4.97,26.05,-19.63,x
1658433755257,4.99,26.06,-19.59,x
1658433755274,5.01,26.08,-19.54,x
1658433755291,4.97,26.07,-19.52,x
1658433755307,4.95,26.06,-19.49,x
1658433755324,4.97,26.07,-19.47,x
1658433755341,4.98,26.07,-19.46,x
1658433755358,4.99,26.06,-19.45,x
1658433755374,5,26.06,-19.43,x
1658433755391,5,26.05,-19.42,x
1658433755407,4.99,26.02,-19.4,x
1658433755424,4.99,26,-19.33,x
1658433755440,4.99,25.99,-19.31,x
1658433755457,5,25.98,-19.31,x
1658433755474,5.02,25.97,-19.32,x
1658433755491,5.03,25.97,-19.3,x
1658433755507,5.03,25.97,-19.29,x
1658433755524,5.01,25.96,-19.3,x
1658433755540,5,25.94,-19.29,x
1658433755558,5,25.94,-19.26,x
1658433755574,5,25.94,-19.25,x
1658433755591,5.01,25.94,-19.25,x
1658433755608,5.03,25.94,-19.24,x
1658433755624,5.04,25.91,-19.2,x
1658433755641,5.02,25.89,-19.19,x
1658433755657,5.01,25.86,-19.19,x
1658433755674,5.01,25.84,-19.2,x
1658433755691,5.01,25.82,-19.2,x
1658433755707,5.02,25.82,-19.2,x
1658433755724,5.03,25.83,-19.19,x
1658433755741,5.03,25.83,-19.18,x
1658433755758,5.03,25.83,-19.15,x
1658433755774,5.03,25.82,-19.14,x
1658433755791,5.03,25.83,-19.16,x
1658433755807,5.04,25.83,-19.17,x
1658433755824,5.04,25.83,-19.18,x
1658433755840,5.03,25.84,-19.18,x
1658433755858,5.03,25.84,-19.18,x
1658433755874,5.02,25.84,-19.15,x
1658433755891,5.02,25.83,-19.13,x
1658433755907,5.03,25.82,-19.13,x
1658433755924,5.05,25.81,-19.16,x
1658433755941,5.06,25.8,-19.18,x
1658433755957,5.05,25.79,-19.17,x
1658433755974,5.03,25.79,-19.13,x
1658433755991,5.02,25.79,-19.11,x
1658433756007,5.01,25.79,-19.1,x
1658433756028,5,25.77,-19.1,x
1658433756041,4.99,25.76,-19.1,x
1658433756057,4.98,25.75,-19.1,x
1658433756074,4.96,25.71,-19.08,x
1658433756091,4.94,25.68,-19.06,x
1658433756107,4.92,25.65,-19.04,x
1658433756124,4.89,25.6,-19,x
