time,sensor_x0[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_y0[undefined],sensor_x[undefined],sensor_gamma[undefined],sensor_y[undefined],sensor_z0[undefined],sensor_z[undefined],label_activities_sitting
1652785663374.9,-0.1,0.1,-2.2,0,0.2,3.7,7.1,0,6.9,x
1652785663391.1,-0.1,0.1,-2.2,0,0.2,3.7,7.1,-0.1,6.9,x
1652785663408.3,0,-0.5,-3.3,0,0.3,4.1,7.1,-0.1,6.7,x
1652785663424.4,0.1,-3.2,-3.8,0,0.4,4.3,7.1,-0.1,6.7,x
1652785663441.1,0.1,-3.8,-1.4,0.1,0.4,3.8,7.2,-0.1,6.9,x
1652785663457.8,0.2,-3.8,-1.4,0.1,0.4,3.8,7.2,0.1,6.9,x
1652785663474.4,0.2,-3.3,1.3,0,0.5,2.5,7,0.2,7,x
1652785663492.5,0.1,-2,2.1,0,0.4,0.9,7.1,0.1,6.9,x
1652785663508.1,0,-0.2,0.4,0,0.3,0.4,7.1,0,6.9,x
1652785663524.7,0,-0.2,0.4,0,0.4,0.4,7.1,0,6.9,x
1652785663541.4,0.2,-0.1,2.2,0,0.6,-1.1,7.1,0.1,6.9,x
1652785663557.9,0.2,0,2.2,0,0.5,-3.2,7.1,0,6.8,x
1652785663574.4,0.1,0,2.2,0,0.5,-3.2,7.1,-0.1,6.8,x
1652785663593.7,-0.1,-0.6,3.1,0.1,0.2,-3.7,7.1,-0.2,6.7,x
1652785663608.1,0,-3.5,4.5,0,0.3,-2.6,7,-0.1,6.8,x
1652785663624.7,0,-3.4,4.3,-0.1,0.3,-2.9,7,0,6.9,x
1652785663641.3,0,-3.4,4.3,0,0.2,-2.9,7.1,0.1,7,x
1652785663658,-0.1,-1.5,-1.4,0,0.2,-2.7,7,0.1,7.1,x
1652785663676.1,0,-0.5,-0.2,-0.1,0.2,-3,7,0.1,7,x
1652785663691.3,0,-0.6,1.8,-0.1,0.2,-3.2,7,0.1,7,x
1652785663708,-0.2,-0.6,1.8,0,0,-3.2,7.1,0.1,7,x
1652785663724.6,-0.2,0.6,3.6,0,0,-0.8,7.1,0.1,7,x
1652785663741.1,-0.1,2,1,0,0.1,0.2,7.1,0.1,7,x
1652785663757.7,-0.1,2,1,0,0.2,0.2,7,0.1,6.9,x
1652785663778.8,0,2.8,1.4,0,0.2,0.3,7,0,6.9,x
1652785663791.2,-0.2,2.8,3.4,0,0,1,7.1,0.1,7.1,x
1652785663807.7,-0.2,2.8,3.4,0,0,1,7.1,0.2,7.1,x
1652785663824.4,-0.1,4.3,4.2,-0.1,0.1,2.5,7,0.2,7,x
1652785663841.4,0,6.9,1.9,0,0.2,2.9,7.1,0,6.8,x
1652785663857.9,0.1,5.3,0.2,0,0.2,2.5,7.1,-0.3,6.6,x
1652785663874.9,0,5.3,0.2,0,0.2,2.5,7.1,-0.4,6.5,x
