time,sensor_x0[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_y0[undefined],sensor_x[undefined],sensor_gamma[undefined],sensor_y[undefined],sensor_z0[undefined],sensor_z[undefined],label_activities_sitting
1652785667240.9,0.3,6.5,27,0.1,0.4,-2.8,6.9,1.4,8.3,x
1652785667258,1,14.4,17.1,-0.8,0.4,-5.3,6.9,1.1,8.3,x
1652785667274.3,0.9,14.4,17.1,-0.8,0.5,-5.3,6.6,1.1,7.5,x
1652785667290.9,0.5,26.6,22.4,-0.3,0.1,-21.5,7.2,0.2,6.8,x
1652785667307.5,0.2,31.7,40.2,0.2,-0.2,-27.1,7.6,0,6.8,x
1652785667324.2,0.2,31.7,40.2,0.4,-0.2,-27.1,7.6,0.2,6.8,x
1652785667340.9,0.5,35.5,29,-0.8,-0.4,-33.9,6.9,0.5,6.9,x
1652785667357.6,-0.1,41.7,39.6,-0.1,-1.2,-35.3,7.6,0.1,6.3,x
1652785667374.3,-0.6,41.7,39.6,0.3,-1.2,-35.3,7.6,-0.5,6.3,x
1652785667390.9,-1.5,44.4,68.2,1,-2.5,-33.8,8.3,-1.2,5,x
1652785667407.6,-0.7,25.3,90.8,0,-1.9,-13.5,7.5,-1.2,4.8,x
1652785667424.2,-0.1,16.7,82.1,-0.3,-1.8,-10.7,7.5,-1.1,5.1,x
1652785667441,-0.3,16.7,82.1,0.1,-1.8,-10.7,7.5,-0.5,5.1,x
1652785667458,-0.1,12.7,32.5,0.2,-1.9,-3.1,7.8,-0.1,5.9,x
1652785667474.2,-0.2,15.7,13.9,-0.1,-2,-3.1,7.6,0.1,6.1,x
1652785667490.9,-0.3,15.7,13.9,-0.3,-2,-3.1,7.6,0.3,6.1,x
1652785667507.6,-0.6,14.3,-1.3,-0.1,-2.3,-1.9,7.8,0.1,5.7,x
1652785667524.3,-0.4,13.4,16.4,0.1,-2.2,2.7,8,-0.2,5.6,x
1652785667541,-0.2,11.9,21.3,0,-2.1,3.6,7.9,-0.3,5.4,x
1652785667557.6,-0.2,11.9,21.3,-0.1,-2.1,3.6,7.9,-0.3,5.4,x
1652785667574.7,0,10.3,23,-0.2,-1.9,4,7.7,-0.1,5.9,x
1652785667590.9,0,8.6,8.8,-0.1,-1.9,3.2,7.8,0.2,5.3,x
1652785667607.6,-0.2,8.6,8.8,0,-2.1,3.2,8,-1.1,4.6,x
1652785667624.2,-0.3,4.1,3.1,0.1,-2,3.1,8,-0.8,5,x
1652785667640.9,0.1,-6.6,-17.7,0,-1.8,4.4,7.9,-0.4,5.6,x
1652785667657.5,-0.1,-4.9,-25.8,0.1,-2,3.2,8.1,0.3,5.9,x
1652785667674.2,-0.3,-4.9,-25.8,0.2,-2,3.2,8.1,0.2,5.9,x
1652785667690.9,-0.2,-1.3,-26.9,0,-1.9,4.5,7.9,0,5.7,x
1652785667707.5,-0.2,2.3,-16.1,0,-1.9,5.4,7.9,-0.2,5.4,x
1652785667727.8,-0.1,-0.6,-16,-0.1,-1.7,5.1,7.8,-0.6,5.1,x
1652785667740.8,0.1,-0.6,-16,-0.1,-1.6,5.1,7.8,-0.6,5.3,x
1652785667757.5,0,-6.7,-25.1,0,-1.7,0.9,7.9,-0.1,5.9,x
1652785667774.2,0,-8.4,-35.3,0.1,-1.5,3.9,8,0.2,5.9,x
1652785667790.8,0.1,-8.4,-35.3,0.2,-1.5,3.9,8,0.1,5.9,x
1652785667807.5,0.3,-9,-37.8,0.2,-1.3,6.6,8,-0.1,5.7,x
1652785667824.2,-0.1,-8.2,-13.4,-0.1,-1.5,1.7,7.8,-0.1,5.8,x
1652785667840.9,-0.1,-7.3,-6.5,-0.1,-1.5,1,7.8,0.1,6,x
1652785667857.5,-0.1,-7.3,-6.5,0,-1.5,1,7.9,0.1,5.9,x
1652785667874.2,-0.1,-5.7,-3,-0.1,-1.4,1,7.8,-0.2,5.7,x
1652785667890.8,0,-5.7,-3,-0.1,-1.5,1,7.7,-0.2,6.2,x
1652785667907.6,-0.3,-7.9,-9,-0.1,-1.5,1.2,7.7,0.4,6.2,x
1652785667924.2,-0.2,-8.4,-17.9,0.2,-1.3,3.3,8,0.2,6.1,x
1652785667940.9,0.1,-4.1,-17.5,0.2,-1.3,5,8,0.1,6.1,x
1652785667957.5,0.1,-5.8,-12.2,0,-1,3.7,7.7,-0.3,5.7,x
1652785667974.2,0.2,-5.8,-12.2,-0.1,-1,3.7,7.6,-0.4,5.9,x
1652785667990.9,0.1,-9.2,5.5,0,-1.2,-0.8,7.8,0.1,6.2,x
1652785668007.6,0,-6.5,5.2,0,-1.2,-1.1,7.8,0.3,6.4,x
1652785668024.3,0,-6.5,5.2,0,-1.2,-1.1,7.8,0.4,6.4,x
1652785668040.9,-0.2,-3.2,1.9,0,-1.5,-0.8,7.8,0.8,6.8,x
1652785668057.6,-0.2,4.2,-9.7,0.1,-1.3,1.6,7.8,0.3,6.2,x
1652785668074.2,0,6.6,-7,0,-1.1,2,7.7,-0.3,5.8,x
1652785668090.9,0.1,6.6,-7,0,-1,2,7.9,-0.5,5.5,x
1652785668107.5,0.2,4.5,-3.9,0.1,-0.9,1.5,7.8,-0.6,5.5,x
1652785668124.2,0.2,-4.8,4.5,-0.2,-1,-2.5,7.6,-0.3,5.8,x
1652785668140.8,0,-4.8,4.5,-0.2,-1,-2.5,7.6,-0.2,5.8,x
1652785668157.5,-0.2,-7,5.9,0.1,-1.4,-3.7,7.8,0.2,6.4,x
1652785668174.2,-0.2,-1.5,2.8,0.1,-1.4,-0.7,7.8,0.5,6.7,x
1652785668190.9,-0.2,4.4,-2.6,0,-1.4,0.8,7.7,0.5,6.6,x
1652785668207.6,-0.2,4.4,-2.6,-0.1,-1.3,0.8,7.6,0.2,6,x
1652785668224.2,-0.1,6.2,-7.2,-0.1,-1.2,2.6,7.7,-0.4,5.6,x
1652785668240.9,0.1,0.9,-5.6,0,-1,2.1,7.8,-0.7,5.3,x
1652785668257.6,0.2,0.9,-5.6,0,-1,2.1,7.8,-0.7,5.3,x
1652785668274.2,0.2,-4.3,-0.4,0,-1,0.3,7.7,-0.5,5.8,x
1652785668290.9,-0.2,-9.5,-3,0,-1.5,-1.7,7.7,0.5,6.7,x
1652785668307.9,-0.3,-4.1,-14.5,-0.1,-1.4,1,7.6,0.8,6.9,x
1652785668324.1,-0.2,-4.1,-14.5,-0.1,-1.4,1,7.8,0.7,6.7,x
1652785668340.8,-0.4,8,-17.1,0.2,-1.4,5,7.8,0.3,6.3,x
1652785668357.5,-0.3,9,-16.6,0,-1.2,6.2,7.6,0,5.9,x
1652785668374.2,-0.2,9,-16.6,-0.1,-1.2,6.2,7.6,-0.4,5.9,x
1652785668390.9,-0.1,7.5,-10.6,0.5,-0.8,6.9,8.2,-0.8,5.4,x
1652785668407.5,0.7,-1.6,-8.8,-0.1,-0.3,4.9,7.6,-0.3,5.8,x
1652785668424.2,0.4,-3,-10.6,0,-0.6,1.3,7.8,-0.2,5.9,x
1652785668440.8,0.2,-3,-10.6,0.1,-0.9,1.3,7.9,0,6.2,x
1652785668457.5,-0.2,0.2,-10.9,0,-1.1,0.9,7.7,0.4,6.6,x
1652785668474.2,-0.2,3.9,-13.7,-0.1,-1.1,2.2,7.8,0.7,6.7,x
1652785668490.8,-0.2,3.9,-13.7,0.1,-1.1,2.2,7.8,0.4,6.7,x
1652785668507.5,0,7.1,-11.1,0.1,-0.7,3.1,7.9,-0.2,5.7,x
1652785668524.2,0.3,4.3,-3,0,-0.5,2.8,7.8,-0.5,5.5,x
1652785668540.8,0.3,-0.5,2.5,0,-0.6,0.5,7.7,-0.7,5.3,x
1652785668557.5,0.2,-0.5,2.5,-0.1,-0.8,0.5,7.9,-0.8,5.3,x
1652785668574.2,0.1,-12.4,13.3,0.3,-0.8,-1.8,8,-0.6,5.4,x
1652785668590.9,0.1,-13.9,15,0.1,-0.8,-2.7,8,-0.6,5.4,x
1652785668608,-0.1,-13.9,15,-0.3,-0.9,-2.7,7.5,-0.1,5.8,x
1652785668624.2,-0.4,-13.5,9.5,0.2,-1.3,-1.8,7.9,0,6,x
1652785668640.8,-0.2,-17.3,4.6,0.2,-1.2,5,7.9,-0.9,5,x
1652785668658,-0.1,-17.3,4.6,0.2,-1.2,5,7.9,-1.4,5,x
1652785668674.2,0.1,-27.5,6.9,-0.2,-0.9,6.4,7.3,-0.6,5.7,x
1652785668691.3,0,-38.7,-7,-0.1,-1,5.9,7.5,-0.2,6.4,x
1652785668707.5,-0.3,-35.9,-16.7,0,-1.2,7.2,7.5,0.6,7.1,x
1652785668724.2,-0.3,-35.9,-16.7,0,-1.2,7.2,7.5,0.9,7.1,x
1652785668741.4,-0.3,-28.9,-27.7,0,-1.1,9.3,7.4,0.9,7.4,x
1652785668757.5,-0.3,-14.8,-49.4,0,-0.8,13.9,7.2,0.7,7.1,x
1652785668774.4,-0.1,-12.6,-53.2,-0.1,-0.5,14.9,7.2,0.3,6.8,x
1652785668791.4,0,-12.6,-53.2,0,-0.2,14.9,7.3,0.2,6.8,x
1652785668807.5,0.2,-12.1,-41.8,0,0.1,13.5,7.2,0.2,6.9,x
1652785668824.2,0.3,-10.1,-35.4,-0.2,0.2,12.6,7.1,0.3,7,x
1652785668840.9,0.3,-10.1,-35.4,-0.2,0.2,12.6,7.1,0.3,7,x
1652785668857.5,0.3,-7.2,-28.2,-0.2,0.3,10.8,7.1,0.4,7.2,x
1652785668874.1,0.4,-2.1,-13,-0.2,0.5,6.2,7,0.6,7.3,x
1652785668890.8,0.5,1.5,-6.6,-0.1,0.5,3.1,7.1,0.5,7.3,x
1652785668907.4,0.4,1.5,-6.6,-0.1,0.4,3.1,7.1,0.5,7.2,x
1652785668924.2,0.3,7.7,-3.5,-0.1,0.3,-0.7,7.2,0.3,6.8,x
1652785668940.8,0.1,6.7,-1.6,0,0.2,-0.7,7.3,-0.1,6.5,x
1652785668957.5,0.1,6.7,-1.6,0,0.2,-0.7,7.3,-0.3,6.5,x
1652785668974.1,0.1,3.5,-0.2,0,0.2,-0.2,7.2,-0.3,6.4,x
1652785668990.8,0.1,-2,-1.9,-0.1,0.1,-0.8,7.1,-0.2,6.5,x
1652785669007.5,0,-3.2,-3.7,-0.1,0.1,-0.9,7.2,-0.1,6.6,x
1652785669024.1,0,-3.2,-3.7,0,0.1,-0.9,7.2,-0.1,6.7,x
1652785669040.8,0,-3.7,-2.8,0,0.1,-0.9,7.2,0.1,6.8,x
1652785669057.5,-0.1,-2.8,-4.3,0,0,0,7.3,0.3,7,x
1652785669074.2,-0.1,-2.8,-4.3,0.1,0,0,7.3,0.3,7,x
1652785669090.8,0.2,-0.4,-2.2,-0.1,0.3,1.1,7.2,0.2,6.9,x
1652785669108.2,0.1,2.8,1.9,0,0.3,-0.6,7.3,0,6.8,x
1652785669124.2,0.1,2.7,-0.1,0,0.2,-1.2,7.2,0,6.7,x
1652785669140.9,0,2.7,-0.1,-0.1,0.2,-1.2,7.2,-0.1,6.7,x
1652785669157.5,0.1,1.3,-0.3,-0.1,0.2,-1.5,7.2,-0.1,6.6,x
1652785669174.2,0.1,0,2.1,0,0.2,-2.2,7.3,-0.1,6.6,x
1652785669190.8,0,0,2.1,0,0.2,-2.2,7.3,-0.1,6.6,x
1652785669207.5,-0.1,-0.9,3.6,0,0,-2.4,7.2,0,6.7,x
1652785669224.2,-0.1,-0.9,1.2,-0.1,0,-1,7.2,0,6.7,x
1652785669241,-0.1,-1.1,-1.8,0,0.1,-0.6,7.2,0,6.7,x
1652785669257.5,0,-1.1,-1.8,0,0.2,-0.6,7.2,0,6.7,x
1652785669274.2,0.2,-2.9,-4.4,-0.1,0.3,-0.4,7.2,-0.1,6.6,x
1652785669290.9,0.1,-3.9,-1.7,0,0.2,-0.9,7.2,-0.1,6.6,x
1652785669307.5,0,-3.9,-1.7,0,0.2,-0.9,7.2,-0.1,6.6,x
1652785669324.2,-0.1,-5.2,0.3,0,0.1,-0.5,7.2,-0.1,6.8,x
1652785669340.9,0,-4.8,5.8,0,0.1,0,7.2,0.2,7.1,x
1652785669357.5,0,-1.9,5.2,0.1,0.1,-0.2,7.3,0.4,7.1,x
1652785669374.2,0.1,-1.9,5.2,0.1,0.2,-0.2,7.2,0.3,7,x
1652785669390.8,0.1,2.1,-1.7,-0.1,0.2,0.2,7.2,0,6.6,x
1652785669407.5,0.1,-0.6,0.2,0.1,0.2,0.2,7.3,-0.4,6.3,x
1652785669424.1,0,-0.6,0.2,0.1,0.2,0.2,7.3,-0.5,6.3,x
1652785669440.8,0,-5.6,5.5,-0.1,0,0.1,7.1,-0.2,6.7,x
1652785669457.5,-0.1,-10.6,9.4,-0.1,0,0.2,7,0.2,7,x
1652785669474.2,0,-9.1,4.9,-0.1,0.1,1,7.1,0.1,6.9,x
1652785669490.7,0.1,-9.1,4.9,0,0.2,1,7.1,0,6.8,x
1652785669507.5,0.1,-8.4,1.1,0,0,2,7.1,-0.1,6.7,x
1652785669524.1,-0.2,-11.5,1.1,0.1,-0.2,2.7,7.2,-0.2,6.6,x
1652785669540.9,-0.3,-11.5,1.1,0.1,-0.2,2.7,7.2,-0.3,6.6,x
1652785669557.6,-0.1,-14.8,-0.6,0,0.1,4.3,7,-0.2,6.8,x
1652785669574.3,0.1,-17.7,-1.9,-0.1,0.1,4.3,6.8,-0.1,7,x
1652785669590.8,0,-17.7,-1.9,-0.1,0.1,4.3,6.8,0.1,7,x
1652785669607.5,0.1,-17.8,0.2,0,0.2,3.7,6.9,0.2,7.3,x
1652785669624.2,0.1,-15.1,1.4,0.1,0.2,3.2,7,0.2,7.2,x
1652785669640.9,0.1,-14.7,4.9,0,0.2,2.7,6.8,0.1,7,x
1652785669657.5,0.1,-14.7,4.9,0,0.2,2.7,6.8,-0.5,7,x
1652785669674.2,0.1,-18.4,13.3,-0.1,0.2,1.8,6.7,-0.1,7,x
1652785669690.7,0.1,-20.5,5.6,-0.2,0.2,0.9,6.5,-0.2,7.1,x
1652785669707.6,0.1,-20.5,5.6,-0.3,0.2,0.9,6.5,-0.1,7.1,x
1652785669725.3,-0.2,-20,2.8,0,0.1,0.9,6.5,0.2,7.2,x
1652785669740.9,-0.3,-9.9,14.5,0,-0.5,3,6.6,1.1,8.7,x
1652785669758.1,-0.2,1.7,7,-0.1,0,4.6,6.5,1.4,8.5,x
1652785669775.6,0.2,1.7,7,-0.1,0,4.6,6.5,0.8,8.5,x
1652785669791.9,0.1,9.8,-4.7,0.2,0.5,3.1,6.7,-0.3,6.9,x
1652785669807.6,0.7,5.6,-9.6,0.1,0.5,-2.7,6.9,-0.7,6.6,x
1652785669824.3,0.3,5.6,-9.6,0.3,0.5,-2.7,6.9,-0.7,6.6,x
1652785669841.7,-0.1,1.3,-2.7,-0.3,0.1,-4.3,6.7,-0.2,7,x
1652785669857.6,0.1,-1.6,-0.1,-0.2,-0.1,-4.2,6.6,0.1,7.2,x
1652785669874.3,-0.2,-2,0.7,0.1,-0.2,-2.1,6.8,-0.2,7.2,x
1652785669891.7,-0.2,-2,0.7,0.1,-0.2,-2.1,6.8,-0.1,7.2,x
1652785669907.5,-0.1,-1.3,2.2,0,-0.1,-0.3,6.6,0.2,7.7,x
1652785669924.3,-0.1,5.7,-1.6,-0.1,-0.1,1,6.6,0.4,7.7,x
1652785669941.2,-0.1,5.7,-1.6,0,-0.1,1,6.6,0.3,7.7,x
1652785669957.6,0,8.2,-2,0,-0.1,1.6,6.6,0.4,7.6,x
1652785669974.2,0.1,13.6,-9.8,0,0.1,1.5,6.7,0.2,7.3,x
1652785669990.8,0,14.1,-10.4,0,0.1,1.4,6.7,-0.2,6.9,x
1652785670008.7,0.1,14.1,-10.4,-0.1,0.1,1.4,6.7,-0.4,6.9,x
1652785670024.2,0.1,11.1,-8.1,-0.2,-0.1,0.5,6.5,-0.5,6.7,x
1652785670040.8,0.1,1.6,6.4,-0.3,0.6,-3.9,6.6,-0.4,7,x
1652785670057.6,0.8,1.6,6.4,0,0.6,-3.9,6.6,-0.1,7,x
1652785670075.2,0.2,0.9,8.4,0.2,0.8,-8.5,7,0,7.2,x
1652785670091,-0.5,2.9,-1.6,-0.1,-0.3,-3.7,6.7,-0.2,7,x
1652785670107.8,-0.3,2.9,-1.6,-0.1,-0.2,-3.7,6.8,-0.1,7,x
1652785670124.7,-0.3,0.1,-6.8,0,-0.2,-1.8,6.8,-0.2,7,x
1652785670140.9,-0.2,-2.6,-11.2,0,-0.1,-0.1,6.7,-0.2,7,x
1652785670157.5,-0.2,-4.8,-10.8,-0.1,-0.1,2.3,6.7,-0.1,7.1,x
1652785670174.3,-0.2,-4.8,-10.8,-0.1,-0.1,2.3,6.7,-0.1,7.1,x
1652785670191.9,0.1,-5.8,-5.6,-0.1,0.1,3,6.6,0.1,7.1,x
1652785670207.6,0.1,-6.9,-1.4,0,0.2,2,6.8,0.3,7.4,x
1652785670224.2,0.1,-6.4,-1.5,0,0.2,1.1,6.8,0,7.4,x
1652785670240.8,0.2,-3.7,-4,-0.1,0.3,0,6.7,0,7.2,x
1652785670257.5,0,-3.7,-4,0,0.1,0,6.8,-0.2,7,x
1652785670274.2,-0.1,-6.6,-4.4,0.1,0.1,1.6,6.7,-0.2,7,x
1652785670291.6,0,-7.6,0.8,0,0.1,0.7,6.7,-0.2,7,x
1652785670307.7,0.2,-7.6,0.8,0,0.3,0.7,6.7,0.1,7.2,x
1652785670324.2,0.1,-7.4,5,0,0.2,-1.2,6.6,0.2,7.5,x
1652785670341,0.1,-3.9,5.6,0,0.2,-1.6,6.6,0.2,7.4,x
1652785670358.3,0.1,-3.9,5.6,0,0.2,-1.6,6.6,0.1,7.4,x
1652785670374.2,0.1,-2.4,6,0,0.1,-1.8,6.6,0.1,7.3,x
1652785670390.9,0,-2.9,4.1,0,0.1,-2.1,6.7,-0.1,7.2,x
1652785670408.9,0,-3.4,4.9,0,0,-1.8,6.6,-0.1,7.2,x
1652785670425.5,0,-3.4,4.9,0,0,-1.8,6.6,-0.1,7.2,x
1652785670440.9,-0.1,-3.4,7.2,0.1,-0.1,-1.6,6.7,0.1,7.4,x
1652785670458.1,0,-2,7.2,0,0,-0.9,6.6,0.1,7.4,x
1652785670474.2,-0.1,-2,7.2,0,0,-0.9,6.6,0.1,7.4,x
1652785670490.8,0,-1.7,6.6,0,0,-0.6,6.6,0,7.3,x
1652785670513.3,0,-1.6,5.5,-0.1,0,0,6.6,0,7.3,x
1652785670524.6,0,-1.6,5.5,0,0,0,6.6,0,7.3,x
1652785670541.9,0,-1.5,5.1,0,-0.1,0.6,6.6,0,7.3,x
1652785670557.5,0.1,-1.6,5,-0.1,0,0.9,6.5,0,7.4,x
1652785670574.5,0.1,-0.7,5.3,-0.1,0,-0.6,6.5,0.1,7.5,x
1652785670590.9,0,-0.7,5.3,0,0,-0.6,6.5,0.1,7.5,x
1652785670607.8,0.1,0.3,3,0,0,-0.6,6.6,0.2,7.5,x
1652785670624.2,0,3.9,-2.7,0,-0.1,-0.8,6.6,0.1,7.3,x
1652785670641.5,-0.2,3.5,-1.8,0,-0.3,-0.1,6.6,-0.2,7.1,x
1652785670657.6,-0.3,3.5,-1.8,0,-0.3,-0.1,6.6,-0.4,7.1,x
1652785670674.1,-0.3,0.6,0.5,0.1,-0.3,1.7,6.7,-0.4,7,x
1652785670690.9,-0.2,-3.3,3,0.1,-0.3,4.1,6.7,-0.4,7,x
1652785670707.6,-0.1,-6.5,5.7,0.1,-0.2,5.5,6.7,-0.1,7.2,x
1652785670724.1,-0.1,-8.3,2.1,0,-0.1,5.5,6.5,0.2,7.6,x
1652785670740.8,0,-6.2,-7.1,-0.1,0,4.3,6.5,0.3,7.6,x
1652785670757.7,0.1,-6.2,-7.1,-0.1,0,4.3,6.5,0.2,7.6,x
1652785670774.8,0.2,-1,-6.9,-0.1,0.2,3.2,6.4,0.1,7.6,x
1652785670790.8,0.2,3.9,-5.3,-0.2,0.2,2.4,6.3,0,7.3,x
1652785670807.5,0.1,4.1,-3.7,-0.1,0.1,-0.9,6.5,-0.1,7.3,x
1652785670825.2,0.1,4.1,-3.7,0,0.1,-0.9,6.5,-0.1,7.3,x
1652785670840.8,0,1,-1.4,0.1,0.1,-1,6.6,0,7.4,x
1652785670857.5,0.1,1.2,2.4,0.1,0.1,0.5,6.6,0.1,7.4,x
1652785670874.1,0,1.2,2.4,0.1,0.1,0.5,6.6,0,7.4,x
1652785670890.8,0,1.8,0.2,0,0,1.4,6.6,-0.1,7.4,x
1652785670907.5,0,1.6,0.9,-0.1,0,1.6,6.5,-0.3,7.1,x
1652785670924.2,0,0.7,4.1,-0.1,0,1.2,6.5,-0.2,7.1,x
1652785670940.9,0.1,-1.8,5.2,0,0,1,6.5,-0.2,7.1,x
1652785670957.5,0.1,-3.9,5.5,0,0.1,0.4,6.5,0.1,7.5,x
1652785670974.2,0.1,-2.1,7.1,-0.1,0.1,-0.8,6.4,0.2,7.5,x
1652785670990.7,0.1,-2.1,7.1,-0.2,0.1,-0.8,6.4,0.2,7.5,x
1652785671008.2,0.1,0.2,6.5,-0.1,0.1,-1.8,6.4,0.1,7.5,x
1652785671024.2,-0.1,1.3,5.1,0.1,-0.2,-2.4,6.7,0.1,7.4,x
1652785671040.9,-0.2,0.7,3.3,0.2,-0.2,-1.4,6.7,0.1,7.4,x
1652785671059.1,-0.1,0.5,2.1,0,-0.2,-0.1,6.7,0.3,7.5,x
1652785671074.2,-0.1,2.1,-1.2,-0.1,-0.2,-0.2,6.5,0.3,7.5,x
1652785671090.8,-0.1,5.9,-5.1,0,-0.1,0.5,6.6,0,7.2,x
1652785671108.3,0,5,-2.7,0,0,1.3,6.6,-0.2,7.1,x
1652785671124.2,0,5,-2.7,0.1,0,1.3,6.6,-0.3,7.1,x
1652785671140.8,0.1,1.5,0.1,-0.1,0,2.5,6.4,-0.3,7.2,x
1652785671157.6,0.1,-1.7,2.6,-0.2,0,1,6.4,-0.1,7.2,x
1652785671174.9,0,-1.9,3.2,-0.1,-0.1,-1.8,6.4,0.2,7.5,x
1652785671192.6,0,-0.5,1.4,0.2,-0.1,-2.1,6.7,0.2,7.5,x
1652785671207.4,0,4.9,-2.8,0,0,-0.8,6.5,0.1,7.5,x
1652785671224.1,0.1,5.7,-2.3,-0.1,0.1,-1.5,6.4,0,7.3,x
1652785671240.9,0.1,5.7,-2.3,-0.1,0.1,-1.5,6.4,0,7.3,x
1652785671257.5,0.2,5.9,0.7,-0.2,0.1,-2.1,6.5,0.1,7.4,x
1652785671274.4,0.2,6.6,5.7,-0.1,0.1,-2.5,6.5,0.1,7.4,x
1652785671292.6,0.1,9.7,7.5,0.2,0,-3.2,6.8,0.3,7.7,x
1652785671307.6,0.1,9.7,7.5,0.1,-0.1,-3.2,6.7,0.3,7.5,x
1652785671324.1,0,15.6,4.1,-0.1,-0.2,-4.6,6.6,0.1,7.5,x
1652785671340.8,-0.2,17.4,-1.1,0.1,-0.4,-3.6,6.9,0.3,7.5,x
1652785671358.5,-0.3,17.4,-1.1,0.1,-0.4,-3.6,6.9,0.2,7.5,x
1652785671374.2,-0.3,19.1,-6.3,0.2,-0.5,-1.9,6.9,-0.1,6.9,x
1652785671391.1,-0.4,16.9,-12.1,0,-0.5,0.1,6.9,-0.6,6.3,x
1652785671408.8,-0.3,16.9,-12.1,0,-0.5,0.1,6.9,-1.2,6.3,x
1652785671424.2,-0.2,9.5,-9.3,-0.1,-0.2,1.6,6.8,-1.2,5.9,x
1652785671441.5,0,-9.7,-0.2,-0.1,-0.1,2,6.9,-0.9,6.4,x
1652785671458,0.1,-14.5,3.6,0.1,-0.1,1.1,6.9,-0.2,6.9,x
1652785671475,0.1,-14.5,3.6,0.1,-0.1,1.1,6.9,0,6.9,x
1652785671490.8,-0.1,-14.8,5.3,0.1,-0.2,-0.2,6.9,0.4,7.6,x
1652785671507.5,-0.2,-6.8,-5.6,0.2,-0.3,1.1,7,0.5,7.6,x
1652785671524.1,-0.3,-3.8,-11.2,0.3,-0.4,3.4,7,0.2,7.4,x
1652785671540.8,-0.3,-3.8,-11.2,0.1,-0.3,3.4,6.8,0.1,7.2,x
1652785671557.4,-0.1,-1.5,-12.6,0,0,6.7,6.7,-0.2,6.8,x
1652785671574.1,0.2,-3.7,-8,-0.1,0.3,7.4,6.7,-0.5,6.7,x
1652785671590.8,0.4,-3.7,-8,-0.1,0.3,7.4,6.7,-0.5,6.7,x
1652785671607.4,0.5,-7.3,1.9,-0.4,0.5,5.1,6.3,-0.2,7.3,x
1652785671624.1,0.4,-9.4,9,-0.3,0.3,-1.5,6.6,0.4,7.6,x
1652785671641.3,0.3,-9.4,9,0,0.3,-1.5,6.6,0.5,7.6,x
1652785671658.3,0.1,-7.5,6.4,0.1,0,-1.8,6.7,0.4,7.7,x
1652785671675.2,0,-0.4,3,0,-0.2,-1.5,6.7,0.4,7.6,x
1652785671690.9,-0.1,-0.4,3,0,-0.2,-1.5,6.8,0.4,7.4,x
1652785671707.5,-0.1,1.6,0.2,0.1,-0.2,-0.1,6.8,0,7.4,x
1652785671724.1,0,2.2,-0.1,0,-0.1,1,6.7,-0.1,7.2,x
1652785671740.8,-0.1,1.7,-0.5,0,-0.1,0.5,6.7,0,7.2,x
1652785671758.1,-0.3,3.4,-7.7,0.2,-0.3,1.4,6.9,0.3,7.5,x
1652785671774.7,-0.3,3.4,-7.7,0.2,-0.4,1.4,6.9,0.3,7.6,x
1652785671790.9,-0.3,16.9,-9.8,0.1,-0.3,3,7,0.3,7.6,x
1652785671808,-0.2,25.4,-12.8,0.3,-0.1,7.7,7.1,0.3,7.4,x
1652785671825.1,-0.1,25.4,-12.8,0.2,-0.1,7.7,7.1,0.1,7.4,x
1652785671841.5,0,27.6,-14.2,0.1,0.1,10.3,6.8,-0.4,6.4,x
1652785671857.5,0.2,7.5,-0.2,-0.5,0.3,8,6.4,-0.9,6.1,x
1652785671876,0.3,-6.5,5.3,-0.7,0.3,5.6,6.4,-1,6.1,x
1652785671891.3,0.3,-6.5,5.3,-0.5,0.4,5.6,6.7,-0.8,6.6,x
1652785671908.2,0.2,-17.6,12.1,0.1,0.2,2.9,7,-0.2,7.1,x
1652785671925.1,0.3,-13.7,17,0.1,0.5,6.8,6.8,0.1,7.2,x
1652785671940.9,0.6,-13.7,17,-0.1,0.5,6.8,6.8,0,7.2,x
1652785671958.7,0.7,-12.6,20.2,-0.5,0.5,5.1,6.2,-0.1,7.1,x
1652785671974.4,0.3,-13,21.1,-0.3,0,-3.8,6.5,0.2,7.7,x
1652785671990.9,-0.1,-13,21.1,-0.1,0,-3.8,6.5,0.8,7.7,x
1652785672007.6,-0.5,-9,8.9,0.1,-0.5,-5.4,7,1.2,8,x
1652785672024.2,-0.2,4.7,-9.6,0.2,0,2.2,6.8,0.4,7.1,x
1652785672040.8,0.4,-0.1,-2.8,-0.3,0.4,2.3,6.4,-1,6,x
1652785672057.9,0.6,-0.1,-2.8,-0.4,0.4,2.3,6.4,-1.5,6,x
1652785672074.8,0.5,-14,13.6,-0.4,0.5,-1.4,5.8,-1.7,6.1,x
1652785672090.8,0.6,-23.2,30.5,-0.4,0.2,-7.7,6.5,0.4,8.5,x
1652785672107.4,-0.1,3.3,13.7,0.4,-0.4,-7.1,7,2.2,9.5,x
1652785672126.5,-0.2,22.3,-1.4,0.3,-0.4,-3.7,7,1.5,8.8,x
1652785672140.7,0,26,-4.6,0.3,-0.1,-4.1,6.9,0.9,7.8,x
1652785672157.4,0.1,26,-4.6,0.2,-0.1,-4.1,6.9,0.4,7.8,x
1652785672174.1,-0.1,5.5,-2.4,0.1,-0.2,-7.6,6.8,-0.9,6.9,x
1652785672191,-0.1,5.5,-2.4,0,-0.4,-7.6,6.6,-1,6.4,x
