time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1655202432019.3,11.6,27.4,3.6,x
1655202432036,11.2,27.4,3.6,x
1655202432069.4,11.3,27.4,3.5,x
1655202432086,11.3,27.4,3.6,x
1655202432186.1,11.2,27.4,3.5,x
1655202432219.3,11.2,27.4,3.6,x
1655202432252.7,11.2,27.4,3.5,x
1655202432269.4,11.2,27.4,3.6,x
1655202432336,11.4,27.4,3.5,x
1655202432352.7,11.4,27.4,3.6,x
1655202432421.2,11.5,27.2,3.4,x
1655202432437.8,11.5,26.7,3.3,x
1655202432453.9,11.5,26.6,3.3,x
1655202432486.6,11.6,26.7,3.2,x
1655202432503.4,11.6,26.8,3.3,x
1655202432521.1,11.5,26.9,3.5,x
1655202432536.3,11.6,26.9,3.5,x
1655202432554.1,11.7,26.8,3.4,x
1655202432586.4,11.9,26.9,3.1,x
1655202432603.2,12,26.8,3,x
1655202432619.9,12.3,26.9,2.6,x
1655202432654.8,12.4,26.7,2.7,x
1655202432669.9,12.4,26.6,2.7,x
1655202432686.1,12.5,26.4,2.6,x
1655202432705.5,12.6,26.4,2.4,x
1655202432736.3,12.8,26.5,2.4,x
1655202432753.3,12.8,26.6,2.3,x
1655202432771.1,13,26.6,2,x
1655202432786.2,13,26.4,2,x
1655202432803,12.9,26.2,2.1,x
1655202432819.7,12.8,25.9,2.2,x
1655202432836.8,12.8,25.6,2.2,x
1655202432853.1,12.8,25.6,2.1,x
1655202432870.8,12.9,25.8,2,x
1655202432886.4,12.7,26,2.3,x
1655202432908.3,12.6,26,2.5,x
1655202432919.9,12.5,26,2.6,x
1655202432936.6,12.5,26,2.8,x
1655202432962.2,12.5,26,2.9,x
1655202432969.8,12.5,26,2.8,x
1655202432986.3,12.6,26.2,2.5,x
1655202433069.7,12.7,26.1,2.5,x
1655202433120.2,12.8,26,2.5,x
1655202433169.8,13,25.9,2.3,x
1655202433186.4,13,25.9,2.1,x
1655202433219.4,13,26.1,2.1,x
1655202433236.1,13,26.2,2.1,x
1655202433320.9,12.8,26.3,2.1,x
1655202433369.4,12.7,26.4,2.1,x
1655202433402.7,12.7,26.3,2.1,x
1655202433419.4,12.7,26.3,2.2,x
1655202433536,12.7,26.2,2.3,x
1655202433586.1,12.8,26,2.2,x
1655202433602.8,12.8,26.1,2.2,x
1655202433619.7,12.8,26.1,2.3,x
1655202433669.9,12.9,26,2.3,x
1655202433719.6,12.9,25.8,2.3,x
1655202433786.2,12.8,25.7,2.4,x
1655202433805.7,12.8,25.7,2.3,x
1655202433819.6,12.7,25.7,2.4,x
1655202433854.4,12.7,25.6,2.4,x
1655202433870.8,12.8,25.5,2.3,x
1655202433886.5,12.8,25.4,2.2,x
1655202433920.4,13,25.6,2.2,x
1655202433936.1,13.1,25.6,2.2,x
1655202433955.7,13.2,25.4,2.1,x
1655202433971.3,13.3,25.2,2.1,x
1655202433986.1,13.4,25,2,x
1655202434020,13.5,24.9,2.1,x
1655202434036,13.5,24.9,2.2,x
1655202434054.8,13.6,24.9,2.2,x
1655202434069.9,13.6,24.8,2.1,x
1655202434111.5,13.8,24.8,2,x
1655202434137.1,13.9,24.9,2,x
1655202434203.3,14,24.8,1.9,x
1655202434266.9,14,25,2,x
1655202434305.2,13.9,25,2.1,x
1655202434373.9,13.9,25.1,2,x
1655202434402.8,13.8,25.3,2.1,x
1655202434452.7,13.8,25.1,2.1,x
1655202434469.7,13.8,25,2.1,x
1655202434519.5,13.8,24.9,2.2,x
1655202434544,13.8,24.8,2.3,x
1655202434569.5,13.8,24.6,2.3,x
1655202434586,13.8,24.5,2.2,x
1655202434652.9,13.8,24.3,2.2,x
1655202434686.1,13.8,24.3,2,x
1655202434719.6,13.8,24.5,1.9,x
1655202434736,13.7,24.7,1.9,x
1655202434770.5,13.7,24.9,1.9,x
1655202434819.4,13.7,24.9,1.8,x
1655202434869.8,13.6,25,1.9,x
1655202434953.1,13.5,24.9,1.9,x
1655202435135.9,13.4,25.1,2.1,x
1655202435236.1,13.4,25,2.1,x
1655202435252.8,13.4,25,2,x
1655202435286.1,13.4,25.1,2,x
1655202435302.8,13.4,25,2,x
1655202435386.3,13.4,24.9,2.1,x
1655202435455.1,13.4,24.8,2.1,x
1655202435586.1,13.6,24.7,2,x
1655202435669.8,13.6,24.6,2,x
1655202435735.9,13.5,24.6,2,x
1655202435753.1,13.5,24.5,2,x
1655202435787.1,13.5,24.5,2.1,x
1655202435836.2,13.3,24.5,2.2,x
1655202435886.8,13.2,24.5,2.3,x
1655202435935.9,13.1,24.5,2.4,x
1655202435986.2,13,24.4,2.5,x
1655202436019.8,13,24.3,2.4,x
1655202436071.2,12.9,24.2,2.3,x
1655202436152.9,12.9,24.2,2.2,x
1655202436169.4,12.9,24.2,2.3,x
1655202436253.2,12.8,24.1,2.3,x
1655202436270.8,12.8,24,2.2,x
1655202436319.2,12.7,23.8,2.2,x
1655202436370.3,12.7,23.7,2.1,x
1655202436402.8,12.7,23.7,2.2,x
1655202436436.1,12.6,23.7,2.3,x
1655202436485.9,12.6,23.7,2.4,x
1655202436504,12.6,23.6,2.4,x
1655202436570.1,12.6,23.7,2.5,x
1655202436635.8,12.6,23.7,2.6,x
1655202436669.4,12.5,23.7,2.7,x
1655202436702.6,12.5,23.7,2.6,x
1655202436719.6,12.5,23.7,2.5,x
1655202436802.8,12.3,23.6,2.3,x
1655202436819.7,12.3,23.5,2.3,x
1655202436921.8,12.4,23.6,2.3,x
1655202436936.1,12.5,23.6,2.2,x
1655202436952.8,12.6,23.6,2.1,x
1655202436969.9,12.7,23.7,2,x
1655202437003.9,12.9,23.8,1.9,x
1655202437066.4,13.1,23.7,1.8,x
1655202437105.2,13,23.8,1.7,x
1655202437120.2,13,23.9,1.7,x
1655202437136,13,24.1,1.6,x
1655202437153,13,24.2,1.6,x
1655202437169.3,13,24.3,1.5,x
1655202437186,13,24.4,1.4,x
1655202437203.5,13,24.4,1.3,x
1655202437235.8,13.1,24.6,1.2,x
1655202437254.1,13.1,24.7,1.2,x
1655202437271,13.2,24.7,1.1,x
1655202437303.6,13.4,24.6,1,x
1655202437322.3,13.5,24.5,1,x
1655202437336.2,13.6,24.4,1,x
1655202437353.8,13.6,24.3,1,x
1655202437369.3,13.7,24.2,1.1,x
1655202437385.9,13.7,24.1,1.1,x
1655202437402.7,13.6,24,1.2,x
1655202437535.9,13,24.1,1.3,x
1655202437570.2,12.9,24.2,1.3,x
1655202437603.8,12.9,24.3,1.4,x
1655202437654,12.8,24.3,1.6,x
1655202437802.6,12.9,24.1,1.6,x
1655202437819.8,12.9,24.1,1.5,x
1655202437836.2,12.9,24.1,1.6,x
1655202437870.5,12.8,24,1.7,x
1655202437919.7,12.7,23.8,1.8,x
1655202437970.8,12.7,23.9,1.8,x
1655202438138.5,12.8,24.1,1.8,x
1655202438152.8,12.8,24.2,1.8,x
1655202438171,12.8,24.2,1.9,x
1655202438186,12.8,24.1,1.9,x
1655202438202.7,12.7,24,2,x
1655202438219.1,12.7,23.8,2,x
1655202438237.6,12.7,23.6,2,x
