time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined]
1653397350898.4,93.7,35.3,-18.7
1653397350915.2,96,33.8,-16.3
1653397350931.6,96.8,33.1,-13.7
1653397350948.3,96,32.7,-11.8
1653397350965,95.6,32.7,-11.3
1653397350990.3,95.9,33,-11.5
1653397351019.2,96.1,33.8,-11.7
1653397351033.3,95.9,35.3,-11.7
1653397351048.1,95.6,37.1,-11.6
1653397351064.8,95.8,37.9,-11.4
1653397351081.5,96.9,38.6,-11.2
1653397351098.4,98.1,38.7,-11.5
1653397351115.2,98.7,38.6,-11.9
1653397351131.5,99.5,38.2,-12.6
1653397351148.1,100,37.3,-12.9
1653397351164.7,100.3,36.7,-12.8
1653397351181.5,100.9,35.5,-12.7
1653397351198.1,101.5,34.6,-12.3
1653397351215.3,102.2,34.1,-11.4
1653397351231.6,102.5,33.9,-10.8
1653397351248.1,102.9,33.6,-9.2
1653397351264.8,103.2,33.5,-8.2
1653397351284.1,103.9,33.2,-7
1653397351298.1,104.8,32.8,-7.2
1653397351314.7,105.3,32.6,-7.7
1653397351331.3,106.3,32.3,-8.5
1653397351348,106.8,32.1,-8.7
1653397351364.7,108,31.7,-9.4
1653397351381.3,109.3,31.2,-10
1653397351398.1,110.6,30.7,-10.6
1653397351414.8,111.2,30.5,-10.8
1653397351431.3,112.1,29.9,-11.1
1653397351448,112.8,29,-11
1653397351464.7,113.1,28.4,-10.9
1653397351481.9,113.8,27.2,-10.8
1653397351498,114.6,26.4,-10.7
1653397351514.8,115,26.1,-10.7
1653397351531.5,115.8,25.8,-10.9
1653397351549.7,116.6,25.9,-10.9
1653397351565.6,117.7,26.1,-11
1653397351581.3,118.2,26.1,-11.1
1653397351598.1,119.4,25.8,-11.5
1653397351614.9,119.8,25.6,-11.6
1653397351631.6,120.5,24.9,-11.8
1653397351648.6,121.1,24.2,-12
1653397351692.4,122.4,23.6,-12.8
1653397351716.7,122.8,23.7,-12.9
1653397351731.3,124.5,24.5,-12.5
1653397351750.1,125.5,25.5,-11.4
1653397351765.1,125.9,26,-10.9
1653397351784.3,126.5,26.7,-9.8
1653397351798.1,126.8,26.7,-8.8
1653397351815,127,26.5,-8.4
1653397351831.9,127.2,25.9,-8
1653397351848.3,127.6,25.5,-7.8
1653397351864.7,127.7,25.4,-7.7
1653397351881.7,128.1,25.6,-7.4
1653397351898.4,128.6,26.1,-6.9
1653397351915.1,128.9,26.3,-6.6
1653397351931.5,129.4,27,-6.1
1653397351948.5,129.6,27.4,-5.9
1653397351966.9,129.9,28.3,-5.8
1653397351981.4,129.7,29.5,-6.1
1653397351998.5,129.1,30.6,-6.7
1653397352015.1,128.7,31.1,-7
1653397352031.8,127.3,31.8,-7.6
1653397352048.5,125.3,32.2,-8.3
1653397352065.2,124.1,32,-8.5
1653397352081.7,121.6,31.1,-8.9
1653397352098.4,120.4,30.3,-9.1
1653397352115.1,118,28.7,-9.2
1653397352131.8,115.4,27.6,-9
1653397352148.5,112.8,26.7,-7.9
1653397352165.5,111.6,26.2,-7.2
1653397352182.1,109.4,24.5,-5.3
1653397352198.4,107.9,22.4,-3.4
1653397352215.1,107.4,21.4,-2.5
1653397352231.8,106.2,19.7,-0.5
1653397352248.1,105.1,17.5,1.7
1653397352265.7,104.7,16,2.8
1653397352281.7,104,12.7,4.5
1653397352298.4,103.2,9.9,5.5
1653397352315,102.7,8.9,6
1653397352331.8,101.3,7.5,7.5
1653397352348.5,99.8,6.7,9.5
1653397352365.8,99.1,6.2,10.7
1653397352382.1,97.9,4.6,12.9
1653397352415.2,96.9,0.4,15.8
1653397352431.4,96.6,-2.8,17.9
1653397352448.4,96.6,-5.7,20.4
1653397352465.2,96.9,-7.1,21.8
1653397352482.1,98.3,-10,24.7
1653397352498.6,100.7,-14,27.9
1653397352515,102.5,-16.6,29.7
1653397352531.7,107.3,-22.8,33.9
1653397352548.5,113.7,-28.7,38.7
1653397352565.3,117,-31,40.3
1653397352582.1,122.6,-33.8,41.1
1653397352621.3,127.8,-33.2,40.7
1653397352648.3,127,-31.6,40.9
1653397352665.3,126,-31.2,40.3
1653397352681.8,123.2,-30.3,38.3
1653397352698.2,120.4,-28.8,36.1
1653397352719.7,117.9,-26.9,34.4
1653397352731.8,116.8,-25.9,33.6
1653397352747.9,114.6,-24,31.6
1653397352765.5,113.6,-23.1,30.4
1653397352782.1,111.7,-21.6,28.1
1653397352798.1,110,-20.3,26
1653397352814.7,109.2,-19.7,25.1
1653397352831.7,107.3,-18.7,23.2
1653397352848.2,105.5,-17.6,21.1
1653397352865.7,104.9,-17.6,19.7
1653397352881.7,104.2,-17.2,17.4
1653397352898.9,104.4,-17.2,16.1
1653397352919.1,104.8,-17.1,15.7
1653397352935.8,105.8,-17,15.2
1653397352948.1,106.6,-16.6,14.7
1653397352964.8,106.8,-16.2,14.5
1653397352981.8,107.2,-15.4,14.2
1653397352998.1,107.7,-14.8,14.4
1653397353014.8,108,-14.6,14.5
1653397353031.3,108.5,-14.3,14.3
