time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1664285305526.5,0,0.1,-0.1,-0.4,5.2,8.3,-0.3,-0.8,1.2,
1664285305543.2,0.1,0,-0.1,-0.3,5.1,8.3,0.2,-0.3,1.8,x
1664285305559.8,0.1,0,0,-0.3,5.1,8.4,-0.3,-0.2,1.7,x
1664285305576.4,0.1,0,0.2,-0.3,5.1,8.5,-1.7,-1.6,0.4,x
1664285305593.2,0.1,0,0.2,-0.3,5.1,8.5,-1.7,-0.3,0.4,x
1664285305610.4,0.1,0.1,0.2,-0.3,5.2,8.5,-1.4,1.2,0.2,x
1664285305626.4,-0.2,0.2,-0.1,-0.5,5.3,8.3,-0.7,1.7,-0.7,x
1664285305643.3,-0.3,0.1,-0.2,-0.6,5.2,8.2,1.1,0.1,-1.8,x
1664285305661.4,-0.1,-0.1,-0.1,-0.5,5.1,8.3,-2.7,-1.8,2.5,x
1664285305676.4,0,-0.1,0,-0.5,5.1,8.3,-3.6,-2,3,x
1664285305693.2,0.1,0,0.1,-0.4,5.1,8.4,-3,-2,3,x
1664285305713.9,0.1,0.1,0.4,-0.3,5.2,8.7,-1.4,-3.1,0.9,x
1664285305726.4,0.1,0.2,0.3,-0.3,5.3,8.7,-0.3,-3.5,-0.2,x
1664285305742.9,0,0.1,0.1,-0.4,5.2,8.5,2.9,-3.2,-0.8,x
1664285305759.8,0.1,0.1,0,-0.3,5.2,8.4,3.7,-1.5,-0.6,x
1664285305776.4,0.1,0,0,-0.3,5.1,8.3,2.6,1.4,-0.6,x
1664285305793.1,0.1,-0.1,0,-0.2,5.1,8.3,1.5,2.1,-0.3,x
1664285305809.8,0,0,0,-0.3,5.1,8.4,-0.7,0.5,-0.5,x
1664285305826.4,-0.1,0,0.2,-0.4,5.1,8.5,-1.7,-0.3,-0.3,x
1664285305843.6,-0.1,0.1,0.3,-0.4,5.2,8.6,-0.8,0.1,0.3,x
1664285305864.7,-0.1,0.1,0,-0.4,5.2,8.4,1.7,1.5,0.9,x
1664285305876.6,0,0.1,-0.1,-0.4,5.2,8.3,2.5,1.2,0.9,x
1664285305898.6,0,0.1,-0.1,-0.4,5.2,8.2,2.6,0.5,1,x
1664285305909.8,0,0.1,-0.1,-0.4,5.2,8.3,1.5,0.2,1,x
1664285305928.8,0,0,-0.1,-0.4,5.1,8.3,-1.1,0.5,1.2,x
1664285305943.1,0.2,-0.1,0,-0.2,5.1,8.3,-1.2,0.6,2.3,x
1664285305959.6,0.1,-0.1,0,-0.2,5.1,8.3,-0.1,0.4,1.8,x
1664285305976.3,0,0.1,-0.1,-0.3,5.2,8.3,0.5,-0.6,0.7,x
1664285305993.1,-0.1,0.1,0,-0.5,5.3,8.3,-0.9,-1.2,0.8,x
1664285306009.7,0,0.1,0.1,-0.4,5.3,8.5,-1.8,-0.9,1.3,x
1664285306026.4,0,0,0.2,-0.3,5.2,8.5,-2.3,0.7,1.3,x
1664285306043.1,0.1,-0.1,0.1,-0.3,5.1,8.4,-1,0.5,1,x
1664285306059.8,0.1,-0.1,0,-0.2,5,8.3,-0.1,-0.8,0.8,x
1664285306076.4,0.2,0,0,-0.1,5.1,8.3,0.5,-3.2,0.5,x
1664285306093.2,0.1,0,-0.1,-0.1,5.1,8.2,1.8,-0.6,-0.3,x
1664285306109.8,0.1,0.1,-0.1,-0.2,5.3,8.2,2,1.4,-0.9,x
1664285306126.4,-0.1,0.1,-0.1,-0.3,5.3,8.2,0.1,4.1,-2.5,x
1664285306145.1,-0.2,-0.1,-0.1,-0.5,5.1,8.2,-4.5,0.4,-1.4,x
1664285306161.7,-0.1,-0.1,0.2,-0.4,5.1,8.5,-7.7,-1.5,0.5,x
1664285306176.4,0,-0.1,0.5,-0.3,5.1,8.8,-7.2,-2.9,0.3,x
1664285306193,0,0,0.5,-0.2,5.2,8.8,-2,-3.4,-0.3,x
1664285306209.6,-0.1,0.1,0.4,-0.3,5.3,8.8,1.2,-3.9,-1.2,x
1664285306226.3,-0.1,0.2,0.1,-0.3,5.3,8.4,3.4,-1.1,-1.7,x
1664285306243.1,-0.1,0.1,0,-0.3,5.3,8.3,0,-0.1,-2,x
1664285306261.2,-0.1,0,0,-0.4,5.2,8.3,-1.5,-1.3,-2.2,x
1664285306276.3,-0.2,-0.1,0,-0.4,5.1,8.3,-1.5,-1.8,-2.2,x
1664285306292.8,-0.1,-0.1,0,-0.3,5.1,8.4,-2.1,-2.2,-1,x
1664285306311,-0.1,0,0.1,-0.3,5.1,8.4,-2.9,-1.6,-0.8,x
1664285306326.4,-0.1,0,0.2,-0.4,5.2,8.5,-3.1,-1.4,-1.5,x
1664285306343.1,-0.2,0.1,0.2,-0.5,5.2,8.6,-1,0.6,-1.5,x
1664285306359.8,-0.2,0,0.1,-0.5,5.2,8.5,0.5,0.8,-1.1,x
1664285306376.3,-0.1,0,0,-0.3,5.1,8.3,1.3,-0.7,-0.8,x
1664285306393.1,-0.1,0,0,-0.3,5.1,8.3,-0.6,-1.8,-0.4,x
1664285306409.8,0,-0.1,0,-0.3,5.1,8.4,-1.8,-1.8,-0.2,x
1664285306426.3,0,-0.1,0,-0.2,5,8.4,-3.4,-2.3,0.5,x
1664285306443.1,0.1,0,0.1,-0.2,5.1,8.4,-3,-2.8,1,x
1664285306479.8,0.1,0.1,0.3,-0.2,5.2,8.6,-1.8,-1.7,0.7,x
1664285306494.2,0.1,0.1,0.3,-0.2,5.2,8.6,-1.8,-1.7,0.7,x
1664285306509.7,0,0.1,0.2,-0.2,5.2,8.5,0.3,-2.8,1.2,x
1664285306526.2,-0.1,0,0.2,-0.3,5.1,8.6,1.5,-2.4,0.5,x
1664285306542.9,-0.1,-0.1,0.3,-0.3,5,8.7,1.8,0.3,0.5,x
1664285306559.7,-0.2,-0.1,0.2,-0.4,5,8.6,2,1,0.4,x
1664285306576.2,-0.3,-0.2,-0.1,-0.5,4.9,8.3,2.6,1.1,-0.3,x
1664285306593.1,-0.2,0,-0.2,-0.4,5.1,8.2,3.4,0.7,-0.5,x
1664285306610.1,-0.2,0.1,-0.2,-0.4,5.2,8.2,3.3,-0.1,-0.9,x
1664285306626.3,-0.2,0.1,-0.1,-0.4,5.2,8.3,0.1,0,-1.5,x
1664285306643,-0.2,-0.1,-0.1,-0.4,5,8.3,-3.6,2.5,-0.5,x
1664285306659.8,-0.2,-0.2,-0.1,-0.4,4.9,8.3,-4.8,2.7,0,x
1664285306676.3,0,-0.2,0.1,-0.3,4.9,8.4,-5.2,1.3,0.6,x
1664285306694.2,0.1,-0.1,0.2,-0.2,4.9,8.6,-3.1,-0.8,0.3,x
1664285306715.1,0,0,0.1,-0.2,5,8.5,1.2,-1.5,-0.9,x
1664285306726.6,0,0,0.1,-0.2,5.1,8.5,1.5,-0.3,-1,x
