time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1655202338879.9,14.5,25.4,-1.9,
1655202338913.3,14.6,25.7,-2.1,x
1655202338930,14.7,26.1,-2.4,x
1655202338946.9,14.5,26.5,-2.1,x
1655202338963.5,14.5,26.7,-2.1,x
1655202338980,14.3,26.7,-1.8,x
1655202338996.7,13.9,26.7,-1.1,x
1655202339013.3,13.8,26.7,-0.9,x
1655202339080,13.7,26.4,-0.8,x
1655202339096.7,13.7,25.8,-0.8,x
1655202339113.3,13.8,25.4,-1,x
1655202339130,14,24.8,-1.3,x
1655202339146.7,14.3,24.6,-1.8,x
1655202339163.3,14.3,24.7,-1.8,x
1655202339180,14.2,25.1,-1.5,x
1655202339196.6,14.1,25.5,-1,x
1655202339230,14.4,25.3,-1.4,x
1655202339246.6,14.7,24.9,-1.9,x
1655202339263.3,14.8,24.8,-1.9,x
1655202339279.9,14.6,24.8,-1.4,x
1655202339297.2,14.4,25,-1,x
1655202339313.9,13.6,26.2,0.8,x
1655202339330.9,13.6,26.2,1.1,x
1655202339347.3,13.5,25.8,1.7,x
1655202339364,14.1,25,1.5,x
1655202339380.7,14.6,23.5,1,x
1655202339397.6,14.9,23.2,0.7,x
1655202339413.8,15.3,22.8,0.6,x
1655202339430.7,15.7,23.2,0.3,x
1655202339447.1,15.9,23.4,0.1,x
1655202339464,16,23.9,0.4,x
1655202339480.9,15.7,24.2,1.4,x
1655202339497,15.6,24.4,1.8,x
1655202339514,15.7,24.1,1.6,x
1655202339530.5,16.1,24.6,0.8,x
1655202339547.2,16.3,24.8,0.3,x
1655202339564,16.6,25.3,-0.7,x
1655202339580.8,16.9,26,-1.6,x
1655202339597.1,16.9,26.1,-1.7,x
1655202339614,17,26.1,-1.9,x
1655202339630.4,17.1,25.6,-2.2,x
1655202339647.8,17.1,25.4,-2,x
1655202339663.7,17.2,25,-1.7,x
1655202339680.9,17.7,24.7,-1.8,x
1655202339697.2,17.4,24.5,-0.6,x
1655202339714.1,19,23.4,-3.2,x
1655202339730.8,20,22.5,-4.5,x
1655202339747.9,20.3,22.2,-4.4,x
1655202339763.9,21,21.9,-4.1,x
1655202339780.7,22.1,21.8,-4.1,x
1655202339797.9,23.3,22.8,-4,x
1655202339813.7,23.4,23.5,-2.8,x
1655202339830.5,23.1,24.6,-0.8,x
1655202339847.1,22.4,25.2,0.4,x
1655202339863.8,22.1,24.8,0.3,x
1655202339880.6,21.6,23.4,-0.6,x
1655202339897.2,21.3,23,-1.6,x
1655202339913.5,21.2,22.9,-1.9,x
1655202339930.2,21.1,22.9,-2.2,x
1655202339946.8,21.1,23.3,-2.5,x
1655202339963.6,21.3,23.6,-2.7,x
1655202339980.3,21.9,24.2,-3,x
1655202339997,22.8,25.1,-3.1,x
1655202340013.4,23.2,25.4,-3.5,x
1655202340030.1,23.5,25.8,-4.4,x
1655202340046.8,22.9,26.2,-5.4,x
1655202340064.8,22.6,26.3,-5.7,x
1655202340091.9,21.6,26.7,-6.6,x
1655202340096.9,21.3,26.9,-6.8,x
1655202340113.6,21,27.1,-7,x
1655202340130.2,20.3,27.8,-6.8,x
1655202340147.1,19.9,28.3,-6.5,x
1655202340163.9,19.2,29.1,-5.4,x
1655202340180.3,18.5,29.4,-4.1,x
1655202340198.2,17.9,29.4,-3.2,x
1655202340214.1,17.7,29.4,-2.9,x
1655202340230.5,17.2,29.5,-2.2,x
1655202340247,16.8,29.4,-1,x
1655202340263.9,16.5,29.3,-0.4,x
1655202340280.6,16.1,29.3,0.4,x
1655202340297.7,15.7,29.2,0.8,x
1655202340413.7,15.5,30,-1,x
1655202340430.9,15.9,30.4,-0.5,x
1655202340446.9,16,30.5,-0.3,x
1655202340464.3,16.4,30.4,0,x
1655202340481,16.8,30.4,0.4,x
1655202340497.3,17.1,30.5,0.6,x
1655202340513.8,17.7,30.6,0.8,x
1655202340530.4,18.5,30.7,0.5,x
1655202340547.1,18.8,30.6,0.3,x
1655202340563.8,19.5,30.4,-0.1,x
1655202340581.2,20,30.1,-0.3,x
1655202340597.1,20.2,29.9,-0.3,x
1655202340613.8,20.6,29.7,-0.3,x
1655202340630.8,21,29.2,-0.1,x
1655202340647.4,21.3,28.4,0.2,x
1655202340663.7,21.5,28.1,0.2,x
1655202340681.2,21.6,27.9,0,x
1655202340697.1,21.5,28,-0.6,x
