time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1666170445694.9,0,0,0,0.3,9.5,2.5,0.5,2.3,-1.3,
1666170445711.4,0.1,0,-0.1,0.4,9.5,2.4,0.2,2.6,-1.5,x
1666170445728.2,0,0,0,0.3,9.5,2.4,0.1,2.7,-1.6,x
1666170445744.8,0.1,0,0,0.4,9.5,2.4,-0.2,2.4,-1.7,x
1666170445761.4,0,0,-0.1,0.4,9.5,2.3,-0.6,1.6,-1.7,x
1666170445778.1,0,0,-0.1,0.3,9.5,2.4,-1,1.1,-1.5,x
1666170445796,0,0,-0.1,0.3,9.5,2.4,-1,1.1,-1.5,x
1666170445811.4,0,0,0,0.3,9.5,2.4,-1,1.1,-1.2,x
1666170445828.6,0,0,0,0.3,9.5,2.4,-1.1,1.2,-1.1,x
1666170445844.8,0.1,0,-0.1,0.4,9.5,2.4,-2.2,0.9,-1.5,x
1666170445861.5,0,0,0,0.3,9.6,2.5,-2.4,1.4,-1.6,x
1666170445878.1,0,0,0,0.4,9.5,2.4,-3,2.1,-1.9,x
1666170445894.9,0,0,0.1,0.3,9.5,2.5,-3.4,2.3,-2.1,x
1666170445911.5,0,0,0.1,0.3,9.5,2.6,-2.7,2.2,-2.1,x
1666170445928.1,0,0,0.1,0.3,9.5,2.6,-2,2.2,-1.9,x
1666170445944.9,0,0,0,0.3,9.5,2.5,-1.7,1.1,-1.6,x
1666170445962.2,0,0,0.1,0.3,9.5,2.6,-1.7,1.1,-1.6,x
1666170445978.2,0.1,0,0.1,0.3,9.5,2.6,-0.4,-0.1,-2,x
1666170445994.8,-0.1,0,-0.1,0.2,9.5,2.4,-0.4,-1.5,-1.7,x
1666170446013.4,-0.1,0,-0.1,0.2,9.5,2.4,-0.4,-1.5,-1.7,x
1666170446028.2,0,-0.1,-0.1,0.2,9.5,2.3,-2.1,-0.1,-1.9,x
1666170446044.8,-0.1,0,-0.2,0.2,9.5,2.3,-2.7,0.5,-1.9,x
1666170446061.4,-0.1,0,-0.1,0.1,9.5,2.4,-2.4,0.2,-1.4,x
