time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1666170455597.9,73.2,46.6,22.2,
1666170455614.5,74.2,46.1,20.6,x
1666170455631.1,74.4,45.9,20.3,x
1666170455647.9,74.9,45.7,19.6,x
1666170455664.4,75.5,45.7,18.8,x
1666170455681.4,75.8,45.7,18.3,x
1666170455697.8,76.7,45.5,17.1,x
1666170455715.7,77.1,45.4,16.4,x
1666170455732.4,77.3,45.1,16.2,x
1666170455752.6,78,44.5,15.4,x
1666170455764.5,78.7,43.9,14.7,x
1666170455781.2,78.8,43.7,14.5,x
1666170455797.9,79.1,43.7,13.9,x
1666170455814.6,79.4,43.8,13.5,x
1666170455831.1,79.8,43.7,12.7,x
1666170455847.8,79.9,43.4,12.2,x
1666170455864.4,79.6,42.9,12,x
1666170455881.6,79.4,42.5,12,x
1666170455897.8,78.9,41.9,11.6,x
1666170455915.5,78.6,41.5,11.2,x
1666170455931.2,78.4,41.4,11.1,x
1666170455947.8,78.1,41.2,10.9,x
1666170455964.4,78,41.1,10.9,x
1666170455981.2,77.7,40.8,10.8,x
1666170455997.8,77.3,40.6,10.7,x
1666170456014.6,77.2,40.5,10.7,x
1666170456031.2,76.8,40.5,10.9,x
1666170456047.9,76.7,40.5,11,x
1666170456065.1,76.7,40.6,11.4,x
1666170456081.2,76.8,40.7,11.6,x
1666170456097.8,77.3,41,11.7,x
1666170456114.4,77.6,41.2,11.7,x
1666170456131.2,78.2,41.7,11.6,x
1666170456147.9,79,42.2,11.5,x
1666170456164.5,79.3,42.5,11.4,x
1666170456181.2,80.1,42.9,11.3,x
1666170456198.1,80.5,43.2,11.3,x
1666170456214.5,80.9,43.4,11.2,x
1666170456231.1,82,44.1,11,x
1666170456247.8,82.6,44.4,10.8,x
1666170456264.6,83,44.6,10.7,x
1666170456281.2,83.1,44.7,10.7,x
1666170456297.9,83.4,44.7,10.6,x
1666170456331.2,83.7,44.8,10.7,x
1666170456347.8,83.8,44.8,10.7,x
1666170456381.1,84,44.9,10.6,x
1666170456398.1,84.2,45,10.6,x
1666170456414.5,84.2,45.1,10.6,x
1666170456447.8,84.5,45.6,10.5,x
1666170456464.5,84.6,45.7,10.5,x
1666170456481.2,85,46,10.3,x
