time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1658433736282,0.09,32.06,-0.29,x
1658433736298,0.08,32.07,-0.25,x
1658433736314,0.08,32.09,-0.21,x
1658433736333,0.05,32.09,-0.16,x
1658433736349,0.03,32.07,-0.07,x
1658433736365,0.02,32.05,0.02,x
1658433736382,0.01,32.05,0.03,x
1658433736399,0.01,32.08,0.03,x
1658433736415,0.01,32.1,0.05,x
1658433736432,0.02,32.09,0.07,x
1658433736449,0.02,32.08,0.09,x
1658433736465,0.01,32.05,0.13,x
1658433736482,360,32.03,0.17,x
1658433736499,359.99,32.01,0.2,x
1658433736515,359.98,31.99,0.25,x
1658433736532,359.98,31.98,0.27,x
1658433736549,359.98,31.98,0.26,x
1658433736565,359.98,31.97,0.27,x
1658433736582,359.97,31.95,0.28,x
1658433736598,359.97,31.96,0.28,x
1658433736615,359.98,31.96,0.31,x
1658433736631,359.98,31.96,0.32,x
1658433736649,359.99,31.97,0.33,x
1658433736665,359.99,32.01,0.31,x
1658433736682,359.99,32.01,0.31,x
1658433736699,359.99,32,0.32,x
1658433736715,359.99,31.99,0.35,x
1658433736732,359.99,31.99,0.36,x
1658433736749,359.99,32,0.34,x
1658433736765,0,31.99,0.33,x
1658433736782,0,31.98,0.33,x
1658433736799,360,31.97,0.33,x
1658433736815,360,31.96,0.33,x
1658433736832,359.99,31.96,0.34,x
1658433736849,359.99,31.97,0.36,x
1658433736865,359.99,31.98,0.36,x
1658433736882,360,31.99,0.35,x
1658433736899,360,32,0.34,x
1658433736915,359.99,31.97,0.37,x
1658433736932,359.98,31.95,0.37,x
1658433736949,359.98,31.96,0.36,x
1658433736965,359.97,31.95,0.37,x
1658433736982,359.97,31.94,0.38,x
1658433736999,359.97,31.94,0.38,x
1658433737015,359.96,31.93,0.39,x
1658433737032,359.96,31.92,0.4,x
1658433737049,359.97,31.92,0.4,x
1658433737065,359.97,31.92,0.39,x
1658433737082,359.97,31.92,0.39,x
1658433737099,359.96,31.92,0.4,x
1658433737116,359.96,31.9,0.41,x
1658433737132,359.95,31.89,0.42,x
1658433737149,359.95,31.88,0.43,x
1658433737165,359.96,31.88,0.42,x
1658433737182,359.96,31.89,0.41,x
1658433737199,359.96,31.89,0.42,x
1658433737215,359.95,31.88,0.43,x
1658433737232,359.95,31.86,0.43,x
1658433737256,359.95,31.86,0.43,x
1658433737265,359.95,31.87,0.42,x
1658433737282,359.95,31.88,0.41,x
1658433737299,359.95,31.88,0.4,x
1658433737315,359.96,31.88,0.41,x
1658433737332,359.96,31.88,0.42,x
1658433737349,359.96,31.89,0.43,x
1658433737365,359.96,31.9,0.43,x
1658433737382,359.96,31.91,0.42,x
1658433737399,359.96,31.9,0.41,x
1658433737415,359.96,31.89,0.4,x
1658433737432,359.97,31.9,0.4,x
1658433737449,359.97,31.9,0.4,x
1658433737465,359.97,31.92,0.4,x
1658433737482,359.96,31.91,0.41,x
1658433737499,359.95,31.89,0.43,x
1658433737515,359.95,31.89,0.43,x
1658433737532,359.95,31.89,0.44,x
1658433737549,359.95,31.88,0.45,x
1658433737565,359.95,31.89,0.46,x
1658433737582,359.95,31.89,0.46,x
1658433737599,359.96,31.91,0.48,x
1658433737615,359.96,31.91,0.5,x
1658433737632,359.96,31.91,0.5,x
1658433737649,359.95,31.9,0.51,x
1658433737665,359.94,31.87,0.51,x
1658433737682,359.94,31.86,0.51,x
1658433737699,359.93,31.84,0.53,x
1658433737715,359.93,31.83,0.54,x
1658433737732,359.93,31.84,0.55,x
1658433737749,359.94,31.84,0.54,x
1658433737765,359.93,31.84,0.56,x
1658433737782,359.93,31.82,0.58,x
1658433737799,359.92,31.81,0.59,x
1658433737815,359.91,31.8,0.59,x
1658433737832,359.91,31.79,0.59,x
1658433737849,359.9,31.78,0.6,x
1658433737865,359.9,31.77,0.62,x
1658433737882,359.9,31.77,0.63,x
1658433737899,359.9,31.78,0.65,x
1658433737915,359.88,31.8,0.69,x
1658433737932,359.88,31.81,0.71,x
1658433737949,359.87,31.84,0.74,x
1658433737964,359.88,31.88,0.78,x
1658433737982,359.88,31.91,0.82,x
1658433737999,359.88,31.94,0.85,x
1658433738015,359.88,31.98,0.87,x
1658433738032,359.88,31.99,0.87,x
1658433738049,359.88,31.97,0.85,x
1658433738065,359.88,31.95,0.84,x
1658433738082,359.88,31.92,0.83,x
1658433738099,359.88,31.89,0.83,x
1658433738115,359.87,31.87,0.84,x
1658433738132,359.86,31.86,0.86,x
1658433738148,359.86,31.87,0.88,x
1658433738165,359.85,31.87,0.95,x
1658433738185,359.84,31.85,1.02,x
1658433738198,359.83,31.82,1.08,x
1658433738215,359.83,31.82,1.13,x
1658433738232,359.82,31.81,1.17,x
1658433738248,359.81,31.78,1.25,x
1658433738265,359.8,31.77,1.31,x
1658433738282,359.79,31.78,1.36,x
1658433738298,359.8,31.81,1.4,x
1658433738315,359.8,31.88,1.41,x
1658433738332,359.81,31.91,1.42,x
1658433738349,359.8,31.91,1.47,x
1658433738365,359.8,31.89,1.51,x
1658433738382,359.8,31.88,1.53,x
1658433738399,359.8,31.89,1.53,x
1658433738415,359.8,31.89,1.52,x
1658433738432,359.8,31.89,1.52,x
1658433738449,359.8,31.88,1.5,x
1658433738465,359.8,31.88,1.48,x
1658433738482,359.8,31.87,1.47,x
1658433738499,359.81,31.88,1.48,x
1658433738515,359.82,31.87,1.47,x
1658433738532,359.82,31.87,1.46,x
1658433738549,359.83,31.86,1.45,x
1658433738565,359.84,31.86,1.45,x
1658433738582,359.84,31.86,1.46,x
1658433738599,359.85,31.87,1.47,x
1658433738615,359.86,31.88,1.46,x
1658433738632,359.87,31.89,1.44,x
1658433738649,359.87,31.89,1.41,x
1658433738665,359.87,31.88,1.42,x
1658433738682,359.87,31.87,1.44,x
1658433738699,359.87,31.88,1.45,x
1658433738715,359.88,31.9,1.44,x
1658433738732,359.88,31.93,1.43,x
1658433738749,359.89,31.94,1.45,x
1658433738765,359.91,31.94,1.46,x
1658433738782,359.92,31.96,1.44,x
1658433738799,359.95,32,1.39,x
1658433738815,359.97,32.03,1.35,x
1658433738832,359.98,32.05,1.3,x
1658433738849,359.98,32.06,1.29,x
1658433738865,359.98,32.06,1.31,x
1658433738882,359.98,32.06,1.34,x
1658433738899,359.99,32.09,1.35,x
1658433738915,359.99,32.12,1.33,x
1658433738932,359.99,32.12,1.32,x
1658433738949,359.97,32.08,1.33,x
1658433738965,359.96,32.05,1.34,x
1658433738982,359.96,32.04,1.33,x
1658433738999,359.97,32.04,1.31,x
1658433739015,359.97,32.04,1.31,x
1658433739032,359.97,32.03,1.32,x
1658433739049,359.97,32.01,1.32,x
1658433739065,359.97,32.01,1.31,
1658433739082,359.97,32.02,1.3,
1658433739104,359.96,32.03,1.33,
1658433739115,359.95,32.02,1.35,
1658433739132,359.95,32.03,1.37,
1658433739149,359.95,32.05,1.37,
1658433739165,359.95,32.09,1.39,
1658433739181,359.95,32.12,1.43,
1658433739199,359.95,32.16,1.46,
1658433739215,359.96,32.2,1.48,
1658433739232,359.95,32.21,1.58,
1658433739249,359.88,32.12,2.04,
1658433739265,359.77,31.91,2.73,
1658433739282,359.59,31.52,3.75,
1658433739299,359.36,30.69,5.36,
1658433739315,359.29,30.06,6.42,
1658433739332,359.2,29.56,7.28,
1658433739349,358.93,28.93,8.37,
1658433739365,358.66,28.23,9.31,
1658433739382,358.39,27.28,10.27,
1658433739399,358.03,25.9,11.34,
1658433739415,357.78,24.96,11.56,
1658433739432,357.43,24.29,10.75,
1658433739449,356.8,24.3,7.49,
1658433739465,356.4,25.24,3.6,
1658433739482,356.27,26.73,-1.03,
1658433739499,356.09,29.11,-7.54,
1658433739515,356.04,30.81,-12.29,
1658433739532,356.14,32.23,-16.07,
1658433739549,356.04,33.38,-18.49,
1658433739565,355.69,33.47,-18.51,
1658433739582,355.25,32.95,-17.55,
1658433739599,354.74,31.81,-15.33,
1658433739615,354.55,31.08,-13.36,
1658433739632,354.52,30.5,-11.51,
1658433739649,354.75,29.82,-9.12,
1658433739665,354.93,29.11,-6.91,
1658433739682,355.09,28.17,-4.14,
1658433739699,355.35,26.52,0.27,
1658433739715,355.62,25.11,3.93,
1658433739732,356.04,23.78,7.22,
1658433739749,356.67,22.45,10.43,
1658433739765,356.98,22,11.68,
1658433739782,357.07,22.15,11.79,
1658433739799,356.94,23.3,10.09,
1658433739815,356.76,24.7,7.86,
1658433739832,356.6,26.32,5.3,
1658433739849,356.54,28.37,2,
1658433739865,356.53,29.67,-0.12,
1658433739882,356.44,30.52,-1.67,
1658433739899,356.2,30.51,-2.37,
1658433739915,356.01,29.62,-1.74,
1658433739932,355.86,28.21,-0.19,
1658433739949,355.85,25.8,2.77,
1658433739965,356,23.81,5.26,
1658433739982,356.23,21.93,7.52,
1658433739999,356.58,20.1,9.77,
1658433740015,356.72,19.44,10.5,
1658433740039,356.64,19.35,10.54,
1658433740048,356.46,19.94,9.56,
1658433740065,356.3,20.77,8.14,
1658433740082,356.12,21.92,6.19,
1658433740099,355.89,23.92,2.81,
1658433740115,355.78,25.65,-0.04,
1658433740132,355.72,27.36,-2.79,
1658433740149,355.71,29.19,-5.56,
1658433740165,355.68,29.85,-6.32,
1658433740182,355.73,29.65,-5.8,
1658433740198,356,28.26,-3.58,
1658433740215,356.35,26.75,-1.35,
1658433740232,356.75,25.09,1.14,
1658433740249,357.14,23.05,4.52,
1658433740265,357.36,21.81,6.75,
1658433740282,357.56,20.95,8.41,
1658433740299,357.64,20.53,9.5,
1658433740315,357.59,20.74,9.46,
1658433740332,357.49,21.36,8.74,
1658433740349,357.39,22.88,6.64,
1658433740365,357.32,24.53,4.29,
1658433740382,357.26,26.36,1.69,
1658433740399,357.15,28.6,-1.39,
1658433740415,357.12,29.73,-2.99,
1658433740432,357.13,30.08,-3.56,
1658433740449,357.14,29.34,-2.57,
1658433740465,357.24,28.32,-1.09,
1658433740482,357.46,26.99,1.02,
1658433740499,357.59,26.32,2.28,
1658433740515,357.66,26.04,2.97,
1658433740532,357.71,26.14,3.06,
1658433740549,357.79,26.68,2.43,
1658433740565,357.87,27.24,1.71,
1658433740582,357.88,27.82,0.95,
1658433740599,357.78,28.44,0.14,
1658433740615,357.69,28.68,-0.24,
1658433740632,357.67,28.74,-0.47,
1658433740649,357.68,28.75,-0.62,
1658433740665,357.69,28.77,-0.64,
1658433740682,357.72,28.82,-0.58,
1658433740699,357.76,28.86,-0.55,
1658433740715,357.81,28.94,-0.56,
1658433740732,357.89,29.13,-0.71,
1658433740749,357.95,29.32,-0.94,
1658433740765,358,29.52,-1.26,
1658433740782,358.04,29.75,-1.65,
1658433740799,358.06,29.83,-1.83,
1658433740815,358.07,29.84,-1.91,
1658433740832,358.08,29.82,-1.93,
1658433740848,358.09,29.82,-1.97,
1658433740865,358.1,29.85,-2.04,
1658433740882,358.12,29.91,-2.19,
1658433740899,358.14,29.96,-2.32,
1658433740915,358.16,30,-2.45,
1658433740932,358.17,30.03,-2.54,
1658433740949,358.14,30.04,-2.52,
1658433740972,358.13,30.03,-2.5,
1658433740982,358.13,30.03,-2.51,
1658433740998,358.15,30.05,-2.56,
1658433741015,358.21,30.06,-2.72,
1658433741032,358.24,29.76,-3.16,
1658433741060,358.32,29.4,-3.29,
1658433741065,358.33,29.38,-3.24,
1658433741082,358.34,29.45,-2.9,
1658433741099,358.3,29.59,-2.56,
1658433741117,358.24,29.75,-2.21,
1658433741132,358.17,29.78,-2.05,
