time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1653397928999.6,12.4,24.2,4.2,
1653397929027.8,12.4,24.8,4.4,x
1653397929044.5,12.6,25.2,4.3,x
1653397929061.3,12.8,25.6,3.8,x
1653397929078.9,12.9,25.9,3.5,x
1653397929094.8,13.2,26.4,2.9,x
1653397929111.4,13.4,26.9,2.3,x
1653397929128.9,13.6,27.3,1.9,x
1653397929144.9,13.6,28,1.7,x
1653397929161.4,13.6,28.2,1.7,x
1653397929194.9,13.5,28,2.1,x
1653397929211.5,13.1,27.5,2.9,x
1653397929228.1,13,27.2,3.1,x
1653397929245,12.7,26.9,3.4,x
1653397929261.5,12.5,26.7,3.6,x
1653397929286.2,12.2,26.3,4,x
1653397929294.8,12.1,26.2,4.2,x
1653397929311.4,12,26.1,4.4,x
1653397929328.1,11.7,26,4.8,x
1653397929345,11.4,26,5.2,x
1653397929361.4,11.2,26.4,5.5,x
1653397929378,11.2,26.8,5.6,x
1653397929394.8,11.2,27.5,5.6,x
1653397929411.4,11.2,27.7,5.6,x
1653397929428.1,11.4,27.9,5.5,x
1653397929445.3,11.6,27.8,5.3,x
1653397929461.5,11.8,27.7,5,x
1653397929478.1,12.5,27.9,3.9,x
1653397929494.7,13,27.9,3.2,x
1653397929511.4,13.2,27.4,3.1,x
1653397929528,13.4,27.3,2.9,x
1653397929545.3,13.8,27,2.3,x
1653397929561.4,14.1,26.7,2,x
1653397929578,14.4,26.3,1.6,x
1653397929594.7,14.6,25.8,1.6,x
1653397929611.4,14.6,25.6,1.7,x
1653397929628.1,14.5,25.5,2,x
1653397929644.8,14.6,26.1,1.9,x
1653397929661.7,14.6,26.5,1.9,x
1653397929678.1,14.7,27.2,1.9,x
1653397929694.7,14.8,27.6,2,x
1653397929711.4,14.8,27.6,2.2,x
1653397929728.1,14.8,27.1,2.4,x
1653397929747.1,15.1,27,1.8,x
1653397929761.4,15.3,27,1.5,x
1653397929778.1,15.5,27.2,1.2,x
1653397929794.8,15.6,27.4,1.1,x
1653397929811.4,15.6,27.4,1,x
1653397929828.2,15.8,27.3,0.7,x
1653397929845.4,16,27.1,0.4,x
1653397929861.3,16,27,0.4,x
1653397929878,16,27,0.2,x
1653397929911.4,16,26.9,0.1,x
1653397929928.1,16,26.6,0,x
1653397929945,15.9,26.3,0.1,x
1653397929962.4,15.7,26.6,0.3,x
1653397929978,15.6,26.9,0.4,x
1653397929994.7,15.6,27.2,0.4,x
1653397930011.4,15.6,27.5,0.3,x
1653397930028.3,15.6,27.6,0.2,x
1653397930044.8,15.6,27.6,0.1,x
1653397930061.3,15.7,27.5,0,x
1653397930094.8,15.7,27.5,-0.2,x
1653397930112.2,15.7,27.5,-0.3,x
1653397930161.3,15.7,27.2,-0.5,x
1653397930201.4,15.8,26.9,-0.7,x
1653397930214.1,15.8,26.7,-0.8,x
1653397930228.4,15.8,26.6,-0.8,x
1653397930261.4,15.6,26.5,-0.9,x
1653397930279.1,15.5,26.6,-1,x
1653397930294.8,15.3,26.6,-1.1,x
1653397930328.9,15.2,26.5,-1.2,x
1653397930345.2,15.1,26.4,-1.1,x
1653397930361.6,15,26.2,-1.1,x
1653397930378.1,15,26,-1.1,x
1653397930394.8,14.9,25.8,-1.1,x
1653397930411.8,14.8,25.6,-1.1,x
1653397930428.3,14.8,25.5,-1.1,x
1653397930462.6,14.5,25.4,-1,x
1653397930478.3,14.5,25.3,-1,x
1653397930494.7,14.4,25.3,-1.1,x
1653397930528.4,14.4,25.2,-1.2,x
1653397930565.4,14.5,25.1,-1.2,x
1653397930594.7,14.6,25.1,-1.4,x
1653397930612,14.7,25,-1.4,x
1653397930711.3,14.7,25,-1.3,x
1653397930745,14.7,24.9,-1,x
1653397930761.4,14.7,24.8,-0.9,x
1653397930794.7,14.9,24.8,-0.7,x
1653397930827.9,15.1,24.8,-0.5,x
1653397930862.5,15.5,24.7,-0.6,x
1653397930881.3,15.6,24.7,-0.6,x
1653397930897.5,15.9,24.7,-0.7,x
1653397930911.4,16.2,24.7,-0.8,x
1653397930928.9,16.3,24.6,-0.9,x
1653397930944.5,16.6,24.6,-0.9,x
1653397930961,16.8,24.4,-0.9,x
1653397930977.8,16.9,24.3,-0.9,x
1653397930994.4,17,24.1,-0.8,x
1653397931011.1,17,23.9,-0.7,x
1653397931044.7,17,23.8,-0.5,x
1653397931094.8,16.9,23.7,-0.3,x
1653397931146.3,16.9,23.6,-0.3,x
1653397931178.9,16.7,23.6,-0.4,x
1653397931194.7,16.5,23.6,-0.3,x
1653397931229.4,16.2,23.7,-0.3,x
1653397931261.2,15.9,23.8,-0.3,x
1653397931279,15.7,23.9,-0.3,x
1653397931294.9,15.5,24.1,-0.2,x
1653397931328.2,15.4,24.3,-0.1,x
1653397931345,15.4,24.4,-0.1,x
1653397931370.3,15.4,24.4,0,x
1653397931394.9,15.6,24.3,0.1,x
1653397931428.2,15.7,24.3,0.2,x
1653397931445.1,15.8,24.5,0.3,x
1653397931461.3,15.8,24.6,0.3,x
1653397931478.2,15.8,25,0.5,x
1653397931494.9,15.9,25.4,0.7,x
1653397931528.2,16,25.6,0.7,x
1653397931545.2,16.1,25.7,0.7,x
1653397931594.6,16.3,25.8,0.8,x
1653397931611.3,16.2,25.8,0.8,x
1653397931628.2,16.2,25.8,1,x
1653397931644.9,16.1,25.9,1.1,x
1653397931678,16.1,25.8,1.1,x
1653397931694.7,16,25.7,1.1,x
1653397931728.2,15.9,25.5,1.1,x
1653397931745.1,15.8,25.2,1.1,x
1653397931761.7,15.7,24.7,1.1,x
1653397931778.2,15.7,24.4,1,x
1653397931794.9,15.8,24,0.9,x
1653397931811.3,15.8,23.8,0.7,x
1653397931861.5,15.6,23.6,0.5,x
1653397931894.4,15.4,23.4,0.2,x
1653397931911.3,15.2,23.4,0.1,x
1653397931928,15.2,23.4,0,x
1653397931944.9,15.1,23.5,-0.1,x
1653397931961.3,15,23.5,-0.1,x
1653397931978.3,15,23.6,-0.1,x
1653397931994.9,15,23.6,0,x
1653397932028.5,15,23.6,0.1,x
1653397932075.6,15.2,23.5,0.2,x
1653397932097.2,15.2,23.5,0.3,x
1653397932127.9,15.3,23.4,0.5,x
1653397932144.6,15.3,23.4,0.6,x
1653397932178.3,15.3,23.4,0.8,x
1653397932194.6,15.3,23.3,1,x
1653397932211.1,15.2,23.3,1.1,x
1653397932227.9,15.2,23.3,1.2,x
1653397932278.2,15,23.3,1.4,x
1653397932317.5,14.8,23.3,1.6,x
1653397932327.9,14.8,23.4,1.6,x
1653397932345.2,14.7,23.4,1.7,x
