time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1658226428694.3,0.1,0,-0.1,-0.5,0.2,9.7,3.2,2.3,2.1,x
1658226428709.8,0.1,0.1,-0.1,-0.5,0.2,9.7,3.5,1.9,2,x
1658226428727.3,-0.1,0,-0.1,-0.7,0.2,9.7,2.7,1.1,0.3,x
1658226428747,-0.1,-0.1,-0.1,-0.7,0.1,9.7,0.7,0.5,-0.8,x
1658226428760.2,-0.2,-0.1,0.1,-0.8,0.1,9.8,-0.8,0.8,-0.9,x
1658226428777.1,-0.1,0,0.2,-0.7,0.1,10,-2.1,1.3,-0.5,x
1658226428793.3,0.1,0,0.1,-0.5,0.1,9.8,-1.6,0.6,0.5,x
1658226428810.4,0.2,0,0.1,-0.5,0.1,9.9,-1.7,-0.4,0.5,x
1658226428827.2,0,0.1,0.2,-0.6,0.2,9.9,-1.4,-0.6,-0.8,x
1658226428843.1,-0.1,0.1,0.1,-0.7,0.3,9.9,-0.7,-0.3,-1.2,x
1658226428860.3,-0.1,0.1,0.1,-0.7,0.3,9.9,0,-0.6,-1.6,x
1658226428877.5,-0.1,0,0.1,-0.8,0.2,9.8,1.6,-1.6,-1.1,x
1658226428894,0.1,0,0.1,-0.6,0.2,9.9,1,-2,-0.4,x
1658226428910.4,0.1,0,0.1,-0.6,0.2,9.9,0.7,-1.7,-0.6,x
1658226428927.2,0,0.1,0,-0.6,0.3,9.8,1.4,0.3,-0.4,x
1658226428943.1,0,0,-0.1,-0.6,0.3,9.7,0.5,0.9,-0.7,x
1658226428960.4,-0.1,0,-0.1,-0.7,0.2,9.7,-0.4,0.4,-0.8,x
1658226428978.1,0,-0.1,0.1,-0.7,0.1,9.8,-1.9,-0.5,-0.1,x
1658226428994.1,0,-0.1,0.1,-0.6,0.1,9.9,-0.4,0.3,0.4,x
1658226429010.8,0,-0.1,0.1,-0.6,0.1,9.9,0.4,1.5,0.7,x
1658226429026.8,0,0,0.1,-0.7,0.1,9.9,1.5,1.6,0.4,x
1658226429043,0,0,0.1,-0.7,0.2,9.9,1.2,0.9,0.3,x
1658226429059.7,0,0,0.1,-0.6,0.1,9.9,1.1,1.7,0.4,x
1658226429077.5,0,0,-0.1,-0.7,0.2,9.7,0.3,2.1,0.3,x
1658226429093.4,0,0,-0.2,-0.6,0.2,9.6,-0.9,0.2,0.9,x
1658226429127,0,0,0.1,-0.6,0.2,9.9,-0.3,-1.8,0.3,x
1658226429144.1,0.1,0.1,0.2,-0.5,0.2,10,0.8,-2.4,-0.4,x
1658226429160.1,0,0,0.1,-0.6,0.2,9.9,1.8,-1.6,-0.7,x
1658226429177.6,-0.1,0,-0.1,-0.7,0.2,9.7,2.5,-0.4,-0.7,x
1658226429194.2,0,0,-0.2,-0.7,0.2,9.6,0.2,0.2,0.4,x
1658226429210.5,0,0,-0.1,-0.6,0.2,9.7,-1,-0.6,0.6,x
1658226429226.7,0,0,0,-0.6,0.2,9.8,-0.5,-1.7,0.4,x
1658226429245.4,0.1,0,0,-0.5,0.2,9.8,1.1,-0.5,0.5,x
1658226429261.3,0,0,0.1,-0.6,0.2,9.8,0.8,-0.5,0.2,x
1658226429277.2,0,-0.1,0.1,-0.6,0.1,9.9,0.6,-1.5,-1,x
1658226429293.5,-0.1,0,0.3,-0.7,0.2,10.1,0,-2.6,-0.8,x
1658226429310.1,-0.1,0,0.3,-0.8,0.2,10.1,0.5,-3.4,-0.9,x
1658226429326.7,-0.1,0,-0.1,-0.7,0.2,9.7,2.4,-3.2,0.3,x
1658226429342.8,0,0,-0.1,-0.6,0.1,9.6,2.5,-3.4,1.1,x
1658226429362.4,0.1,0,0.2,-0.6,0.2,10,-2.1,-4,0.7,x
1658226429384.8,0.2,0,0.2,-0.5,0.2,10,-1.2,-0.5,1.5,x
1658226429394.2,0.2,0,0.1,-0.4,0.2,9.9,-0.2,1.1,1.4,x
1658226429409.9,0.2,0.1,0,-0.4,0.2,9.8,0.2,1.1,0.6,x
1658226429426.9,0.1,0,0.1,-0.4,0.2,9.8,0.1,-0.6,-0.8,x
1658226429442.8,0,0,-0.1,-0.5,0.2,9.7,1.4,0.6,-1.4,x
