time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1652785725262.6,-0.1,0,0.3,-1.8,6.7,8.9,-14.4,-35.8,-25.3,
1652785725277.8,-0.4,0.2,0.1,-2.2,6.9,9,-7.6,-51.8,-23.3,x
1652785725292.2,-0.3,0.1,-0.3,-2.1,6.9,8.4,-4,-63.9,-19,x
1652785725308.8,-0.2,0.2,-0.3,-1.9,7,8.3,-1.6,-73.3,-12.9,x
1652785725325.5,-0.2,0.1,-0.4,-1.7,7,8.2,2.4,-77.6,-7.3,x
1652785725342.7,-0.3,0.2,-0.4,-1.6,7.1,8.3,9.9,-72.5,-1.3,x
1652785725358.8,-0.1,-0.2,1,-1.3,6.9,9.7,17.6,-81.7,3.6,x
1652785725375.5,0.4,-0.1,-0.2,-0.3,6.8,8.3,20.5,-100.8,7.7,x
1652785725392.2,2.6,-1.2,-1.7,2.1,5.8,6.9,14.7,-100,1.3,x
1652785725408.8,1.5,-1.8,-2.2,0.7,5,5.2,8.7,-78.2,-12.4,x
1652785725425.5,1.5,-0.5,-4.4,1.6,5.8,3.5,10.9,-20.2,-12.9,x
1652785725442.2,1.2,-1.8,-2.1,1.3,4.7,5.4,4.1,10.8,-23.5,x
1652785725459.5,0.7,-0.7,0.6,0.8,5.5,7.8,0.5,-7.4,-31,x
1652785725475.4,1.6,-1.3,-0.3,1.5,4.9,7.1,-2,-22.7,-28.8,x
1652785725492.2,0.1,-1,-1.7,0.2,5.4,5.8,-11.6,-6.8,-25.8,x
1652785725508.8,-0.8,0.9,-2.2,-0.7,7,5.3,-32.8,15,-19.2,x
1652785725525.5,-0.6,0.6,-3.1,-0.6,6.2,4.4,-57.5,41,-15.2,x
1652785725542.1,0,-0.6,-2.4,-0.3,5.3,5.2,-76.6,65,-24.7,x
1652785725558.8,0,-0.4,-1.3,-0.6,5.3,6.1,-86.1,79.9,-39.2,x
1652785725575.5,-0.5,-0.4,-1,-1.7,5,7.8,-87.1,108.9,-53.5,x
1652785725592.1,-1.3,0,3,-2.3,6.4,11.8,-67.8,110.4,-61.1,x
1652785725608.8,-0.5,2.4,5.5,-2.3,6.4,11.8,-67.8,110.4,-61.1,x
1652785725625.5,-4.6,0.1,6.2,-6.3,5.4,14.5,40.4,27.2,-48.6,x
1652785725642.2,-3.8,0.1,4,-4.2,5.3,10.6,72.6,-43.5,-15.5,x
1652785725658.9,-0.4,-0.9,-1.6,-2.4,4.7,6.2,63.1,-66.5,-11,x
1652785725675.5,-1.8,-1,-1.9,-3.5,4.8,6.1,46.1,-56.1,-7.3,x
1652785725692.1,-2.1,-0.1,-2.6,-3.2,6.1,4.8,36.4,-43.7,5.4,x
1652785725708.8,0.6,-0.7,-1.7,-0.9,5.2,6,13.4,-40.2,-3.3,x
1652785725725.4,0.9,-0.6,-2.7,-0.7,5.1,5.1,-5.4,-36.7,-13.2,x
1652785725742.2,1,-1.1,-2.1,-0.5,4.6,5.5,-14.4,-2.4,-11.5,x
1652785725758.7,0.8,-0.8,-1.7,-0.6,5.1,6.4,-21.2,21,-3.5,x
1652785725775.4,2.4,-0.1,-0.4,0.8,5.5,7.4,-32.6,16.9,-7.9,x
1652785725792.1,1.9,-0.5,0.6,0.3,5,8.4,-37.1,21.9,-25.6,x
1652785725808.8,1.2,-0.6,1.5,-1,5,8.9,-37.1,21.9,-25.6,x
1652785725825.5,0.6,-0.2,0.2,-1.3,5.1,8.2,-29.1,32.1,-50.1,x
1652785725842.1,0.5,-1.1,2.3,-1.5,4.1,10.1,-42.4,-7.5,-54,x
1652785725858.9,-0.7,0.4,-0.8,-2.5,5.2,7.5,-62.5,-60.3,-50.7,x
1652785725875.4,0.2,0.9,-1.1,-0.8,5.6,7.7,-65.9,-40.3,-49.4,x
1652785725892.1,2,0.5,1.1,0.2,5,9.6,-52.5,-25.6,-63.3,x
1652785725908.8,0.8,0,1.7,-1,4.5,10.1,-35.7,-30.1,-73.2,x
1652785725925.5,-0.1,0.2,1.2,-2.3,4.7,9.4,-35.7,-30.1,-73.2,x
1652785725942.1,-0.8,0.2,0.6,-2.6,4.5,9,-9.1,-17.5,-50.4,x
1652785725958.8,-0.6,0.2,0.3,-2.5,4.6,8.8,-7.9,-21.9,-37.6,x
1652785725975.5,-0.8,0.2,-0.3,-2.6,4.6,8.3,-12.3,-31,-25.5,x
1652785725992.2,-0.8,0.2,-0.7,-2.5,4.4,7.8,-18.3,-25.2,-15.4,x
1652785726008.9,-0.6,0.1,-1.2,-2.3,4.4,7.5,-26.1,-14,-8.6,x
1652785726025.5,-0.2,0.4,0,-1.9,4.6,8.6,-28,0.8,-5.2,x
1652785726042.2,0.2,0.4,0.9,-1.3,4.3,9.8,-28,0.8,-5.2,x
1652785726058.8,0.6,-0.4,1.2,-1.3,3.5,9.8,-1.9,-6.7,-22.6,x
1652785726075.5,-0.4,-0.7,0.5,-2.4,3.5,9.2,8.9,-17.2,-38.6,x
1652785726093.3,-2.3,0.6,0.4,-4,4.6,9.2,15.9,-27.7,-40,x
1652785726108.8,-2.2,0.3,0,-3.7,4.2,8.5,21.8,-36.3,-25.2,x
1652785726125.5,-1.4,-0.3,-1,-3.1,3.9,7.6,17.2,-43,-16.1,x
1652785726142.2,-1.1,0.1,-1.1,-2.7,4.2,7.6,5.3,-40,-12.8,x
