time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1664285118206,14.3,32.3,1.8,x
1664285118221.3,14.9,32.3,1.7,x
1664285118254.3,15.8,32.3,1.7,x
1664285118301.9,15.6,32.3,1.7,x
1664285118401.8,15.8,32.3,1.7,x
1664285118607.3,15.6,32.3,1.7,x
1664285118635.7,15.8,31.5,1.3,x
1664285118653.6,15.8,31,1.2,x
1664285118669.4,15.8,30.8,1.2,x
1664285118702.4,15.6,30.8,1.5,x
1664285118735.6,15.7,31.4,1.3,x
1664285118752.9,15.9,31.8,1,x
1664285118769.1,16.3,32.7,0.3,x
1664285118785.8,16.5,32.6,0,x
1664285118802.5,16.5,31.5,0.1,x
1664285118819.1,16.6,30.9,-0.1,x
1664285118835.9,16.8,30.2,-0.4,x
1664285118852.4,16.9,30.2,-0.6,x
1664285118869.1,16.9,30.4,-0.5,x
1664285118885.9,16.7,30.5,-0.2,x
1664285118902.3,16.4,30.5,0.2,x
1664285118919.2,16.3,30.6,0.4,x
1664285118935.5,15.9,31,1,x
1664285118952.8,15.8,31.4,1.2,x
1664285118971.2,16.2,32.6,0.6,x
1664285118985.8,16.4,33.3,0.1,x
1664285119002.2,16.4,33.1,-0.2,x
1664285119018.8,16.3,32.7,-0.4,x
1664285119035.9,16.1,31.7,-0.3,x
1664285119052.3,16,31.1,-0.1,x
1664285119069,16,30.9,0,x
1664285119085.9,16.1,31.3,0,x
1664285119102.6,16.2,31.4,0,x
1664285119118.9,16.2,31.5,0.1,x
1664285119135.9,16.2,31.3,0,x
1664285119169.4,16.2,31.5,0.2,x
1664285119185.4,16.2,32.1,0.3,x
1664285119202.2,16.3,32.5,0.3,x
1664285119219.7,16.4,32.6,0.3,x
1664285119235.6,16.5,32.7,0.3,x
1664285119252.4,16.6,32.8,0.2,x
1664285119269.4,16.7,32.9,0.3,x
1664285119285.4,16.7,33.1,0.4,x
1664285119302.4,16.8,33.4,0.4,x
1664285119318.9,16.9,33.6,0.4,x
1664285119335.9,16.9,34,0.6,x
1664285119352.4,16.9,34.1,0.8,x
1664285119370.2,17,34.4,1,x
1664285119385.8,17.1,34.7,1.3,x
1664285119418.9,17.3,34.7,1.5,x
1664285119435.9,17.4,34.4,1.6,x
1664285119452.7,17.5,34.2,1.5,x
1664285119469.6,17.5,33.9,1.2,x
1664285119485.9,17.5,34,1.1,x
1664285119502.5,17.4,34.3,1.5,x
1664285119518.8,17.3,34.4,1.9,x
1664285119565.9,17.4,34.3,2.4,x
1664285119585.4,17.8,34.2,2.2,x
1664285119602.1,18.2,34.2,2,x
1664285119618.8,18.4,34.2,1.9,x
1664285119635.9,18.8,34.3,1.8,x
1664285119652.5,19.1,34.3,1.7,x
1664285119668.8,19.3,34.2,1.6,x
1664285119685.5,19.5,34.1,1.4,x
1664285119702.3,19.7,34,1.1,x
1664285119718.9,19.8,34,1,x
1664285119735.9,20,34.1,0.9,x
1664285119752.4,20.2,34.1,0.9,x
1664285119786,20.4,34.1,0.8,x
1664285119802.3,20.6,34,0.6,x
1664285119818.8,20.7,34,0.5,x
1664285119885.4,20.8,33.8,0.3,x
1664285119902.2,20.7,33.7,0.4,x
1664285119919.1,20.6,33.6,0.4,x
1664285119935.5,20.5,33.4,0.4,x
1664285119969.1,20.2,33.3,0.5,x
1664285119985.9,20.1,33.2,0.6,x
1664285120002.3,20,33.1,0.6,x
1664285120019.1,19.9,32.8,0.6,x
1664285120035.4,19.9,32.6,0.4,x
1664285120052.4,19.8,32.5,0.3,x
1664285120068.8,19.8,32.5,0.2,x
1664285120085.4,19.7,32.4,0.3,x
1664285120102.2,19.5,32.3,0.3,x
1664285120119.1,19.5,32.2,0.2,x
1664285120135.5,19.3,31.9,0.1,x
1664285120152.5,19.1,31.8,-0.1,x
1664285120168.9,18.9,31.9,-0.1,x
1664285120185.6,18.6,32.3,0.1,x
1664285120202.3,18.2,32.7,0.7,x
