time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1666170346920.8,-0.1,-0.1,0.3,-0.5,9.7,0.9,-3,-2.4,-1.3,
1666170346935.4,-0.1,0,0.3,-0.5,9.8,1,-2.3,-2.4,-0.8,x
1666170346952.2,0,0,0.3,-0.4,9.8,1,-1.7,-2.1,-0.4,x
1666170346968.7,0,0,0.3,-0.4,9.8,1,-1.1,-2.2,-0.9,x
1666170346985.4,0,0,0.2,-0.4,9.8,1,-0.4,-2.5,-1.6,x
1666170347002,0,0,0.2,-0.5,9.8,1,0.2,-2.3,-1.9,x
1666170347018.6,-0.1,0,0.2,-0.6,9.8,1,1.1,-1.6,-1.5,x
1666170347035.4,-0.1,0,0.1,-0.6,9.8,0.9,1.8,-0.6,-0.7,x
1666170347052.1,0,0,0,-0.5,9.8,0.8,2.4,0.2,-0.4,x
1666170347068.8,0,0,0,-0.5,9.8,0.7,2.8,0.3,-0.4,x
1666170347085.4,0,0,-0.1,-0.5,9.8,0.7,2.8,0.3,-0.4,x
1666170347102.1,0,0,-0.2,-0.4,9.8,0.6,2.7,0.1,-0.6,x
1666170347118.7,0,0,-0.2,-0.4,9.8,0.6,2.1,0.8,-0.6,x
1666170347135.8,0.1,0,-0.2,-0.4,9.8,0.6,2.1,0.8,-0.6,x
1666170347152,0,0,-0.2,-0.4,9.8,0.5,0.5,0.1,-0.6,x
1666170347168.7,0.1,0,-0.2,-0.4,9.8,0.5,0.5,0.1,-0.6,x
1666170347185.4,0.1,0,-0.1,-0.4,9.8,0.7,-0.5,-0.5,-1,x
1666170347202.1,0,0,0,-0.4,9.8,0.7,-0.1,-0.2,-0.9,x
1666170347218.7,0.1,0,0,-0.4,9.8,0.7,0.6,-0.1,-0.9,x
1666170347235.5,0.1,0,-0.1,-0.4,9.8,0.6,0.9,-0.3,-1.3,x
1666170347252,0.1,0,-0.1,-0.4,9.8,0.6,0.6,-0.2,-1.9,x
1666170347268.8,0,0,-0.2,-0.5,9.8,0.5,-0.3,0,-2.2,x
1666170347285.4,-0.1,0,-0.2,-0.6,9.8,0.6,-1.3,0.1,-2.2,x
1666170347306.3,-0.1,0,-0.2,-0.6,9.8,0.6,-1.3,0.1,-2.2,x
1666170347318.8,-0.2,0,0,-0.7,9.8,0.7,-1.3,-0.8,-1.5,x
1666170347335.3,-0.1,0,0,-0.7,9.8,0.7,-1.3,-0.8,-1.5,x
1666170347352.1,-0.1,0,0,-0.7,9.7,0.7,-1.6,-0.2,-0.9,x
1666170347369.3,-0.1,0,0,-0.6,9.7,0.8,-2.1,-0.2,-0.7,x
1666170347385.3,0,-0.1,0.1,-0.6,9.7,0.9,-2.1,-0.7,-0.5,x
1666170347402.1,0,0,0.2,-0.6,9.8,1,-1.1,-1.2,-0.3,x
1666170347418.6,0,0,0.2,-0.6,9.8,1,-1.1,-1.2,-0.3,x
1666170347435.4,0,0,0.2,-0.5,9.8,1,-0.3,-0.4,0.1,x
1666170347452.1,0.1,0,0.2,-0.5,9.8,0.9,0.7,2.1,1,x
1666170347468.7,0.1,0,0.2,-0.5,9.8,0.9,0.7,2.1,1,x
1666170347485.4,0.1,0.1,0,-0.4,9.9,0.8,2.3,1.4,-0.1,x
1666170347502.1,0.1,0.1,-0.1,-0.4,9.9,0.6,1.8,1.9,-1.2,x
1666170347518.7,0.1,0.1,-0.1,-0.4,9.9,0.6,1.8,1.9,-1.2,x
1666170347535.5,0,0,-0.2,-0.5,9.8,0.6,0.7,2.1,-1.7,x
1666170347552.1,-0.1,-0.1,0,-0.6,9.7,0.7,-0.4,0.9,-1.1,x
1666170347568.6,-0.1,-0.1,0.1,-0.6,9.7,0.8,0.4,0.4,-0.6,x
1666170347585.3,-0.1,-0.1,0.1,-0.6,9.7,0.8,0.4,0.4,-0.6,x
1666170347602.1,0,0,0,-0.5,9.8,0.7,1.4,0.1,0.3,x
1666170347618.7,0.1,0,-0.1,-0.4,9.9,0.7,0.9,0.4,0.2,x
1666170347635.5,0.1,0.1,-0.1,-0.4,9.9,0.7,0.9,0.4,0.2,x
1666170347652,0.2,0.1,0,-0.4,9.9,0.7,0.8,1.4,-1,x
1666170347672.5,0.1,0.1,0,-0.4,9.9,0.7,0.8,1.4,-1,x
1666170347685.7,0,0,-0.2,-0.5,9.8,0.5,1.1,-0.4,-2.4,x
1666170347702,0,0,-0.2,-0.6,9.8,0.5,0,-0.4,-2.7,x
1666170347718.7,-0.1,-0.1,-0.2,-0.7,9.7,0.5,-1.3,0.3,-2.5,x
1666170347735.8,-0.2,-0.1,-0.1,-0.7,9.7,0.5,-1.8,0.7,-2,x
1666170347752.1,-0.3,-0.1,0,-0.9,9.6,0.7,-1.5,0,-1,x
1666170347768.7,-0.3,-0.1,0,-0.9,9.6,0.7,-0.9,-0.4,0.2,x
1666170347785.3,-0.3,-0.1,0,-0.9,9.6,0.7,-0.9,-0.4,0.2,x
1666170347802,-0.2,-0.1,0,-0.8,9.7,0.7,-0.6,-0.5,2.3,x
1666170347818.7,-0.2,0,0,-0.8,9.7,0.7,-0.6,-0.5,2.3,x
1666170347835.4,0,0,0,-0.6,9.8,0.7,-1.2,-0.3,1.7,x
1666170347867.8,0,0,0.1,-0.6,9.8,0.8,-1.4,0,2.2,x
1666170347868.6,0,0,0.1,-0.6,9.8,0.8,-1.4,0,2.2,x
1666170347885.3,0,0,0.1,-0.6,9.7,0.9,-0.8,0.9,2.6,x
1666170347901.9,0,0,0.1,-0.6,9.8,0.9,-0.1,1.2,2.8,x
1666170347918.8,0,0,0.1,-0.5,9.8,0.8,0.8,1.3,3.1,x
1666170347935.4,0.1,0,0,-0.5,9.8,0.7,1.2,1.2,3.2,x
1666170347952.2,0.1,0,0,-0.4,9.8,0.7,0.9,1,2.9,x
1666170347968.7,0.1,0,-0.1,-0.4,9.8,0.7,0.7,0.3,2.4,x
1666170347985.4,0.1,0,-0.1,-0.4,9.8,0.7,0.5,-0.4,2.2,x
1666170348002.1,0.1,0,-0.1,-0.4,9.8,0.6,0.2,0.3,2.3,x
1666170348018.7,0.1,0,-0.1,-0.4,9.8,0.7,-0.5,1.3,2.3,x
1666170348035.4,0.1,0.1,0,-0.4,9.9,0.7,-0.6,1,1.9,x
