time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1666170541205.5,0,0,0,
1666170541221.6,81.1,37.3,13.7,x
1666170541238.5,80.9,37.3,13.9,x
1666170541255,80.6,37,13.7,x
1666170541271.7,80.8,36.4,12.8,x
1666170541288.4,81,35.9,12.3,x
1666170541305,81.2,35,11.6,x
1666170541321.6,81.2,34.4,11.3,x
1666170541338.3,81.2,34.1,11.2,x
1666170541355,81.2,34,11,x
1666170541371.6,81.3,33.7,10.6,x
1666170541388.3,81.4,33.6,10.4,x
1666170541405,81.6,33.5,10,x
1666170541421.7,81.7,33.7,9.7,x
1666170541438.9,81.7,33.8,9.5,x
1666170541455.1,81.8,34,9.3,x
1666170541471.7,82,34.1,8.9,x
1666170541505,82,34,8.7,x
1666170541521.6,81.9,33.6,8.2,x
1666170541538.3,81.9,33.5,8.1,x
1666170541555,81.7,33.3,8,x
1666170541588.5,81.5,33.3,8.1,x
1666170541605,81.2,33.3,8.2,x
1666170541638.3,81,33.2,8.2,x
1666170541654.9,80.9,33.1,8.2,x
1666170541671.6,80.6,33,8.4,x
1666170541706,80.6,32.9,8.4,x
1666170541738.3,80.5,32.9,8.2,x
1666170541771.6,80.3,32.9,8.2,x
1666170541788.4,80.3,32.9,8.1,x
1666170541804.9,80.2,32.7,7.8,x
1666170541821.6,80.1,32.6,7.7,x
1666170541838.3,80.1,32.5,7.7,x
1666170541855,79.9,32.4,7.8,x
1666170541888.3,79.8,32.4,8,x
1666170541921.7,79.7,32.2,8.3,x
1666170541938.3,79.6,32.1,8.3,x
1666170541954.9,79.6,32,8.4,x
1666170541971.7,79.4,31.8,8.6,x
1666170542005,79.3,31.8,8.7,x
1666170542055,79.4,31.6,8.6,x
1666170542088.3,79.4,31.5,8.6,x
1666170542105,79.5,31.5,8.4,x
1666170542121.6,79.6,31.5,8.4,x
1666170542167.5,79.9,31.9,7.9,x
1666170542189.3,79.9,31.8,7.6,x
1666170542221.6,80,31.7,7.4,x
1666170542255,80,31.7,7.2,x
1666170542288.3,79.9,31.6,7.1,x
1666170542304.9,79.8,31.3,7,x
1666170542321.7,79.7,31,7,x
1666170542354.9,79.6,30.8,7,x
1666170542372.7,79.6,30.9,7,x
1666170542388.3,79.6,31,7.1,x
1666170542405,79.5,31.2,7.2,x
1666170542421.6,79.4,31.2,7.3,x
1666170542455,79.2,31.2,7.6,x
1666170542488.3,79,31.4,8,x
1666170542521.6,78.8,31.5,8.1,x
1666170542538.2,78.6,31.5,8.2,x
1666170542554.9,78.5,31.3,8.3,x
1666170542577.4,78.1,30.8,8.5,x
1666170542588.2,78,30.6,8.6,x
1666170542604.9,77.8,30.2,8.8,x
1666170542621.7,77.7,30,8.9,x
1666170542655,77.8,30.1,9.1,x
1666170542671.6,78,30.2,8.9,x
1666170542688.4,78.1,30.3,8.8,x
1666170542705.2,78.2,30.4,8.6,x
1666170542722.1,78.3,30.4,8.4,x
1666170542738.2,78.4,30.3,8.3,x
1666170542754.9,78.5,30.1,8,x
1666170542771.6,78.5,30,7.9,x
1666170542804.9,78.4,29.8,7.8,x
1666170542821.6,78.4,29.7,7.7,x
1666170542905,78.3,29.9,7.6,x
1666170542921.6,78.2,29.9,7.7,x
1666170543005.1,78.1,29.8,7.5,x
1666170543038.2,78.3,29.9,7.4,x
1666170543055,78.3,30.1,7.4,x
1666170543071.6,78.3,30.2,7.3,x
1666170543110.9,78.4,30.3,7,x
1666170543138.4,78.2,30,7,x
1666170543154.9,78.1,29.7,7.1,x
1666170543171.6,78,29.5,7.3,x
1666170543205.2,77.8,29.2,7.6,x
1666170543221.7,77.7,29.1,7.9,x
1666170543254.9,77.7,29,8.1,x
1666170543271.6,77.9,29.1,8.1,x
1666170543305,78.1,29.1,8,x
1666170543338.3,78.3,29.1,7.7,x
1666170543354.9,78.4,28.9,7.5,x
1666170543371.6,78.4,28.7,7.4,x
1666170543388.2,78.4,28.6,7.4,x
1666170543404.9,78.4,28.5,7.4,x
1666170543438.3,78.2,28.5,7.6,x
1666170543471.5,78.1,28.5,7.8,x
1666170543488.2,78.1,28.6,7.9,x
1666170543504.9,78,28.5,7.9,x
1666170543538.3,77.9,28.4,8.1,x
1666170543554.8,77.8,28.3,8.1,x
1666170543588.2,77.8,28.2,8.2,x
1666170543605.9,77.7,28.2,8.2,x
1666170543638.2,77.8,28.2,8.2,x
1666170543654.9,77.8,28.1,8.1,x
1666170543688.2,78,28.2,8,x
1666170543721.6,78.1,28.1,7.9,x
1666170543738.2,78.2,28,7.7,x
1666170543771.5,78.3,27.7,7.6,x
1666170543788.3,78.3,27.5,7.7,x
1666170543821.5,78.3,27.4,7.8,x
1666170543854.8,78.6,27.2,7.3,x
1666170543871.6,78.6,27,7.2,x
1666170543888.5,78.4,26.4,7.2,x
1666170543904.9,78,25.8,7.5,x
1666170543921.6,77.8,25.6,7.8,x
1666170543938.2,77.4,25.6,8.5,x
1666170543955,77.1,26.1,9.1,x
1666170543971.6,77,26.4,9.3,x
1666170543988.2,76.8,26.9,9.6,x
1666170544026.1,76.6,27.1,9.4,x
1666170544054.8,76.9,27,8.8,x
1666170544071.7,77.1,26.9,8.5,x
1666170544088.2,77.6,26.8,8,x
1666170544104.9,78.2,26.7,7.5,x
1666170544121.9,78.5,26.6,7.2,x
1666170544138.2,79.1,26.4,6.7,x
1666170544154.8,79.6,26.1,6.2,x
1666170544172.2,79.8,25.9,6.1,x
1666170544189.1,80,25.7,5.9,x
1666170544205,80.4,25.3,5.6,x
1666170544238.2,80.7,25,5.4,x
1666170544254.9,81,25,5.4,x
1666170544288.2,81.2,24.9,5.4,x
1666170544304.9,81.3,24.8,5.4,x
1666170544354.9,81.6,24.7,5.4,x
1666170544371.6,81.6,24.6,5.4,x
1666170544388.2,81.7,24.7,5.5,x
1666170544404.9,81.7,24.8,5.6,x
1666170544421.5,81.8,24.9,5.6,x
1666170544438.6,81.9,25.1,5.5,x
1666170544454.8,82.1,25.5,5.2,x
1666170544471.5,82.2,25.6,5.1,x
1666170544488.1,82.3,25.8,4.7,x
1666170544504.9,82.2,25.7,4.6,x
1666170544521.5,82.1,25.6,4.6,x
1666170544538.2,82,25.3,4.7,x
1666170544554.9,82,25.1,4.8,x
1666170544571.5,82,25,4.8,x
1666170544588.3,82.1,25.2,4.8,x
1666170544621.5,82.3,25.8,4.7,x
1666170544654.8,82.4,26.7,4.4,x
