time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_testing
1658433895323,1.91,23.77,-9.04,x
1658433895340,2.37,23.32,-9.1,x
1658433895357,2.63,23.02,-9.09,x
1658433895374,1.92,22.78,-9.09,x
1658433895390,2.25,22.56,-9.14,x
1658433895407,2.5,22.43,-9.2,x
1658433895423,2.73,22.35,-9.24,x
1658433895440,2.99,22.33,-9.25,x
1658433895457,3.16,22.35,-9.29,x
1658433895473,3.33,22.35,-9.36,x
1658433895490,3.55,22.34,-9.49,x
1658433895507,3.72,22.36,-9.58,x
1658433895523,3.86,22.4,-9.62,x
1658433895540,4.03,22.47,-9.6,x
1658433895557,4.15,22.51,-9.56,x
1658433895574,4.27,22.54,-9.53,x
1658433895590,4.5,22.61,-9.6,x
1658433895607,4.69,22.65,-9.73,x
1658433895624,4.85,22.67,-9.87,x
1658433895640,5.01,22.67,-9.98,x
1658433895657,5.09,22.66,-9.96,x
1658433895673,5.16,22.65,-9.9,x
1658433895690,5.3,22.65,-9.8,x
1658433895707,5.41,22.64,-9.76,x
1658433895724,5.53,22.62,-9.78,x
1658433895740,5.65,22.53,-9.89,x
1658433895757,5.7,22.46,-9.95,x
1658433895773,5.73,22.43,-9.96,x
1658433895790,5.78,22.43,-9.94,x
1658433895807,5.83,22.45,-9.94,x
1658433895823,5.87,22.47,-9.94,x
1658433895839,5.86,22.46,-9.92,x
1658433895857,5.83,22.44,-9.9,x
1658433895873,5.81,22.44,-9.91,x
1658433895890,5.82,22.48,-9.93,x
1658433895907,5.84,22.51,-9.91,x
1658433895923,5.87,22.52,-9.87,x
1658433895940,5.88,22.53,-9.79,x
1658433895957,5.88,22.54,-9.75,x
1658433895973,5.89,22.55,-9.73,x
1658433895990,5.92,22.51,-9.75,x
1658433896007,5.95,22.48,-9.77,x
1658433896023,5.97,22.45,-9.77,x
1658433896040,6,22.42,-9.74,x
1658433896057,6,22.37,-9.72,x
1658433896073,6,22.29,-9.72,x
1658433896090,6.02,22.17,-9.73,x
1658433896107,6.03,22.06,-9.72,x
1658433896123,6.02,21.94,-9.66,x
1658433896140,6.01,21.83,-9.53,x
1658433896157,6.03,21.85,-9.38,x
1658433896174,6.09,22.03,-9.07,x
1658433896190,6.16,22.79,-8.06,x
1658433896207,6.08,23.98,-6.65,x
1658433896223,5.84,25.75,-4.53,x
1658433896240,5.1,28.81,-0.8,x
1658433896257,4.14,31.31,2.32,x
1658433896280,2.9,33.69,5.33,x
1658433896290,1.26,36.1,8.04,x
1658433896307,0.41,36.97,8.63,x
1658433896324,359.99,36.99,8.13,x
1658433896340,359.88,36.08,6.5,x
1658433896357,0.07,35.04,5.15,x
1658433896373,0.3,33.84,4.06,x
1658433896390,0.44,32.07,3.18,x
1658433896407,0.39,30.6,2.84,x
1658433896423,0.27,29.03,2.7,x
1658433896440,0.11,26.9,2.66,x
1658433896457,0.07,25.39,2.6,x
1658433896474,0.14,23.99,2.45,x
1658433896490,0.34,22.16,2.17,x
1658433896507,0.49,20.71,2.05,x
1658433896524,0.62,19.19,2.13,x
1658433896540,0.81,17.39,2.51,x
1658433896557,1.01,16.51,2.8,x
1658433896573,1.2,16.06,3.1,x
1658433896590,1.3,16.01,3.75,x
1658433896607,1.21,16.39,4.57,x
1658433896623,1.02,17.16,5.69,x
1658433896640,0.66,18.79,7.72,x
1658433896657,0.31,20.44,9.66,x
1658433896673,359.89,22.48,11.92,x
1658433896690,359.14,25.7,15.25,x
1658433896707,358.38,28.26,17.74,x
1658433896724,357.52,30.55,19.82,x
1658433896740,356.55,32.67,21.19,x
1658433896757,356.21,33.36,20.78,x
1658433896773,356.27,33.28,19.28,x
1658433896790,356.85,32.3,16.11,x
1658433896807,357.58,31.1,13.17,x
1658433896823,358.76,29.11,8.97,x
1658433896840,359.71,27.45,5.77,x
1658433896857,0.71,25.73,2.41,x
1658433896874,1.73,24,-1.06,x
1658433896890,2.94,21.77,-5.57,x
1658433896907,3.68,20.22,-8.62,x
1658433896923,4.44,18.38,-12.06,x
1658433896940,4.8,17.14,-14.06,x
1658433896957,4.99,16.07,-15.45,x
1658433896973,5.1,15.37,-16.1,x
1658433896990,5.44,15.32,-16.04,x
1658433897007,5.87,15.86,-15.32,x
1658433897023,6.41,17.18,-13.04,x
1658433897040,6.66,18.66,-10.14,x
1658433897057,6.7,20.45,-6.33,x
1658433897073,6.44,22.4,-1.76,x
1658433897090,5.73,25.09,5,x
1658433897107,5.1,27,9.87,x
1658433897123,4.4,29.01,15.08,x
1658433897140,4.24,29.97,17.28,x
1658433897157,4.57,30.5,17.77,x
1658433897173,5.43,30.07,16.84,x
1658433897190,6.1,28.7,15.53,x
1658433897213,6.67,26.85,13.88,x
1658433897223,7.31,24.37,11.83,x
1658433897240,7.75,22.81,10.31,x
1658433897257,8.19,21.46,8.68,x
1658433897273,8.74,19.68,6.47,x
1658433897290,9.1,18.27,4.71,x
1658433897307,9.41,16.84,2.81,x
1658433897323,9.74,14.93,0.15,x
1658433897340,9.92,13.61,-1.71,x
1658433897357,10.07,12.47,-3.32,x
1658433897373,10.21,11.4,-4.92,x
1658433897390,10.27,11.02,-5.52,x
1658433897407,10.3,11.05,-5.63,x
1658433897423,10.38,11.78,-5.15,x
1658433897440,10.5,12.79,-4.3,x
1658433897457,10.65,14.16,-3.06,x
1658433897473,10.93,16.33,-1.22,x
1658433897490,11.22,17.91,-0.1,x
1658433897507,11.55,19.23,0.68,x
1658433897523,11.89,20.51,1.36,x
1658433897540,12.05,21.12,1.7,x
1658433897557,12.14,21.48,1.79,x
1658433897573,12.14,21.62,1.72,x
1658433897590,12.11,21.62,1.66,x
1658433897607,12.1,21.64,1.58,x
1658433897623,12.16,21.72,1.42,x
1658433897640,12.23,21.78,1.32,x
1658433897657,12.3,21.81,1.28,x
1658433897673,12.37,21.84,1.34,x
1658433897690,12.44,21.86,1.45,x
1658433897707,12.54,21.93,1.55,x
1658433897723,12.69,22.06,1.63,x
1658433897740,12.78,22.1,1.67,x
1658433897757,12.85,22.07,1.72,x
1658433897773,12.86,21.93,1.77,x
1658433897790,12.85,21.8,1.83,x
1658433897807,12.82,21.72,1.89,x
1658433897823,12.77,21.74,1.87,x
1658433897840,12.73,21.82,1.78,x
1658433897857,12.68,21.93,1.77,x
1658433897873,12.59,22.04,1.84,x
1658433897890,12.51,22.1,1.89,x
1658433897907,12.44,22.16,1.94,x
1658433897923,12.37,22.22,1.95,x
1658433897940,12.32,22.27,1.88,x
1658433897957,12.29,22.32,1.75,x
1658433897973,12.22,22.36,1.59,x
1658433897990,12.13,22.37,1.52,x
1658433898007,12.04,22.37,1.46,x
1658433898023,11.98,22.41,1.35,x
1658433898040,11.97,22.42,1.19,x
1658433898057,11.99,22.39,0.96,x
1658433898073,12.04,22.23,0.64,x
1658433898090,12.05,21.99,0.32,x
1658433898107,12.03,21.66,-0.13,
1658433898129,11.96,21.16,-0.76,
1658433898140,11.82,20.83,-1.3,
1658433898157,11.62,20.56,-2,
1658433898187,11.15,20.23,-3.22,
1658433898189,11.12,20.2,-3.27,
1658433898207,11.12,20.19,-3.26,
1658433898223,11.32,20.3,-3.23,
1658433898242,11.49,20.5,-3.44,
1658433898283,11.7,20.78,-3.91,
1658433898283,11.84,20.87,-4.01,
1658433898305,12.04,20.75,-3.56,
1658433898306,12.04,20.75,-3.56,
1658433898323,12.23,20.63,-3.13,
1658433898340,12.45,20.59,-2.99,
1658433898357,12.73,20.64,-3.02,
1658433898373,13.06,20.78,-3.08,
1658433898390,13.16,20.84,-3.04,
1658433898407,13.17,20.81,-2.97,
1658433898423,13.12,20.7,-2.92,
1658433898440,13.06,20.65,-2.92,
1658433898457,12.96,20.69,-2.95,
1658433898473,12.65,21.02,-3.05,
1658433898490,12.27,21.48,-3.3,
1658433898507,11.77,22.07,-3.76,
1658433898524,10.86,22.98,-4.56,
1658433898540,10.11,23.65,-5.29,
1658433898556,9.47,24.2,-5.91,
1658433898573,9.04,24.69,-6.45,
1658433898590,9.05,24.88,-6.67,
1658433898606,9.18,24.97,-6.75,
1658433898623,9.29,25.12,-6.97,
1658433898640,9.28,25.32,-7.46,
1658433898657,9.14,25.66,-8.17,
1658433898674,8.87,26.24,-9.11,
1658433898690,8.79,26.66,-9.6,
1658433898707,8.91,26.95,-9.87,
1658433898723,9.36,27.02,-9.97,
1658433898740,9.71,26.9,-9.97,
1658433898757,10.01,26.75,-10.03,
1658433898773,10.22,26.65,-10.31,
1658433898790,10.27,26.69,-10.66,
1658433898806,10.34,26.8,-11.17,
1658433898823,10.52,27.07,-12.05,
1658433898840,10.72,27.35,-12.78,
1658433898857,10.93,27.66,-13.46,
1658433898873,11.23,28.13,-14.17,
1658433898890,11.49,28.51,-14.59,
1658433898907,11.76,28.95,-15.1,
1658433898923,12.18,29.51,-15.86,
1658433898941,12.45,29.69,-16.2,
1658433898964,12.7,29.64,-16.17,
1658433898973,12.76,29.59,-16.13,
1658433898990,12.81,29.48,-15.95,
1658433899007,12.86,29.31,-15.58,
1658433899023,13.03,29.03,-15.06,
1658433899040,13.26,28.79,-14.73,
1658433899064,13.5,28.5,-14.46,
1658433899073,13.7,28.07,-14.08,
1658433899090,13.79,27.77,-13.72,
1658433899107,13.89,27.51,-13.3,
1658433899123,14.12,27.23,-12.76,
1658433899140,14.34,27.04,-12.43,
1658433899157,14.51,26.85,-12.19,
1658433899173,14.59,26.58,-12.02,
1658433899190,14.56,26.39,-11.93,
1658433899207,14.53,26.22,-11.77,
1658433899223,14.51,25.98,-11.4,
1658433899240,14.52,25.78,-11.03,
1658433899257,14.53,25.55,-10.6,
1658433899273,14.55,25.19,-10.05,
1658433899290,14.6,24.9,-9.69,
1658433899306,14.69,24.62,-9.46,
1658433899323,14.76,24.28,-9.26,
1658433899340,14.71,24.07,-9.05,
1658433899357,14.61,23.86,-8.79,
1658433899373,14.49,23.61,-8.45,
1658433899390,14.47,23.44,-8.27,
1658433899407,14.49,23.33,-8.21,
1658433899423,14.43,23.3,-8.38,
1658433899440,14.25,23.39,-8.71,
1658433899457,14,23.61,-9.18,
1658433899473,13.63,24.03,-9.83,
1658433899490,13.34,24.4,-10.22,
1658433899507,13.11,24.8,-10.69,
1658433899523,12.85,25.41,-11.5,
1658433899545,12.64,26.12,-12.38,
1658433899557,12.51,26.71,-12.89,
1658433899573,12.45,27.29,-13.23,
1658433899590,12.52,27.81,-13.49,
1658433899607,12.68,28.15,-13.76,
1658433899630,12.83,28.24,-13.71,
1658433899640,12.89,28.24,-13.68,
1658433899657,13.05,28.21,-13.61,
1658433899673,13.14,28.12,-13.33,
1658433899690,13.23,27.93,-12.88,
