time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1652785766198.9,0,0.1,0.4,-0.3,5.2,8.3,7.9,-25.2,-21.7,
1652785766216.3,-0.4,0.5,0.7,-0.6,5.5,8.6,6.4,-17.1,-19.4,x
1652785766232.2,-0.7,1.1,0.8,-0.6,6.2,9.1,2,-24.5,-12.3,x
1652785766248.9,0,0.8,1.8,0.3,5.8,10.1,-15.1,-69.2,4,x
1652785766266.3,0.5,0.7,2.1,0.3,5.8,10.1,-15.1,-69.2,4,x
1652785766282.6,1.2,0.9,2.7,1.2,5.9,10.6,-30.1,-80.2,6.9,x
1652785766300.3,1.6,0.7,3.1,2,5.5,11.8,-41.2,-61.2,4.3,x
1652785766316.8,1.5,0.5,3.3,2,5.5,11.8,-43.7,-19.6,-1.9,x
1652785766333,0.7,0.8,3.6,1.4,5.5,12.2,-35.8,21.1,-5.5,x
1652785766349,-0.4,1.6,3.5,0.2,6.2,12.4,-20.3,37.8,-0.1,x
1652785766367.4,-0.5,1.2,2.2,-0.2,5.9,10.3,0.6,32.7,11.7,x
1652785766383.4,-0.4,0.9,1.2,-0.2,5.9,10.3,20.1,20,20.6,x
1652785766399,-0.4,0.6,-0.7,-0.1,5.7,8.6,29.7,11.9,24.5,x
1652785766416.5,-0.3,0.4,-2.2,0,5.4,6.1,25.8,8.6,27.2,x
1652785766433.5,-0.2,0.3,-2.7,0,5.4,6.1,11.3,12,28.4,x
1652785766449.6,-0.1,0,-2.4,0.1,5.2,6.1,-2.8,20.7,26.2,x
1652785766465.7,-0.3,-0.3,-1.9,0,4.9,6.5,-8.4,22.7,22.3,x
1652785766483.6,-0.4,-0.4,-1.7,-0.2,4.7,6.8,-8.3,17.5,18.4,x
1652785766499.6,-0.7,-0.3,-2,-0.5,4.7,6.5,-7,12,17.1,x
1652785766515.6,-0.7,-0.5,-2.2,-0.6,4.6,6.3,-5.5,16.1,17,x
1652785766533.2,-0.7,-0.6,-2,-0.6,4.4,6.4,-3.8,21.1,16.1,x
1652785766549.6,-0.7,-0.5,-2,-0.7,4.4,6.4,-2.5,20.5,14.8,x
1652785766566.3,-0.9,-0.2,-2,-0.8,4.7,6.4,-3.3,16.6,13.9,x
1652785766582.3,-0.8,-0.3,-1.8,-0.8,4.7,6.5,-2.3,11.9,14.5,x
1652785766600.2,-0.7,-0.3,-1.8,-0.8,4.6,6.5,-1.5,6.6,15.2,x
1652785766616.3,-0.6,-0.2,-1.7,-0.6,4.7,6.6,-2.9,5,15.6,x
1652785766632.3,-0.3,-0.3,-1.6,-0.4,4.7,6.7,-8.1,7.3,14.4,x
1652785766650.3,-0.3,-0.1,-1.1,-0.3,4.8,7.7,-14.2,14.1,12.1,x
1652785766666.8,-0.2,0,-0.6,-0.3,4.8,7.7,-17.9,19.4,11.7,x
1652785766683,0.3,-0.1,-0.1,0.1,4.7,8.2,-15.1,20.6,12.5,x
1652785766699,0.3,0.1,0.1,0.1,4.8,8.3,-6.9,29,11.4,x
1652785766715.7,0.2,0.3,0.2,0,5.1,8.5,0.6,36.4,10.7,x
1652785766732.9,0.4,0.6,-0.1,0.1,5.4,8.3,6.8,46.6,12,x
1652785766748.9,0.4,1.1,0.5,0,5.7,8.5,8,56.5,14.4,x
1652785766766.9,0.6,1.8,0.8,0.3,6.8,9.5,4.3,55.4,18,x
1652785766783.7,1,1.8,1.3,0.9,6.6,10.5,0.9,57.1,20.5,x
1652785766799.6,1.8,1.6,2.2,0.9,6.6,10.5,3.5,58.8,17.9,x
1652785766817.1,1.6,1.3,1.3,0.8,6.3,9.8,16.4,78.6,10.9,x
1652785766833.9,0.5,2.1,1.3,-1,7.7,9.6,27.7,98.8,8.6,x
1652785766849.6,0.1,2.7,1.4,-1,7.7,9.6,26.4,84.7,16.6,x
1652785766866.3,0.7,3.2,1,-0.9,8.4,9.4,4.1,40.7,26.2,x
1652785766882.2,2.2,1.9,1.2,1,6.6,10.4,-30.8,13.7,23.2,x
1652785766900.2,2.3,1.4,2.2,1,6.6,10.4,-59.5,18.9,11.7,x
1652785766915.6,1.7,0.6,3.4,0.5,5.7,11.8,-58.5,43,6.1,x
1652785766933.1,0.8,0.1,3.3,-0.5,5.2,11.8,-26.9,70.6,10.3,x
1652785766950.6,0.4,-0.1,2.9,-1.1,4.9,11.7,16,76.2,16.6,x
1652785766966.3,0.1,0.3,1.9,-1.5,5.3,10.6,45.8,43.9,18.8,x
1652785766982.3,0,0.4,0.2,-1.7,5.7,8.9,49.1,5.5,19.9,x
1652785767000.3,0.4,-0.5,-0.3,-1,4.5,7.9,34.2,-20.9,17.5,x
1652785767016.3,0.5,-1,-0.4,-1,4.5,7.9,15.5,-30.6,13,x
1652785767032.9,0.6,-1.3,0.2,-0.8,4.1,8.3,0.9,-25.4,11,x
1652785767049,1,-1.4,0.7,-0.6,4,9,-6.3,-21.9,12,x
1652785767067.5,1.4,-1.8,0.5,-0.1,3.7,8.9,-4.2,-9.2,11.4,x
1652785767083,1.5,-1.9,0.3,0.2,3.5,8.7,5,8.1,7.8,x
1652785767099.6,1.3,-1.8,-0.3,0,3.5,8.2,17,15.7,4.5,x
1652785767115.6,1.1,-2,-1.1,-0.4,3.4,6.7,29.7,17.5,3.9,x
1652785767132.6,1,-2.1,-1.5,-0.4,3.4,6.7,41.4,12.9,5.1,x
1652785767149.2,0.7,-2.1,-2.4,-0.6,3.5,5.8,49.2,0.4,8.6,x
1652785767165.9,0.5,-1.8,-3.2,-0.7,3.8,5,47,-15.6,12.2,x
1652785767182.2,0.8,-1.6,-3.3,0,4.1,4.7,36.1,-26.5,13.5,x
1652785767199.7,1.1,-1.6,-3.1,0,4.1,4.7,21.6,-30.7,11.1,x
1652785767215.6,1.4,-1.6,-2.7,0.4,4.1,5,9.1,-27.7,5.4,x
1652785767232.2,1.6,-1.4,-2.3,0.7,4.5,5.6,1.4,-19.7,-1.2,x
1652785767249.7,1.6,-1.2,-2.2,0.7,4.5,5.6,-2.3,-11,-7.6,x
1652785767265.9,1.4,-0.5,-1.7,0.6,5,5.9,-6.8,-9.2,-13.3,x
1652785767282.6,1.4,0.2,-0.4,0.5,5.7,6.9,-12.7,-17.3,-18.9,x
1652785767299.6,1.6,0.5,0.6,0.9,6.2,8.8,-14.8,-28.4,-25.4,x
1652785767316.4,1.7,0.6,1.1,0.9,6.2,8.8,-12.6,-35.5,-32.3,x
1652785767332.2,2,1,1.6,1.1,6.5,9.4,-10.5,-39.3,-38.1,x
1652785767348.9,2.3,1.1,2.1,1.6,6.8,10.7,-8.2,-31.7,-45.5,x
1652785767366.7,2.3,1.3,2.8,0.8,7.1,10.6,-3.3,-19.3,-55.8,x
1652785767382.8,1.4,1.7,2.5,0.8,7.1,10.6,6.8,-8.4,-66.8,x
1652785767412.6,-0.9,3.9,2.4,-1.9,9.7,10.4,26.6,-3.9,-53.5,x
1652785767415.5,-1,5.6,2.5,-1.1,12.1,10.6,26.6,-3.9,-53.5,x
1652785767433,0,6.6,2.7,-1.1,12.1,10.6,14,-46.7,-29.4,x
1652785767450.7,3.8,4.3,3.3,2.2,10.9,11.1,-11,-91.5,-24.4,x
1652785767465.6,5.2,0.9,4.2,4.3,5.3,12.5,-26.8,-110.9,-48.9,x
1652785767483.4,3.5,-1.4,3.9,4.3,5.3,12.5,-30.3,-106.9,-83.9,x
1652785767499.2,2.2,-2,3.2,2.3,3.8,11.7,-21.2,-77.2,-109.6,x
1652785767515.5,0.2,-2.8,2.2,0.3,2.9,10.9,-4.2,-32.9,-114.9,x
1652785767532.4,-1.2,-2.8,0.7,-2.2,2.9,8.7,8.7,-4.7,-107.2,x
1652785767549.7,-1.5,-2.5,0.2,-2.2,2.9,8.7,12.4,2.3,-92.2,x
1652785767566,-1.3,-2.6,-0.6,-2.3,2.9,7.9,8.3,-10.3,-77.4,x
1652785767582.2,-1,-2.7,-1.2,-1.8,2.7,6.9,1.7,-28,-66.1,x
1652785767599.5,-0.9,-2.7,-1.4,-1.8,2.7,6.9,-5.9,-43.2,-54.5,x
1652785767616.4,-0.6,-2.7,-1.5,-1.5,2.6,6.8,-11.5,-51.6,-41.3,x
1652785767632.5,-0.4,-2.8,-1.6,-1.2,2.5,6.8,-9.4,-57.4,-29.5,x
1652785767649.1,-0.3,-2.5,-1.5,-0.7,3,6.8,1,-63.3,-20,x
1652785767666.3,-0.2,-2.2,-1.5,-0.7,3,6.8,13.2,-73.3,-16,x
1652785767682.5,0.2,-2.2,-1.9,-0.3,3.2,6.5,23.3,-81.3,-21.5,x
1652785767698.9,0.2,-2.5,-2.8,-0.3,3.1,4.9,31.3,-79.8,-30.9,x
1652785767716,-0.2,-2.4,-3.3,-0.3,3.1,4.9,32.8,-70.1,-39.4,x
1652785767733,-1.3,-1.9,-3.8,-1.1,3.5,4.3,28.9,-55.6,-40.3,x
1652785767749.2,-2,-1.2,-3.8,-1.8,4,4.2,19.7,-50.4,-34.3,x
1652785767766,-2.1,-0.5,-3.9,-1.7,4.9,4.2,5.9,-50.4,-28.4,x
1652785767783,-1.7,-0.5,-3.7,-1.7,4.9,4.2,-7.8,-39.8,-25.8,x
1652785767799.2,-1,-0.2,-2.9,-1.1,5.1,4.9,-19.9,-28.8,-27.2,x
1652785767815.5,-0.7,0.5,-2.6,-0.7,6.2,6.1,-29.4,-13.1,-31.5,x
1652785767833.6,-0.7,1.5,-1.2,-1,7,7.2,-39.4,23,-41.8,x
1652785767849.7,-0.9,1.9,-0.7,-1,7,7.2,-39.4,23,-41.8,x
1652785767865.9,-1.3,3,0.7,-1.5,7.8,8.3,-36.1,35.9,-39.1,x
1652785767882.3,-1.1,3.6,2.1,-1.3,8.7,10.6,-28.8,38.7,-27.5,x
1652785767899.7,-0.6,3.7,2.5,-1.3,8.7,10.6,-18.2,34.1,-12.9,x
1652785767915.9,0.1,3.6,3,-0.6,8.7,11.1,-6.3,31.8,-3.2,x
1652785767932.2,0.4,3.5,2.7,-0.5,8.7,10.5,5.3,30.6,0.9,x
1652785767950.2,-0.1,3.6,1.8,-1.2,9.1,9.8,23.4,48.7,-0.3,x
1652785767966.3,-0.5,3.9,1.5,-1.2,9.1,9.8,23.4,48.7,-0.3,x
1652785767982.2,-1,4.8,1.4,-1.9,9.9,9.6,20.3,39.6,0.9,x
1652785767999.3,0.1,4.5,1.9,-0.2,9,10.4,1.5,9.2,0.4,x
1652785768016.3,0.9,3.6,2.2,-0.2,9,10.4,-32.1,-28,-11.6,x
1652785768032.5,1.4,1.6,3.2,0.5,7.2,11.3,-60.8,-28.2,-31.9,x
1652785768048.8,0.9,-0.3,3.7,-0.8,4.1,12.2,-63.4,2.8,-42.4,x
1652785768065.5,0.4,-0.8,3.7,-1.9,3.8,11.6,-39.2,41.2,-40.3,x
1652785768083,-0.6,-1.1,2.9,-1.9,3.8,11.6,-2.7,60.9,-30.9,x
1652785768099.2,-1.1,-1,1.5,-2.5,4,10.5,25.1,47.5,-18.7,x
1652785768115.8,-1.2,-0.9,-0.1,-2.7,4.2,8.1,33.4,15.7,-7.4,x
1652785768132.9,-1.1,-0.9,-0.3,-2.7,4.2,8.1,24.5,-15,2,x
1652785768149.2,-0.4,-1.3,0,-2,3.9,8.4,10.3,-38.9,10.3,x
1652785768165.6,0.4,-1.6,0.5,-0.3,3.4,8.8,3.6,-48.4,16.6,x
1652785768183.5,1.2,-1.9,0.1,0.4,3.1,8.5,16.6,-22.7,22.2,x
1652785768199.7,1.6,-2.1,0,0.4,3.1,8.5,16.6,-22.7,22.2,x
1652785768215.9,1.6,-2.1,-0.7,0.7,3,8,24.4,-10.1,18.1,x
1652785768236.8,1,-1.8,-1.5,-0.1,3.5,6.5,27.6,-3.8,13.4,x
1652785768249.7,0.8,-1.8,-1.8,-0.1,3.5,6.5,26.8,-1.4,12,x
1652785768265.8,0.3,-2,-2.3,-0.4,3.4,6,25.6,-1.9,16,x
1652785768282.1,0.1,-2.2,-2.6,-0.6,3.2,5.4,26,-4.9,23.8,x
1652785768299.2,0.1,-2.3,-2.7,-0.1,2.8,5,28.4,-11.3,33.1,x
1652785768315.8,0.6,-2.9,-3.2,-0.1,2.8,5,31.5,-16.7,39.3,x
1652785768332.2,0.8,-3.4,-3.9,0.3,2.3,4.3,34.1,-15.4,36.9,x
1652785768349.1,0.4,-3.2,-4.4,-0.3,2.8,3.4,31.5,-11.7,28.8,x
1652785768366.3,0,-2.8,-4.5,-0.3,2.8,3.4,18.6,-13,19.9,x
1652785768382.5,-0.5,-1.9,-4.2,-0.7,3.5,3.5,-5,-16.7,13.1,x
1652785768398.8,-0.5,-1.1,-3.1,-0.7,4.7,5.8,-31.3,-14,9.2,x
1652785768416,-0.4,-0.7,-2.1,-0.7,4.7,5.8,-50.3,-2.8,6.7,x
