time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined]
1666170364010.1,84.2,45.9,7.6
1666170364026.7,83.5,45,8.3
1666170364043.6,81.9,42.4,10.2
1666170364060.6,81.3,39.5,10.6
1666170364076.7,81.2,36.3,10.2
1666170364093.3,81,34.7,9.9
1666170364110,80,32.1,9.7
1666170364127.5,79.5,31,9.2
1666170364143.3,78.8,29.6,7.5
1666170364160.4,78,28.5,5.8
1666170364176.8,77.5,28,5.2
1666170364193.3,76.3,27.1,4.5
1666170364210,74.9,26.7,4.3
1666170364226.7,73.4,27,4.8
1666170364243.3,72.8,27.3,5.1
1666170364260.1,71.5,28.5,5.8
1666170364277,70.8,29.2,6.2
1666170364293.3,70.2,30.1,6.7
1666170364310.4,68.9,33.2,8.6
1666170364326.7,68.7,34.4,9.4
1666170364343.3,68.6,36.8,10.6
1666170364360,68.9,37.9,10.9
1666170364376.8,69.9,40.4,10.7
1666170364393.3,70.1,41.2,10.6
1666170364410,70.2,42,10.5
1666170364426.8,70.5,44.3,9.9
1666170364443.4,71.2,47,8.4
1666170364460.1,72.5,49.8,6
1666170364476.8,73.7,52.3,3.8
1666170364493.3,74.2,53.4,3
1666170364510,74.9,55.4,2
1666170364527,75.4,56.2,1.6
1666170364543.3,76.7,57.2,0.8
1666170364560.3,77.2,57.5,0.5
1666170364576.9,78.3,57.5,0.5
1666170364593.2,79,57.2,1.1
1666170364610,79.9,56.9,1.7
1666170364628.1,80.4,56.8,1.9
1666170364643.4,81.9,56.8,1.9
1666170364660.2,82.6,56.8,1.9
1666170364680.9,83.1,56.9,1.8
1666170364693.4,84.5,57.1,2.2
1666170364710,85,57.2,2.8
1666170364726.7,84.8,57.2,3.3
1666170364743.3,83.9,57.2,4.5
1666170364760,83.2,57.1,5.4
1666170364777,83,56.9,5.8
1666170364793.2,82.7,56.3,6.2
1666170364810.1,82.7,55.5,6.1
1666170364826.6,82.8,55.1,5.8
1666170364843.3,83.1,54.6,5.3
1666170364860,83.1,54.7,5.4
1666170364876.7,82.8,55,5.7
