time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1664285237333.4,13.8,24.2,0.6,x
1664285237350,14,24.1,0.4,x
1664285237366.7,14.1,24.1,0.3,x
1664285237383.3,14.1,24.1,0.2,x
1664285237400.1,14,24,0.4,x
1664285237433.3,13.8,24,0.6,x
1664285237450,13.7,24.2,0.7,x
1664285237483.4,13.4,24.3,1,x
1664285237500.2,13.1,24.3,1.7,x
1664285237516.7,13,24.4,1.9,x
1664285237533.4,12.9,24.4,2.1,x
1664285237550.1,13,24.4,1.9,x
1664285237566.7,13,24.4,1.7,x
1664285237600.1,13,24.7,1.7,x
1664285237633.4,12.9,24.4,2,x
1664285237650.1,13,24,1.9,x
1664285237666.8,13,23.9,1.8,x
1664285237701.6,13.2,24.4,1.4,x
1664285237717,13.2,24.6,1.2,x
1664285237733.7,13.1,24.6,1.4,x
1664285237750.4,13,24.2,1.6,x
1664285237767,13,24,1.6,x
1664285237783.6,13.1,23.8,1.5,x
1664285237800.4,13.1,23.9,1.4,x
1664285237833.9,13,24,1.7,x
1664285237850.4,13,24.1,1.7,x
1664285237883.7,13,24.2,1.8,x
1664285237900.4,13,24.4,1.8,x
1664285237933.6,13,24.6,1.9,x
1664285237967.3,13,24.4,1.9,x
1664285237983.7,13.1,24.3,1.7,x
1664285238001.2,13.1,24.2,1.6,x
1664285238017,13.1,24.1,1.7,x
1664285238033.7,13,24.1,1.9,x
1664285238050.3,13.1,24.1,1.7,x
1664285238070.1,13.2,24.1,1.4,x
1664285238083.8,13.3,24,1.3,x
1664285238100.8,13.3,23.8,1.1,x
1664285238117.6,13.4,23.8,1,x
1664285238150.3,13.3,23.8,1.2,x
1664285238200.3,13.3,23.7,1,x
1664285238233.6,13.2,23.7,1.2,x
1664285238267,13.3,23.8,1.1,x
1664285238283.6,13.3,24.1,1,x
1664285238300.7,13.2,24.3,1.3,x
1664285238317.4,13.1,24.3,1.6,x
1664285238333.7,13.2,24.2,1.4,x
1664285238350.3,13.3,24.1,1.3,x
1664285238366.9,13.3,24,1.2,x
1664285238400.8,13.1,23.9,1.2,x
1664285238467,13.2,23.9,1.1,x
1664285238526,13.1,24.1,1.1,x
1664285238553.2,13.1,24,1.1,x
1664285238587.8,13.1,24.1,1.1,x
1664285238616.9,13.1,24.1,1.2,x
1664285238633.5,13.2,24.1,1.1,x
1664285238650.2,13.2,24,1.1,x
1664285238700.3,13.3,23.9,1,x
1664285238716.9,13.3,23.9,1.1,x
1664285238733.6,13.3,24,1.3,x
1664285238751.1,13.3,24.1,1.6,x
1664285238766.9,13.3,24.1,1.7,x
1664285238783.6,13.3,24.2,1.9,x
1664285238866.8,13.2,23.9,1.6,x
1664285238916.8,13.2,24.1,1.6,x
1664285238933.5,13.2,24.2,1.6,x
1664285238950.4,13.2,24.3,1.5,x
1664285238983.6,13.3,24.1,1.3,x
1664285239000.9,13.3,24,1.3,x
1664285239150.2,13.1,24,1.2,x
1664285239183.6,13,24,1.3,x
1664285239233.5,13,23.9,1.1,x
1664285239283.5,12.9,23.9,1.2,x
1664285239333.6,12.9,23.9,1.1,x
1664285239350.3,12.9,23.8,1.1,x
1664285239468.2,13.1,23.8,1.1,x
1664285239484.7,13.1,23.7,1,x
1664285239500.3,13.2,23.6,1,x
1664285239550.3,13.3,23.5,0.8,x
1664285239600.5,13.3,23.5,0.6,x
1664285239800.5,13.5,23.5,0.6,x
1664285239833.5,13.6,23.4,0.6,x
1664285239883.6,13.8,23.5,0.6,x
1664285239950.3,14,23.5,0.6,x
1664285239967.3,14.1,23.5,0.6,x
1664285239983.6,14.1,23.5,0.5,x
1664285240033.5,14.3,23.4,0.3,x
1664285240050.3,14.4,23.4,0.2,x
1664285240066.9,14.4,23.3,0.1,x
1664285240083.6,14.4,23.3,0,x
1664285240184.4,14.3,23.2,0.1,x
1664285240233.5,14.1,23.2,0.2,x
1664285240250.2,14.1,23.2,0.3,x
1664285240433.4,14,23.2,0.3,x
1664285240533.5,14,23.4,0.4,x
1664285240583.5,14,23.3,0.3,x
1664285240600.5,14.1,23.3,0.3,x
1664285240650.2,14.1,23.3,0.2,x
1664285240683.5,14.1,23.3,0.1,x
1664285240717,14,23.3,0.1,x
1664285240783.5,13.9,23.3,0.2,x
1664285240817.1,13.9,23.3,0.3,x
1664285240833.4,13.9,23.4,0.3,x
1664285240950.2,13.9,23.4,0.2,x
1664285240983.5,13.8,23.4,0.1,x
1664285241000.4,13.8,23.3,0.2,x
1664285241050.2,13.7,23.4,0.2,x
1664285241100.8,13.5,23.5,0.3,x
1664285241133.5,13.5,23.6,0.4,x
1664285241167,13.4,23.7,0.5,x
1664285241183.5,13.4,23.7,0.6,x
1664285241270.1,13.4,23.7,0.5,x
1664285241334.3,13.4,23.6,0.3,x
1664285241351,13.4,23.6,0.2,x
1664285241383.4,13.3,23.7,0.3,x
1664285241516.8,13.1,23.7,0.4,x
1664285241600.7,13.1,23.9,0.4,x
1664285241633.5,13,24,0.4,x
1664285241733.5,12.9,24,0.6,x
1664285241750.3,12.8,24.1,0.6,x
1664285241787,12.8,24.2,0.7,x
1664285241866.8,12.9,24.2,0.5,x
1664285242033.5,12.7,24.3,0.5,x
1664285242083.2,12.7,24.1,0.5,x
1664285242305.7,12.6,24.1,0.6,x
1664285242317.2,12.6,24.2,0.6,x
1664285242400,12.8,24.2,0.7,x
1664285242433.2,12.9,24.1,0.6,x
1664285242466.6,13,24.2,0.6,x
1664285242499.9,13.1,24.1,0.6,x
1664285242517.1,13.1,24,0.5,x
1664285242566.8,13.1,24.1,0.4,x
1664285242617.2,13,24,0.4,x
1664285242683.5,13,23.9,0.2,x
1664285242726.1,12.8,24,0.3,x
1664285242733.7,12.8,24.1,0.4,x
1664285242800.2,12.7,24.2,0.7,x
1664285242850,12.9,24.2,0.6,x
1664285242900.8,13,24.2,0.5,x
1664285242933.4,13.1,24.1,0.4,x
1664285242966.8,13.1,24,0.3,x
1664285242983.4,13.2,24,0.2,x
1664285243050.8,13.2,23.8,0.1,x
1664285243084,13.2,23.9,0.1,x
1664285243100.5,13.1,23.9,0.2,x
1664285243116.7,13.1,23.8,0.2,x
1664285243167,13.2,23.7,0.1,x
1664285243205.8,13.2,23.8,0.2,x
1664285243299.8,13.2,23.6,0.2,x
1664285243333.2,13.3,23.6,0.1,x
1664285243350,13.3,23.7,0.1,x
1664285243383.4,13.3,23.7,0.2,x
1664285243416.7,13.3,23.7,0.1,x
1664285243433.3,13.3,23.7,0.2,x
1664285243499.9,13.3,23.6,0.2,x
1664285243516.9,13.3,23.5,0.2,x
1664285243550.8,13.3,23.4,0.1,x
1664285243583.4,13.3,23.5,0.2,x
1664285243600.7,13.3,23.5,0.1,x
1664285243674,13.3,23.6,0.2,x
1664285243686.9,13.3,23.6,0.1,x
1664285243732.8,13.3,23.7,0.1,x
1664285243783.1,13.2,23.7,0.2,x
1664285243801.1,13.2,23.8,0.3,x
1664285243900.3,13.1,23.8,0.5,x
1664285243983.3,13.1,23.9,0.5,x
1664285244049.9,13.1,23.8,0.5,x
1664285244117.7,13.3,23.9,0.4,x
1664285244383.3,13.1,24,0.4,x
1664285244433.4,13,23.9,0.5,x
1664285244500.6,12.8,24,0.6,x
1664285244533.3,12.8,23.9,0.5,x
1664285244561.9,12.8,24,0.6,x
1664285244650.1,12.7,24.1,0.7,x
1664285244700.6,12.6,24,0.9,x
1664285244749.9,12.6,24.1,1,x
1664285244783.3,12.7,24,1,x
1664285244833.3,12.7,23.9,0.8,x
1664285244850.1,12.7,23.8,0.8,x
1664285244949.9,12.7,23.6,0.7,x
1664285244967.2,12.7,23.5,0.7,x
1664285245133.4,12.9,23.5,0.7,x
1664285245333.3,13.1,23.5,0.6,x
1664285245366.6,13.1,23.5,0.5,x
1664285245516.6,13.1,23.3,0.5,x
1664285245649.7,13,23.3,0.3,x
1664285245666.4,13,23.4,0.3,x
1664285245717.3,13,23.3,0.3,x
1664285245783.1,13,23.4,0.4,x
1664285245816.6,13.1,23.4,0.4,x
1664285245850,13.2,23.3,0.3,x
1664285245883.4,13.2,23.4,0.4,x
1664285245917.3,13.3,23.3,0.4,x
1664285246383.3,13.5,23.3,0.4,x
1664285246533.5,13.5,23.1,0.4,x
1664285246550.1,13.5,23.2,0.3,x
1664285246599.9,13.6,23.2,0.4,x
1664285246633.1,13.6,23.3,0.2,x
1664285246650.1,13.6,23.3,0.3,x
1664285246683.3,13.7,23.2,0.2,x
1664285246700.3,13.7,23.2,0.1,x
1664285246733.2,13.6,23.3,0.2,x
1664285246750,13.5,23.3,0.2,x
1664285246883.3,13.3,23.4,0.2,x
1664285246900,13.3,23.4,0.3,x
1664285246917.1,13.3,23.3,0.3,x
1664285246981.9,13.2,23.4,0.3,x
1664285247116.6,13.1,23.5,0.5,x
1664285247216.8,13.1,23.3,0.5,x
1664285247249.9,13.1,23.4,0.5,x
1664285247350,13,23.5,0.5,x
1664285247366.5,13,23.6,0.5,x
1664285247450.3,12.9,23.5,0.5,x
1664285247466.6,12.9,23.6,0.5,x
1664285247483.2,12.9,23.5,0.5,x
1664285247500,12.9,23.5,0.6,x
1664285247533.2,12.8,23.4,0.5,x
1664285247550,12.8,23.5,0.6,x
1664285247699.8,12.7,23.6,0.7,x
1664285247733.2,12.7,23.7,0.8,x
1664285247927,12.9,23.5,0.7,x
1664285247933.2,12.9,23.6,0.7,x
1664285247983.2,12.9,23.5,0.7,x
1664285248033.2,12.9,23.6,0.6,x
1664285248083.2,12.9,23.5,0.6,x
1664285248149.8,12.9,23.4,0.5,x
1664285248199.9,12.9,23.4,0.6,x
1664285248216.7,13,23.2,0.6,x
1664285248233.2,13,23.2,0.5,x
1664285248250.2,13,23.2,0.6,x
1664285248283.2,13.1,23.2,0.5,x
1664285248449.9,13.2,23.2,0.3,x
1664285248483.2,13.2,23.1,0.3,x
1664285248583,13.1,23.2,0.5,x
1664285248633.2,13.2,23.1,0.5,x
1664285248649.9,13.2,23,0.5,x
1664285248699.9,13.2,23.1,0.4,x
1664285248733.2,13.2,23,0.4,x
1664285248800,13.2,23.1,0.4,x
1664285248853,13.1,23,0.4,x
1664285248899.8,13.1,23.1,0.4,x
1664285248949.9,13.1,23,0.4,x
