time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1664285095538.7,21,20.8,-2.7,x
1664285095555.2,21.2,20.7,-2.7,x
1664285095571,21.7,20.5,-2.8,x
1664285095593.4,22.3,20.1,-3,x
1664285095604.3,22.6,19.9,-3,x
1664285095621,23.2,19.4,-3,x
1664285095637.7,23.4,19.2,-3,x
1664285095654.4,23.7,18.8,-2.9,x
1664285095671,24,18.7,-2.9,x
1664285095687.6,24.2,19.1,-2.9,x
1664285095704.4,24.3,19.3,-2.8,x
1664285095721,24.5,19.8,-2.7,x
1664285095737.6,24.7,20,-2.7,x
1664285095754.4,24.9,20.2,-2.8,x
1664285095787.6,25.1,20.3,-3,x
1664285095805,25,20.3,-3,x
1664285095821,24.9,20.4,-2.8,x
1664285095838.5,24.8,20.5,-2.7,x
1664285095854.9,24.7,20.6,-2.5,x
1664285095870.8,24.5,20.8,-2.5,x
1664285095888.4,24.2,21,-2.5,x
1664285095904.3,24.1,21.2,-2.5,x
1664285095920.9,23.7,21.5,-2.5,x
1664285095940.8,23.4,21.8,-2.5,x
1664285095954.4,23.3,21.9,-2.5,x
1664285095985.3,23,21.9,-2.7,x
1664285096004.3,22.9,21.7,-2.8,x
1664285096020.7,22.8,21.1,-2.8,x
1664285096037.6,22.7,20.7,-2.8,x
1664285096054.2,22.6,20.2,-3.1,x
1664285096070.9,22.1,20.3,-3.3,x
1664285096087.7,21.8,20.6,-3.1,x
1664285096104.7,21.1,21.1,-2.4,x
1664285096120.9,20.4,21.4,-1.4,x
1664285096137.7,20.1,21.4,-1,x
1664285096154.2,19.6,21.1,-0.7,x
1664285096241.2,19.1,21.2,-0.4,x
1664285096257,19.1,21.4,-0.4,x
1664285096270.8,19.1,21.7,-0.6,x
1664285096287.6,19.2,22,-0.8,x
1664285096304.1,19.3,22.1,-0.8,x
1664285096320.8,19.4,22.2,-0.9,x
1664285096354.6,19.5,22.5,-1.2,x
1664285096370.9,19.6,22.6,-1.4,x
1664285096404.4,19.7,22.7,-1.6,x
1664285096420.9,19.8,22.8,-1.8,x
1664285096437.8,19.9,22.7,-2,x
1664285096454,19.9,22.7,-2.1,x
1664285096488.9,19.9,23,-2.1,x
1664285096505.4,19.8,23,-2.1,x
1664285096522.1,19.8,23.1,-2,x
1664285096537.7,19.8,23.1,-2.1,x
1664285096554.2,19.8,23,-2,x
1664285096592.3,19.6,22.9,-1.8,x
1664285096622.8,19.7,22.5,-1.7,x
1664285096637.4,19.8,22,-2.1,x
1664285096654.2,19.7,21.8,-2.4,x
1664285096670.9,19.7,21.9,-2.3,x
1664285096687.5,19.6,21.9,-2.1,x
1664285096704.7,19.7,22.1,-1.6,x
1664285096721,19.7,22,-1.5,x
1664285096737.6,19.7,22,-1.6,x
1664285096754.1,19.7,22,-1.8,x
1664285096771.1,19.8,22.1,-1.9,x
1664285096789.7,20,22.1,-1.9,x
1664285096804.9,20.1,22,-2,x
1664285096820.8,20.3,21.7,-2.3,x
1664285096838.8,20.3,21.4,-2.7,x
1664285096854.2,20.2,21.3,-2.8,x
1664285096870.9,20,21.3,-2.9,x
1664285096887.5,19.7,21.6,-2.9,x
1664285096904.3,19.4,21.8,-2.8,x
1664285096920.9,19,22.2,-2.8,x
1664285096937.9,18.5,22.5,-2.9,x
1664285096954.7,18.3,22.6,-3,x
1664285096970.9,17.9,22.9,-3.2,x
1664285096987.6,17.6,23,-3.2,x
1664285097004.4,17.1,23.4,-3.3,x
1664285097020.9,16.7,23.6,-3.3,x
1664285097037.7,16.5,23.7,-3.3,x
1664285097054.2,16.1,23.7,-3.4,x
